id,label,blockLouvainTibi,blockLouvainProximity,blockIntraMax,year,cafFob
2,United States of America,0,3,3,1850,fob
3,Alaska,0,0,1,1850,fob
4,Hawaii (Sandwich Is.),4,3,1,1850,fob
5,Virgin Islands (Danish West Indies),0,4,2,1850,fob
6,Puerto Rico,3,3,2,1850,fob
10,Greenland,0,0,2,1850,fob
20,Canada (Province of Canada),0,3,1,1850,fob
21,Newfoundland and Labrador (Newfoundland),0,3,1,1850,fob
30,Bermuda,0,3,3,1850,fob
31,Bahamas,3,2,2,1850,fob
40,Cuba,3,3,2,1850,fob
41,Haiti,0,3,4,1850,fob
42,Dominican Republic (Santo Domingo),0,3,3,1850,fob
51,Jamaica,0,0,1,1850,fob
54,Dominica,0,0,1,1850,fob
65,Guadeloupe,2,2,3,1850,fob
66,Martinique,2,2,3,1850,fob
68,Netherlands Antilles,1,3,1,1850,fob
70,Mexico,3,2,1,1850,fob
80,Belize (British Honduras),0,0,1,1850,fob
90,Guatemala,2,4,2,1850,fob
100,Colombia (New Granada) (Gran Colombia),0,3,2,1850,fob
101,Venezuela,4,2,4,1850,fob
110,Guyana (British Guiana),0,3,3,1850,fob
115,Surinam (Dutch Guiana),1,4,4,1850,fob
120,French Guiana,2,2,2,1850,fob
130,Ecuador,0,3,2,1850,fob
135,Peru,0,3,3,1850,fob
140,Brazil,4,0,5,1850,fob
145,Bolivia,0,3,2,1850,fob
155,Chile,0,3,3,1850,fob
160,Argentina (La Plata),4,3,1,1850,fob
165,Uruguay,4,3,1,1850,fob
200,United Kingdom,0,0,1,1850,fob
210,Netherlands,1,4,5,1850,fob
211,Belgium,2,4,5,1850,fob
212,Luxemburg,2,4,4,1850,fob
220,France,2,2,2,1850,fob
225,Switzerland,2,2,2,1850,fob
230,Spain,3,2,2,1850,fob
231,Gibraltar,3,2,5,1850,fob
235,Portugal,4,0,5,1850,fob
239,Prussia,5,4,4,1850,fob
240,Hanover,1,4,5,1850,fob
246,Bremen,0,0,5,1850,fob
247,Frankfurt,1,4,4,1850,fob
248,Hamburg,4,3,5,1850,fob
257,Oldenburg,4,4,5,1850,fob
276,Lübeck,4,4,5,1850,fob
280,Mecklenburg Schwerin,4,4,5,1850,fob
300,Austria-Hungary (Austrian Empire),1,1,1,1850,fob
324,Kingdom of Sardinia,4,0,5,1850,fob
327,Papal States,1,1,1,1850,fob
329,Two Sicilies,1,1,1,1850,fob
337,Tuscany,1,1,2,1850,fob
338,Malta,1,1,1,1850,fob
342,Kingdom of Serbia,1,1,1,1850,fob
350,Greece,1,1,4,1850,fob
365,Russia (USSR),5,4,5,1850,fob
380,Sweden,4,4,2,1850,fob
385,Norway,4,4,2,1850,fob
390,Denmark,4,4,5,1850,fob
402,Cape Verde,0,3,3,1850,fob
411,Equatorial Guinea (Spanish Guinea),0,0,1,1850,fob
420,Gambia,2,4,4,1850,fob
433,Senegal,2,2,4,1850,fob
451,Sierra Leone,0,3,1,1850,fob
452,Ghana (Gold Coast),0,0,1,1850,fob
541,Mozambique (Portuguese East Africa),0,5,1,1850,fob
561,Cape Colony (Cape of Good Hope),0,5,2,1850,fob
585,Reunion (Bourbon I.),2,2,1,1850,fob
590,Mauritius,0,5,1,1850,fob
600,Morocco,3,2,2,1850,fob
615,Algeria (Regency of Algiers),2,2,1,1850,fob
616,Tunisia (Regency of Tunis),1,1,1,1850,fob
630,Iran (Persia),5,4,5,1850,fob
640,Turkey (Ottoman Empire),1,1,5,1850,fob
651,Egypt Arab Republic (Egypt),1,1,1,1850,fob
681,Aden,5,1,1,1850,fob
710,People's Republic of China (China),5,1,4,1850,fob
720,Hong Kong,0,0,1,1850,fob
750,India,5,1,1,1850,fob
751,French India,2,2,1,1850,fob
775,Myanmar (Burma),0,5,1,1850,fob
780,Sri Lanka (Ceylon),5,1,1,1850,fob
781,Maldive Islands,5,1,1,1850,fob
840,Philippines,3,2,2,1850,fob
850,Indonesia (Dutch East Indies),1,4,1,1850,fob
901,New South Wales,0,0,1,1850,fob
902,Western Australia,0,5,1,1850,fob
903,South Australia,0,0,1,1850,fob
906,Tasmania,0,0,1,1850,fob
920,New Zealand,0,0,1,1850,fob
1019,Rupert's Land,0,0,1,1850,fob
1022,Nova Scotia,0,6,1,1850,fob
1023,New Brunswick,0,0,1,1850,fob
1024,Prince Edward Is.,0,0,1,1850,fob
1029,St. Pierre and Miquelon,2,2,2,1850,fob
1055,Windward Is.,0,0,1,1850,fob
1063,Leeward Is.,6,0,1,1850,fob
1064,St. Barthelemy,0,3,3,1850,fob
1163,Falkland Is.,0,0,1,1850,fob
2003,Channel Is.,0,0,1,1850,fob
2247,Schleswig,4,4,1,1850,fob
2248,Holstein,4,4,1,1850,fob
2249,Heligoland,4,3,1,1850,fob
2901,Congress Poland,5,4,4,1850,fob
3349,Ionian Is.,1,1,4,1850,fob
3362,Wallachia,1,1,1,1850,fob
4050,St. Helena,0,5,1,1850,fob
4070,Ascension I.,0,5,1,1850,fob
7010,Kokand,5,4,5,1850,fob
7020,Bokhara,5,4,5,1850,fob
7030,Khiva,5,4,5,1850,fob
