id,label,blockLouvain,blockIntraMax,year,cafFob
2,United States of America,8,5,1895,fob
4,Hawaii (Sandwich Is.),8,5,1895,fob
5,Virgin Islands (Danish West Indies),2,3,1895,fob
6,Puerto Rico,1,5,1895,fob
10,Greenland,0,1,1895,fob
11,Faeroe Is.,1,4,1895,fob
20,Canada (Province of Canada),8,4,1895,fob
21,Newfoundland and Labrador (Newfoundland),8,4,1895,fob
30,Bermuda,8,5,1895,fob
31,Bahamas,8,5,1895,fob
40,Cuba,1,5,1895,fob
41,Haiti,8,1,1895,fob
42,Dominican Republic (Santo Domingo),8,1,1895,fob
51,Jamaica,8,5,1895,fob
52,Trinidad and Tobago,8,5,1895,fob
53,Barbados,8,5,1895,fob
65,Guadeloupe,8,5,1895,fob
66,Martinique,8,5,1895,fob
68,Netherlands Antilles,5,1,1895,fob
70,Mexico,8,1,1895,fob
80,Belize (British Honduras),8,1,1895,fob
90,Guatemala,8,3,1895,fob
91,Honduras,8,4,1895,fob
92,El Salvador,8,4,1895,fob
93,Nicaragua,8,4,1895,fob
94,Costa Rica,8,3,1895,fob
100,Colombia (New Granada) (Gran Colombia),3,1,1895,fob
101,Venezuela,8,1,1895,fob
110,Guyana (British Guiana),8,1,1895,fob
115,Surinam (Dutch Guiana),5,1,1895,fob
120,French Guiana,2,1,1895,fob
130,Ecuador,3,1,1895,fob
135,Peru,3,1,1895,fob
140,Brazil,3,1,1895,fob
145,Bolivia,3,1,1895,fob
150,Paraguay,3,1,1895,fob
155,Chile,3,1,1895,fob
160,Argentina (La Plata),3,1,1895,fob
165,Uruguay,3,1,1895,fob
200,United Kingdom,0,1,1895,fob
210,Netherlands,5,2,1895,fob
211,Belgium,6,2,1895,fob
212,Luxemburg,6,6,1895,fob
220,France,2,2,1895,fob
225,Switzerland,3,4,1895,fob
230,Spain,1,3,1895,fob
231,Gibraltar,6,2,1895,fob
232,Andorra,1,3,1895,fob
235,Portugal,0,3,1895,fob
255,Germany (Zollverein),3,4,1895,fob
300,Austria-Hungary (Austrian Empire),6,4,1895,fob
325,Italy,3,4,1895,fob
338,Malta,3,2,1895,fob
341,Montenegro,3,4,1895,fob
342,Kingdom of Serbia,6,4,1895,fob
346,Bosnia-Herzegovina,6,4,1895,fob
350,Greece,6,2,1895,fob
352,Cyprus,6,1,1895,fob
355,Bulgaria,6,7,1895,fob
360,Romania,6,4,1895,fob
365,Russia (USSR),6,5,1895,fob
380,Sweden,1,1,1895,fob
385,Norway,1,1,1895,fob
390,Denmark,1,1,1895,fob
395,Iceland,1,4,1895,fob
402,Cape Verde,0,1,1895,fob
403,Sao Tome-Principe,0,5,1895,fob
404,Guinea-Bissau (Portuguese Guinea),0,1,1895,fob
420,Gambia,9,3,1895,fob
430,French West Africa,0,1,1895,fob
433,Senegal,9,3,1895,fob
434,Benin (Dahomey),9,1,1895,fob
437,Ivory Coast,2,3,1895,fob
438,Guinea (French Guinea) (Rivieres du Sud),2,3,1895,fob
450,Liberia,9,1,1895,fob
451,Sierra Leone,9,1,1895,fob
452,Ghana (Gold Coast),9,1,1895,fob
484,Congo (Brazzaville) (French Congo) (Middle Congo),2,3,1895,fob
490,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),6,6,1895,fob
510,German East Africa,4,1,1895,fob
511,Zanzibar,4,6,1895,fob
521,Somaliland Republic (British Somaliland),4,1,1895,fob
522,Djibouti (Afar and Issas) (French Somaliland),0,1,1895,fob
530,Ethiopia (Abyssinia),4,1,1895,fob
531,Eritrea,4,1,1895,fob
540,Angola,0,5,1895,fob
541,Mozambique (Portuguese East Africa),0,1,1895,fob
561,Cape Colony (Cape of Good Hope),0,1,1895,fob
562,Natal,0,1,1895,fob
563,Transvaal (South African Republic),3,4,1895,fob
580,Madagascar (Malagasy Republic),7,1,1895,fob
581,Comoros,2,3,1895,fob
585,Reunion (Bourbon I.),7,1,1895,fob
590,Mauritius,7,1,1895,fob
600,Morocco,0,4,1895,fob
615,Algeria (Regency of Algiers),2,1,1895,fob
616,Tunisia (Regency of Tunis),3,4,1895,fob
625,Sudan (Anglo-Egyptian Sudan) (Mahdist State),4,1,1895,fob
630,Iran (Persia),6,1,1895,fob
640,Turkey (Ottoman Empire),6,1,1895,fob
651,Egypt Arab Republic (Egypt),6,1,1895,fob
670,Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah),4,1,1895,fob
681,Aden,4,1,1895,fob
698,Oman (Sultanate of Muscat and Oman),0,1,1895,fob
700,Afghanistan,6,2,1895,fob
710,People's Republic of China (China),5,1,1895,fob
720,Hong Kong,5,4,1895,fob
721,Macao,5,1,1895,fob
730,Korea (Chosen),5,1,1895,fob
740,Japan,5,1,1895,fob
750,India,7,1,1895,fob
751,French India,7,1,1895,fob
752,Portuguese India,0,3,1895,fob
780,Sri Lanka (Ceylon),7,1,1895,fob
781,Maldive Islands,7,1,1895,fob
800,Thailand (Siam),5,1,1895,fob
810,French Indochina,2,3,1895,fob
823,Sabah (North Borneo),5,1,1895,fob
824,Sarawak,5,1,1895,fob
827,Straits Settlements,5,1,1895,fob
835,Brunei,5,1,1895,fob
840,Philippines,1,3,1895,fob
850,Indonesia (Dutch East Indies),5,1,1895,fob
901,New South Wales,7,1,1895,fob
902,Western Australia,7,1,1895,fob
903,South Australia,7,1,1895,fob
904,Victoria,7,1,1895,fob
905,Queensland,7,1,1895,fob
906,Tasmania,7,1,1895,fob
911,Papua (British New Guinea),7,1,1895,fob
912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),3,1,1895,fob
920,New Zealand,7,1,1895,fob
930,New Caledonia,7,1,1895,fob
950,Fiji,7,1,1895,fob
960,French Polynesia,2,5,1895,fob
1029,St. Pierre and Miquelon,2,3,1895,fob
1032,Turks and Caicos Is.,0,1,1895,fob
1055,Windward Is.,8,5,1895,fob
1063,Leeward Is.,8,5,1895,fob
1163,Falkland Is.,0,1,1895,fob
2003,Channel Is.,0,1,1895,fob
4050,St. Helena,0,1,1895,fob
4070,Ascension I.,0,1,1895,fob
4361,Aïr,0,1,1895,fob
4781,Lagos,9,1,1895,fob
4782,Oil Rivers Protectorate,9,1,1895,fob
4783,Southern Nigeria (Niger Coast Protectorate),9,1,1895,fob
5200,Italian Somaliland,4,1,1895,fob
5801,Nossi Be,2,3,1895,fob
6067,Captaincy-general of north Africa,1,6,1895,fob
6802,Perim I.,4,1,1895,fob
8151,Cochin China,7,3,1895,fob
8152,Annam,2,3,1895,fob
8153,Tonkin,2,3,1895,fob
9002,Cocos (Keeling) Is.,0,1,1895,fob
9601,Society Is.,2,3,1895,fob
9900,Samoa,3,4,1895,fob
