id,label,blockLouvainTibi,blockLouvainProximity,blockIntraMax,year,cafFob
2,United States of America,1,1,4,1833,caf
4,Hawaii (Sandwich Is.),1,1,,1833,caf
5,Virgin Islands (Danish West Indies),1,1,4,1833,caf
6,Puerto Rico,1,1,1,1833,caf
21,Newfoundland and Labrador (Newfoundland),5,6,,1833,caf
40,Cuba,1,1,1,1833,caf
41,Haiti,1,1,5,1833,caf
51,Jamaica,1,1,,1833,caf
54,Dominica,4,5,2,1833,caf
56,St. Lucia,4,5,4,1833,caf
58,Antigua and Barbuda (Antigua),1,1,2,1833,caf
65,Guadeloupe,3,6,4,1833,caf
66,Martinique,3,6,4,1833,caf
68,Netherlands Antilles,2,2,3,1833,caf
70,Mexico,1,1,6,1833,caf
89,United States of Central America,1,1,4,1833,caf
100,Colombia (New Granada) (Gran Colombia),1,1,1,1833,caf
101,Venezuela,1,1,4,1833,caf
110,Guyana (British Guiana),1,1,4,1833,caf
120,French Guiana,3,6,4,1833,caf
135,Peru,1,1,1,1833,caf
140,Brazil,3,4,2,1833,caf
155,Chile,1,6,2,1833,caf
160,Argentina (La Plata),3,4,2,1833,caf
165,Uruguay,3,4,2,1833,caf
200,United Kingdom,4,5,2,1833,caf
210,Netherlands,2,2,3,1833,caf
211,Belgium,3,4,1,1833,caf
220,France,3,6,1,1833,caf
225,Switzerland,5,6,1,1833,caf
230,Spain,1,1,3,1833,caf
231,Gibraltar,1,1,1,1833,caf
235,Portugal,3,4,3,1833,caf
239,Prussia,2,2,2,1833,caf
240,Hanover,2,1,1,1833,caf
246,Bremen,3,4,3,1833,caf
248,Hamburg,2,1,1,1833,caf
257,Oldenburg,3,4,,1833,caf
280,Mecklenburg Schwerin,2,2,3,1833,caf
300,Austria-Hungary (Austrian Empire),5,6,1,1833,caf
324,Kingdom of Sardinia,5,6,1,1833,caf
327,Papal States,5,6,1,1833,caf
329,Two Sicilies,5,6,1,1833,caf
335,Parma,5,6,1,1833,caf
337,Tuscany,5,6,1,1833,caf
338,Malta,5,6,1,1833,caf
350,Greece,5,6,1,1833,caf
365,Russia (USSR),0,0,3,1833,caf
380,Sweden,2,2,3,1833,caf
385,Norway,2,2,3,1833,caf
390,Denmark,2,2,1,1833,caf
401,Madeira Isles,1,1,4,1833,caf
402,Cape Verde,1,1,4,1833,caf
433,Senegal,3,6,1,1833,caf
451,Sierra Leone,4,5,2,1833,caf
561,Cape Colony (Cape of Good Hope),4,5,1,1833,caf
585,Reunion (Bourbon I.),3,6,1,1833,caf
590,Mauritius,4,5,1,1833,caf
600,Morocco,4,5,1,1833,caf
615,Algeria (Regency of Algiers),5,6,1,1833,caf
616,Tunisia (Regency of Tunis),5,6,1,1833,caf
630,Iran (Persia),0,0,1,1833,caf
640,Turkey (Ottoman Empire),5,6,1,1833,caf
651,Egypt Arab Republic (Egypt),5,6,4,1833,caf
652,Syria,3,6,1,1833,caf
710,People's Republic of China (China),6,5,1,1833,caf
740,Japan,2,3,3,1833,caf
750,India,6,5,2,1833,caf
751,French India,6,5,4,1833,caf
752,Portuguese India,6,5,2,1833,caf
775,Myanmar (Burma),6,5,2,1833,caf
780,Sri Lanka (Ceylon),6,5,2,1833,caf
781,Maldive Islands,6,5,2,1833,caf
800,Thailand (Siam),2,3,3,1833,caf
815,Vietnam,2,3,1,1833,caf
840,Philippines,1,1,2,1833,caf
850,Indonesia (Dutch East Indies),2,3,3,1833,caf
901,New South Wales,4,5,2,1833,caf
902,Western Australia,4,5,2,1833,caf
1029,St. Pierre and Miquelon,3,6,4,1833,caf
1049,Tobago,4,5,2,1833,caf
1064,St. Barthelemy,1,1,4,1833,caf
1075,St. Kitts,1,1,2,1833,caf
2901,Congress Poland,0,0,2,1833,caf
2903,Cracow (Free City of Cracow),0,0,2,1833,caf
3349,Ionian Is.,5,6,1,1833,caf
6203,Tripolitania (Regency of Tripoli),5,6,1,1833,caf
7010,Kokand,0,0,3,1833,caf
7020,Bokhara,0,0,3,1833,caf
7030,Khiva,0,0,3,1833,caf
7504,Tranquebar,6,5,2,1833,caf
7693,Sindh,6,5,2,1833,caf
