id,label,blockLouvain,blockIntraMax,year,cafFob
2,United States of America,4,6,1875,fob
4,Hawaii (Sandwich Is.),0,4,1875,fob
5,Virgin Islands (Danish West Indies),5,1,1875,fob
6,Puerto Rico,4,6,1875,fob
10,Greenland,0,6,1875,fob
11,Faeroe Is.,0,4,1875,fob
20,Canada (Province of Canada),4,6,1875,fob
21,Newfoundland and Labrador (Newfoundland),4,6,1875,fob
30,Bermuda,5,7,1875,fob
31,Bahamas,1,1,1875,fob
40,Cuba,4,2,1875,fob
41,Haiti,5,1,1875,fob
42,Dominican Republic (Santo Domingo),4,1,1875,fob
51,Jamaica,5,4,1875,fob
65,Guadeloupe,3,6,1875,fob
66,Martinique,5,6,1875,fob
68,Netherlands Antilles,2,1,1875,fob
70,Mexico,4,12,1875,fob
80,Belize (British Honduras),7,6,1875,fob
90,Guatemala,7,6,1875,fob
91,Honduras,7,2,1875,fob
93,Nicaragua,7,6,1875,fob
94,Costa Rica,4,2,1875,fob
100,Colombia (New Granada) (Gran Colombia),4,1,1875,fob
101,Venezuela,5,6,1875,fob
110,Guyana (British Guiana),5,6,1875,fob
115,Surinam (Dutch Guiana),2,1,1875,fob
120,French Guiana,3,6,1875,fob
130,Ecuador,4,1,1875,fob
135,Peru,4,1,1875,fob
140,Brazil,4,6,1875,fob
145,Bolivia,4,6,1875,fob
150,Paraguay,4,6,1875,fob
155,Chile,4,6,1875,fob
160,Argentina (La Plata),4,1,1875,fob
165,Uruguay,4,6,1875,fob
200,United Kingdom,1,1,1875,fob
210,Netherlands,2,9,1875,fob
211,Belgium,1,9,1875,fob
212,Luxemburg,1,5,1875,fob
220,France,3,2,1875,fob
225,Switzerland,3,4,1875,fob
230,Spain,4,6,1875,fob
231,Gibraltar,3,2,1875,fob
235,Portugal,4,6,1875,fob
255,Germany (Zollverein),0,4,1875,fob
300,Austria-Hungary (Austrian Empire),3,4,1875,fob
325,Italy,3,4,1875,fob
338,Malta,3,2,1875,fob
350,Greece,3,2,1875,fob
360,Romania,1,1,1875,fob
365,Russia (USSR),0,4,1875,fob
380,Sweden,0,4,1875,fob
385,Norway,0,4,1875,fob
390,Denmark,0,4,1875,fob
395,Iceland,0,4,1875,fob
402,Cape Verde,1,1,1875,fob
411,Equatorial Guinea (Spanish Guinea),4,6,1875,fob
433,Senegal,8,5,1875,fob
450,Liberia,8,2,1875,fob
451,Sierra Leone,8,5,1875,fob
452,Ghana (Gold Coast),8,2,1875,fob
511,Zanzibar,1,5,1875,fob
530,Ethiopia (Abyssinia),1,1,1875,fob
540,Angola,1,1,1875,fob
541,Mozambique (Portuguese East Africa),1,1,1875,fob
561,Cape Colony (Cape of Good Hope),1,4,1875,fob
562,Natal,1,1,1875,fob
580,Madagascar (Malagasy Republic),6,1,1875,fob
585,Reunion (Bourbon I.),6,1,1875,fob
590,Mauritius,6,1,1875,fob
600,Morocco,3,2,1875,fob
615,Algeria (Regency of Algiers),3,2,1875,fob
616,Tunisia (Regency of Tunis),3,2,1875,fob
630,Iran (Persia),0,11,1875,fob
640,Turkey (Ottoman Empire),3,4,1875,fob
651,Egypt Arab Republic (Egypt),3,9,1875,fob
681,Aden,6,1,1875,fob
698,Oman (Sultanate of Muscat and Oman),6,1,1875,fob
710,People's Republic of China (China),6,1,1875,fob
720,Hong Kong,6,1,1875,fob
740,Japan,6,1,1875,fob
750,India,6,1,1875,fob
751,French India,6,6,1875,fob
752,Portuguese India,1,1,1875,fob
775,Myanmar (Burma),1,1,1875,fob
780,Sri Lanka (Ceylon),6,1,1875,fob
781,Maldive Islands,6,1,1875,fob
800,Thailand (Siam),2,2,1875,fob
824,Sarawak,2,1,1875,fob
827,Straits Settlements,2,1,1875,fob
840,Philippines,4,4,1875,fob
850,Indonesia (Dutch East Indies),2,1,1875,fob
901,New South Wales,6,1,1875,fob
902,Western Australia,6,1,1875,fob
903,South Australia,6,1,1875,fob
904,Victoria,6,1,1875,fob
905,Queensland,6,1,1875,fob
906,Tasmania,6,1,1875,fob
920,New Zealand,6,1,1875,fob
930,New Caledonia,6,6,1875,fob
950,Fiji,6,1,1875,fob
1029,St. Pierre and Miquelon,3,6,1875,fob
1032,Turks and Caicos Is.,5,7,1875,fob
1048,Trinidad,5,7,1875,fob
1055,Windward Is.,5,7,1875,fob
1063,Leeward Is.,5,1,1875,fob
1163,Falkland Is.,4,6,1875,fob
2003,Channel Is.,1,1,1875,fob
2249,Heligoland,1,6,1875,fob
4050,St. Helena,1,1,1875,fob
4070,Ascension I.,1,1,1875,fob
6067,Captaincy-general of north Africa,4,2,1875,fob
8151,Cochin China,6,2,1875,fob
8231,Labuan I.,2,1,1875,fob
