"key";"source";"source_nom";"target";"target_nom";"distance_km";"premiere_annee";"derniere_annee";"n_annees";"conttype"
"366-7588";"7588";"Baluchistan (Kalat)";"366";"Estonia";4533,09478084861;1923;1937;6;NA
"3343-460";"3343";"Fiume";"460";"German Togoland";4533,18808905684;1919;1921;2;NA
"4781-563";"4781";"Lagos";"563";"Transvaal (South African Republic)";4534,22490680828;1889;1906;18;NA
"4783-563";"4783";"Southern Nigeria (Niger Coast Protectorate)";"563";"Transvaal (South African Republic)";4534,22490680828;1893;1910;18;NA
"411-5801";"5801";"Nossi Be";"411";"Equatorial Guinea (Spanish Guinea)";4534,63711674844;1884;1890;7;NA
"3504-490";"3504";"Samos";"490";"Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)";4534,78729536458;1886;1913;24;NA
"4070-600";"4070";"Ascension I.";"600";"Morocco";4534,93321228047;1838;1922;81;NA
"225-4347";"4347";"Cotonou";"225";"Switzerland";4535,18315623918;1885;1892;5;NA
"10210-1055";"10210";"Labrador";"1055";"Windward Is.";4536,81415053907;1876;1900;11;NA
"355-4792";"4792";"Old Calabar (Efik)";"355";"Bulgaria";4536,90136340915;1884;1884;1;NA
"4361-630";"4361";"Aïr";"630";"Iran (Persia)";4538,30501406641;1891;1900;10;NA
"541-9973";"9973";"Kerguelen Is.";"541";"Mozambique (Portuguese East Africa)";4538,74074094963;1912;1928;11;NA
"2003-434";"2003";"Channel Is.";"434";"Benin (Dahomey)";4538,87139569955;1894;1899;6;NA
"8560-904";"8560";"Ternate";"904";"Victoria";4539,06819658085;1853;1853;1;NA
"225-4345";"4345";"Ouidah";"225";"Switzerland";4539,21295454138;1886;1886;1;NA
"339-6800";"6800";"Socotra I.";"339";"Albania";4540,52055346541;1930;1938;8;NA
"1029-600";"1029";"St. Pierre and Miquelon";"600";"Morocco";4540,91473280324;1833;1938;102;NA
"310-7588";"7588";"Baluchistan (Kalat)";"310";"Hungary";4541,33729243123;1923;1937;6;NA
"235-3386";"3386";"Svalbard Is.";"235";"Portugal";4541,41256098673;1925;1938;14;NA
"1029-3386";"3386";"Svalbard Is.";"1029";"St. Pierre and Miquelon";4541,52883448062;1925;1938;14;NA
"1024-110";"1024";"Prince Edward Is.";"110";"Guyana (British Guiana)";4542,39067378702;1842;1873;32;NA
"1029-246";"1029";"St. Pierre and Miquelon";"246";"Bremen";4543,07780067371;1833;1867;35;NA
"9321-9810";"9810";"Caroline Is.";"9321";"Wallis and Futuna Is.";4543,21959723628;1914;1926;8;NA
"10210-230";"10210";"Labrador";"230";"Spain";4544,11993211793;1876;1900;11;NA
"3349-4338";"4338";"Goree";"3349";"Ionian Is.";4544,32088323939;1854;1859;4;NA
"1048-70";"1048";"Trinidad";"70";"Mexico";4544,92165098106;1855;1889;35;NA
"451-5651";"5651";"Walvis Bay";"451";"Sierra Leone";4545,16290284186;1878;1884;7;NA
"4348-541";"4348";"Porto Novo";"541";"Mozambique (Portuguese East Africa)";4545,61828345494;1863;1866;3;NA
"2003-461";"2003";"Channel Is.";"461";"Togo (French Togoland)";4546,23689123517;1922;1938;17;NA
"572-6802";"6802";"Perim I.";"572";"Eswatini (Swaziland)";4546,39170678136;1909;1937;29;NA
"211-4784";"4784";"Northern Nigeria (British Nigeria)";"211";"Belgium";4548,44990806378;1902;1913;9;NA
"4782-670";"4782";"Oil Rivers Protectorate";"670";"Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah)";4548,96716340969;1892;1899;8;NA
"338-5403";"5403";"Cabinda (Portuguese Congo)";"338";"Malta";4549,04416310038;1912;1938;24;NA
"10210-53";"10210";"Labrador";"53";"Barbados";4550,26559042024;1888;1900;5;NA
"4050-512";"4050";"St. Helena";"512";"Tanzania (Tanganyika)";4550,27511780558;1916;1938;21;NA
"5403-600";"5403";"Cabinda (Portuguese Congo)";"600";"Morocco";4550,49714707608;1912;1938;24;NA
"4-9321";"9321";"Wallis and Futuna Is.";"4";"Hawaii (Sandwich Is.)";4550,72682889637;1914;1933;19;NA
"4347-6802";"6802";"Perim I.";"4347";"Cotonou";4550,79037908333;1892;1892;1;NA
"471-6800";"6800";"Socotra I.";"471";"Cameroun (French Cameroon)";4551,47231666975;1930;1938;8;NA
"225-4344";"4344";"Grand Popo";"225";"Switzerland";4551,59331492248;1885;1885;1;NA
"3343-6802";"6802";"Perim I.";"3343";"Fiume";4553,14847355662;1919;1924;5;NA
