"key";"source";"source_nom";"target";"target_nom";"distance_km";"premiere_annee";"derniere_annee";"n_annees";"conttype"
"501-5011";"5011";"Kenya Protectorate";"501";"Kenya (British East Africa Protectorate)";0,701469056876812;1928;1928;1;NA
"810-8153";"8153";"Tonkin";"810";"French Indochina";1,34488031709961;1892;1900;9;NA
"581-5814";"5814";"Moheli";"581";"Comoros";4,07252464296248;1902;1903;2;NA
"1062-1073";"1073";"Sint Maarten";"1062";"Anguilla";21,829878166137;2010;2025;16;NA
"231-6067";"6067";"Captaincy-general of north Africa";"231";"Gibraltar";28,0779480481365;1860;1913;52;NA
"960-9601";"9601";"Society Is.";"960";"French Polynesia";28,5508323196344;1883;1903;16;NA
"6030-6067";"6067";"Captaincy-general of north Africa";"6030";"Tetuan";36,0088102059981;1860;1862;3;NA
"4345-4347";"4347";"Cotonou";"4345";"Ouidah";36,8776457186084;1886;1886;1;NA
"1081-93";"1081";"Mosquito Coast";"93";"Nicaragua";54,6679350823411;1867;1867;1;NA
"231-6030";"6030";"Tetuan";"231";"Gibraltar";63,8408875663958;1860;1862;3;NA
"1064-1075";"1075";"St. Kitts";"1064";"St. Barthelemy";65,0024453794119;1833;1833;1;NA
"4344-4347";"4347";"Cotonou";"4344";"Grand Popo";65,2043574755304;1885;1885;1;NA
"4344-460";"4344";"Grand Popo";"460";"German Togoland";71,5291857666867;1885;1885;1;NA
"2248-276";"2248";"Holstein";"276";"Lübeck";74,43613840419;1844;1867;15;NA
"5813-5814";"5814";"Moheli";"5813";"Anjouan";76,0847550975371;1902;1903;2;NA
"212-2556";"2556";"Rhineland";"212";"Luxemburg";76,9182999030904;1920;1920;1;NA
"581-5813";"5813";"Anjouan";"581";"Comoros";79,4323460768807;1902;1903;2;NA
"640-6402";"6402";"Western Anatolia";"640";"Turkey (Ottoman Empire)";86,511057822634;1918;1923;6;NA
"4341-4345";"4345";"Ouidah";"4341";"Old Dahomey";91,7646967804098;1886;1886;1;NA
"1075-58";"1075";"St. Kitts";"58";"Antigua and Barbuda (Antigua)";98,0433125634545;1833;1833;1;NA
"4345-460";"4345";"Ouidah";"460";"German Togoland";99,731405362647;1886;1886;1;NA
"2556-256";"2556";"Rhineland";"256";"Saar";100,177630450234;1920;1920;1;NA
"4341-4344";"4344";"Grand Popo";"4341";"Old Dahomey";101,881006098071;1885;1885;1;NA
"4341-4347";"4347";"Cotonou";"4341";"Old Dahomey";102,735633485861;1885;1892;4;NA
"2247-390";"2247";"Schleswig";"390";"Denmark";104,07717212832;1845;1867;13;NA
"1058-1064";"1064";"St. Barthelemy";"1058";"Barbuda";112,305342648594;1856;1859;4;NA
"2247-2248";"2248";"Holstein";"2247";"Schleswig";114,501779331178;1845;1867;13;NA
"2248-2249";"2249";"Heligoland";"2248";"Holstein";116,080796309784;1844;1867;15;NA
"2249-257";"2249";"Heligoland";"257";"Oldenburg";117,631523273066;1841;1867;25;NA
"8223-8225";"8225";"Trengganu";"8223";"Kelantan";124,079904482061;1910;1910;1;NA
"602-6067";"6067";"Captaincy-general of north Africa";"602";"Spanish Morocco";124,097248805228;1913;1913;1;NA
"2248-280";"2248";"Holstein";"280";"Mecklenburg Schwerin";129,222905188814;1844;1867;15;NA
"2248-246";"2248";"Holstein";"246";"Bremen";130,477757468726;1844;1867;15;NA
"4341-460";"4341";"Old Dahomey";"460";"German Togoland";134,850598481554;1885;1892;3;NA
"1064-58";"1064";"St. Barthelemy";"58";"Antigua and Barbuda (Antigua)";135,933188116801;1833;1833;1;NA
"4347-460";"4347";"Cotonou";"460";"German Togoland";136,461599736589;1885;1892;3;NA
"5201-530";"5201";"Italian East Africa";"530";"Ethiopia (Abyssinia)";136,670920369269;1936;1936;1;NA
"2247-2249";"2249";"Heligoland";"2247";"Schleswig";140,41933071826;1845;1867;13;NA
"522-6802";"6802";"Perim I.";"522";"Djibouti (Afar and Issas) (French Somaliland)";143,877990208557;1892;1937;46;NA
"2248-257";"2248";"Holstein";"257";"Oldenburg";148,821820357165;1844;1867;15;NA
"1058-65";"1058";"Barbuda";"65";"Guadeloupe";155,956033417897;1856;1859;4;NA
"1022-1024";"1024";"Prince Edward Is.";"1022";"Nova Scotia";156,620918591348;1842;1867;26;NA
"211-2556";"2556";"Rhineland";"211";"Belgium";160,586355037338;1920;1920;1;NA
"821-8218";"8218";"Manjung (Dindings)";"821";"Federated Malay States";163,064209820114;1910;1910;1;NA
"2247-276";"2247";"Schleswig";"276";"Lübeck";171,625800696754;1845;1867;13;NA
"1075-65";"1075";"St. Kitts";"65";"Guadeloupe";172,987088088504;1833;1833;1;NA
"10210-21";"10210";"Labrador";"21";"Newfoundland and Labrador (Newfoundland)";172,991024760872;1876;1900;11;NA
"752-8221";"8221";"Johore";"752";"Portuguese India";173,921610185331;1899;1923;25;NA
"4341-4783";"4783";"Southern Nigeria (Niger Coast Protectorate)";"4341";"Old Dahomey";176,240404777966;1893;1894;2;NA
"434-4341";"4341";"Old Dahomey";"434";"Benin (Dahomey)";184,688460535648;1894;1894;1;NA
"2249-276";"2249";"Heligoland";"276";"Lübeck";186,433896215176;1841;1867;25;NA
"7104-7105";"7105";"Weihaiwei";"7104";"Kwangtung Territory";188,032349389418;1906;1930;25;NA
"3363-368";"3363";"Memel";"368";"Lithuania";189,613967409928;1920;1920;1;NA
"8218-8223";"8223";"Kelantan";"8218";"Manjung (Dindings)";191,129471382073;1910;1910;1;NA
"823-8231";"8231";"Labuan I.";"823";"Sabah (North Borneo)";197,387932804031;1885;1889;5;NA
"2248-240";"2248";"Holstein";"240";"Hanover";199,570422191012;1844;1866;14;NA
"8222-8223";"8223";"Kelantan";"8222";"Kedah";206,033381492533;1910;1910;1;NA
"327-3271";"3271";"Ancona";"327";"Papal States";209,533057907548;1838;1839;2;NA
"5011-511";"5011";"Kenya Protectorate";"511";"Zanzibar";210,6078105415;1928;1928;1;NA
"752-8532";"8532";"Riau";"752";"Portuguese India";210,963374279269;1838;1840;3;NA
"678-6811";"6811";"West Aden Protectorate";"678";"Yemen Arab Republic (North Yemen) (Kingdom of Yemen)";212,207616268394;1937;1938;2;NA
"1023-1024";"1024";"Prince Edward Is.";"1023";"New Brunswick";215,696779641684;1842;1867;26;NA
"1064-5";"1064";"St. Barthelemy";"5";"Virgin Islands (Danish West Indies)";216,992589227664;1833;1878;42;NA
"2248-244";"2248";"Holstein";"244";"Brunswick";218,771182899029;1847;1867;2;NA
"8218-8222";"8222";"Kedah";"8218";"Manjung (Dindings)";218,84538008083;1910;1910;1;NA
"291-3363";"3363";"Memel";"291";"Danzig (Free City of Danzig)";219,333848117159;1920;1920;1;NA
"2247-280";"2247";"Schleswig";"280";"Mecklenburg Schwerin";220,994512234995;1845;1867;13;NA
"6401-6402";"6402";"Western Anatolia";"6401";"Cilicia";224,555614265618;1919;1921;3;NA
"7105-7120";"7120";"Kiauchau";"7105";"Weihaiwei";225,381395858277;1905;1913;9;NA
"1064-65";"1064";"St. Barthelemy";"65";"Guadeloupe";227,215742960981;1833;1878;42;NA
"821-8225";"8225";"Trengganu";"821";"Federated Malay States";228,431129841947;1909;1910;2;NA
"821-8223";"8223";"Kelantan";"821";"Federated Malay States";235,059934979786;1910;1910;1;NA
"2247-257";"2247";"Schleswig";"257";"Oldenburg";235,079116362254;1845;1867;13;NA
"255-2556";"2556";"Rhineland";"255";"Germany (Zollverein)";235,770763477519;1920;1920;1;NA
"2249-240";"2249";"Heligoland";"240";"Hanover";236,048678403758;1841;1866;24;NA
"640-6401";"6401";"Cilicia";"640";"Turkey (Ottoman Empire)";237,218977882463;1919;1921;3;NA
"2249-280";"2249";"Heligoland";"280";"Mecklenburg Schwerin";239,480907425985;1841;1867;25;NA
"1044-41";"1044";"Navassa I.";"41";"Haiti";242,5885071646;1916;1917;2;NA
"2249-390";"2249";"Heligoland";"390";"Denmark";243,046055770234;1841;1889;42;NA
"210-2556";"2556";"Rhineland";"210";"Netherlands";244,689830841949;1920;1920;1;NA
"460-4783";"4783";"Southern Nigeria (Niger Coast Protectorate)";"460";"German Togoland";245,633627066103;1902;1913;12;NA
"1075-5";"1075";"St. Kitts";"5";"Virgin Islands (Danish West Indies)";248,200965930956;1833;1833;1;NA
"811-8151";"8151";"Cochin China";"811";"Cambodia (Kampuchea)";252,23805730412;1907;1929;21;NA
"1058-54";"1058";"Barbuda";"54";"Dominica";252,673142184431;1856;1859;4;NA
"1081-91";"1081";"Mosquito Coast";"91";"Honduras";253,142233764132;1865;1867;2;NA
"1075-54";"1075";"St. Kitts";"54";"Dominica";260,15725660491;1833;1833;1;NA
"8218-8225";"8225";"Trengganu";"8218";"Manjung (Dindings)";268,325375920448;1910;1910;1;NA
"6802-6811";"6811";"West Aden Protectorate";"6802";"Perim I.";275,700744011847;1937;1937;1;NA
"2249-244";"2249";"Heligoland";"244";"Brunswick";276,042953007392;1847;1867;2;NA
"3271-335";"3271";"Ancona";"335";"Parma";286,55917330719;1838;1838;1;NA
"1022-1023";"1023";"New Brunswick";"1022";"Nova Scotia";293,103455063067;1842;1867;26;NA
"752-8225";"8225";"Trengganu";"752";"Portuguese India";293,190001615635;1909;1910;2;NA
"752-8218";"8218";"Manjung (Dindings)";"752";"Portuguese India";294,02904042303;1910;1910;1;NA
"821-8221";"8221";"Johore";"821";"Federated Malay States";297,055221029713;1899;1923;25;NA
"434-4783";"4783";"Southern Nigeria (Niger Coast Protectorate)";"434";"Benin (Dahomey)";297,332628932103;1894;1899;6;NA
"305-3343";"3343";"Fiume";"305";"Austria";298,690561903014;1919;1924;5;NA
"2248-239";"2248";"Holstein";"239";"Prussia";307,720927866103;1844;1867;15;NA
"404-4383";"4383";"Loos Is.";"404";"Guinea-Bissau (Portuguese Guinea)";311,701172722352;1897;1904;8;NA
"678-6802";"6802";"Perim I.";"678";"Yemen Arab Republic (North Yemen) (Kingdom of Yemen)";311,77910226402;1918;1937;20;NA
"2247-240";"2247";"Schleswig";"240";"Hanover";312,484522197001;1845;1866;12;NA
"3504-351";"3504";"Samos";"351";"Crete";322,325709513569;1900;1913;14;NA
"480-5403";"5403";"Cabinda (Portuguese Congo)";"480";"French Equatorial Africa";327,880177161697;1912;1938;24;NA
"1058-5";"1058";"Barbuda";"5";"Virgin Islands (Danish West Indies)";329,275132252899;1856;1859;4;NA
"8222-8225";"8225";"Trengganu";"8222";"Kedah";330,074995283507;1910;1910;1;NA
"2903-300";"2903";"Cracow (Free City of Cracow)";"300";"Austria-Hungary (Austrian Empire)";332,028385634876;1833;1843;3;NA
"2247-244";"2247";"Schleswig";"244";"Brunswick";333,22468639946;1847;1867;2;NA
"433-4338";"4338";"Goree";"433";"Senegal";337,346743356468;1854;1859;4;NA
"7110-721";"7110";"Kwanchowan";"721";"Macao";341,858744607846;1898;1938;13;NA
"210-2248";"2248";"Holstein";"210";"Netherlands";342,871794890511;1844;1867;15;NA
"752-8223";"8223";"Kelantan";"752";"Portuguese India";343,426336503747;1910;1910;1;NA
"1058-66";"1058";"Barbuda";"66";"Martinique";343,526409996888;1856;1859;4;NA
"1073-54";"1073";"Sint Maarten";"54";"Dominica";344,879065992535;2010;2025;16;NA
"350-3504";"3504";"Samos";"350";"Greece";345,883688626004;1879;1913;31;NA
"1075-66";"1075";"St. Kitts";"66";"Martinique";350,255316726563;1833;1833;1;NA
"325-3343";"3343";"Fiume";"325";"Italy";351,419594653419;1919;1924;5;NA
"2248-255";"2248";"Holstein";"255";"Germany (Zollverein)";353,234560339061;1867;1867;1;NA
"4782-4783";"4783";"Southern Nigeria (Niger Coast Protectorate)";"4782";"Oil Rivers Protectorate";356,732115900019;1893;1899;7;NA
"821-8222";"8222";"Kedah";"821";"Federated Malay States";362,236555144449;1910;1910;1;NA
"7104-7120";"7120";"Kiauchau";"7104";"Kwangtung Territory";363,794391266021;1906;1913;8;NA
"3361-3362";"3362";"Wallachia";"3361";"Moldavia";365,56751025697;1845;1858;4;NA
"4344-452";"4344";"Grand Popo";"452";"Ghana (Gold Coast)";365,835016901585;1885;1885;1;NA
"6401-652";"6401";"Cilicia";"652";"Syria";368,45052942259;1919;1921;3;NA
"8221-8225";"8225";"Trengganu";"8221";"Johore";373,441332074751;1909;1910;2;NA
"1049-66";"1049";"Tobago";"66";"Martinique";380,363940132981;1833;1833;1;NA
"4345-452";"4345";"Ouidah";"452";"Ghana (Gold Coast)";385,557342487311;1886;1886;1;NA
"7020-7030";"7030";"Khiva";"7020";"Bokhara";387,215384474299;1833;1867;32;NA
"1064-6";"1064";"St. Barthelemy";"6";"Puerto Rico";389,904703184033;1833;1878;42;NA
"1081-94";"1081";"Mosquito Coast";"94";"Costa Rica";394,698960587325;1867;1867;1;NA
"8231-824";"8231";"Labuan I.";"824";"Sarawak";397,406029748735;1870;1884;15;NA
"310-3343";"3343";"Fiume";"310";"Hungary";397,875212707556;1919;1924;5;NA
"210-2247";"2247";"Schleswig";"210";"Netherlands";399,875538801659;1845;1867;13;NA
"225-2556";"2556";"Rhineland";"225";"Switzerland";400,170688989995;1920;1920;1;NA
"2247-239";"2247";"Schleswig";"239";"Prussia";400,592087113487;1845;1867;13;NA
"600-6030";"6030";"Tetuan";"600";"Morocco";401,337098346672;1860;1862;3;NA
"2249-239";"2249";"Heligoland";"239";"Prussia";409,637409578745;1841;1871;29;NA
"1064-66";"1064";"St. Barthelemy";"66";"Martinique";410,47224609789;1833;1878;42;NA
"1075-6";"1075";"St. Kitts";"6";"Puerto Rico";411,039573818177;1833;1833;1;NA
"522-6811";"6811";"West Aden Protectorate";"522";"Djibouti (Afar and Issas) (French Somaliland)";418,388368195455;1937;1938;2;NA
"2003-220";"2003";"Channel Is.";"220";"France";420,934263150007;1836;1938;99;NA
"501-5109";"5109";"Mafia I.";"501";"Kenya (British East Africa Protectorate)";423,211168195819;1915;1919;3;NA
"223-3343";"3343";"Fiume";"223";"Liechtenstein";426,285501227694;1922;1924;3;NA
"411-4792";"4792";"Old Calabar (Efik)";"411";"Equatorial Guinea (Spanish Guinea)";427,186726574477;1884;1884;1;NA
"2248-269";"2248";"Holstein";"269";"Saxony";429,397155832028;1847;1867;4;NA
"1033-1087";"1087";"Swan Is.";"1033";"Cayman Is.";429,701100860813;1930;1930;1;NA
"3551-360";"3551";"Eastern Rumelia";"360";"Romania";429,790999711136;1882;1884;3;NA
"7105-730";"7105";"Weihaiwei";"730";"Korea (Chosen)";430,572641880489;1905;1930;26;NA
"350-3551";"3551";"Eastern Rumelia";"350";"Greece";431,85458115171;1882;1884;3;NA
"1075-68";"1075";"St. Kitts";"68";"Netherlands Antilles";433,14899424954;1833;1833;1;NA
"4348-452";"4348";"Porto Novo";"452";"Ghana (Gold Coast)";433,713370658827;1863;1866;3;NA
"5801-5803";"5803";"St. Marie de Madagascar";"5801";"Nossi Be";435,929868280953;1884;1892;5;NA
"290-3363";"3363";"Memel";"290";"Poland";436,346477661845;1920;1920;1;NA
"600-6067";"6067";"Captaincy-general of north Africa";"600";"Morocco";437,306552499306;1860;1913;52;NA
"1087-91";"1087";"Swan Is.";"91";"Honduras";437,586588776845;1930;1930;1;NA
"700-7588";"7588";"Baluchistan (Kalat)";"700";"Afghanistan";445,965923781058;1923;1937;6;NA
"1065-68";"1065";"Curacao";"68";"Netherlands Antilles";449,987982427322;2009;2020;3;NA
"211-2249";"2249";"Heligoland";"211";"Belgium";450,597379346755;1841;1889;42;NA
"823-8401";"8401";"Sulu Sultanate";"823";"Sabah (North Borneo)";452,223813923148;1903;1915;12;NA
"4347-4782";"4782";"Oil Rivers Protectorate";"4347";"Cotonou";454,745859665004;1885;1892;5;NA
"342-3551";"3551";"Eastern Rumelia";"342";"Kingdom of Serbia";456,024866949217;1882;1884;3;NA
"2248-247";"2248";"Holstein";"247";"Frankfurt";456,497597052207;1846;1850;5;NA
"2249-247";"2249";"Heligoland";"247";"Frankfurt";456,535994829583;1846;1850;5;NA
"341-3551";"3551";"Eastern Rumelia";"341";"Montenegro";459,55503106424;1882;1884;3;NA
"8218-8221";"8221";"Johore";"8218";"Manjung (Dindings)";459,616867812206;1910;1910;1;NA
"1073-68";"1073";"Sint Maarten";"68";"Netherlands Antilles";460,239641650536;2010;2020;2;NA
"580-5803";"5803";"St. Marie de Madagascar";"580";"Madagascar (Malagasy Republic)";461,339038245778;1884;1892;5;NA
"235-6067";"6067";"Captaincy-general of north Africa";"235";"Portugal";463,178995964574;1860;1913;52;NA
"8221-8223";"8223";"Kelantan";"8221";"Johore";463,265008467608;1910;1910;1;NA
"2247-255";"2247";"Schleswig";"255";"Germany (Zollverein)";466,526759622458;1867;1867;1;NA
"1064-68";"1064";"St. Barthelemy";"68";"Netherlands Antilles";467,178802240335;1833;1878;42;NA
"3363-366";"3363";"Memel";"366";"Estonia";468,014761992336;1920;1920;1;NA
"1049-54";"1049";"Tobago";"54";"Dominica";469,410458146822;1833;1833;1;NA
"521-6811";"6811";"West Aden Protectorate";"521";"Somaliland Republic (British Somaliland)";470,446526261108;1937;1938;2;NA
"7110-8153";"8153";"Tonkin";"7110";"Kwanchowan";475,614434386853;1898;1898;1;NA
"352-6402";"6402";"Western Anatolia";"352";"Cyprus";479,428875022967;1918;1923;6;NA
"4783-4784";"4784";"Northern Nigeria (British Nigeria)";"4783";"Southern Nigeria (Niger Coast Protectorate)";480,504097288796;1902;1913;9;NA
"235-6030";"6030";"Tetuan";"235";"Portugal";486,107045356198;1860;1862;3;NA
"7104-730";"7104";"Kwangtung Territory";"730";"Korea (Chosen)";489,118767899409;1906;1938;33;NA
"4345-4782";"4782";"Oil Rivers Protectorate";"4345";"Ouidah";489,955344270438;1886;1886;1;NA
"752-8222";"8222";"Kedah";"752";"Portuguese India";492,62158371388;1910;1910;1;NA
"1055-1058";"1058";"Barbuda";"1055";"Windward Is.";493,053635590025;1856;1859;4;NA
"860-9008";"9008";"Ashmore and Cartier Is";"860";"East Timor (Portuguese Timor)";497,093659606384;1914;1914;1;NA
"1058-6";"1058";"Barbuda";"6";"Puerto Rico";501,294432205873;1856;1859;4;NA
"1032-1044";"1044";"Navassa I.";"1032";"Turks and Caicos Is.";504,08283941561;1916;1917;2;NA
"1087-93";"1087";"Swan Is.";"93";"Nicaragua";504,445610272681;1930;1930;1;NA
"212-2249";"2249";"Heligoland";"212";"Luxemburg";505,686404557159;1841;1889;42;NA
"225-3343";"3343";"Fiume";"225";"Switzerland";505,816789854024;1919;1924;5;NA
"5801-581";"5801";"Nossi Be";"581";"Comoros";508,499799811429;1887;1896;10;NA
"1087-80";"1087";"Swan Is.";"80";"Belize (British Honduras)";509,42406287327;1930;1930;1;NA
"1044-42";"1044";"Navassa I.";"42";"Dominican Republic (Santo Domingo)";509,655857987465;1916;1917;2;NA
"2249-269";"2249";"Heligoland";"269";"Saxony";509,951059593219;1847;1867;4;NA
"220-2556";"2556";"Rhineland";"220";"France";510,597263948737;1920;1920;1;NA
"9201-990";"9201";"Tokelau Is.";"990";"Samoa (Western Samoa) (German Samoa)";511,37723777418;1912;1914;2;NA
"4344-4782";"4782";"Oil Rivers Protectorate";"4344";"Grand Popo";514,082375818398;1885;1885;1;NA
"211-2248";"2248";"Holstein";"211";"Belgium";518,662982124331;1844;1867;15;NA
"2003-211";"2003";"Channel Is.";"211";"Belgium";519,373997608078;1836;1938;99;NA
"3504-3551";"3551";"Eastern Rumelia";"3504";"Samos";520,363242102747;1882;1884;3;NA
"1161-160";"1161";"Buenos Aires";"160";"Argentina (La Plata)";520,866716929661;1852;1860;9;NA
"6402-652";"6402";"Western Anatolia";"652";"Syria";527,694221738484;1918;1923;6;NA
"1024-1029";"1029";"St. Pierre and Miquelon";"1024";"Prince Edward Is.";529,710963607425;1842;1873;32;NA
"239-2903";"2903";"Cracow (Free City of Cracow)";"239";"Prussia";531,485371986893;1833;1843;3;NA
"403-4782";"4782";"Oil Rivers Protectorate";"403";"Sao Tome-Principe";532,406570982168;1885;1899;15;NA
"4341-4782";"4782";"Oil Rivers Protectorate";"4341";"Old Dahomey";532,828890258098;1885;1894;9;NA
"1058-68";"1058";"Barbuda";"68";"Netherlands Antilles";535,437137337042;1856;1859;4;NA
"9253-991";"9253";"Niue I.";"991";"American Samoa";535,903874947957;1930;1937;2;NA
"2247-269";"2247";"Schleswig";"269";"Saxony";536,257072281228;1847;1867;4;NA
"2556-315";"2556";"Rhineland";"315";"Czechoslovakia";538,834032656269;1920;1920;1;NA
"225-3271";"3271";"Ancona";"225";"Switzerland";544,98700217082;1838;1839;2;NA
"269-2901";"2901";"Congress Poland";"269";"Saxony";545,638045434331;1847;1847;1;NA
"212-2248";"2248";"Holstein";"212";"Luxemburg";546,078731560721;1844;1867;15;NA
"750-7504";"7504";"Tranquebar";"750";"India";548,096884097281;1833;1840;8;NA
"4383-450";"4383";"Loos Is.";"450";"Liberia";552,367475612752;1897;1904;8;NA
"530-6802";"6802";"Perim I.";"530";"Ethiopia (Abyssinia)";553,003134807096;1892;1936;45;NA
"6401-665";"6401";"Cilicia";"665";"Palestine";555,055633746041;1919;1921;3;NA
"1022-1029";"1029";"St. Pierre and Miquelon";"1022";"Nova Scotia";557,956149945438;1837;1867;27;NA
"7010-7020";"7020";"Bokhara";"7010";"Kokand";560,42307225262;1833;1867;35;NA
"2247-247";"2247";"Schleswig";"247";"Frankfurt";564,143853913221;1846;1850;4;NA
"912-9830";"9830";"Bismarck Archipelago (New Britain) (Neupommern)";"912";"New Guinea (German New Guinea) (Kaiser Wilhelmsland)";565,567601871559;1914;1918;5;NA
"1049-65";"1049";"Tobago";"65";"Guadeloupe";565,955701497835;1833;1833;1;NA
"3504-355";"3504";"Samos";"355";"Bulgaria";567,98533094709;1879;1913;31;NA
"5109-512";"5109";"Mafia I.";"512";"Tanzania (Tanganyika)";570,990986097034;1919;1919;1;NA
"411-4782";"4782";"Oil Rivers Protectorate";"411";"Equatorial Guinea (Spanish Guinea)";572,08319109399;1885;1899;7;NA
"8152-8153";"8153";"Tonkin";"8152";"Annam";573,286216272705;1892;1900;9;NA
"810-8152";"8152";"Annam";"810";"French Indochina";573,857085044768;1892;1900;9;NA
"2556-305";"2556";"Rhineland";"305";"Austria";578,111342462313;1920;1920;1;NA
"2248-245";"2248";"Holstein";"245";"Bavaria";578,680139456356;1847;1867;2;NA
"460-4782";"4782";"Oil Rivers Protectorate";"460";"German Togoland";583,261190847902;1885;1892;3;NA
"9201-991";"9201";"Tokelau Is.";"991";"American Samoa";584,003435522097;1914;1914;1;NA
"221-3343";"3343";"Fiume";"221";"Monaco";584,192759996234;1919;1919;1;NA
"346-3551";"3551";"Eastern Rumelia";"346";"Bosnia-Herzegovina";586,220784288014;1882;1884;3;NA
"211-2247";"2247";"Schleswig";"211";"Belgium";590,002066206894;1845;1867;13;NA
"5011-512";"5011";"Kenya Protectorate";"512";"Tanzania (Tanganyika)";590,043056487595;1928;1928;1;NA
"1033-1044";"1044";"Navassa I.";"1033";"Cayman Is.";590,480371876394;1916;1917;2;NA
"1027-1028";"1028";"Vancouver";"1027";"British Columbia";590,916632729893;1865;1866;2;NA
"7104-711";"7104";"Kwangtung Territory";"711";"Manchukuo";603,210219969547;1932;1938;7;NA
"2003-212";"2003";"Channel Is.";"212";"Luxemburg";612,659744736536;1841;1938;93;NA
"7110-8152";"8152";"Annam";"7110";"Kwanchowan";613,412928697924;1898;1898;1;NA
"1044-40";"1044";"Navassa I.";"40";"Cuba";616,460961888863;1916;1917;2;NA
"2249-245";"2249";"Heligoland";"245";"Bavaria";617,310983953343;1847;1871;6;NA
"434-4782";"4782";"Oil Rivers Protectorate";"434";"Benin (Dahomey)";618,147400462052;1894;1899;6;NA
"7506-751";"7506";"Hyderabad";"751";"French India";620,766101231613;1867;1904;3;NA
"7120-730";"7120";"Kiauchau";"730";"Korea (Chosen)";621,036182362421;1898;1913;16;NA
"1081-90";"1081";"Mosquito Coast";"90";"Guatemala";628,77416727573;1865;1867;2;NA
"3504-352";"3504";"Samos";"352";"Cyprus";631,626532049308;1879;1913;31;NA
"1049-110";"1049";"Tobago";"110";"Guyana (British Guiana)";631,837724661896;1833;1833;1;NA
"212-2247";"2247";"Schleswig";"212";"Luxemburg";636,761748253102;1845;1867;13;NA
"9321-990";"9321";"Wallis and Futuna Is.";"990";"Samoa (Western Samoa) (German Samoa)";639,319653285656;1914;1933;19;NA
"531-6802";"6802";"Perim I.";"531";"Eritrea";640,669346464987;1892;1936;45;NA
"2003-210";"2003";"Channel Is.";"210";"Netherlands";640,761356310192;1836;1938;99;NA
"8221-8222";"8222";"Kedah";"8221";"Johore";641,097056170893;1910;1910;1;NA
"5201-6802";"6802";"Perim I.";"5201";"Italian East Africa";649,281908200653;1936;1937;2;NA
"8151-8152";"8152";"Annam";"8151";"Cochin China";657,619955749318;1892;1900;8;NA
"5518-5519";"5519";"Barotseland_North_Western Rhodesia (Northwestern Rhodesia)";"5518";"Northeastern Rhodesia";658,864251930105;1910;1910;1;NA
"3343-339";"3343";"Fiume";"339";"Albania";660,715172303836;1919;1924;5;NA
"280-2901";"2901";"Congress Poland";"280";"Mecklenburg Schwerin";662,153906884641;1833;1854;19;NA
"1049-58";"1049";"Tobago";"58";"Antigua and Barbuda (Antigua)";665,424976155907;1833;1833;1;NA
"2003-2556";"2556";"Rhineland";"2003";"Channel Is.";667,325179868537;1920;1920;1;NA
"2003-256";"2003";"Channel Is.";"256";"Saar";668,099380781481;1920;1935;16;NA
"2556-390";"2556";"Rhineland";"390";"Denmark";670,509367176957;1920;1920;1;NA
"460-4784";"4784";"Northern Nigeria (British Nigeria)";"460";"German Togoland";673,353236395008;1902;1913;9;NA
"1087-92";"1087";"Swan Is.";"92";"El Salvador";674,190092431882;1930;1930;1;NA
"3361-342";"3361";"Moldavia";"342";"Kingdom of Serbia";678,695967321659;1857;1857;1;NA
"402-4338";"4338";"Goree";"402";"Cape Verde";681,275249749431;1854;1859;4;NA
"3363-380";"3363";"Memel";"380";"Sweden";688,425317926273;1920;1920;1;NA
"1087-40";"1087";"Swan Is.";"40";"Cuba";689,639265682339;1930;1930;1;NA
"1033-31";"1033";"Cayman Is.";"31";"Bahamas";690,471477674824;1887;1938;29;NA
"2247-245";"2247";"Schleswig";"245";"Bavaria";693,171273837604;1847;1867;2;NA
"1087-51";"1087";"Swan Is.";"51";"Jamaica";696,527767688941;1930;1930;1;NA
"3353-6401";"6401";"Cilicia";"3353";"Dodecanese Is. (Aegean Is.)";700,138553742457;1919;1921;3;NA
"7104-7111";"7111";"Manchuria";"7104";"Kwangtung Territory";702,528792013081;1910;1926;2;NA
"2903-3361";"3361";"Moldavia";"2903";"Cracow (Free City of Cracow)";703,680238176508;1834;1834;1;NA
"280-2903";"2903";"Cracow (Free City of Cracow)";"280";"Mecklenburg Schwerin";707,387788282588;1833;1843;3;NA
"1087-90";"1087";"Swan Is.";"90";"Guatemala";708,205790500165;1930;1930;1;NA
"255-3343";"3343";"Fiume";"255";"Germany (Zollverein)";711,208859215205;1919;1924;5;NA
"1049-1075";"1075";"St. Kitts";"1049";"Tobago";711,929909045332;1833;1833;1;NA
"1049-68";"1049";"Tobago";"68";"Netherlands Antilles";713,006905948886;1833;1833;1;NA
"276-2901";"2901";"Congress Poland";"276";"Lübeck";714,115552889593;1834;1854;19;NA
"244-2901";"2901";"Congress Poland";"244";"Brunswick";714,655190198356;1847;1847;1;NA
"5201-531";"5201";"Italian East Africa";"531";"Eritrea";718,649700489071;1936;1936;1;NA
"9810-985";"9810";"Caroline Is.";"985";"Guam";723,668269634413;1898;1926;9;NA
"256-3343";"3343";"Fiume";"256";"Saar";725,523251352766;1921;1924;4;NA
"221-2556";"2556";"Rhineland";"221";"Monaco";729,913585543184;1920;1920;1;NA
"2247-380";"2247";"Schleswig";"380";"Sweden";731,61289204523;1845;1867;13;NA
