year,CafFob,status,value,importerLabel,exporterLabel
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Austria-Hungary (Austrian Empire)"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Bahamas"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Belgium"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Bermuda"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Brazil"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Bremen"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Cape Colony (Cape of Good Hope)"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Dominica"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Egypt Arab Republic (Egypt)"
1840,"FromExporter","unknown despite gravity",,"Abdelkader Emirate","France"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Greece"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Hamburg"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","India"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Indonesia (Dutch East Indies)"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Ionian Is."
1840,"FromExporter","unknown despite gravity",,"Abdelkader Emirate","Kingdom of Sardinia"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Leeward Is."
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Morocco"
1840,"FromExporter","unknown despite gravity",,"Abdelkader Emirate","Netherlands"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","New South Wales"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Papal States"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Peru"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Philippines"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Portugal"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Russia (USSR)"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Sierra Leone"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Spain"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Sweden"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Tunisia (Regency of Tunis)"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Turkey (Ottoman Empire)"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Tuscany"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Two Sicilies"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","United Kingdom"
1840,"FromExporter","unknown despite gravity",,"Abdelkader Emirate","United States of America"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Uruguay"
1840,"FromExporter","imputed zero",0,"Abdelkader Emirate","Windward Is."
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Austria-Hungary (Austrian Empire)"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Bahamas"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Belgium"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Bermuda"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Brazil"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Bremen"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Cape Colony (Cape of Good Hope)"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Dominica"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Egypt Arab Republic (Egypt)"
1840,"FromExporter","unknown despite gravity",,"Abuja (Suleja)","France"
1840,"FromExporter","imputed zero",0,"Abuja (Suleja)","Greece"
