year,id,importerLabel,exporterLabel,importerReporting,exporterReporting,CafFob,newimporterId,newimporterLabel,newexporterId,newexporterLabel,valueToSplit,pred_trade
1837,2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),United States of America,,1,FromExporter,652,Syria,2,United States of America,7238.5674,126.48117
1837,2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),United States of America,,1,FromExporter,651,Egypt Arab Republic (Egypt),2,United States of America,7238.5674,796.07043
1837,2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),United States of America,,1,FromExporter,640,Turkey (Ottoman Empire),2,United States of America,7238.5674,6316.0156
1837,2->French West Indies,French West Indies,United States of America,,1,FromExporter,66,Martinique,2,United States of America,99728.102,49625.961
1837,2->French West Indies,French West Indies,United States of America,,1,FromExporter,65,Guadeloupe,2,United States of America,99728.102,50102.141
1837,2->Norway & Sweden,Norway & Sweden,United States of America,,1,FromExporter,380,Sweden,2,United States of America,41801.594,18290.85
1837,2->Norway & Sweden,Norway & Sweden,United States of America,,1,FromExporter,385,Norway,2,United States of America,41801.594,23510.746
1837,200->East India Company & Sri Lanka (Ceylon),East India Company & Sri Lanka (Ceylon),United Kingdom,,1,FromExporter,780,Sri Lanka (Ceylon),200,United Kingdom,3612975,599898.56
1837,200->East India Company & Sri Lanka (Ceylon),East India Company & Sri Lanka (Ceylon),United Kingdom,,1,FromExporter,750,India,200,United Kingdom,3612975,3013076.5
1837,211->Cuba & Puerto Rico,Cuba & Puerto Rico,Belgium,,1,FromExporter,6,Puerto Rico,211,Belgium,27515.639,3125.823
1837,211->Cuba & Puerto Rico,Cuba & Puerto Rico,Belgium,,1,FromExporter,40,Cuba,211,Belgium,27515.639,24389.816
1837,211->Hanse Towns,Hanse Towns,Belgium,,1,FromExporter,276,Lübeck,211,Belgium,440176.88,347.05865
1837,211->Hanse Towns,Hanse Towns,Belgium,,1,FromExporter,246,Bremen,211,Belgium,440176.88,24291.332
1837,211->Hanse Towns,Hanse Towns,Belgium,,1,FromExporter,248,Hamburg,211,Belgium,440176.88,415538.47
1837,211->Norway & Sweden,Norway & Sweden,Belgium,,1,FromExporter,380,Sweden,211,Belgium,12293.858,5379.3428
1837,211->Norway & Sweden,Norway & Sweden,Belgium,,1,FromExporter,385,Norway,211,Belgium,12293.858,6914.5156
1837,220->Cape Colony (Cape of Good Hope) & Mauritius,Cape Colony (Cape of Good Hope) & Mauritius,France,,1,FromExporter,561,Cape Colony (Cape of Good Hope),220,France,141637.48,15774.721
1837,220->Cape Colony (Cape of Good Hope) & Mauritius,Cape Colony (Cape of Good Hope) & Mauritius,France,,1,FromExporter,590,Mauritius,220,France,141637.48,125862.77
1837,220->Hanover & Hanse Towns,Hanover & Hanse Towns,France,,1,FromExporter,276,Lübeck,220,France,521181,410.92661
1837,220->Hanover & Hanse Towns,Hanover & Hanse Towns,France,,1,FromExporter,246,Bremen,220,France,521181,28761.578
1837,220->Hanover & Hanse Towns,Hanover & Hanse Towns,France,,1,FromExporter,248,Hamburg,220,France,521181,492008.53
1837,220->Spanish America,Spanish America,France,,1,FromExporter,6,Puerto Rico,220,France,365896.84,41566.5
1837,220->Spanish America,Spanish America,France,,1,FromExporter,40,Cuba,220,France,365896.84,324330.34
1837,235->Norway & Sweden,Norway & Sweden,Portugal,,1,FromExporter,380,Sweden,235,Portugal,26576.701,11628.992
1837,235->Norway & Sweden,Norway & Sweden,Portugal,,1,FromExporter,385,Norway,235,Portugal,26576.701,14947.708
