id,newexporterId,newimporterId,year,importerLabel,importerReporting,exporterLabel,exporterReporting,valueToSplit,pred_trade
1048->British West Indies,52,1063,1894,British West Indies,,Trinidad,1,31748,7517.2061
1048->British West Indies,52,30,1894,British West Indies,,Trinidad,1,31748,4297.6318
1048->British West Indies,52,1055,1894,British West Indies,,Trinidad,1,31748,2912.7166
1048->British West Indies,52,53,1894,British West Indies,,Trinidad,1,31748,8637.9443
1048->British West Indies,52,51,1894,British West Indies,,Trinidad,1,31748,7537.6377
1048->British West Indies,52,31,1894,British West Indies,,Trinidad,1,31748,844.86224
1048->French West Indies,52,66,1894,French West Indies,,Trinidad,1,36122,19258.803
1048->French West Indies,52,65,1894,French West Indies,,Trinidad,1,36122,16863.197
1048<-British West Indies,31,52,1894,Trinidad,1,British West Indies,,33178,642.97791
1048<-British West Indies,1063,52,1894,Trinidad,1,British West Indies,,33178,6277.2095
1048<-British West Indies,30,52,1894,Trinidad,1,British West Indies,,33178,1220.1425
1048<-British West Indies,1055,52,1894,Trinidad,1,British West Indies,,33178,1047.701
1048<-British West Indies,51,52,1894,Trinidad,1,British West Indies,,33178,9826.4111
1048<-British West Indies,53,52,1894,Trinidad,1,British West Indies,,33178,14163.558
1048<-Cuba & Puerto Rico,40,52,1894,Trinidad,1,Cuba & Puerto Rico,,1518,1317.9653
1048<-Cuba & Puerto Rico,6,52,1894,Trinidad,1,Cuba & Puerto Rico,,1518,200.03468
1048<-French West Indies,65,52,1894,Trinidad,1,French West Indies,,5120,3231.3284
1048<-French West Indies,66,52,1894,Trinidad,1,French West Indies,,5120,1888.6719
1063->British Northern America,1063,30,1894,British Northern America,,Leeward Is.,1,61245,931.19031
1063->British Northern America,1063,20,1894,British Northern America,,Leeward Is.,1,61245,45892.234
1063->British Northern America,1063,21,1894,British Northern America,,Leeward Is.,1,61245,14421.574
1063<-British Northern America,20,1063,1894,Leeward Is.,1,British Northern America,,24282,17709.523
1063<-British Northern America,30,1063,1894,Leeward Is.,1,British Northern America,,24282,203.79144
1063<-British Northern America,21,1063,1894,Leeward Is.,1,British Northern America,,24282,6368.6855
110->British West Indies,110,1055,1894,British West Indies,,Guyana (British Guiana),1,13087,199.50192
110->British West Indies,110,53,1894,British West Indies,,Guyana (British Guiana),1,13087,591.6424
110->British West Indies,110,52,1894,British West Indies,,Guyana (British Guiana),1,13087,11206.83
110->British West Indies,110,1063,1894,British West Indies,,Guyana (British Guiana),1,13087,514.87915
110->British West Indies,110,51,1894,British West Indies,,Guyana (British Guiana),1,13087,516.27856
110->British West Indies,110,31,1894,British West Indies,,Guyana (British Guiana),1,13087,57.867512
110->French West Indies,110,66,1894,French West Indies,,Guyana (British Guiana),1,13996,7462.106
110->French West Indies,110,65,1894,French West Indies,,Guyana (British Guiana),1,13996,6533.8936
110<-British West Indies,1063,110,1894,Guyana (British Guiana),1,British West Indies,,47752,4255.2466
110<-British West Indies,1055,110,1894,Guyana (British Guiana),1,British West Indies,,47752,710.22424
110<-British West Indies,51,110,1894,Guyana (British Guiana),1,British West Indies,,47752,6661.209
110<-British West Indies,53,110,1894,Guyana (British Guiana),1,British West Indies,,47752,9601.3086
110<-British West Indies,52,110,1894,Guyana (British Guiana),1,British West Indies,,47752,26088.145
110<-British West Indies,31,110,1894,Guyana (British Guiana),1,British West Indies,,47752,435.86719
110<-French West Indies,65,110,1894,Guyana (British Guiana),1,French West Indies,,5030,3174.5273
110<-French West Indies,66,110,1894,Guyana (British Guiana),1,French West Indies,,5030,1855.4724
110<-Spanish West Indies,6,110,1894,Guyana (British Guiana),1,Spanish West Indies,,252,33.20734
