year,id,importerLabel,exporterLabel,reportedByIX,CafFob,newimporterId,newimporterLabel,newexporterId,newexporterLabel,valueToSplit,pred_trade
1903,210<-Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,I,FromImporter,210,Netherlands,100,Colombia (New Granada) (Gran Colombia),193857.56,72037.813
1903,210<-Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,I,FromImporter,210,Netherlands,101,Venezuela,193857.56,91657.234
1903,211<-Portuguese Western Africa,Belgium,Portuguese Western Africa,I,FromImporter,211,Belgium,402,Cape Verde,38336.641,2319.7253
1903,211<-Portuguese Western Africa,Belgium,Portuguese Western Africa,I,FromImporter,211,Belgium,404,Guinea-Bissau (Portuguese Guinea),38336.641,36016.918
1903,21<-British West Indies,Newfoundland and Labrador (Newfoundland),British West Indies,I,FromImporter,21,Newfoundland and Labrador (Newfoundland),52,Trinidad and Tobago,48834,1727.1533
1903,21<-British West Indies,Newfoundland and Labrador (Newfoundland),British West Indies,I,FromImporter,21,Newfoundland and Labrador (Newfoundland),1055,Windward Is.,48834,1904.1573
1903,21<-British West Indies,Newfoundland and Labrador (Newfoundland),British West Indies,I,FromImporter,21,Newfoundland and Labrador (Newfoundland),30,Bermuda,48834,3452.8315
1903,21<-British West Indies,Newfoundland and Labrador (Newfoundland),British West Indies,I,FromImporter,21,Newfoundland and Labrador (Newfoundland),51,Jamaica,48834,5314.4082
1903,21<-British West Indies,Newfoundland and Labrador (Newfoundland),British West Indies,I,FromImporter,21,Newfoundland and Labrador (Newfoundland),53,Barbados,48834,8277.8594
1903,21<-British West Indies,Newfoundland and Labrador (Newfoundland),British West Indies,I,FromImporter,21,Newfoundland and Labrador (Newfoundland),31,Bahamas,48834,11270.766
1903,21<-British West Indies,Newfoundland and Labrador (Newfoundland),British West Indies,I,FromImporter,21,Newfoundland and Labrador (Newfoundland),1063,Leeward Is.,48834,16886.826
1903,220<-British America,France,British America,I,FromImporter,220,France,52,Trinidad and Tobago,890904,1992.5436
1903,220<-British America,France,British America,I,FromImporter,220,France,1055,Windward Is.,890904,2196.7456
1903,220<-British America,France,British America,I,FromImporter,220,France,30,Bermuda,890904,3983.3857
1903,220<-British America,France,British America,I,FromImporter,220,France,51,Jamaica,890904,6131.0078
1903,220<-British America,France,British America,I,FromImporter,220,France,80,Belize (British Honduras),890904,8343.9414
1903,220<-British America,France,British America,I,FromImporter,220,France,53,Barbados,890904,9549.8164
1903,220<-British America,France,British America,I,FromImporter,220,France,110,Guyana (British Guiana),890904,11273.514
1903,220<-British America,France,British America,I,FromImporter,220,France,31,Bahamas,890904,13002.605
1903,220<-British America,France,British America,I,FromImporter,220,France,1063,Leeward Is.,890904,19481.615
1903,220<-British America,France,British America,I,FromImporter,220,France,1163,Falkland Is.,890904,20566.336
1903,220<-British America,France,British America,I,FromImporter,220,France,21,Newfoundland and Labrador (Newfoundland),890904,98870.578
1903,220<-British America,France,British America,I,FromImporter,220,France,20,Canada (Province of Canada),890904,695511.94
1903,220<-British Mediterranean Sea,France,British Mediterranean Sea,I,FromImporter,220,France,231,Gibraltar,15909.001,1250.8875
1903,220<-British Mediterranean Sea,France,British Mediterranean Sea,I,FromImporter,220,France,338,Malta,15909.001,14658.113
1903,220<-Congo (Brazzaville) (French Congo) (Middle Congo) & French Western Africa (other) & Senegal,France,Congo (Brazzaville) (French Congo) (Middle Congo) & French Western Africa (other) & Senegal,I,FromImporter,220,France,484,Congo (Brazzaville) (French Congo) (Middle Congo),1932943.6,855465.25
1903,220<-Congo (Brazzaville) (French Congo) (Middle Congo) & French Western Africa (other) & Senegal,France,Congo (Brazzaville) (French Congo) (Middle Congo) & French Western Africa (other) & Senegal,I,FromImporter,220,France,430,French West Africa,1932943.6,1077478.4
1903,220<-Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,France,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,I,FromImporter,220,France,91,Honduras,139203.75,11168.792
1903,220<-Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,France,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,I,FromImporter,220,France,93,Nicaragua,139203.75,16311.87
1903,220<-Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,France,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,I,FromImporter,220,France,94,Costa Rica,139203.75,18379.039
1903,220<-Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,France,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,I,FromImporter,220,France,90,Guatemala,139203.75,38504.316
1903,220<-Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,France,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,I,FromImporter,220,France,92,El Salvador,139203.75,54839.73
1903,220<-Cuba & Puerto Rico,France,Cuba & Puerto Rico,I,FromImporter,220,France,6,Puerto Rico,393747.75,79327.172
1903,220<-Cuba & Puerto Rico,France,Cuba & Puerto Rico,I,FromImporter,220,France,40,Cuba,393747.75,314420.56
1903,220<-Dominican Republic (Santo Domingo) & Haiti,France,Dominican Republic (Santo Domingo) & Haiti,I,FromImporter,220,France,41,Haiti,1384083,408068.44
1903,220<-Dominican Republic (Santo Domingo) & Haiti,France,Dominican Republic (Santo Domingo) & Haiti,I,FromImporter,220,France,42,Dominican Republic (Santo Domingo),1384083,976014.63
1903,220<-Madagascar (Malagasy Republic) & Mayotte,France,Madagascar (Malagasy Republic) & Mayotte,I,FromImporter,220,France,581,Comoros,147158.25,21.992065
1903,220<-Madagascar (Malagasy Republic) & Mayotte,France,Madagascar (Malagasy Republic) & Mayotte,I,FromImporter,220,France,580,Madagascar (Malagasy Republic),147158.25,147136.25
1903,225<-Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Switzerland,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),I,FromImporter,225,Switzerland,616,Tunisia (Regency of Tunis),39304.543,9407.5742
1903,225<-Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Switzerland,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),I,FromImporter,225,Switzerland,615,Algeria (Regency of Algiers),39304.543,29896.969
1903,225<-Chile & Peru,Switzerland,Chile & Peru,I,FromImporter,225,Switzerland,135,Peru,27141.094,4981.3921
1903,225<-Chile & Peru,Switzerland,Chile & Peru,I,FromImporter,225,Switzerland,155,Chile,27141.094,22159.703
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,120,French Guiana,231139.7,1083.4919
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,145,Bolivia,231139.7,1915.9126
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,115,Surinam (Dutch Guiana),231139.7,2627.8479
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,150,Paraguay,231139.7,4904.9502
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,110,Guyana (British Guiana),231139.7,5063.6445
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,1163,Falkland Is.,231139.7,9237.6348
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,130,Ecuador,231139.7,17997.105
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,100,Colombia (New Granada) (Gran Colombia),231139.7,42982.895
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,101,Venezuela,231139.7,54689.234
1903,225<-Southern America (other),Switzerland,Southern America (other),I,FromImporter,225,Switzerland,165,Uruguay,231139.7,90636.984
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,52,Trinidad and Tobago,95384.086,213.33046
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,1055,Windward Is.,95384.086,235.19324
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,30,Bermuda,95384.086,426.47873
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,51,Jamaica,95384.086,656.4126
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,80,Belize (British Honduras),95384.086,893.33893
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,53,Barbados,95384.086,1022.4453
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,110,Guyana (British Guiana),95384.086,1206.9919
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,31,Bahamas,95384.086,1392.116
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,1063,Leeward Is.,95384.086,2085.7871
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,1163,Falkland Is.,95384.086,2201.9221
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,21,Newfoundland and Labrador (Newfoundland),95384.086,10585.518
1903,230<-British America,Spain,British America,I,FromImporter,230,Spain,20,Canada (Province of Canada),95384.086,74464.555
1903,230<-Danish America,Spain,Danish America,I,FromImporter,230,Spain,10,Greenland,405.02234,156.74632
1903,230<-Danish America,Spain,Danish America,I,FromImporter,230,Spain,5,Virgin Islands (Danish West Indies),405.02234,248.276
1903,230<-Danish Europe,Spain,Danish Europe,I,FromImporter,230,Spain,11,Faeroe Is.,55920.547,15792.329
1903,230<-Danish Europe,Spain,Danish Europe,I,FromImporter,230,Spain,395,Iceland,55920.547,40128.219
1903,230<-French America,Spain,French America,I,FromImporter,230,Spain,120,French Guiana,4430.7808,339.66794
1903,230<-French America,Spain,French America,I,FromImporter,230,Spain,66,Martinique,4430.7808,554.68427
1903,230<-French America,Spain,French America,I,FromImporter,230,Spain,1029,St. Pierre and Miquelon,4430.7808,1007.9394
1903,230<-French America,Spain,French America,I,FromImporter,230,Spain,65,Guadeloupe,4430.7808,2528.489
