CafFob,value,status,year,importerLabel,exporterLabel
FromExporter,0,imputed zero,1847,Andaman Is.,Ecuador
FromExporter,0,imputed zero,1847,Andaman Is.,France
FromExporter,0,imputed zero,1847,Andaman Is.,French Guiana
FromExporter,0,imputed zero,1847,Andaman Is.,French India
FromExporter,,unknown despite gravity,1847,Andaman Is.,Gambia
FromExporter,0,imputed zero,1847,Andaman Is.,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Andaman Is.,Greece
FromExporter,0,imputed zero,1847,Andaman Is.,Guadeloupe
FromExporter,,unknown despite gravity,1847,Andaman Is.,Hamburg
FromExporter,0,imputed zero,1847,Andaman Is.,India
FromExporter,0,imputed zero,1847,Andaman Is.,Leeward Is.
FromExporter,0,imputed zero,1847,Andaman Is.,Martinique
FromExporter,0,imputed zero,1847,Andaman Is.,Moldavia
FromExporter,,unknown despite gravity,1847,Andaman Is.,Netherlands
FromExporter,,unknown despite gravity,1847,Andaman Is.,New South Wales
FromExporter,0,imputed zero,1847,Andaman Is.,Papal States
FromExporter,0,imputed zero,1847,Andaman Is.,People's Republic of China (China)
FromExporter,0,imputed zero,1847,Andaman Is.,Peru
FromExporter,0,imputed zero,1847,Andaman Is.,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Andaman Is.,Russia (USSR)
FromExporter,0,imputed zero,1847,Andaman Is.,Senegal
FromExporter,0,imputed zero,1847,Andaman Is.,Shangai
FromExporter,,unknown despite gravity,1847,Andaman Is.,Sierra Leone
FromExporter,,unknown despite gravity,1847,Andaman Is.,South Australia
FromExporter,0,imputed zero,1847,Andaman Is.,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Andaman Is.,Sweden
FromExporter,0,imputed zero,1847,Andaman Is.,Tuscany
FromExporter,,unknown despite gravity,1847,Andaman Is.,United Kingdom
FromExporter,,unknown despite gravity,1847,Andaman Is.,United States of America
FromExporter,0,imputed zero,1847,Andaman Is.,Windward Is.
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Bahamas
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Belgium
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Bermuda
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Bremen
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Chile
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Cuba
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Dominica
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Ecuador
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,France
FromExporter,0,imputed zero,1847,Anhalt Bernburg,French Guiana
FromExporter,0,imputed zero,1847,Anhalt Bernburg,French India
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Gambia
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Greece
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Guadeloupe
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Hamburg
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,India
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Leeward Is.
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Martinique
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Moldavia
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Netherlands
FromExporter,0,imputed zero,1847,Anhalt Bernburg,New South Wales
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Papal States
FromExporter,0,imputed zero,1847,Anhalt Bernburg,People's Republic of China (China)
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Peru
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Russia (USSR)
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Senegal
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Shangai
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Sierra Leone
FromExporter,0,imputed zero,1847,Anhalt Bernburg,South Australia
FromExporter,0,imputed zero,1847,Anhalt Bernburg,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Sweden
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Tuscany
FromExporter,0,imputed zero,1847,Anhalt Bernburg,United Kingdom
FromExporter,0,imputed zero,1847,Anhalt Bernburg,United States of America
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Windward Is.
FromExporter,0,imputed zero,1847,Anhalt Dessau,Bahamas
FromExporter,0,imputed zero,1847,Anhalt Dessau,Belgium
FromExporter,0,imputed zero,1847,Anhalt Dessau,Bermuda
FromExporter,,unknown despite gravity,1847,Anhalt Dessau,Bremen
FromExporter,0,imputed zero,1847,Anhalt Dessau,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Anhalt Dessau,Chile
FromExporter,,unknown despite gravity,1847,Anhalt Dessau,Cuba
FromExporter,0,imputed zero,1847,Anhalt Dessau,Dominica
FromExporter,0,imputed zero,1847,Anhalt Dessau,Ecuador
FromExporter,,unknown despite gravity,1847,Anhalt Dessau,France
FromExporter,0,imputed zero,1847,Anhalt Dessau,French Guiana
FromExporter,0,imputed zero,1847,Anhalt Dessau,French India
FromExporter,0,imputed zero,1847,Anhalt Dessau,Gambia
FromExporter,0,imputed zero,1847,Anhalt Dessau,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Anhalt Dessau,Greece
FromExporter,0,imputed zero,1847,Anhalt Dessau,Guadeloupe
FromExporter,0,imputed zero,1847,Anhalt Dessau,Hamburg
FromExporter,,unknown despite gravity,1847,Anhalt Dessau,India
FromExporter,0,imputed zero,1847,Anhalt Dessau,Leeward Is.
FromExporter,0,imputed zero,1847,Anhalt Dessau,Martinique
FromExporter,0,imputed zero,1847,Anhalt Dessau,Moldavia
FromExporter,0,imputed zero,1847,Anhalt Dessau,Netherlands
FromExporter,0,imputed zero,1847,Anhalt Dessau,New South Wales
FromExporter,0,imputed zero,1847,Anhalt Dessau,Papal States
FromExporter,0,imputed zero,1847,Anhalt Dessau,People's Republic of China (China)
FromExporter,,unknown despite gravity,1847,Anhalt Dessau,Peru
FromExporter,0,imputed zero,1847,Anhalt Dessau,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Anhalt Dessau,Russia (USSR)
FromExporter,0,imputed zero,1847,Anhalt Dessau,Senegal
FromExporter,0,imputed zero,1847,Anhalt Dessau,Shangai
FromExporter,0,imputed zero,1847,Anhalt Dessau,Sierra Leone
FromExporter,0,imputed zero,1847,Anhalt Dessau,South Australia
FromExporter,0,imputed zero,1847,Anhalt Dessau,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Anhalt Dessau,Sweden
FromExporter,,unknown despite gravity,1847,Anhalt Dessau,Tuscany
FromExporter,0,imputed zero,1847,Anhalt Dessau,United Kingdom
FromExporter,0,imputed zero,1847,Anhalt Dessau,United States of America
FromExporter,0,imputed zero,1847,Anhalt Dessau,Windward Is.
FromExporter,0,imputed zero,1847,Anhalt Köthen,Bahamas
FromExporter,0,imputed zero,1847,Anhalt Köthen,Belgium
FromExporter,0,imputed zero,1847,Anhalt Köthen,Bermuda
FromExporter,,unknown despite gravity,1847,Anhalt Köthen,Bremen
FromExporter,0,imputed zero,1847,Anhalt Köthen,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Anhalt Köthen,Chile
FromExporter,,unknown despite gravity,1847,Anhalt Köthen,Cuba
FromExporter,0,imputed zero,1847,Anhalt Köthen,Dominica
FromExporter,0,imputed zero,1847,Anhalt Köthen,Ecuador
FromExporter,,unknown despite gravity,1847,Anhalt Köthen,France
FromExporter,0,imputed zero,1847,Anhalt Köthen,French Guiana
FromExporter,0,imputed zero,1847,Anhalt Köthen,French India
FromExporter,0,imputed zero,1847,Anhalt Köthen,Gambia
FromExporter,0,imputed zero,1847,Anhalt Köthen,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Anhalt Köthen,Greece
FromExporter,0,imputed zero,1847,Anhalt Köthen,Guadeloupe
FromExporter,0,imputed zero,1847,Anhalt Köthen,Hamburg
FromExporter,,unknown despite gravity,1847,Anhalt Köthen,India
FromExporter,0,imputed zero,1847,Anhalt Köthen,Leeward Is.
FromExporter,0,imputed zero,1847,Anhalt Köthen,Martinique
FromExporter,0,imputed zero,1847,Anhalt Köthen,Moldavia
FromExporter,0,imputed zero,1847,Anhalt Köthen,Netherlands
FromExporter,0,imputed zero,1847,Anhalt Köthen,New South Wales
FromExporter,0,imputed zero,1847,Anhalt Köthen,Papal States
FromExporter,0,imputed zero,1847,Anhalt Köthen,People's Republic of China (China)
FromExporter,,unknown despite gravity,1847,Anhalt Köthen,Peru
FromExporter,0,imputed zero,1847,Anhalt Köthen,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Anhalt Köthen,Russia (USSR)
FromExporter,0,imputed zero,1847,Anhalt Köthen,Senegal
FromExporter,0,imputed zero,1847,Anhalt Köthen,Shangai
FromExporter,0,imputed zero,1847,Anhalt Köthen,Sierra Leone
FromExporter,0,imputed zero,1847,Anhalt Köthen,South Australia
FromExporter,0,imputed zero,1847,Anhalt Köthen,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Anhalt Köthen,Sweden
FromExporter,,unknown despite gravity,1847,Anhalt Köthen,Tuscany
FromExporter,0,imputed zero,1847,Anhalt Köthen,United Kingdom
FromExporter,0,imputed zero,1847,Anhalt Köthen,United States of America
FromExporter,0,imputed zero,1847,Anhalt Köthen,Windward Is.
FromExporter,0,imputed zero,1847,Argentina (La Plata),Bahamas
FromExporter,3707.52,ok,1847,Argentina (La Plata),Belgium
FromExporter,0,imputed zero,1847,Argentina (La Plata),Bermuda
FromExporter,,unknown despite gravity,1847,Argentina (La Plata),Bremen
FromExporter,0,imputed zero,1847,Argentina (La Plata),Cape Colony (Cape of Good Hope)
FromExporter,137.48854,ok,1847,Argentina (La Plata),Chile
FromExporter,0,imputed zero,1847,Argentina (La Plata),Cuba
FromExporter,0,imputed zero,1847,Argentina (La Plata),Dominica
FromExporter,0,imputed zero,1847,Argentina (La Plata),Ecuador
FromExporter,35417.734,ok,1847,Argentina (La Plata),France
FromExporter,0,imputed zero,1847,Argentina (La Plata),French Guiana
FromExporter,0,imputed zero,1847,Argentina (La Plata),French India
FromExporter,0,imputed zero,1847,Argentina (La Plata),Gambia
FromExporter,0,imputed zero,1847,Argentina (La Plata),Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Argentina (La Plata),Greece
FromExporter,0,imputed zero,1847,Argentina (La Plata),Guadeloupe
FromExporter,79918.461,ok,1847,Argentina (La Plata),Hamburg
FromExporter,0,imputed zero,1847,Argentina (La Plata),India
FromExporter,0,imputed zero,1847,Argentina (La Plata),Leeward Is.
FromExporter,0,imputed zero,1847,Argentina (La Plata),Martinique
FromExporter,0,imputed zero,1847,Argentina (La Plata),Moldavia
FromExporter,0,imputed zero,1847,Argentina (La Plata),Netherlands
FromExporter,0,imputed zero,1847,Argentina (La Plata),New South Wales
FromExporter,0,imputed zero,1847,Argentina (La Plata),Papal States
FromExporter,0,imputed zero,1847,Argentina (La Plata),People's Republic of China (China)
FromExporter,0,imputed zero,1847,Argentina (La Plata),Peru
FromExporter,0,imputed zero,1847,Argentina (La Plata),Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Argentina (La Plata),Russia (USSR)
FromExporter,0,imputed zero,1847,Argentina (La Plata),Senegal
FromExporter,0,imputed zero,1847,Argentina (La Plata),Shangai
FromExporter,0,imputed zero,1847,Argentina (La Plata),Sierra Leone
FromExporter,0,imputed zero,1847,Argentina (La Plata),South Australia
FromExporter,0,imputed zero,1847,Argentina (La Plata),St. Pierre and Miquelon
FromExporter,,unknown despite gravity,1847,Argentina (La Plata),Sweden
FromExporter,0,imputed zero,1847,Argentina (La Plata),Tuscany
FromExporter,156421,ok,1847,Argentina (La Plata),United Kingdom
FromExporter,26111.521,ok,1847,Argentina (La Plata),United States of America
FromExporter,0,imputed zero,1847,Argentina (La Plata),Windward Is.
FromExporter,0,imputed zero,1847,Ascension I.,Bahamas
FromExporter,0,imputed zero,1847,Ascension I.,Belgium
FromExporter,0,imputed zero,1847,Ascension I.,Bermuda
FromExporter,0,imputed zero,1847,Ascension I.,Bremen
FromExporter,586,ok,1847,Ascension I.,Cape Colony (Cape of Good Hope)
FromExporter,0,imputed zero,1847,Ascension I.,Chile
FromExporter,0,imputed zero,1847,Ascension I.,Cuba
FromExporter,0,imputed zero,1847,Ascension I.,Dominica
FromExporter,0,imputed zero,1847,Ascension I.,Ecuador
FromExporter,0,imputed zero,1847,Ascension I.,France
FromExporter,0,imputed zero,1847,Ascension I.,French Guiana
FromExporter,0,imputed zero,1847,Ascension I.,French India
FromExporter,0,imputed zero,1847,Ascension I.,Gambia
FromExporter,0,imputed zero,1847,Ascension I.,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Ascension I.,Greece
FromExporter,0,imputed zero,1847,Ascension I.,Guadeloupe
FromExporter,0,imputed zero,1847,Ascension I.,Hamburg
FromExporter,0,imputed zero,1847,Ascension I.,India
FromExporter,0,imputed zero,1847,Ascension I.,Leeward Is.
FromExporter,0,imputed zero,1847,Ascension I.,Martinique
FromExporter,0,imputed zero,1847,Ascension I.,Moldavia
FromExporter,0,imputed zero,1847,Ascension I.,Netherlands
FromExporter,0,imputed zero,1847,Ascension I.,New South Wales
FromExporter,0,imputed zero,1847,Ascension I.,Papal States
FromExporter,0,imputed zero,1847,Ascension I.,People's Republic of China (China)
FromExporter,0,imputed zero,1847,Ascension I.,Peru
FromExporter,0,imputed zero,1847,Ascension I.,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Ascension I.,Russia (USSR)
FromExporter,0,imputed zero,1847,Ascension I.,Senegal
FromExporter,0,imputed zero,1847,Ascension I.,Shangai
FromExporter,0,imputed zero,1847,Ascension I.,Sierra Leone
FromExporter,0,imputed zero,1847,Ascension I.,South Australia
FromExporter,0,imputed zero,1847,Ascension I.,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Ascension I.,Sweden
FromExporter,0,imputed zero,1847,Ascension I.,Tuscany
FromExporter,1400.3798,ok,1847,Ascension I.,United Kingdom
FromExporter,0,imputed zero,1847,Ascension I.,United States of America
FromExporter,0,imputed zero,1847,Ascension I.,Windward Is.
FromExporter,0,imputed zero,1847,Austria-Hungary (Austrian Empire),Bahamas
FromExporter,74845.563,ok,1847,Austria-Hungary (Austrian Empire),Belgium
