id,newexporterId,newimporterId,year,importerLabel,importerReporting,exporterLabel,exporterReporting,valueToSplit,pred_trade
100->British West Indies,100,1063,1930,British West Indies,,Colombia (New Granada) (Gran Colombia),1,4408.3403,3148.1167
100->British West Indies,100,30,1930,British West Indies,,Colombia (New Granada) (Gran Colombia),1,4408.3403,641.93695
100->British West Indies,100,51,1930,British West Indies,,Colombia (New Granada) (Gran Colombia),1,4408.3403,145.48232
100->British West Indies,100,53,1930,British West Indies,,Colombia (New Granada) (Gran Colombia),1,4408.3403,171.61623
100->British West Indies,100,52,1930,British West Indies,,Colombia (New Granada) (Gran Colombia),1,4408.3403,214.33055
100->British West Indies,100,31,1930,British West Indies,,Colombia (New Granada) (Gran Colombia),1,4408.3403,56.674332
100->British West Indies,100,1055,1930,British West Indies,,Colombia (New Granada) (Gran Colombia),1,4408.3403,30.183382
100<-British West Indies,1063,100,1930,Colombia (New Granada) (Gran Colombia),1,British West Indies,,9927.4053,87.819611
100<-British West Indies,51,100,1930,Colombia (New Granada) (Gran Colombia),1,British West Indies,,9927.4053,2396.0737
100<-British West Indies,52,100,1930,Colombia (New Granada) (Gran Colombia),1,British West Indies,,9927.4053,4983.2207
100<-British West Indies,31,100,1930,Colombia (New Granada) (Gran Colombia),1,British West Indies,,9927.4053,48.36087
100<-British West Indies,30,100,1930,Colombia (New Granada) (Gran Colombia),1,British West Indies,,9927.4053,140.52258
100<-British West Indies,1055,100,1930,Colombia (New Granada) (Gran Colombia),1,British West Indies,,9927.4053,1085.4934
100<-British West Indies,53,100,1930,Colombia (New Granada) (Gran Colombia),1,British West Indies,,9927.4053,1185.9144
1061->British Northern America,1063,30,1930,British Northern America,,British Virgin Is.,1,0,0
1061->British Northern America,1063,21,1930,British Northern America,,British Virgin Is.,1,0,0
1061<-British Northern America,30,1063,1930,British Virgin Is.,1,British Northern America,,0,0
1061<-British Northern America,21,1063,1930,British Virgin Is.,1,British Northern America,,0,0
1063->British Northern America,1063,21,1930,British Northern America,,Leeward Is.,1,0,0
1063->British Northern America,1063,30,1930,British Northern America,,Leeward Is.,1,0,0
1063<-British Northern America,21,1063,1930,Leeward Is.,1,British Northern America,,0,0
1063<-British Northern America,30,1063,1930,Leeward Is.,1,British Northern America,,0,0
110->British West Indies,110,53,1930,British West Indies,,Guyana (British Guiana),1,242562.08,11052.345
110->British West Indies,110,52,1930,British West Indies,,Guyana (British Guiana),1,242562.08,13803.211
110->British West Indies,110,31,1930,British West Indies,,Guyana (British Guiana),1,242562.08,3649.9128
110->British West Indies,110,1063,1930,British West Indies,,Guyana (British Guiana),1,242562.08,202743.48
110->British West Indies,110,1055,1930,British West Indies,,Guyana (British Guiana),1,242562.08,1943.8553
110->British West Indies,110,51,1930,British West Indies,,Guyana (British Guiana),1,242562.08,9369.2813
110->French West Indies,110,65,1930,French West Indies,,Guyana (British Guiana),1,7672.5,5883.2285
110->French West Indies,110,66,1930,French West Indies,,Guyana (British Guiana),1,7672.5,1789.2712
110<-British West Indies,53,110,1930,Guyana (British Guiana),1,British West Indies,,84872.914,10284.38
110<-British West Indies,1063,110,1930,Guyana (British Guiana),1,British West Indies,,84872.914,761.58124
110<-British West Indies,51,110,1930,Guyana (British Guiana),1,British West Indies,,84872.914,20779.014
110<-British West Indies,52,110,1930,Guyana (British Guiana),1,British West Indies,,84872.914,43215.031
110<-British West Indies,31,110,1930,Guyana (British Guiana),1,British West Indies,,84872.914,419.39072
110<-British West Indies,1055,110,1930,Guyana (British Guiana),1,British West Indies,,84872.914,9413.5176
110<-British Western Africa,420,110,1930,Guyana (British Guiana),1,British Western Africa,,256.45834,13.059242
110<-British Western Africa,475,110,1930,Guyana (British Guiana),1,British Western Africa,,256.45834,20.094881
110<-British Western Africa,452,110,1930,Guyana (British Guiana),1,British Western Africa,,256.45834,223.30421
110<-French West Indies,66,110,1930,Guyana (British Guiana),1,French West Indies,,649.375,338.44684
110<-French West Indies,65,110,1930,Guyana (British Guiana),1,French West Indies,,649.375,310.92816
110<-Portuguese Colonies,402,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,242.29568
110<-Portuguese Colonies,541,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,1926.6058
110<-Portuguese Colonies,403,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,2475.4895
110<-Portuguese Colonies,752,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,347.62518
110<-Portuguese Colonies,404,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,81.871498
110<-Portuguese Colonies,860,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,392.95981
110<-Portuguese Colonies,540,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,88.955086
110<-Portuguese Colonies,721,110,1930,Guyana (British Guiana),1,Portuguese Colonies,,5576.6665,20.864037
