id,newexporterId,newimporterId,year,importerLabel,importerReporting,exporterLabel,exporterReporting,valueToSplit,pred_trade
Alexandria<-Ionian Is. & Malta & United Kingdom,338,651,1842,Alexandria,1,Ionian Is. & Malta & United Kingdom,,711429.69,2682.3716
Bahia<-Hanse Towns,246,140,1842,Bahia,1,Hanse Towns,,35989.789,5980.1372
Bahia<-Hanse Towns,276,140,1842,Bahia,1,Hanse Towns,,35989.789,1.0834701
Bahia<-Hanse Towns,248,140,1842,Bahia,1,Hanse Towns,,35989.789,30008.568
Bahia<-Norway & Sweden,385,140,1842,Bahia,1,Norway & Sweden,,5007.8555,1109.9432
Bahia<-Norway & Sweden,380,140,1842,Bahia,1,Norway & Sweden,,5007.8555,3897.9124
Livorno<-Ionian Is. & Malta,3349,337,1842,Livorno,1,Ionian Is. & Malta,,21602.514,5359.3774
Livorno<-Ionian Is. & Malta,338,337,1842,Livorno,1,Ionian Is. & Malta,,21602.514,16243.137
Livorno<-Norway & Sweden,380,337,1842,Livorno,1,Norway & Sweden,,20424.195,15897.369
Livorno<-Norway & Sweden,385,337,1842,Livorno,1,Norway & Sweden,,20424.195,4526.8271
