year,id,full_id,importerLabel,exporterLabel,CafFob,newimporterId,newimporterLabel,newexporterId,newexporterLabel,valueToSplit,notes,status,totreat_flows,pred_trade,treated_flows
1898,"1055<-British West Indies","1055<-British West IndiesFromImporter","Windward Is.","Trinidad and Tobago","FromImporter","1055","Windward Is.","52","Trinidad and Tobago",44812,"57<-British West Indies 44812
From a flow part-of reporter 57 to/from British West Indies
gravity results to be aggregated for partners: 30|51|52|53|1063","ok thanks to gravity",484,3825.3098,189
1898,"1055<-British West Indies","1055<-British West IndiesFromImporter","Windward Is.","Leeward Is.","FromImporter","1055","Windward Is.","1063","Leeward Is.",44812,"57<-British West Indies 44812
From a flow part-of reporter 57 to/from British West Indies
gravity results to be aggregated for partners: 30|51|52|53|1063","ok thanks to gravity",484,14779.665,189
1898,"1055<-British West Indies","1055<-British West IndiesFromImporter","Windward Is.","Barbados","FromImporter","1055","Windward Is.","53","Barbados",44812,"57<-British West Indies 44812
From a flow part-of reporter 57 to/from British West Indies
gravity results to be aggregated for partners: 30|51|52|53|1063","ok thanks to gravity",484,26207.025,189
1898,"1063<-British Northern America","1063<-British Northern AmericaFromImporter","Leeward Is.","Newfoundland and Labrador (Newfoundland)","FromImporter","1063","Leeward Is.","21","Newfoundland and Labrador (Newfoundland)",21448,"","ok thanks to gravity",484,3577.0884,189
1898,"1063<-British Northern America","1063<-British Northern AmericaFromImporter","Leeward Is.","Canada (Province of Canada)","FromImporter","1063","Leeward Is.","20","Canada (Province of Canada)",21448,"","ok thanks to gravity",484,17870.912,189
1898,"110<-British West Indies","110<-British West IndiesFromImporter","Guyana (British Guiana)","Windward Is.","FromImporter","110","Guyana (British Guiana)","1055","Windward Is.",44401,"","ok thanks to gravity",484,523.25916,189
1898,"110<-British West Indies","110<-British West IndiesFromImporter","Guyana (British Guiana)","Bahamas","FromImporter","110","Guyana (British Guiana)","31","Bahamas",44401,"","ok thanks to gravity",484,2026.135,189
1898,"110<-British West Indies","110<-British West IndiesFromImporter","Guyana (British Guiana)","Jamaica","FromImporter","110","Guyana (British Guiana)","51","Jamaica",44401,"","ok thanks to gravity",484,2497.5173,189
1898,"110<-British West Indies","110<-British West IndiesFromImporter","Guyana (British Guiana)","Trinidad and Tobago","FromImporter","110","Guyana (British Guiana)","52","Trinidad and Tobago",44401,"","ok thanks to gravity",484,3359.4033,189
1898,"110<-British West Indies","110<-British West IndiesFromImporter","Guyana (British Guiana)","Leeward Is.","FromImporter","110","Guyana (British Guiana)","1063","Leeward Is.",44401,"","ok thanks to gravity",484,12979.564,189
1898,"110<-British West Indies","110<-British West IndiesFromImporter","Guyana (British Guiana)","Barbados","FromImporter","110","Guyana (British Guiana)","53","Barbados",44401,"","ok thanks to gravity",484,23015.121,189
1898,"110<-French West Indies","110<-French West IndiesFromImporter","Guyana (British Guiana)","Martinique","FromImporter","110","Guyana (British Guiana)","66","Martinique",2140,"","ok thanks to gravity",484,575.57819,189
1898,"110<-French West Indies","110<-French West IndiesFromImporter","Guyana (British Guiana)","Guadeloupe","FromImporter","110","Guyana (British Guiana)","65","Guadeloupe",2140,"","ok thanks to gravity",484,1564.4219,189
1898,"155<-900","155<-900FromImporter","Chile","Tasmania","FromImporter","155","Chile","906","Tasmania",149659.66,"","ok thanks to gravity",484,1018.1461,189
1898,"155<-900","155<-900FromImporter","Chile","Western Australia","FromImporter","155","Chile","902","Western Australia",149659.66,"","ok thanks to gravity",484,5383.7144,189
1898,"155<-900","155<-900FromImporter","Chile","South Australia","FromImporter","155","Chile","903","South Australia",149659.66,"","ok thanks to gravity",484,8035.166,189
1898,"155<-900","155<-900FromImporter","Chile","Queensland","FromImporter","155","Chile","905","Queensland",149659.66,"","ok thanks to gravity",484,17654.469,189
1898,"155<-900","155<-900FromImporter","Chile","Victoria","FromImporter","155","Chile","904","Victoria",149659.66,"","ok thanks to gravity",484,52814.293,189
1898,"155<-900","155<-900FromImporter","Chile","New South Wales","FromImporter","155","Chile","901","New South Wales",149659.66,"","ok thanks to gravity",484,64753.867,189
1898,"200<-British West Indies","200<-British West IndiesFromImporter","United Kingdom","Windward Is.","FromImporter","200","United Kingdom","1055","Windward Is.",1283413,"","ok thanks to gravity",484,15124.83,189
1898,"200<-British West Indies","200<-British West IndiesFromImporter","United Kingdom","Bahamas","FromImporter","200","United Kingdom","31","Bahamas",1283413,"","ok thanks to gravity",484,58565.523,189
1898,"200<-British West Indies","200<-British West IndiesFromImporter","United Kingdom","Jamaica","FromImporter","200","United Kingdom","51","Jamaica",1283413,"","ok thanks to gravity",484,72190.844,189
1898,"200<-British West Indies","200<-British West IndiesFromImporter","United Kingdom","Trinidad and Tobago","FromImporter","200","United Kingdom","52","Trinidad and Tobago",1283413,"","ok thanks to gravity",484,97103.703,189
1898,"200<-British West Indies","200<-British West IndiesFromImporter","United Kingdom","Leeward Is.","FromImporter","200","United Kingdom","1063","Leeward Is.",1283413,"","ok thanks to gravity",484,375174.91,189
1898,"200<-British West Indies","200<-British West IndiesFromImporter","United Kingdom","Barbados","FromImporter","200","United Kingdom","53","Barbados",1283413,"","ok thanks to gravity",484,665253.13,189
1898,"200<-Denmark & Faeroe Is. & Greenland & Iceland","200<-Denmark & Faeroe Is. & Greenland & IcelandFromImporter","United Kingdom","Faeroe Is.","FromImporter","200","United Kingdom","11","Faeroe Is.",11703384,"","ok thanks to gravity",484,488617.97,189
