CafFob,value,status,year,importerLabel,exporterLabel
FromExporter,0,imputed zero,1869,Aden,Algeria (Regency of Algiers)
FromExporter,0,imputed zero,1869,Aden,Argentina (La Plata)
FromExporter,0,imputed zero,1869,Aden,Austria-Hungary (Austrian Empire)
FromExporter,0,imputed zero,1869,Aden,Bahamas
FromExporter,0,imputed zero,1869,Aden,Belgium
FromExporter,0,imputed zero,1869,Aden,Belize (British Honduras)
FromExporter,0,imputed zero,1869,Aden,Bermuda
FromExporter,0,imputed zero,1869,Aden,Brazil
FromExporter,0,imputed zero,1869,Aden,British Columbia
FromExporter,0,imputed zero,1869,Aden,Canada (Province of Canada)
FromExporter,0,imputed zero,1869,Aden,Cape Colony (Cape of Good Hope)
FromExporter,0,imputed zero,1869,Aden,Chile
FromExporter,0,imputed zero,1869,Aden,Dominica
FromExporter,0,imputed zero,1869,Aden,Falkland Is.
FromExporter,0,imputed zero,1869,Aden,France
FromExporter,0,imputed zero,1869,Aden,French Guiana
FromExporter,0,imputed zero,1869,Aden,French India
FromExporter,0,imputed zero,1869,Aden,Greece
FromExporter,0,imputed zero,1869,Aden,Guadeloupe
FromExporter,0,imputed zero,1869,Aden,Guyana (British Guiana)
FromExporter,0,imputed zero,1869,Aden,Haiti
FromExporter,328829,ok,1869,Aden,India
FromExporter,0,imputed zero,1869,Aden,Italy
FromExporter,0,imputed zero,1869,Aden,Jamaica
FromExporter,0,imputed zero,1869,Aden,Leeward Is.
FromExporter,0,imputed zero,1869,Aden,Malta
FromExporter,0,imputed zero,1869,Aden,Martinique
FromExporter,0,imputed zero,1869,Aden,Mauritius
FromExporter,0,imputed zero,1869,Aden,Natal
FromExporter,0,imputed zero,1869,Aden,Netherlands
FromExporter,0,imputed zero,1869,Aden,New South Wales
FromExporter,0,imputed zero,1869,Aden,New Zealand
FromExporter,0,imputed zero,1869,Aden,Newfoundland and Labrador (Newfoundland)
FromExporter,0,imputed zero,1869,Aden,Norway
FromExporter,0,imputed zero,1869,Aden,People's Republic of China (China)
FromExporter,0,imputed zero,1869,Aden,Portugal
FromExporter,0,imputed zero,1869,Aden,Prince Edward Is.
FromExporter,0,imputed zero,1869,Aden,Queensland
FromExporter,0,imputed zero,1869,Aden,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1869,Aden,Russia (USSR)
FromExporter,0,imputed zero,1869,Aden,Senegal
FromExporter,0,imputed zero,1869,Aden,Sierra Leone
FromExporter,0,imputed zero,1869,Aden,South Australia
FromExporter,0,imputed zero,1869,Aden,Spain
FromExporter,10075,ok,1869,Aden,Sri Lanka (Ceylon)
FromExporter,0,imputed zero,1869,Aden,St. Helena
FromExporter,0,imputed zero,1869,Aden,St. Pierre and Miquelon
FromExporter,0,imputed zero,1869,Aden,Straits Settlements
FromExporter,0,imputed zero,1869,Aden,Sweden
FromExporter,0,imputed zero,1869,Aden,Tasmania
FromExporter,0,imputed zero,1869,Aden,Trinidad
FromExporter,0,imputed zero,1869,Aden,Turks and Caicos Is.
FromExporter,62086,ok,1869,Aden,United Kingdom
FromExporter,0,imputed zero,1869,Aden,United States of America
FromExporter,0,imputed zero,1869,Aden,Uruguay
FromExporter,0,imputed zero,1869,Aden,Victoria
FromExporter,0,imputed zero,1869,Aden,Western Australia
FromExporter,0,imputed zero,1869,Aden,Windward Is.
FromExporter,0,imputed zero,1869,Alaska,Aden
FromExporter,0,imputed zero,1869,Alaska,Algeria (Regency of Algiers)
FromExporter,0,imputed zero,1869,Alaska,Argentina (La Plata)
FromExporter,0,imputed zero,1869,Alaska,Austria-Hungary (Austrian Empire)
FromExporter,0,imputed zero,1869,Alaska,Bahamas
FromExporter,0,imputed zero,1869,Alaska,Belgium
FromExporter,0,imputed zero,1869,Alaska,Belize (British Honduras)
FromExporter,0,imputed zero,1869,Alaska,Bermuda
FromExporter,,unknown despite gravity,1869,Alaska,Brazil
FromExporter,0,imputed zero,1869,Alaska,British Columbia
FromExporter,0,imputed zero,1869,Alaska,Canada (Province of Canada)
FromExporter,0,imputed zero,1869,Alaska,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1869,Alaska,Chile
FromExporter,0,imputed zero,1869,Alaska,Dominica
FromExporter,0,imputed zero,1869,Alaska,Falkland Is.
FromExporter,0,imputed zero,1869,Alaska,France
FromExporter,0,imputed zero,1869,Alaska,French Guiana
FromExporter,0,imputed zero,1869,Alaska,French India
FromExporter,0,imputed zero,1869,Alaska,Greece
FromExporter,0,imputed zero,1869,Alaska,Guadeloupe
FromExporter,0,imputed zero,1869,Alaska,Guyana (British Guiana)
FromExporter,0,imputed zero,1869,Alaska,Haiti
FromExporter,0,imputed zero,1869,Alaska,India
FromExporter,,unknown despite gravity,1869,Alaska,Italy
FromExporter,0,imputed zero,1869,Alaska,Jamaica
FromExporter,0,imputed zero,1869,Alaska,Leeward Is.
FromExporter,0,imputed zero,1869,Alaska,Malta
