CafFob,value,status,year,importerLabel,exporterLabel
FromExporter,0,imputed zero,1916,Aden,Alaska
FromExporter,0,imputed zero,1916,Aden,Algeria (Regency of Algiers)
FromExporter,0,imputed zero,1916,Aden,Argentina (La Plata)
FromExporter,57,ok,1916,Aden,Australia
FromExporter,0,imputed zero,1916,Aden,Austria-Hungary (Austrian Empire)
FromExporter,0,imputed zero,1916,Aden,Bahamas
FromExporter,0,imputed zero,1916,Aden,Barbados
FromExporter,0,imputed zero,1916,Aden,Belize (British Honduras)
FromExporter,0,imputed zero,1916,Aden,Bermuda
FromExporter,0,imputed zero,1916,Aden,Bolivia
FromExporter,0,imputed zero,1916,Aden,Brazil
FromExporter,0,imputed zero,1916,Aden,Bulgaria
FromExporter,2887.4038,ok,1916,Aden,Canada (Province of Canada)
FromExporter,0,imputed zero,1916,Aden,Chile
FromExporter,0,imputed zero,1916,Aden,Colombia (New Granada) (Gran Colombia)
FromExporter,0,imputed zero,1916,Aden,Costa Rica
FromExporter,0,imputed zero,1916,Aden,Cuba
FromExporter,0,imputed zero,1916,Aden,Cyprus
FromExporter,0,imputed zero,1916,Aden,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
FromExporter,,unknown despite gravity,1916,Aden,Denmark
FromExporter,0,imputed zero,1916,Aden,Dominican Republic (Santo Domingo)
FromExporter,0,imputed zero,1916,Aden,Ecuador
FromExporter,0,imputed zero,1916,Aden,Egypt Arab Republic (Egypt)
FromExporter,0,imputed zero,1916,Aden,El Salvador
FromExporter,0,imputed zero,1916,Aden,Falkland Is.
FromExporter,0,imputed zero,1916,Aden,Federated Malay States
FromExporter,0,imputed zero,1916,Aden,Fiji
FromExporter,0,imputed zero,1916,Aden,France
FromExporter,0,imputed zero,1916,Aden,French Indochina
FromExporter,0,imputed zero,1916,Aden,Gambia
FromExporter,0,imputed zero,1916,Aden,Ghana (Gold Coast)
FromExporter,0,imputed zero,1916,Aden,Greece
FromExporter,0,imputed zero,1916,Aden,Guyana (British Guiana)
FromExporter,0,imputed zero,1916,Aden,Hawaii (Sandwich Is.)
FromExporter,0,imputed zero,1916,Aden,Iceland
FromExporter,1335653,ok,1916,Aden,India
FromExporter,0,imputed zero,1916,Aden,Iran (Persia)
FromExporter,22401.58,ok,1916,Aden,Italy
FromExporter,0,imputed zero,1916,Aden,Jamaica
FromExporter,0,imputed zero,1916,Aden,Japan
FromExporter,0,imputed zero,1916,Aden,Johore
FromExporter,0,imputed zero,1916,Aden,Kedah
FromExporter,0,imputed zero,1916,Aden,Kelantan
FromExporter,0,imputed zero,1916,Aden,Kenya (British East Africa Protectorate)
FromExporter,0,imputed zero,1916,Aden,Leeward Is.
FromExporter,0,imputed zero,1916,Aden,Malawi (Nyasaland) (British Central Africa Protectorate)
FromExporter,0,imputed zero,1916,Aden,Malta
FromExporter,0,imputed zero,1916,Aden,Mauritius
FromExporter,0,imputed zero,1916,Aden,Morocco
FromExporter,0,imputed zero,1916,Aden,Netherlands
FromExporter,0,imputed zero,1916,Aden,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
FromExporter,0,imputed zero,1916,Aden,New Zealand
FromExporter,0,imputed zero,1916,Aden,Newfoundland and Labrador (Newfoundland)
FromExporter,0,imputed zero,1916,Aden,Nicaragua
