year,CafFob,status,value,importerLabel,exporterLabel
1906,"FromExporter","imputed zero",0,"Adelie Land","Aden"
1906,"FromExporter","imputed zero",0,"Adelie Land","Alaska"
1906,"FromExporter","imputed zero",0,"Adelie Land","Algeria (Regency of Algiers)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Argentina (La Plata)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Australia"
1906,"FromExporter","imputed zero",0,"Adelie Land","Austria-Hungary (Austrian Empire)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Bahamas"
1906,"FromExporter","imputed zero",0,"Adelie Land","Barbados"
1906,"FromExporter","imputed zero",0,"Adelie Land","Belgium"
1906,"FromExporter","imputed zero",0,"Adelie Land","Belize (British Honduras)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Bermuda"
1906,"FromExporter","imputed zero",0,"Adelie Land","Bulgaria"
1906,"FromExporter","imputed zero",0,"Adelie Land","Canada (Province of Canada)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Cape Colony (Cape of Good Hope)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Chile"
1906,"FromExporter","imputed zero",0,"Adelie Land","Comoros"
1906,"FromExporter","imputed zero",0,"Adelie Land","Congo (Brazzaville) (French Congo) (Middle Congo)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Costa Rica"
1906,"FromExporter","imputed zero",0,"Adelie Land","Cuba"
1906,"FromExporter","imputed zero",0,"Adelie Land","Cyprus"
1906,"FromExporter","imputed zero",0,"Adelie Land","Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Denmark"
1906,"FromExporter","imputed zero",0,"Adelie Land","Djibouti (Afar and Issas) (French Somaliland)"
1906,"FromExporter","imputed zero",0,"Adelie Land","Egypt Arab Republic (Egypt)"
1906,"FromExporter","imputed zero",0,"Adelie Land","El Salvador"
1906,"FromExporter","imputed zero",0,"Adelie Land","Falkland Is."
1906,"FromExporter","imputed zero",0,"Adelie Land","Federated Malay States"
1906,"FromExporter","imputed zero",0,"Adelie Land","France"
1906,"FromExporter","imputed zero",0,"Adelie Land","French Guiana"
1906,"FromExporter","imputed zero",0,"Adelie Land","French India"
