year,CafFob,status,value,importerLabel,exporterLabel
1918,"FromExporter","imputed zero",0,"Adelie Land","Aden"
1918,"FromExporter","imputed zero",0,"Adelie Land","Alaska"
1918,"FromExporter","imputed zero",0,"Adelie Land","Algeria (Regency of Algiers)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Argentina (La Plata)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Australia"
1918,"FromExporter","imputed zero",0,"Adelie Land","Bahamas"
1918,"FromExporter","imputed zero",0,"Adelie Land","Barbados"
1918,"FromExporter","imputed zero",0,"Adelie Land","Belize (British Honduras)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Bermuda"
1918,"FromExporter","imputed zero",0,"Adelie Land","Bolivia"
1918,"FromExporter","imputed zero",0,"Adelie Land","Brazil"
1918,"FromExporter","imputed zero",0,"Adelie Land","Bulgaria"
1918,"FromExporter","imputed zero",0,"Adelie Land","Canada (Province of Canada)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Chile"
1918,"FromExporter","imputed zero",0,"Adelie Land","Colombia (New Granada) (Gran Colombia)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Cuba"
1918,"FromExporter","imputed zero",0,"Adelie Land","Cyprus"
1918,"FromExporter","imputed zero",0,"Adelie Land","Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Denmark"
1918,"FromExporter","imputed zero",0,"Adelie Land","Djibouti (Afar and Issas) (French Somaliland)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Dominican Republic (Santo Domingo)"
1918,"FromExporter","imputed zero",0,"Adelie Land","Ecuador"
1918,"FromExporter","imputed zero",0,"Adelie Land","Egypt Arab Republic (Egypt)"
1918,"FromExporter","imputed zero",0,"Adelie Land","El Salvador"
1918,"FromExporter","imputed zero",0,"Adelie Land","Falkland Is."
1918,"FromExporter","imputed zero",0,"Adelie Land","Federated Malay States"
1918,"FromExporter","imputed zero",0,"Adelie Land","Fiji"
1918,"FromExporter","imputed zero",0,"Adelie Land","Finland"
1918,"FromExporter","imputed zero",0,"Adelie Land","France"
1918,"FromExporter","imputed zero",0,"Adelie Land","French Equatorial Africa"
