__origid,ipno,epno,exporter_part,importer_part,year,importerId,importerLabel,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,originalReportedTradeFlowId,status,notes,ln_value,importer_lbl,exporter_lbl,importer,importer_coef,exporter,exporter_coef,importer_lat,importer_lng,exporter_lat,exporter_lng,distance_km,ln_distance,pred,sum_pred,pred_trade,success
1944,1,2,Puerto Rico,Belgium,1890,211,Belgium,1,,,Cuba & Puerto Rico,Puerto Rico,,,,24557.98,211,,,,ok thanks to gravity,,10.108792,Belgium,Cuba & Puerto Rico,31,3.419667852060166,198,-.598346184140553,50.641109,4.6680555,18.25,-66.5,7136.674792545111,8.8730021,4.9867787,11.692198,10474.097,14083.885
1944,1,1,Cuba,Belgium,1890,211,Belgium,1,,,Cuba & Puerto Rico,Cuba,,,,24557.98,211,,,,ok thanks to gravity,,10.108792,Belgium,Cuba & Puerto Rico,31,3.419667852060166,67,-.3022202433114964,50.641109,4.6680555,22,-79.5,7745.365064072016,8.9548502,6.7054195,11.692198,14083.885,14083.885
2099,1,1,Norway,Bulgaria,1890,355,Bulgaria,1,,,Norway & Sweden,Norway,,,,1293.8354,355,,,,ok thanks to gravity,,7.1653662,Bulgaria,Norway & Sweden,50,.8467843242704173,176,-.3147228609266168,42.75,25.5,65,11,2638.611623360674,7.8780084,.50536716,2.451144,266.75787,1027.0776
2099,1,2,Sweden,Bulgaria,1890,355,Bulgaria,1,,,Norway & Sweden,Sweden,,,,1293.8354,355,,,,ok thanks to gravity,,7.1653662,Bulgaria,Norway & Sweden,50,.8467843242704173,231,1.033408473087337,42.75,25.5,61,15,2149.175943224268,7.6728396,1.9457768,2.451144,1027.0776,1027.0776
2154,1,3,Venezuela,Netherlands,1890,210,Netherlands,1,,,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Venezuela,,,,92541.094,210,,,,ok thanks to gravity,,11.435408,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,165,3.457585935427476,245,.2707211647911348,52.316666,5.5500002,8,-67,8123.43148691702,9.0025082,12.351477,18.462044,61911.844,61911.844
2154,1,1,Colombia (New Granada) (Gran Colombia),Netherlands,1890,210,Netherlands,1,,,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Colombia (New Granada) (Gran Colombia),,,,92541.094,210,,,,ok thanks to gravity,,11.435408,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,165,3.457585935427476,60,-1.571669804729103,52.316666,5.5500002,4,-73.25,8896.169021487487,9.0933762,1.9569451,18.462044,9809.1973,61911.844
2154,1,2,Ecuador,Netherlands,1890,210,Netherlands,1,,,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Ecuador,,,,92541.094,210,,,,ok thanks to gravity,,11.435408,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,165,3.457585935427476,82,-.819073944734805,52.316666,5.5500002,-1,-78,9656.574984813695,9.1753941,4.1536212,18.462044,20820.049,61911.844
2309,1,5,Nicaragua,Germany (Zollverein),1890,255,Germany (Zollverein),1,,,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Nicaragua,,,,688707.94,255,,,,ok thanks to gravity,,13.442573,Germany (Zollverein),Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,109,5.606935011010055,173,-.2081149696995803,51,10,13,-85,9241.799755200356,9.1314917,65.646782,182.00896,248402.39,286404.34
2309,1,3,Guatemala,Germany (Zollverein),1890,255,Germany (Zollverein),1,,,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Guatemala,,,,688707.94,255,,,,ok thanks to gravity,,13.442573,Germany (Zollverein),Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,109,5.606935011010055,118,-1.049594281196923,51,10,15.5,-90.25,9382.487466867593,9.1465998,28.298512,182.00896,107079.4,286404.34
2309,1,4,Honduras,Germany (Zollverein),1890,255,Germany (Zollverein),1,,,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Honduras,,,,688707.94,255,,,,ok thanks to gravity,,13.442573,Germany (Zollverein),Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,109,5.606935011010055,125,-.0657603721758701,51,10,14.633333,-86.816666,9225.74382524365,9.1297531,75.689781,182.00896,286404.34,286404.34
2309,1,2,El Salvador,Germany (Zollverein),1890,255,Germany (Zollverein),1,,,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,El Salvador,,,,688707.94,255,,,,ok thanks to gravity,,13.442573,Germany (Zollverein),Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,109,5.606935011010055,84,-2.780728390194863,51,10,13.668889,-88.866112,9447.714194945811,9.1535282,5.0111985,182.00896,18961.99,286404.34
2309,1,1,Costa Rica,Germany (Zollverein),1890,255,Germany (Zollverein),1,,,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Costa Rica,,,,688707.94,255,,,,ok thanks to gravity,,13.442573,Germany (Zollverein),Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,109,5.606935011010055,64,-2.39597910138742,51,10,10,-84,9430.060318919917,9.1516581,7.3626828,182.00896,27859.828,286404.34
2373,1,1,Gibraltar,Norway,1890,385,Norway,1,,,Gibraltar & Malta,Gibraltar,,,,302.55798,385,,,,ok thanks to gravity,,5.7122731,Norway,Gibraltar & Malta,175,1.206770258379847,112,-4.003889190879889,65,11,36.139999,-5.3499999,3388.95481597718,8.1282768,.018103492,.062254373,87.983475,214.57451
2373,1,2,Malta,Norway,1890,385,Norway,1,,,Gibraltar & Malta,Malta,,,,302.55798,385,,,,ok thanks to gravity,,5.7122731,Norway,Gibraltar & Malta,175,1.206770258379847,153,-3.11238111263554,65,11,35.883335,14.5,3247.141186130548,8.0855303,.044150881,.062254373,214.57451,214.57451
2501,1,1,Norway,South Australia,1890,903,South Australia,1,,,Norway & Sweden,Norway,,,,81046,903,,,,ok thanks to gravity,,11.302773,South Australia,Norway & Sweden,212,2.043783995751328,176,-.3147228609266168,-30,135,65,11,14568.69156873213,9.5866299,1.6728514,8.1137037,16709.744,64336.258
2501,1,2,Sweden,South Australia,1890,903,South Australia,1,,,Norway & Sweden,Sweden,,,,81046,903,,,,ok thanks to gravity,,11.302773,South Australia,Norway & Sweden,212,2.043783995751328,231,1.033408473087337,-30,135,61,15,14480.78342818631,9.5805779,6.4408526,8.1137037,64336.258,64336.258
2545,1,2,Sweden,Argentina (La Plata),1890,160,Argentina (La Plata),1,,,Norway & Sweden,Sweden,,,,34927.883,160,,,,ok thanks to gravity,,10.46104,Argentina (La Plata),Norway & Sweden,19,4.948731785107698,231,1.033408473087337,-34,-64,61,15,12693.85659842475,9.4488735,117.6376,148.19104,27726.592,27726.592
2545,1,1,Norway,Argentina (La Plata),1890,160,Argentina (La Plata),1,,,Norway & Sweden,Norway,,,,34927.883,160,,,,ok thanks to gravity,,10.46104,Argentina (La Plata),Norway & Sweden,19,4.948731785107698,176,-.3147228609266168,-34,-64,65,11,12718.5836244821,9.450819,30.553444,148.19104,7201.293,27726.592
2562,1,1,Argentina (La Plata),Norway,1890,Norway & Sweden,Norway,,,,160,Argentina (La Plata),1,,,12364.183,160,,,,ok thanks to gravity,,9.4225588,Norway & Sweden,Argentina (La Plata),175,1.206770258379847,17,.9167794729660638,65,11,-34,-64,12718.5836244821,9.450819,2.4818847,19.590464,1566.3987,10797.784
2562,2,1,Argentina (La Plata),Sweden,1890,Norway & Sweden,Sweden,,,,160,Argentina (La Plata),1,,,12364.183,160,,,,ok thanks to gravity,,9.4225588,Norway & Sweden,Argentina (La Plata),231,3.137332062393393,17,.9167794729660638,61,15,-34,-64,12693.85659842475,9.4488735,17.10858,19.590464,10797.784,10797.784
