key,common_empire,year
"1024-200",1,1817
"1024-200",1,1818
"1024-200",1,1819
"1024-200",1,1820
"1024-200",1,1821
"1024-200",1,1822
"1024-200",1,1823
"1024-200",1,1824
"1024-200",1,1825
"1024-200",1,1826
"1024-200",1,1827
"1024-200",1,1828
"1024-200",1,1829
"1024-200",1,1830
"1024-200",1,1831
"1024-200",1,1832
"1024-200",1,1833
"1024-200",1,1834
"1024-200",1,1835
"1024-200",1,1836
"1024-200",1,1837
"1024-200",1,1838
"1024-200",1,1839
"1024-200",1,1840
"1024-200",1,1841
"1024-200",1,1842
"1024-200",1,1843
"1024-200",1,1844
"1024-200",1,1845
"1024-200",1,1846
"1024-200",1,1847
"1024-200",1,1848
"1024-200",1,1849
"1024-200",1,1850
"1024-200",1,1851
"1024-200",1,1852
"1024-200",1,1853
"1024-200",1,1854
"1024-200",1,1855
"1024-200",1,1856
"1024-200",1,1857
"1024-200",1,1858
"1024-200",1,1859
"1024-200",1,1860
"1024-200",1,1861
"1024-200",1,1862
"1024-200",1,1863
"1024-200",1,1864
"1024-200",1,1865
"1024-200",1,1866
"1024-200",1,1867
"1024-200",1,1868
"1024-200",1,1869
"1024-200",1,1870
"1024-200",1,1871
"1024-200",1,1872
"1024-200",1,1873
"1025-200",1,1816
"1025-200",1,1817
"1025-200",1,1818
"1025-200",1,1819
"1025-200",1,1820
"1025-200",1,1821
"1025-200",1,1822
"1025-200",1,1823
"1025-200",1,1824
"1025-200",1,1825
"1025-200",1,1826
"1025-200",1,1827
"1025-200",1,1828
"1025-200",1,1829
"1025-200",1,1830
"1025-200",1,1831
"1025-200",1,1832
"1025-200",1,1833
"1025-200",1,1834
"1025-200",1,1835
"1025-200",1,1836
"1025-200",1,1837
"1025-200",1,1838
"1025-200",1,1839
"1025-200",1,1840
"1025-200",1,1841
"1026-200",1,1816
"1026-200",1,1817
"1026-200",1,1818
"1026-200",1,1819
"1026-200",1,1820
"1026-200",1,1821
"1026-200",1,1822
"1026-200",1,1823
"1026-200",1,1824
"1026-200",1,1825
"1026-200",1,1826
"1026-200",1,1827
"1026-200",1,1828
"1026-200",1,1829
"1026-200",1,1830
