key,common_empire,year
"2-9467",1,1962
"2-9467",1,1963
"2-9467",1,1964
"2-9467",1,1965
"2-9467",1,1966
"2-9467",1,1967
"2-9467",1,1968
"2-9467",1,1969
"2-9467",1,1970
"2-9467",1,1971
"2-9467",1,1972
"2-9467",1,1973
"2-9467",1,1974
"2-9467",1,1975
"2-9467",1,1976
"2-9467",1,1977
"2-9467",1,1978
"2-9467",1,1979
"2-9720",1,1898
"2-9720",1,1902
"2-9720",1,1914
"2-9720",1,1916
"2-9720",1,1918
"2-9720",1,1919
"2-9720",1,1922
"2-9720",1,1923
"2-9720",1,1924
"2-9720",1,1927
"2-9720",1,1929
"2-9720",1,1934
"2-9720",1,1935
"2-9720",1,1937
"2-9720",1,1941
"2-9720",1,1942
"2-9720",1,1943
"2-9720",1,1945
"2-9720",1,1946
"2-9720",1,1947
"2-9720",1,1949
"2-9720",1,1950
"2-9720",1,1951
"2-9720",1,1952
"2-9720",1,1953
"2-9720",1,1954
"2-9720",1,1955
"2-9720",1,1956
"2-9720",1,1957
"2-9720",1,1958
"2-9720",1,1959
"2-9720",1,1960
"2-9720",1,1961
"2-9720",1,1963
"2-9720",1,1964
"2-9720",1,1966
"2-9720",1,1967
"2-9720",1,1971
"2-9720",1,1972
"2-9720",1,1974
"2-9720",1,1976
"2-9720",1,1977
"2-9720",1,1978
"2-9720",1,1979
"2-9720",1,1982
"2-9720",1,1983
"2-9720",1,1984
"2-9720",1,1985
"2-9720",1,1986
"2-9720",1,1988
"2-9720",1,1990
"2-9720",1,1991
"2-9720",1,1992
"2-9720",1,1994
"2-9720",1,1995
"2-9720",1,1996
"2-9720",1,1997
"2-9720",1,1999
"2-9720",1,2001
"2-9720",1,2003
"2-9720",1,2004
"2-9720",1,2005
"2-9720",1,2007
"2-9720",1,2008
"2-9720",1,2010
"2-9720",1,2011
"2-9720",1,2013
"2-9720",1,2014
"2-9720",1,2015
"2-9720",1,2016
"2-9720",1,2019
"2-9720",1,2021
"2-9720",1,2022
"2-9720",1,2024
"2-9720",1,2026
"2-9720",1,2027
"2-9720",1,2028
"2-9720",1,2030
"2-9720",1,2031
"2-9720",1,2032
"2-9720",1,2033
"2-9720",1,2035
"2-9720",1,2037
"2-9720",1,2039
"2-9720",1,2043
"2-9720",1,2044
"2-9720",1,2046
"2-9720",1,2047
"2-9720",1,2048
"2-9720",1,2051
"2-9720",1,2052
"2-9720",1,2053
"2-9720",1,2054
"2-9720",1,2055
"2-9720",1,2057
"2-9720",1,2058
"2-9720",1,2060
"2-9720",1,2061
"2-9720",1,2062
"2-9720",1,2063
"2-9720",1,2064
"2-9720",1,2065
"2-9720",1,2066
"2-9730",1,1859
"2-9730",1,1860
"2-9730",1,1861
"2-9730",1,1862
"2-9730",1,1863
"2-9730",1,1864
"2-9730",1,1865
"2-9730",1,1866
"2-9730",1,1867
"2-9730",1,1868
"2-9730",1,1869
"2-9730",1,1870
"2-9730",1,1871
"2-9730",1,1872
"2-9730",1,1873
"2-9730",1,1874
"2-9730",1,1875
"2-9730",1,1876
"2-9730",1,1877
"2-9730",1,1878
"2-9730",1,1879
"2-9730",1,1880
"2-9730",1,1881
"2-9730",1,1882
"2-9730",1,1883
"2-9730",1,1884
"2-9730",1,1885
"2-9730",1,1886
"2-9730",1,1887
"2-9730",1,1888
"2-9730",1,1889
"2-9730",1,1890
"2-9730",1,1891
"2-9730",1,1892
"2-9730",1,1893
"2-9730",1,1894
"2-9730",1,1895
"2-9730",1,1896
"2-9730",1,1897
"2-9730",1,1898
"2-9730",1,1899
"2-9730",1,1900
"2-9730",1,1901
"2-9730",1,1902
"2-9730",1,1903
"2-9730",1,1904
"2-9730",1,1905
"2-9730",1,1906
"2-9730",1,1907
"2-9730",1,1908
"2-9730",1,1909
"2-9730",1,1910
"2-9730",1,1911
"2-9730",1,1912
"2-9730",1,1913
"2-9730",1,1914
"2-9730",1,1915
"2-9730",1,1916
"2-9730",1,1917
"2-9730",1,1918
"2-9730",1,1919
"2-9730",1,1920
"2-9730",1,1921
"2-9730",1,1922
"2-9730",1,1923
"2-9730",1,1924
"2-9730",1,1925
"2-9730",1,1926
"2-9730",1,1927
"2-9730",1,1928
"2-9730",1,1929
"2-9730",1,1930
"2-9730",1,1931
"2-9730",1,1932
"2-9730",1,1933
"2-9730",1,1934
"2-9730",1,1935
"2-9730",1,1936
"2-9730",1,1937
"2-9730",1,1938
"2-9730",1,1939
"2-9730",1,1940
"2-9730",1,1941
"2-9730",1,1942
"2-9730",1,1943
"2-9730",1,1944
"2-9730",1,1945
"2-9730",1,1946
"2-9730",1,1947
"2-9730",1,1948
"2-9730",1,1949
"2-9730",1,1950
"2-9730",1,1951
"2-9730",1,1952
"2-9730",1,1953
"2-9730",1,1954
"2-9730",1,1955
"2-9730",1,1956
"2-9730",1,1957
"2-9730",1,1958
"2-9730",1,1959
"2-9730",1,1960
"2-9730",1,1961
"2-9730",1,1962
"2-9730",1,1963
"2-9730",1,1964
"2-9730",1,1965
"2-9730",1,1966
"2-9730",1,1967
"2-9730",1,1968
"2-9730",1,1969
"2-9730",1,1970
"2-9730",1,1971
"2-9730",1,1972
"2-9730",1,1973
"2-9730",1,1974
"2-9730",1,1975
"2-9730",1,1976
"2-9730",1,1977
"2-9730",1,1978
"2-9730",1,1979
"2-9730",1,1980
"2-9730",1,1981
"2-9730",1,1982
"2-9730",1,1983
"2-9730",1,1984
"2-9730",1,1985
"2-9730",1,1986
"2-9730",1,1987
"2-9730",1,1988
"2-9730",1,1989
"2-9730",1,1990
"2-9730",1,1991
"2-9730",1,1992
"2-9730",1,1993
"2-9730",1,1994
"2-9730",1,1995
"2-9730",1,1996
"2-9730",1,1997
"2-9730",1,1998
"2-9730",1,1999
"2-9730",1,2000
"2-9730",1,2001
"2-9730",1,2002
"2-9730",1,2003
"2-9730",1,2004
"2-9730",1,2005
"2-9730",1,2006
"2-9730",1,2007
"2-9730",1,2008
"2-9730",1,2009
"2-9730",1,2010
"2-9730",1,2011
"2-9730",1,2012
"2-9730",1,2013
"2-9730",1,2014
"2-9730",1,2015
"2-9730",1,2016
"2-9730",1,2017
"2-9730",1,2018
"2-9730",1,2019
"2-9730",1,2020
"2-9730",1,2021
"2-9730",1,2022
"2-9740",1,1960
"2-9740",1,1961
"2-9740",1,1962
"2-9740",1,1963
"2-9740",1,1964
"2-9740",1,1965
"2-9740",1,1966
"2-9740",1,1967
"2-9740",1,1968
"2-9740",1,1969
"2-9740",1,1970
"2-9740",1,1971
"2-9740",1,1972
"2-9740",1,1973
"2-9740",1,1974
"2-9740",1,1975
"2-9740",1,1976
"2-9740",1,1977
"2-9740",1,1978
"2-9740",1,1979
"2-9740",1,1980
"2-9740",1,1981
"2-9740",1,1982
"2-9740",1,1983
"2-9740",1,1984
"2-9740",1,1985
"2-9740",1,1986
"2-9740",1,1987
"2-9740",1,1988
"2-9740",1,1989
"2-9740",1,1990
"2-9740",1,1991
"2-9740",1,1992
"2-9740",1,1993
"2-9740",1,1994
"2-9740",1,1995
"2-9740",1,1996
"2-9740",1,1997
"2-9740",1,1998
"2-9740",1,1999
"2-9740",1,2000
"2-9740",1,2001
"2-9740",1,2002
"2-9740",1,2003
"2-9740",1,2004
"2-9740",1,2005
"2-9740",1,2006
"2-9740",1,2007
"2-9740",1,2008
"2-9740",1,2009
"2-9740",1,2010
"2-9740",1,2011
"2-9740",1,2012
"2-9740",1,2013
"2-9740",1,2014
"2-9740",1,2015
"2-9740",1,2016
"2-9740",1,2017
"2-9740",1,2018
"2-9740",1,2019
"2-9740",1,2020
"2-9740",1,2021
"2-9740",1,2022
"2-9750",1,1934
"2-9750",1,1935
"2-9750",1,1936
"2-9750",1,1937
"2-9750",1,1938
"2-9750",1,1939
"2-9750",1,1940
"2-9750",1,1941
"2-9750",1,1942
"2-9750",1,1943
"2-9750",1,1944
"2-9750",1,1945
"2-9750",1,1946
"2-9750",1,1947
"2-9750",1,1948
"2-9750",1,1949
"2-9750",1,1950
"2-9750",1,1951
"2-9750",1,1952
"2-9750",1,1953
"2-9750",1,1954
"2-9750",1,1955
"2-9750",1,1956
"2-9750",1,1957
"2-9750",1,1958
"2-9750",1,1959
"2-9750",1,1960
"2-9750",1,1961
"2-9750",1,1962
"2-9750",1,1963
"2-9750",1,1964
"2-9750",1,1965
"2-9750",1,1966
"2-9750",1,1967
"2-9750",1,1968
"2-9750",1,1969
"2-9750",1,1970
"2-9750",1,1971
"2-9750",1,1972
"2-9750",1,1973
"2-9750",1,1974
"2-9750",1,1975
"2-9750",1,1976
"2-9750",1,1977
"2-9750",1,1978
"2-9750",1,1979
"2-9750",1,1980
"2-9750",1,1981
"2-9750",1,1982
"2-9750",1,1983
"2-9750",1,1984
"2-9750",1,1985
"2-9750",1,1986
"2-9750",1,1987
"2-9750",1,1988
"2-9750",1,1989
"2-9750",1,1990
"2-9750",1,1991
"2-9750",1,1992
"2-9750",1,1993
"2-9750",1,1994
"2-9750",1,1995
"2-9750",1,1996
"2-9750",1,1997
"2-9750",1,1998
"2-9750",1,1999
"2-9750",1,2000
"2-9750",1,2001
"2-9750",1,2002
"2-9750",1,2003
"2-9750",1,2004
"2-9750",1,2005
"2-9750",1,2006
"2-9750",1,2007
"2-9750",1,2008
"2-9750",1,2009
"2-9750",1,2010
"2-9750",1,2011
"2-9750",1,2012
"2-9750",1,2013
"2-9750",1,2014
"2-9750",1,2015
"2-9750",1,2016
"2-9750",1,2017
"2-9750",1,2018
"2-9750",1,2019
"2-9750",1,2020
"2-9750",1,2021
"2-9750",1,2022
"2-9760",1,1922
"2-9760",1,1923
"2-9760",1,1924
"2-9760",1,1925
"2-9760",1,1926
"2-9760",1,1927
"2-9760",1,1928
"2-9760",1,1929
"2-9760",1,1930
"2-9760",1,1931
"2-9760",1,1932
"2-9760",1,1933
"2-9760",1,1934
"2-9760",1,1935
"2-9760",1,1936
"2-9760",1,1937
"2-9760",1,1938
"2-9760",1,1939
"2-9760",1,1940
"2-9760",1,1941
"2-9760",1,1942
"2-9760",1,1943
"2-9760",1,1944
"2-9760",1,1945
"2-9760",1,1946
"2-9760",1,1947
"2-9760",1,1948
"2-9760",1,1949
"2-9760",1,1950
"2-9760",1,1951
"2-9760",1,1952
"2-9760",1,1953
"2-9760",1,1954
"2-9760",1,1955
"2-9760",1,1956
"2-9760",1,1957
"2-9760",1,1958
"2-9760",1,1959
"2-9760",1,1960
"2-9760",1,1961
"2-9760",1,1962
"2-9760",1,1963
"2-9760",1,1964
"2-9760",1,1965
"2-9760",1,1966
"2-9760",1,1967
"2-9760",1,1968
"2-9760",1,1969
"2-9760",1,1970
"2-9760",1,1971
"2-9760",1,1972
"2-9760",1,1973
"2-9760",1,1974
"2-9760",1,1975
"2-9760",1,1976
"2-9760",1,1977
"2-9760",1,1978
"2-9760",1,1979
"2-9760",1,1980
"2-9760",1,1981
"2-9760",1,1982
"2-9760",1,1983
"2-9760",1,1984
"2-9760",1,1985
"2-9760",1,1986
"2-9760",1,1987
"2-9760",1,1988
"2-9760",1,1989
"2-9760",1,1990
"2-9760",1,1991
"2-9760",1,1992
"2-9760",1,1993
"2-9760",1,1994
"2-9760",1,1995
"2-9760",1,1996
"2-9760",1,1997
"2-9760",1,1998
"2-9760",1,1999
"2-9760",1,2000
"2-9760",1,2001
"2-9760",1,2002
"2-9760",1,2003
"2-9760",1,2004
"2-9760",1,2005
"2-9760",1,2006
"2-9760",1,2007
"2-9760",1,2008
"2-9760",1,2009
"2-9760",1,2010
"2-9760",1,2011
"2-9760",1,2012
"2-9760",1,2013
"2-9760",1,2014
"2-9760",1,2015
"2-9760",1,2016
"2-9760",1,2017
"2-9760",1,2018
"2-9760",1,2019
"2-9760",1,2020
"2-9760",1,2021
"2-9760",1,2022
"2-9770",1,1935
"2-9770",1,1936
"2-9770",1,1937
"2-9770",1,1938
"2-9770",1,1939
"2-9770",1,1940
"2-9770",1,1941
"2-9770",1,1942
"2-9770",1,1943
"2-9770",1,1944
"2-9770",1,1945
"2-9770",1,1946
"2-9770",1,1947
"2-9770",1,1948
"2-9770",1,1949
"2-9770",1,1950
"2-9770",1,1951
"2-9770",1,1952
"2-9770",1,1953
"2-9770",1,1954
"2-9770",1,1955
"2-9770",1,1956
"2-9770",1,1957
"2-9770",1,1958
"2-9770",1,1959
"2-9770",1,1960
"2-9770",1,1961
"2-9770",1,1962
"2-9770",1,1963
"2-9770",1,1964
"2-9770",1,1965
"2-9770",1,1966
"2-9770",1,1967
"2-9770",1,1968
"2-9770",1,1969
"2-9770",1,1970
"2-9770",1,1971
"2-9770",1,1972
"2-9770",1,1973
"2-9770",1,1974
"2-9770",1,1975
"2-9770",1,1976
"2-9770",1,1977
"2-9770",1,1978
"2-9770",1,1979
"2-9770",1,1980
"2-9770",1,1981
"2-9770",1,1982
"2-9770",1,1983
"2-9770",1,1984
"2-9770",1,1985
"2-9770",1,1986
"2-9770",1,1987
"2-9770",1,1988
"2-9770",1,1989
"2-9770",1,1990
"2-9770",1,1991
"2-9770",1,1992
"2-9770",1,1993
"2-9770",1,1994
"2-9770",1,1995
"2-9770",1,1996
"2-9770",1,1997
"2-9770",1,1998
"2-9770",1,1999
"2-9770",1,2000
"2-9770",1,2001
"2-9770",1,2002
"2-9770",1,2003
"2-9770",1,2004
"2-9770",1,2005
"2-9770",1,2006
"2-9770",1,2007
"2-9770",1,2008
"2-9770",1,2009
"2-9770",1,2010
"2-9770",1,2011
"2-9770",1,2012
"2-9770",1,2013
"2-9770",1,2014
"2-9770",1,2015
"2-9770",1,2016
"2-9770",1,2017
"2-9770",1,2018
"2-9770",1,2019
"2-9770",1,2020
"2-9770",1,2021
"2-9770",1,2022
"2-9771",1,1935
"2-9771",1,1936
"2-9771",1,1937
"2-9771",1,1938
"2-9771",1,1939
"2-9771",1,1940
"2-9771",1,1941
"2-9771",1,1942
"2-9771",1,1943
"2-9771",1,1944
"2-9771",1,1945
"2-9771",1,1946
"2-9771",1,1947
"2-9771",1,1948
"2-9771",1,1949
"2-9771",1,1950
"2-9771",1,1951
"2-9771",1,1952
"2-9771",1,1953
"2-9771",1,1954
"2-9771",1,1955
"2-9771",1,1956
"2-9771",1,1957
"2-9771",1,1958
"2-9771",1,1959
"2-9771",1,1960
"2-9771",1,1961
"2-9771",1,1962
"2-9771",1,1963
"2-9771",1,1964
"2-9771",1,1965
"2-9771",1,1966
"2-9771",1,1967
"2-9771",1,1968
"2-9771",1,1969
"2-9771",1,1970
"2-9771",1,1971
"2-9771",1,1972
"2-9771",1,1973
"2-9771",1,1974
"2-9771",1,1975
"2-9771",1,1976
"2-9771",1,1977
"2-9771",1,1978
"2-9771",1,1979
"2-9771",1,1980
"2-9771",1,1981
"2-9771",1,1982
"2-9771",1,1983
"2-9771",1,1984
"2-9771",1,1985
"2-9771",1,1986
"2-9771",1,1987
"2-9771",1,1988
"2-9771",1,1989
"2-9771",1,1990
"2-9771",1,1991
"2-9771",1,1992
"2-9771",1,1993
"2-9771",1,1994
"2-9771",1,1995
"2-9771",1,1996
"2-9771",1,1997
"2-9771",1,1998
"2-9771",1,1999
"2-9771",1,2000
"2-9771",1,2001
"2-9771",1,2002
"2-9771",1,2003
"2-9771",1,2004
"2-9771",1,2005
"2-9771",1,2006
"2-9771",1,2007
"2-9771",1,2008
"2-9771",1,2009
"2-9771",1,2010
"2-9771",1,2011
"2-9771",1,2012
"2-9771",1,2013
"2-9771",1,2014
"2-9771",1,2015
"2-9771",1,2016
"2-9771",1,2017
"2-9771",1,2018
"2-9771",1,2019
"2-9771",1,2020
"2-9771",1,2021
"2-9771",1,2022
"2-9772",1,1935
"2-9772",1,1936
"2-9772",1,1937
"2-9772",1,1938
"2-9772",1,1939
"2-9772",1,1940
"2-9772",1,1941
"2-9772",1,1942
"2-9772",1,1943
"2-9772",1,1944
"2-9772",1,1945
"2-9772",1,1946
"2-9772",1,1947
"2-9772",1,1948
"2-9772",1,1949
"2-9772",1,1950
"2-9772",1,1951
"2-9772",1,1952
"2-9772",1,1953
"2-9772",1,1954
"2-9772",1,1955
"2-9772",1,1956
"2-9772",1,1957
"2-9772",1,1958
"2-9772",1,1959
"2-9772",1,1960
"2-9772",1,1961
"2-9772",1,1962
"2-9772",1,1963
"2-9772",1,1964
"2-9772",1,1965
"2-9772",1,1966
"2-9772",1,1967
"2-9772",1,1968
"2-9772",1,1969
"2-9772",1,1970
"2-9772",1,1971
"2-9772",1,1972
"2-9772",1,1973
"2-9772",1,1974
"2-9772",1,1975
"2-9772",1,1976
"2-9772",1,1977
"2-9772",1,1978
"2-9772",1,1979
"2-9772",1,1980
"2-9772",1,1981
"2-9772",1,1982
"2-9772",1,1983
"2-9772",1,1984
"2-9772",1,1985
"2-9772",1,1986
"2-9772",1,1987
"2-9772",1,1988
"2-9772",1,1989
"2-9772",1,1990
"2-9772",1,1991
"2-9772",1,1992
"2-9772",1,1993
"2-9772",1,1994
"2-9772",1,1995
"2-9772",1,1996
"2-9772",1,1997
"2-9772",1,1998
"2-9772",1,1999
"2-9772",1,2000
"2-9772",1,2001
"2-9772",1,2002
"2-9772",1,2003
"2-9772",1,2004
"2-9772",1,2005
"2-9772",1,2006
"2-9772",1,2007
"2-9772",1,2008
"2-9772",1,2009
"2-9772",1,2010
"2-9772",1,2011
"2-9772",1,2012
"2-9772",1,2013
"2-9772",1,2014
"2-9772",1,2015
"2-9772",1,2016
"2-9772",1,2017
"2-9772",1,2018
"2-9772",1,2019
"2-9772",1,2020
"2-9772",1,2021
"2-9772",1,2022
"2-984",1,1986
"2-984",1,1987
"2-984",1,1988
"2-984",1,1989
"2-984",1,1990
"2-984",1,1991
"2-984",1,1992
"2-984",1,1993
"2-984",1,1994
"2-984",1,1995
"2-984",1,1996
"2-984",1,1997
"2-984",1,1998
"2-984",1,1999
"2-984",1,2000
"2-984",1,2001
"2-984",1,2002
"2-984",1,2003
"2-984",1,2004
"2-984",1,2005
"2-984",1,2006
"2-984",1,2007
"2-984",1,2008
"2-984",1,2009
"2-984",1,2010
"2-984",1,2011
"2-984",1,2012
"2-984",1,2013
"2-984",1,2014
"2-984",1,2015
"2-984",1,2016
"2-984",1,2017
"2-984",1,2018
"2-984",1,2019
"2-984",1,2020
"2-984",1,2021
"2-984",1,2022
"2-985",1,1901
"2-985",1,1902
"2-985",1,1903
"2-985",1,1907
"2-985",1,1908
"2-985",1,1910
"2-985",1,1911
"2-985",1,1912
"2-985",1,1913
"2-985",1,1929
"2-985",1,1935
"2-985",1,1939
"2-985",1,1941
"2-985",1,1944
"2-985",1,1945
"2-985",1,1946
"2-985",1,1947
"2-985",1,1949
"2-985",1,1950
"2-985",1,1951
"2-985",1,1952
"2-985",1,1954
"2-985",1,1955
"2-985",1,1956
"2-985",1,1958
"2-985",1,1959
"2-985",1,1960
"2-985",1,1961
"2-985",1,1962
"2-985",1,1963
"2-985",1,1964
"2-985",1,1965
"2-985",1,1966
"2-985",1,1967
"2-985",1,1968
"2-985",1,1969
"2-985",1,1970
"2-985",1,1971
"2-985",1,1972
"2-985",1,1973
"2-985",1,1974
"2-985",1,1976
"2-985",1,1977
"2-985",1,1978
"2-985",1,1979
"2-985",1,1980
"2-985",1,1982
"2-985",1,1983
"2-985",1,1984
"2-985",1,1986
"2-985",1,1988
"2-985",1,1989
"2-985",1,1990
"2-985",1,1991
"2-985",1,1993
"2-985",1,1994
"2-985",1,1995
"2-985",1,1997
"2-985",1,1998
"2-985",1,1999
"2-985",1,2001
"2-985",1,2002
"2-985",1,2003
"2-985",1,2005
"2-985",1,2006
"2-985",1,2007
"2-985",1,2008
"2-985",1,2009
"2-985",1,2010
"2-985",1,2011
"2-985",1,2012
"2-985",1,2013
"2-985",1,2014
"2-985",1,2015
"2-985",1,2016
"2-985",1,2017
"2-985",1,2019
"2-985",1,2020
"2-985",1,2021
"2-985",1,2022
"2-985",1,2023
"2-985",1,2024
"2-985",1,2025
"2-985",1,2026
"2-985",1,2027
"2-985",1,2028
"2-985",1,2030
"2-985",1,2031
"2-985",1,2033
"2-985",1,2034
"2-985",1,2036
"2-985",1,2038
"2-985",1,2042
"2-985",1,2045
"2-985",1,2046
"2-985",1,2047
"2-985",1,2050
"2-985",1,2052
"2-985",1,2053
"2-985",1,2055
"2-985",1,2059
"2-985",1,2061
"2-985",1,2063
"2-985",1,2064
"2-985",1,2065
"2-987",1,1986
"2-987",1,1987
"2-987",1,1988
"2-987",1,1989
"2-987",1,1990
"2-987",1,1991
"2-9900",1,1889
"2-9900",1,1890
"2-9900",1,1891
"2-9900",1,1892
"2-9900",1,1893
"2-9900",1,1894
"2-9900",1,1895
"2-9900",1,1896
"2-9900",1,1897
"2-9900",1,1898
"2-9900",1,1899
"2-9900",1,1900
"2-991",1,1900
"2-991",1,1901
"2-991",1,1902
"2-991",1,1903
"2-991",1,1904
"2-991",1,1905
"2-991",1,1906
"2-991",1,1907
"2-991",1,1908
"2-991",1,1909
"2-991",1,1910
"2-991",1,1911
"2-991",1,1912
"2-991",1,1913
"2-991",1,1914
"2-991",1,1915
"2-991",1,1916
"2-991",1,1917
"2-991",1,1918
"2-991",1,1919
"2-991",1,1920
"2-991",1,1921
"2-991",1,1922
"2-991",1,1923
"2-991",1,1924
"2-991",1,1925
"2-991",1,1926
"2-991",1,1927
"2-991",1,1928
"2-991",1,1929
"2-991",1,1930
"2-991",1,1931
"2-991",1,1932
"2-991",1,1933
"2-991",1,1934
"2-991",1,1935
"2-991",1,1936
"2-991",1,1937
"2-991",1,1938
"2-991",1,1939
"2-991",1,1940
"2-991",1,1941
"2-991",1,1942
"2-991",1,1943
"2-991",1,1944
"2-991",1,1945
"2-991",1,1946
"2-991",1,1947
"2-991",1,1948
"2-991",1,1949
"2-991",1,1950
"2-991",1,1951
"2-991",1,1952
"2-991",1,1953
"2-991",1,1954
"2-991",1,1955
"2-991",1,1956
"2-991",1,1957
"2-991",1,1958
"2-991",1,1959
"2-991",1,1960
"2-991",1,1961
"2-991",1,1962
"2-991",1,1963
"2-991",1,1964
"2-991",1,1965
"2-991",1,1966
"2-991",1,1967
"2-991",1,1968
"2-991",1,1969
"2-991",1,1970
"2-991",1,1971
"2-991",1,1972
"2-991",1,1973
"2-991",1,1974
"2-991",1,1975
"2-991",1,1976
"2-991",1,1977
"2-991",1,1978
"2-991",1,1979
"2-991",1,1980
"2-991",1,1981
"2-991",1,1982
"2-991",1,1983
"2-991",1,1984
"2-991",1,1985
"2-991",1,1986
"2-991",1,1987
"2-991",1,1988
"2-991",1,1989
"2-991",1,1990
"2-991",1,1991
"2-991",1,1992
"2-991",1,1993
"2-991",1,1994
"2-991",1,1995
"2-991",1,1996
"2-991",1,1997
"2-991",1,1998
"2-991",1,1999
"2-991",1,2000
"2-991",1,2001
"2-991",1,2002
"2-991",1,2003
"2-991",1,2004
"2-991",1,2005
"2-991",1,2006
"2-991",1,2007
"2-991",1,2008
"2-991",1,2009
"2-991",1,2010
"2-991",1,2011
"2-991",1,2012
"2-991",1,2013
"2-991",1,2014
"2-991",1,2015
"2-991",1,2016
"2-991",1,2017
"2-991",1,2018
"2-991",1,2019
"2-991",1,2020
"2-991",1,2021
"2-991",1,2022
"20-200",1,1841
"20-200",1,1842
"20-200",1,1843
"20-200",1,1844
"20-200",1,1845
"20-200",1,1846
"20-200",1,1847
"20-200",1,1848
"20-200",1,1849
"20-200",1,1850
"20-200",1,1851
"20-200",1,1852
"20-200",1,1853
"20-200",1,1854
"20-200",1,1855
"20-200",1,1856
"20-200",1,1857
"20-200",1,1858
"20-200",1,1859
"20-200",1,1860
"20-200",1,1861
"20-200",1,1862
"20-200",1,1863
"20-200",1,1864
"20-200",1,1865
"20-200",1,1866
"20-200",1,1867
"20-200",1,1868
"20-200",1,1869
"20-200",1,1870
"20-200",1,1871
"20-200",1,1872
"20-200",1,1873
"20-200",1,1874
"20-200",1,1875
"20-200",1,1876
"20-200",1,1877
"20-200",1,1878
"20-200",1,1879
"20-200",1,1880
"20-200",1,1881
"20-200",1,1882
"20-200",1,1883
"20-200",1,1884
"20-200",1,1885
"20-200",1,1886
"20-200",1,1887
"20-200",1,1888
"20-200",1,1889
"20-200",1,1890
"20-200",1,1891
"20-200",1,1892
"20-200",1,1893
"20-200",1,1894
"20-200",1,1895
"20-200",1,1896
"20-200",1,1897
"20-200",1,1898
"20-200",1,1899
"20-200",1,1900
"20-200",1,1901
"20-200",1,1902
"20-200",1,1903
"20-200",1,1904
"20-200",1,1905
"20-200",1,1906
"20-200",1,1907
"20-200",1,1908
"20-200",1,1909
"20-200",1,1910
"20-200",1,1911
"20-200",1,1912
"20-200",1,1913
"20-200",1,1914
"20-200",1,1915
"20-200",1,1916
"20-200",1,1917
"20-200",1,1918
"20-200",1,1919
"20-200",1,1920
"200-2003",1,1945
"200-2003",1,1946
"200-2003",1,1947
"200-2003",1,1948
"200-2003",1,1949
"200-2003",1,1950
"200-2003",1,1951
"200-2003",1,1952
"200-2003",1,1953
"200-2003",1,1954
"200-2003",1,1955
"200-2003",1,1956
"200-2003",1,1957
"200-2003",1,1958
"200-2003",1,1959
"200-2003",1,1960
"200-2003",1,1961
"200-2003",1,1962
"200-2003",1,1963
"200-2003",1,1964
"200-2003",1,1965
"200-2003",1,1966
"200-2003",1,1967
"200-2003",1,1968
"200-2003",1,1969
"200-2003",1,1970
"200-2003",1,1971
"200-2003",1,1972
"200-2003",1,1973
"200-2003",1,1974
"200-2003",1,1975
"200-2003",1,1976
"200-2003",1,1977
"200-2003",1,1978
"200-2003",1,1979
"200-2003",1,1980
"200-2003",1,1981
"200-2003",1,1982
"200-2003",1,1983
"200-2003",1,1984
"200-2003",1,1985
"200-2003",1,1986
"200-2003",1,1987
"200-2003",1,1988
"200-2003",1,1989
"200-2003",1,1990
"200-2003",1,1991
"200-2003",1,1992
"200-2003",1,1993
"200-2003",1,1994
"200-2003",1,1995
"200-2003",1,1996
"200-2003",1,1997
"200-2003",1,1998
"200-2003",1,1999
"200-2003",1,2000
"200-2003",1,2001
"200-2003",1,2002
"200-2003",1,2003
"200-2003",1,2004
"200-2003",1,2005
"200-2003",1,2006
"200-2003",1,2007
"200-2003",1,2008
"200-2003",1,2009
"200-2003",1,2010
"200-2003",1,2011
"200-2003",1,2012
"200-2003",1,2013
"200-2003",1,2014
"200-2003",1,2015
"200-2003",1,2016
"200-2003",1,2017
"200-2003",1,2018
"200-2003",1,2019
"200-2003",1,2020
"200-2003",1,2021
"200-2003",1,2022
"200-2004",1,1816
"200-2004",1,1817
"200-2004",1,1818
"200-2004",1,1819
"200-2004",1,1820
"200-2004",1,1821
"200-2004",1,1822
"200-2004",1,1823
"200-2004",1,1824
"200-2004",1,1825
"200-2004",1,1826
"200-2004",1,1827
"200-2004",1,1828
"200-2004",1,1829
"200-2004",1,1830
"200-2004",1,1831
"200-2004",1,1832
"200-2004",1,1833
"200-2004",1,1834
"200-2004",1,1835
"200-2004",1,1836
"200-2004",1,1837
"200-2004",1,1838
"200-2004",1,1839
"200-2004",1,1840
"200-2004",1,1841
"200-2004",1,1842
"200-2004",1,1843
"200-2004",1,1844
"200-2004",1,1845
"200-2004",1,1846
"200-2004",1,1847
"200-2004",1,1848
"200-2004",1,1849
"200-2004",1,1850
"200-2004",1,1851
"200-2004",1,1852
"200-2004",1,1853
"200-2004",1,1854
"200-2004",1,1855
"200-2004",1,1856
"200-2004",1,1857
"200-2004",1,1858
"200-2004",1,1859
"200-2004",1,1860
"200-2004",1,1861
"200-2004",1,1862
"200-2004",1,1863
"200-2004",1,1864
"200-2004",1,1865
"200-2004",1,1866
"200-2004",1,1867
"200-2004",1,1868
"200-2004",1,1869
"200-2004",1,1870
"200-2004",1,1871
"200-2004",1,1872
"200-2004",1,1873
"200-2004",1,1874
"200-2004",1,1875
