GPH_code,GPH_name,continent,lat,lng,region_AndersonNorheim,subregion_AndersonNorheim,Comment,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10,period_11
481,Gabon,Africa,-0.68333055555556,11.5,AF,,,1816-1839 | Discovered | NA,1839-1886 | Protectorate of | 220,1886-1888 | Colony of | 220,1888-1904 | Part of | 484,1904-1910 | Colony of | 220,1910-1958 | Part of | 480,1958-1960 | Associated state of | 220,1960-2022 | Sovereign | NA,NA,NA,NA
420,Gambia,Africa,13.5,-15.5,AF,,,1816-1821 | Colony of | 200,1821-1843 | Part of | 451,1843-1866 | Colony of | 200,1866-1888 | Part of | 451,1888-1965 | Colony of | 200,1894-1965 | Protectorate of | 200,1965-2022 | Sovereign | NA,NA,NA,NA,NA
7546,Garwahl,Asia,30.38,78.48,AS,DA,,1816-1949 | Vassal of | 750,1949-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA,NA
5212,Geledi,Africa,2.12,45.12,AF,,,1816-1908 | Sovereign (unrecognized) | NA,1908-1910 | Part of | 5200,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,Georgia,Europe,42,44,EESU,,Could be EESU but followed historical reality,1816-1918 | Part of | 365,1918-1920 | Sovereign (unrecognized) | NA,1920-1991 | Part of | 365,1991-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA
5323,Gera,Africa,7.666667,36.25,AF,,,1816-1835 | Unknown | NA,1835-1887 | Sovereign (unrecognized) | NA,1887-2022 | Part of | 530,NA,NA,NA,NA,NA,NA,NA,NA
265,German Democratic Republic,Europe,,,EESU,,,1945-1949 | Occupied by | 365,1949-1954 | Sovereign (unrecognized) | NA,1954-1990 | Sovereign | NA,1990-1990 | Dissolved into | 255,,,,,,,
510,German East Africa,Africa,-2.41305555555556,30.5436111111111,AF,,,1885-1919 | Colony of | 255,1919-1919 | Dissolved into | 512,1919-1919 | Dissolved into | 515,1919-1919 | Dissolved into | 5411,NA,NA,NA,NA,NA,NA,NA
460,German Togoland,Africa,6.272,1.187,AF,,,1884-1916 | Protectorate of | 255,1916-1922 | Occupied by | 200,1922-1922 | Dissolved into | 461,1922-1922 | Dissolved into | 462,NA,NA,NA,NA,NA,NA,NA
255,Germany (Zollverein),Europe,51,10,WE,,,1816-1867 | Informal | NA,1867-1871 | Sovereign (limited) | NA,1871-1945 | Sovereign | NA,1945-1945 | Dissolved into | 260,1945-1945 | Dissolved into | 265,1990-2022 | Sovereign | NA,NA,NA,NA,NA,NA
452,Ghana (Gold Coast),Africa,7.9465,-1.0232,AF,,,1816-1821 | Colony of | 200,1821-1843 | Part of | 451,1843-1866 | Colony of | 200,1866-1874 | Part of | 451,1874-1957 | Colony of | 200,1957-2022 | Sovereign | NA,NA,NA,NA,NA,NA
231,Gibraltar,Europe,36.14,-5.35,WE,,,1816-2022 | Colony of | 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,Gilbert and Ellice Is.,Oceania,1.26,173.02,AS,DA,,1892-1916 | Protectorate of | 200,1916-1975 | Colony of | 200,1975-1975 | Dissolved into | 946,1975-1975 | Dissolved into | 947,NA,NA,NA,NA,NA,NA,NA
5324,Gomma,Africa,NA,NA,AF,,,1816-1886 | Sovereign (unrecognized) | NA,1886-2022 | Part of | 530,NA,NA,NA,NA,NA,NA,NA,NA,NA
4338,Goree,Africa,14.666944444444,-17.398333333333,AF,,,1816-1854 | Part of | 433,1854-1859 | Possession of | 220,1859-2022 | Part of | 433,NA,NA,NA,NA,NA,NA,NA,NA
8572,Gowa,Asia,-5.33333333,119.66666667,AS,DA,,1816-1911 | Sovereign (unrecognized) | NA,1911-1949 | Part of | 850,1949-2022 | Part of | 850,NA,NA,NA,NA,NA,NA,NA,NA
5811,Grand Comoro,Africa,-11.583333333333,43.333333333333,AF,,,1816-1886 | Sovereign (unrecognized) | NA,1886-1975 | Part of | 581,1975-2022 | Part of | 581,NA,NA,NA,NA,NA,NA,NA,NA
4344,Grand Popo,Africa,,,AF,,,,,,,,,,,,,
350,Greece,Europe,38.5,23,WE,,,1816-1830 | Part of | 640,1830-1941 | Sovereign | NA,1941-1943 | Occupied by | 325,1941-1944 | Occupied by | 255,1944-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA
10,Greenland,America,72,-40,NAM,,,1816-1953 | Colony of | 390,1941-1945 | Occupied by | 2,1953-1979 | Part of | 390,1979-2022 | Dependency of | 390,NA,NA,NA,NA,NA,NA,NA
55,Grenada,America,12.1,-61.7,LA,,,1816-1833 | Colony of | 200,1833-1958 | Part of | 1055,1958-1962 | Part of | 50,1962-1967 | Colony of | 200,1967-1974 | Associated state of | 200,1974-2022 | Sovereign | NA,1983-1985 | Occupied by | 2,NA,NA,NA,NA
5641,"Griqualand, East",Africa,-30.55,29.41666667,AF,,,1816-1869 | Part of | 5611,1869-1874 | Sovereign (unrecognized) | NA,1874-1879 | Colony of | 200,1879-1910 | Part of | 561,NA,NA,NA,NA,NA,NA,NA
5611,"Griqualand, West",Africa,-28.75,24.76666667,AF,,,1816-1871 | Sovereign (unrecognized) | NA,1871-1880 | Colony of | 200,1880-1910 | Part of | 561,1910-2022 | Part of | 560,NA,NA,NA,NA,NA,NA,NA
65,Guadeloupe,America,16.2595,-61.5605,LA,,,1816-1816 | Occupied by | 200,1816-1947 | Colony of | 220,1947-2022 | Part of | 220,NA,NA,NA,NA,NA,NA,NA,NA
985,Guam,Oceania,13.5,144.8,AS,DA,,1816-1898 | Part of | 9820,1898-1941 | Colony of | 2,1941-1944 | Occupied by | 740,1944-2022 | Colony of | 2,NA,NA,NA,NA,NA,NA,NA
7124,Guangzhou (Canton),Asia,23.109444444444,113.23944444444,AS,DA,,1816-1861 | Part of | 710,1859-1945 | Leased to | 200,1859-1946 | Leased to | 220,1946-2022 | Part of | 710,NA,NA,NA,NA,NA,NA,NA
90,Guatemala,America,15.5,-90.25,LA,,,1816-1821 | Part of | 1070,1821-1823 | Part of | 70,1823-1839 | Part of | 89,1839-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA
438,Guinea (French Guinea) (Rivieres du Sud),Africa,10,-11,AF,,,1816-1838 | Part of | 4381,1838-1895 | Part of | 433,1893-1895 | Colony of | 220,1895-1958 | Part of | 430,1958-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA
404,Guinea-Bissau (Portuguese Guinea),Africa,12,-15,AF,,,1816-1852 | Part of | 4041,1816-1879 | Part of | 402,1879-1974 | Colony of | 235,1974-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA
4391,Gurma,Africa,12.083333333333,-0.5,AF,,,1816-1895 | Sovereign (unrecognized) | NA,1895-1958 | Part of | 430,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Guyana (British Guiana),America,5.733333,-59.316667,LA,,,1831-1966 | Colony of | 200,1966-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7707,Gwadar,Asia,25.126388888889,62.3225,AS,DA,"Priority Geography, even if Oman possession (geographically British India (Pakistan))",1816-1958 | Possession of | 698,1958-2022 | Part of | 770,NA,NA,NA,NA,NA,NA,NA,NA,NA
7579,Gwalior (Sindhia),Asia,26.22,78.17,AS,DA,,1816-1948 | Vassal of | 750,1948-2022 | Part of | 750,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Haiti,America,19,-72.8,LA,,,1816-1859 | Sovereign (unrecognized) | NA,1859-1915 | Sovereign | NA,1915-1934 | Occupied by | 2,1934-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA
248,Hamburg,Europe,53.55,10,WE,,,1816-1867 | Sovereign (unrecognized) | NA,1867-1945 | Part of | 255,1945-1949 | Occupied by | 200,1949-1990 | Part of | 260,1990-2022 | Part of | 255,NA,NA,NA,NA,NA,NA
7125,Hankou,Asia,30.581179,114.272597,AS,DA,,1816-1861 | Part of | 710,1861-1927 | Leased to | 200,1895-1917 | Leased to | 255,1896-1943 | Leased to | 220,1896-1924 | Leased to | 365,1898-1945 | Occupied by | 740,1945-1954 | Part of | 710,1954-1954 | Dissolved into | 710,NA,NA,NA
240,Hanover,Europe,52.374444444444,9.7386111111111,WE,,,1816-1837 | Sovereign (unrecognized) | NA,1837-1866 | Sovereign | NA,1866-1946 | Part of | 239,NA,NA,NA,NA,NA,NA,NA,NA
5306,Harar,Africa,NA,NA,AF,,,1816-1875 | Vassal of | 640,1875-1884 | Protectorate of | 651,1882-1884 | Occupied by | 200,1884-1887 | Part of | 530,1887-1887 | Dissolved into | 530,NA,NA,NA,NA,NA,NA
6826,Haushabi,Asia,13.4333,44.6,ME,,,1816-1895 | Sovereign (unrecognized) | NA,1895-1937 | Part of | 682,1937-1959 | Part of | 6811,1959-1962 | Part of | 6803,1962-1967 | Part of | 6801,1967-1967 | Dissolved into | 680,NA,NA,NA,NA,NA
4,Hawaii (Sandwich Is.),Oceania,21.5,-158,AS,DA,Put it in AS DA to be consistent with A and N,1816-1898 | Sovereign (limited) | NA,1898-1960 | Colony of | 2,1960-2022 | Part of | 2,NA,NA,NA,NA,NA,NA,NA,NA
5102,Haya,Africa,NA,NA,AF,,,1816-1898 | Sovereign (unrecognized) | NA,1898-2022 | Part of | 512,NA,NA,NA,NA,NA,NA,NA,NA,NA
9005,Heard and McDonald Is.,Oceania,,,AS,ANZ,,,,,,,,,,,,
2249,Heligoland,Europe,54.1825,7.8852777777778,WE,,,1816-1890 | Colony of | 200,1890-1945 | Part of | 255,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,Hesse Electoral,Europe,51.30833333,9.5,WE,,,1816-1866 | Sovereign | NA,1866-1945 | Part of | 239,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,Hesse Homburg,Europe,NA,NA,WE,,,1817-1866 | Sovereign (limited) | NA,1866-1945 | Part of | 275,1866-1945 | Part of | 239,NA,NA,NA,NA,NA,NA,NA,NA
7797,Hkamti Long,Asia,27.3167,97.4167,AS,DA,,1816-1887 | Vassal of | 775,1887-1948 | Protectorate of | 200,1948-2022 | Part of | 775,NA,NA,NA,NA,NA,NA,NA,NA
250,Hohenzollern Hechingen,Europe,48.35,8.96666666666667,WE,,,1816-1849 | Sovereign (limited) | NA,1849-1946 | Part of | 239,NA,NA,NA,NA,NA,NA,NA,NA,NA
