key,target,source,meme_intramax,meme_louvain,meme_AN,year,distance_km,conttype,contig_terre,contig_24mi,contig_large,mid_n,mid_hihost,mid_guerre,mid_duration,atop_allie,atop_defense,atop_offense,atop_neutral,atop_nonagg,atop_consul,atop_asymm
"10-100","Colombia (New Granada) (Gran Colombia)","Greenland",1,"NA","0",2025,"7913.31875613869","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-101","Greenland","Venezuela",1,"NA","0",2025,"7359.07986940942","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1062","Anguilla","Greenland",1,"NA","0",2025,"6169.31133732429","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1065","Curacao","Greenland",1,"NA","0",2025,"6932.98335975489","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1069","Aruba","Greenland",1,"NA","0",2025,"6917.08660590554","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1073","Greenland","Sint Maarten",1,"NA","0",2025,"6191.1073677897","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-11","Faeroe Is.","Greenland",1,"NA","0",2025,"1785.46158731762","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-110","Greenland","Guyana (British Guiana)",1,"NA","0",2025,"7496.88098766382","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-115","Greenland","Surinam (Dutch Guiana)",1,"NA","0",2025,"7651.66199829931","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1163","Falkland Is.","Greenland",1,"NA","0",2025,"13855.7311892892","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-130","Ecuador","Greenland",1,"NA","0",2025,"8559.01440327601","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-135","Greenland","Peru",1,"NA","0",2025,"9435.54890237129","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-140","Brazil","Greenland",1,"NA","0",2025,"9622.5980236522","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-145","Bolivia","Greenland",1,"NA","0",2025,"10090.1900782043","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-150","Greenland","Paraguay",1,"NA","0",2025,"10719.9475816745","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-155","Chile","Greenland",1,"NA","0",2025,"11934.3041281598","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-160","Argentina (La Plata)","Greenland",1,"NA","0",2025,"11947.3270738972","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-165","Greenland","Uruguay",1,"NA","0",2025,"11754.9328101237","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-2","Greenland","United States of America",1,"NA","1",2025,"4772.67368497192","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-20","Canada (Province of Canada)","Greenland",1,"NA","1",2025,"3533.96495285992","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-200","Greenland","United Kingdom",1,"NA","0",2025,"2628.25677827517","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-205","Greenland","Ireland",1,"NA","0",2025,"2612.80962538688","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-210","Greenland","Netherlands",1,"NA","0",2025,"3089.59907632314","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-211","Belgium","Greenland",1,"NA","0",2025,"3226.95524492761","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-212","Greenland","Luxemburg",1,"NA","0",2025,"3360.18279971285","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-220","France","Greenland",1,"NA","0",2025,"3512.22841699335","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-225","Greenland","Switzerland",1,"NA","0",2025,"3725.73453730521","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-230","Greenland","Spain",1,"NA","0",2025,"4065.93820849844","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-231","Gibraltar","Greenland",1,"NA","0",2025,"4451.33725975107","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-235","Greenland","Portugal",1,"NA","0",2025,"4085.62089908142","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-255","Germany (Zollverein)","Greenland",1,"NA","0",2025,"3363.89858409664","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-290","Greenland","Poland",1,"NA","0",2025,"3569.67203648578","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-30","Bermuda","Greenland",1,"NA","0",2025,"4651.45281429868","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-305","Austria","Greenland",1,"NA","0",2025,"3793.14552268941","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-31","Bahamas","Greenland",0,"NA","0",2025,"5717.40054237333","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-310","Greenland","Hungary",1,"NA","0",2025,"4060.52668571754","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-316","Czech Republic","Greenland",1,"NA","0",2025,"3628.66063283418","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-317","Greenland","Slovakia",1,"NA","0",2025,"3896.33658074759","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-325","Greenland","Italy",1,"NA","0",2025,"4300.0100731426","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-328","Greenland","Vatican City",1,"NA","0",2025,"4359.58070208181","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-331","Greenland","San Marino",1,"NA","0",2025,"4152.5899788521","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-338","Greenland","Malta",0,"NA","0",2025,"5047.75439270593","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-339","Albania","Greenland",1,"NA","0",2025,"4700.02107909092","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-341","Greenland","Montenegro",1,"NA","0",2025,"4493.89579810178","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-343","Greenland","North Macedonia (Former Yugoslav Republic of Macedonia) (Macedonia)",1,"NA","0",2025,"4691.44565809211","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-344","Croatia","Greenland",1,"NA","0",2025,"4117.56717623892","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-346","Bosnia-Herzegovina","Greenland",1,"NA","0",2025,"4328.18431230589","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-347","Greenland","Kosovo",1,"NA","0",2025,"4570.20439488537","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-348","Greenland","Serbia (Serbia and Montenegro) (Federal Republic of Yugoslavia)",1,"NA","0",2025,"4431.87910054598","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-349","Greenland","Slovenia",1,"NA","0",2025,"4026.55574372286","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-350","Greece","Greenland",1,"NA","0",2025,"5056.71469506865","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-352","Cyprus","Greenland",1,"NA","0",2025,"5757.38590522651","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-355","Bulgaria","Greenland",1,"NA","0",2025,"4708.35770395646","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-359","Greenland","Moldova (Bessarabia) (Moldavian Republic)",1,"NA","0",2025,"4361.11377019642","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-360","Greenland","Romania",1,"NA","0",2025,"4364.65160239074","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-365","Greenland","Russia (USSR)",1,"NA","0",2025,"4257.58818484787","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-366","Estonia","Greenland",1,"NA","0",2025,"3157.44341124351","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-367","Greenland","Latvia",1,"NA","0",2025,"3304.65154096017","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-368","Greenland","Lithuania",1,"NA","0",2025,"3437.21763089599","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-369","Greenland","Ukraine",1,"NA","0",2025,"4308.17528557234","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-370","Belarus (Byelorussia)","Greenland",1,"NA","0",2025,"3734.06583272826","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-371","Armenia","Greenland",1,"NA","0",2025,"5614.77359079033","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-372","Georgia","Greenland",1,"NA","0",2025,"5418.00065430688","NA","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
