key,target,source,meme_intramax,meme_louvain,meme_AN,year,distance_km,conttype,contig_terre,contig_24mi,contig_large,mid_n,mid_hihost,mid_guerre,mid_duration,atop_allie,atop_defense,atop_offense,atop_neutral,atop_nonagg,atop_consul,atop_asymm
"10-325","Greenland","Italy",0,"0","0",1883,"4300.0100731426","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-338","Greenland","Malta",0,"0","0",1883,"5047.75439270593","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-341","Greenland","Montenegro",0,"0","0",1883,"4493.89579810178","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-342","Greenland","Kingdom of Serbia",1,"0","0",1883,"4329.21686372246","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-346","Bosnia-Herzegovina","Greenland",1,"0","0",1883,"4328.18431230589","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-350","Greece","Greenland",0,"0","0",1883,"5056.71469506865","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-3504","Greenland","Samos",0,"0","0",1883,"5263.52474779625","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-352","Cyprus","Greenland",0,"0","0",1883,"5757.38590522651","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-355","Bulgaria","Greenland",1,"0","0",1883,"4708.35770395646","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-3551","Eastern Rumelia","Greenland",1,"0","0",1883,"4744.16798444454","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-360","Greenland","Romania",1,"0","0",1883,"4364.65160239074","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-365","Greenland","Russia (USSR)",1,"1","0",1883,"4257.58818484787","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-380","Greenland","Sweden",1,"1","0",1883,"2605.0661874366","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-385","Greenland","Norway",1,"1","0",1883,"2141.97578570876","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-390","Denmark","Greenland",1,"1","0",1883,"2883.50221949493","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-395","Greenland","Iceland",1,"1","0",1883,"1147.05552747846","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-4","Greenland","Hawaii (Sandwich Is.)",0,"0","0",1883,"8645.91454910403","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-40","Cuba","Greenland",0,"0","0",1883,"6093.10723900037","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-402","Cape Verde","Greenland",0,"0","0",1883,"6402.81720107516","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-4050","Greenland","St. Helena",0,"0","0",1883,"10119.8482817816","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-4070","Ascension I.","Greenland",0,"0","0",1883,"9094.85432369484","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-41","Greenland","Haiti",0,"0","0",1883,"6264.31890090355","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-411","Equatorial Guinea (Spanish Guinea)","Greenland",0,"0","0",1883,"8581.3594671626","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-42","Dominican Republic (Santo Domingo)","Greenland",0,"0","0",1883,"6232.91508766487","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-433","Greenland","Senegal",0,"0","0",1883,"6637.2218509295","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-437","Greenland","Ivory Coast",0,"0","0",1883,"7490.7719038068","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-450","Greenland","Liberia",0,"0","0",1883,"7577.89500751988","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-451","Greenland","Sierra Leone",0,"0","0",1883,"7319.57062746321","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-452","Ghana (Gold Coast)","Greenland",0,"0","0",1883,"7605.46525627755","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-484","Congo (Brazzaville) (French Congo) (Middle Congo)","Greenland",0,"0","0",1883,"8973.91921534035","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-5","Greenland","Virgin Islands (Danish West Indies)",0,"0","0",1883,"6186.33698627642","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-51","Greenland","Jamaica",0,"0","0",1883,"6456.17975166476","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-511","Greenland","Zanzibar",0,"0","0",1883,"10278.360493516","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-530","Ethiopia (Abyssinia)","Greenland",0,"0","0",1883,"8722.89199045899","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-540","Angola","Greenland",0,"0","0",1883,"10277.4984527811","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-541","Greenland","Mozambique (Portuguese East Africa)",0,"0","0",1883,"11525.2818919105","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-561","Cape Colony (Cape of Good Hope)","Greenland",0,"0","0",1883,"12509.3888879368","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-562","Greenland","Natal",0,"0","0",1883,"12501.1554506469","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-563","Greenland","Transvaal (South African Republic)",0,"0","0",1883,"12003.2614535931","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
