year,cafFob,louvain_tibi_modularity,louvain_proximity_modularity,intramax_tibi_modularity,intramax_proximity_modularity,an_tibi_modularity,an_proximity_modularity,network_density
1833,fob,1.3642952673100697,1.4664147094413347,1.027333064569855,1.0566600097463474,0.24052101263139275,0.3984233213044007,0.09805924412665985
1833,caf,1.098907771203434,1.0380409195321776,,,0.2086175789009925,0.3614979167991999,0.09006211180124224
1850,fob,1.6340935763184143,3.4084792158628265,1.2580204433288649,2.4470850734734455,0.20547196634619325,0.8530427933820445,0.0759198882161155
1850,caf,1.5831385438420482,2.5355899380845166,,,0.19191923364330335,0.6097140100028529,0.06764705882352941
