id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
239<-211,1841,239,Prussia,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,496773.68275206845,239,,,,,,ok,
255<-210,1841,255,Germany (Zollverein),GPH,210,Netherlands,GPH-AUTONOMOUS-CITED,5533233.046989431,255,,,239|241|242|243|244|245|247|252|254|258|259|261|262|264|266|267|268|269|270|271|272|273|275|277,,,split_failed_no_ratio,
255<-211,1841,255,Germany (Zollverein),GPH,211,Belgium,GPH-AUTONOMOUS-CITED,66188.98697597087,255,,,239|241|242|243|244|245|247|252|254|258|259|261|262|264|266|267|268|269|270|271|272|273|275|277,,,split_failed_no_ratio,
51<-200,1841,51,Jamaica,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,56249,51,,,,,,ok,
51<-British West Indies,1841,51,Jamaica,GPH-AUTONOMOUS-CITED,British West Indies,British West Indies,RIC,6864,51,,6864,,30|31|54|1048|1055|1063,,split_failed_no_ratio,
51<-British Northern America,1841,51,Jamaica,GPH-AUTONOMOUS-CITED,British Northern America,British Northern America,RIC,21600,51,,21600,,20|21|1022|1023|1024|1025|1026,,split_failed_no_ratio,
51<-British Colonies (other),1841,51,Jamaica,GPH-AUTONOMOUS-CITED,British Colonies (other),British Colonies (other),RIC,51,51,,51,,110|231|338|451|561|590|720|750|780|901|902|903|906|920|1163|2249|4044|4050|4383|5614|7501|9004|9620,,split_failed_no_ratio,
51<-2,1841,51,Jamaica,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,317706,51,,,,,,ok,
51->200,1841,200,United Kingdom,GPH-AUTONOMOUS-CITED,51,Jamaica,GPH-AUTONOMOUS-CITED,5599,51,,,,,,ok,
51->British West Indies,1841,British West Indies,British West Indies,RIC,51,Jamaica,GPH-AUTONOMOUS-CITED,16,51,,16,,30|31|54|1048|1055|1063,,split_failed_no_ratio,
51->British Colonies (other),1841,British Colonies (other),British Colonies (other),RIC,51,Jamaica,GPH-AUTONOMOUS-CITED,449,51,,449,,110|231|338|451|561|590|720|750|780|901|902|903|906|920|1163|2249|4044|4050|4383|5614|7501|9004|9620,,split_failed_no_ratio,
51->2,1841,2,United States of America,GPH-AUTONOMOUS-CITED,51,Jamaica,GPH-AUTONOMOUS-CITED,2955,51,,,,,,ok,
365->Norway & Sweden,1841,Norway & Sweden,Norway & Sweden,RIC,365,Russia (USSR),GPH-AUTONOMOUS-CITED,240819.25757821367,365,,,,,,ignore_resolved,
365->239,1841,239,Prussia,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,657560.5446587778,365,,,,,,ok,
