"id","year","importerId","importerLabel","importerType","exporterId","exporterLabel","exporterType","value","reportedBy","partial","valueToSplit","newReporters","newPartners","originalReportedTradeFlowIds","status","notes"
"531->94",2008,"94","Costa Rica","GPH","531","Eritrea","GPH",58.3783783783784,"531",NA,NA,NA,NA,NA,"ok",NA
"630->461",2008,"461","Togo (French Togoland)","GPH","630","Iran (Persia)","GPH",157394.594594595,"630",NA,NA,NA,NA,NA,"ok",NA
"94->910",2008,"910","Papua New Guinea","GPH","94","Costa Rica","GPH",54843.2432432432,"94",NA,NA,NA,NA,NA,"ok",NA
"439->713",2008,"713","Republic of China (Taiwan) (Formosa)","GPH","439","Burkina Faso (Upper Volta)","GPH",37783.7837837838,"439",NA,NA,NA,NA,NA,"ok",NA
"840->531",2008,"531","Eritrea","GPH","840","Philippines","GPH",1640.54054054054,"840",NA,NA,NA,NA,NA,"ok",NA
"316->57",2008,"57","St. Vincent and the Grenadines","GPH","316","Czech Republic","GPH",4574.05405405405,"316",NA,NA,NA,NA,NA,"ok",NA
"620->349",2008,"349","Slovenia","GPH","620","Libya","GPH",29462755.1351351,"620",NA,NA,NA,NA,NA,"ok",NA
"620->720",2008,"720","Hong Kong","GPH","620","Libya","GPH",4514.59459459459,"620",NA,NA,NA,NA,NA,"ok",NA
"231->651",2008,"651","Egypt Arab Republic (Egypt)","GPH","231","Gibraltar","GPH",492985.945945946,"231",NA,NA,NA,NA,NA,"ok",NA
"630->55",2008,"55","Grenada","GPH","630","Iran (Persia)","GPH",75794.5945945946,"630",NA,NA,NA,NA,NA,"ok",NA
"696->987",2008,"987","Federated States of Micronesia","GPH","696","United Arab Emirates (Trucial Oman)","GPH",25644.8648648649,"696",NA,NA,NA,NA,NA,"ok",NA
"328->344",2008,"344","Croatia","GPH","328","Vatican City","GPH",1069.18918918919,"328",NA,NA,NA,NA,NA,"ok",NA
"679->625",2008,"625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH","679","Yemen","GPH",1014369.72972973,"679",NA,NA,NA,NA,NA,"ok",NA
"679->310",2008,"310","Hungary","GPH","679","Yemen","GPH",203511.351351351,"679",NA,NA,NA,NA,NA,"ok",NA
"625->900",2008,"900","Australia","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",12432.4324324324,"625",NA,NA,NA,NA,NA,"ok",NA
"625->501",2008,"501","Kenya (British East Africa Protectorate)","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",1162702.7027027,"625",NA,NA,NA,NA,NA,"ok",NA
"750->1163",2008,"1163","Falkland Is.","GPH","750","India","GPH",50842.1621621622,"750",NA,NA,NA,NA,NA,"ok",NA
"57->344",2008,"344","Croatia","GPH","57","St. Vincent and the Grenadines","GPH",1509.72972972973,"57",NA,NA,NA,NA,NA,"ok",NA
"625->380",2008,"380","Sweden","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",770270.27027027,"625",NA,NA,NA,NA,NA,"ok",NA
"625->140",2008,"140","Brazil","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",3783.78378378378,"625",NA,NA,NA,NA,NA,"ok",NA
"625->830",2008,"830","Singapore","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",15519459.4594595,"625",NA,NA,NA,NA,NA,"ok",NA
