id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,valueGeneratedBy,notes
2->France (Mediterranean Coast) 419585.56205166475"
2->230,1835,230,Spain,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,135169.589915827,2,missing Cadix|Bilbao|Santander|A Coruna|Málaga|Spain (Spanish flag)|Spain (Foreign flag)|Cartagena (Spain)|410|2301 unexpected: Canary Is. & Tenerife|Menorca,,,,,ok,aggregation,"2->Spain (Atlantic Coast) 89352.73873201475
2->Spain (Mediterranean Coast) 19477.754281212423
2->Canary Is. & Tenerife 8333.333333333332
2->Menorca 18005.76356926649"
2->840,1835,840,Philippines,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,8074.594684247626,2,,,,,,ok,aggregation,2->Manila 8074.594684247626
2->329,1835,329,Two Sicilies,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,3601.816146286851,2,,,,,,ok,aggregation,2->3291 3601.816146286851
2->300,1835,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,169667.661815317,2,missing 305|326|3343|3261|332 unexpected: Fiume & Republic of St. Mark & Trieste,,,,,ok,aggregation,2->Fiume & Republic of St. Mark & Trieste 169667.661815317
101<-5,1835,101,Venezuela,GPH-AUTONOMOUS-CITED,5,Virgin Islands (Danish West Indies),GPH-AUTONOMOUS-CITED,165065.50218340612,101,,,,,,ok,aggregation,101<-St. Thomas 165065.50218340612
101->5,1835,5,Virgin Islands (Danish West Indies),GPH-AUTONOMOUS-CITED,101,Venezuela,GPH-AUTONOMOUS-CITED,118010.14988787915,101,,,,,,ok,aggregation,101->St. Thomas 118010.14988787915
101<-68,1835,101,Venezuela,GPH-AUTONOMOUS-CITED,68,Netherlands Antilles,GPH-AUTONOMOUS-CITED,20980.369015303513,101,missing 115,,,,,ok,aggregation,101<-1065 20980.369015303513
101->68,1835,68,Netherlands Antilles,GPH-AUTONOMOUS-CITED,101,Venezuela,GPH-AUTONOMOUS-CITED,40737.24379401235,101,missing 115,,,,,ok,aggregation,101->1065 40737.24379401235
6203->640,1835,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,6203,Tripolitania (Regency of Tripoli),GPH-AUTONOMOUS-CITED,177.03292812463118,6203,missing Turkey (Ottoman Empire) (other)|Trabzon|Istanbul (Constantinople)|European Turkey|Asian Turkey|6525|660,,,,,ok,aggregation,6203->Izmir (Smyrna) 177.03292812463118
6203<-640,1835,6203,Tripolitania (Regency of Tripoli),GPH-AUTONOMOUS-CITED,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,3670.48270978402,6203,missing Turkey (Ottoman Empire) (other)|Trabzon|Istanbul (Constantinople)|European Turkey|Asian Turkey|6525|660,,,,,ok,aggregation,6203<-Izmir (Smyrna) 3670.48270978402
40->230,1835,230,Spain,GPH-AUTONOMOUS-CITED,40,Cuba,GPH-AUTONOMOUS-CITED,354280.4594988001,40,missing Cadix|Bilbao|Santander|A Coruna|Spain (Atlantic Coast)|Spain (Mediterranean Coast)|Málaga|Cartagena (Spain)|410|2301,,,,,ok,aggregation,"40->Spain (Spanish flag) 348323.49817065976
40->Spain (Foreign flag) 5956.961328140367"
40<-230,1835,40,Cuba,GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,690103.6626145795,40,missing Cadix|Bilbao|Santander|A Coruna|Spain (Atlantic Coast)|Spain (Mediterranean Coast)|Málaga|Cartagena (Spain)|410|2301,,,,,ok,aggregation,"40<-Spain (Spanish flag) 684723.2385223651
40<-Spain (Foreign flag) 5380.424092214485"
3349->324,1835,324,Kingdom of Sardinia,GPH-AUTONOMOUS-CITED,3349,Ionian Is.,GPH-AUTONOMOUS-CITED,17298.084110311185,3349,missing Genoa|Kingdom of Sardinia (continental),,,,,ok,aggregation,3349->Sardinia 17298.084110311185
365->640,1835,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1043340.5597162003,365,missing Turkey (Ottoman Empire) (other)|Trabzon|Istanbul (Constantinople)|Izmir (Smyrna)|6525|660,,,,,ok,aggregation,"365->European Turkey 1005877.2390837823
