id,year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,newReporter,newPartners,originalReportedTradeFlowId,status,notes
220->101,1861,101,Venezuela,GPH-AUTONOMOUS-CITED,,,,220,France,GPH-AUTONOMOUS-CITED,1,,,153998.0256663376,220,,,,,,ok,
220<-101,1861,220,France,GPH-AUTONOMOUS-CITED,1,,,101,Venezuela,GPH-AUTONOMOUS-CITED,,,,288252.7147087858,220,,,,,,ok,
220->Hanse Towns,1861,Hanse Towns,Hanse Towns,RIC,,,,220,France,GPH-AUTONOMOUS-CITED,1,,,880552.813425469,220,,880552.813425469,,246|248|276,,split_failed_no_ratio,
220<-Hanse Towns,1861,220,France,GPH-AUTONOMOUS-CITED,1,,,Hanse Towns,Hanse Towns,RIC,,,,856860.8094768017,220,,856860.8094768017,,246|248|276,,split_failed_no_ratio,
Lisbon->200,1861,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,Lisbon,Lisbon,RIC,1,,,368173.7413622902,Lisbon,,,,,,ignore_duplicate,
Lisbon<-200,1861,Lisbon,Lisbon,RIC,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,621559.7235932873,Lisbon,,,,,,ignore_duplicate,
Lisbon->140,1861,140,Brazil,GPH-AUTONOMOUS-CITED,,1,,Lisbon,Lisbon,RIC,1,,,510246.7917077986,Lisbon,,,,,,ignore_duplicate,
Lisbon<-140,1861,Lisbon,Lisbon,RIC,1,,,140,Brazil,GPH-AUTONOMOUS-CITED,,1,,356604.14610069105,Lisbon,,,,,,ignore_duplicate,
Lisbon->230,1861,230,Spain,GPH-AUTONOMOUS-CITED,1,,,Lisbon,Lisbon,RIC,1,,,6554.787759131294,Lisbon,,,,,,ignore_duplicate,
Lisbon<-230,1861,Lisbon,Lisbon,RIC,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,41421.52023692004,Lisbon,,,,,,ignore_duplicate,
Lisbon->2,1861,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,Lisbon,Lisbon,RIC,1,,,10582.428430404738,Lisbon,,,,,,ignore_duplicate,
Lisbon<-2,1861,Lisbon,Lisbon,RIC,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,63376.1105626851,Lisbon,,,,,,ignore_duplicate,
Lisbon->220,1861,220,France,GPH-AUTONOMOUS-CITED,1,,,Lisbon,Lisbon,RIC,1,,,48094.768015794674,Lisbon,,,,,,ignore_duplicate,
Lisbon<-220,1861,Lisbon,Lisbon,RIC,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,340335.63672260614,Lisbon,,,,,,ignore_duplicate,
Lisbon->325,1861,325,Italy,GPH-AUTONOMOUS-CITED,1,,,Lisbon,Lisbon,RIC,1,,,35893.385982231,Lisbon,,,,,,ignore_duplicate,
Lisbon<-325,1861,Lisbon,Lisbon,RIC,1,,,325,Italy,GPH-AUTONOMOUS-CITED,1,,,22349.457058242842,Lisbon,,,,,,ignore_duplicate,
Lisbon->Portuguese Africa,1861,Portuguese Africa,Portuguese Africa,RIC,,,,Lisbon,Lisbon,RIC,1,,,45054.294175715695,Lisbon,,,,,,ignore_duplicate,
Lisbon<-Portuguese Africa,1861,Lisbon,Lisbon,RIC,1,,,Portuguese Africa,Portuguese Africa,RIC,,,,25903.257650542942,Lisbon,,,,,,ignore_duplicate,
Lisbon->Portuguese Asia,1861,Portuguese Asia,Portuguese Asia,RIC,,,,Lisbon,Lisbon,RIC,1,,,211451.13524185587,Lisbon,,,,,,ignore_duplicate,
Lisbon<-Portuguese Asia,1861,Lisbon,Lisbon,RIC,1,,,Portuguese Asia,Portuguese Asia,RIC,,,,75735.43928923989,Lisbon,,,,,,ignore_duplicate,
Lisbon->365,1861,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,Lisbon,Lisbon,RIC,1,,,62625.863770977296,Lisbon,,,,,,ignore_duplicate,
Lisbon<-365,1861,Lisbon,Lisbon,RIC,1,,,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,37512.339585389935,Lisbon,,,,,,ignore_duplicate,
Lisbon->Norway & Sweden,1861,Norway & Sweden,Norway & Sweden,RIC,,,,Lisbon,Lisbon,RIC,1,,,5607.107601184601,Lisbon,,,,,,ignore_duplicate,
Lisbon<-Norway & Sweden,1861,Lisbon,Lisbon,RIC,1,,,Norway & Sweden,Norway & Sweden,RIC,,,,59980.25666337611,Lisbon,,,,,,ignore_duplicate,
Lisbon->21,1861,21,Newfoundland and Labrador (Newfoundland),GPH-AUTONOMOUS-CITED,1,,,Lisbon,Lisbon,RIC,1,,,2882.527147087858,Lisbon,,,,,,ignore_duplicate,
Lisbon<-21,1861,Lisbon,Lisbon,RIC,1,,,21,Newfoundland and Labrador (Newfoundland),GPH-AUTONOMOUS-CITED,1,,,48963.47482724581,Lisbon,,,,,,ignore_duplicate,
