"id","year","importerId","importerLabel","importerType","exporterId","exporterLabel","exporterType","value","reportedBy","partial","valueToSplit","newReporters","newPartners","originalReportedTradeFlowIds","status","notes"
"630->780",1968,"780","Sri Lanka (Ceylon)","GPH","630","Iran (Persia)","GPH",3430962.34309623,"630",NA,NA,NA,NA,NA,"ok",NA
"160->540",1968,"540","Angola","GPH","160","Argentina (La Plata)","GPH",41841.0041841004,"160",NA,NA,NA,NA,NA,"ok",NA
"94->220",1968,"220","France","GPH","94","Costa Rica","GPH",794979.079497908,"94",NA,NA,NA,NA,NA,"ok",NA
"820->690",1968,"690","Kuwait","GPH","820","Malaysia (British Malaya)","GPH",150627.615062761,"820",NA,NA,NA,NA,NA,"ok",NA
"820->205",1968,"205","Ireland","GPH","820","Malaysia (British Malaya)","GPH",192468.619246862,"820",NA,NA,NA,NA,NA,"ok",NA
"820->512",1968,"512","Tanzania (Tanganyika)","GPH","820","Malaysia (British Malaya)","GPH",217573.221757322,"820",NA,NA,NA,NA,NA,"ok",NA
"483->600",1968,"600","Morocco","GPH","483","Chad","GPH",41841.0041841004,"483",NA,NA,NA,NA,NA,"ok",NA
"820->780",1968,"780","Sri Lanka (Ceylon)","GPH","820","Malaysia (British Malaya)","GPH",476987.447698745,"820",NA,NA,NA,NA,NA,"ok",NA
"820->835",1968,"835","Brunei","GPH","820","Malaysia (British Malaya)","GPH",3008368.20083682,"820",NA,NA,NA,NA,NA,"ok",NA
"512->200",1968,"200","United Kingdom","GPH","512","Tanzania (Tanganyika)","GPH",22761506.2761506,"512",NA,NA,NA,NA,NA,"ok",NA
"820->920",1968,"920","New Zealand","GPH","820","Malaysia (British Malaya)","GPH",2242677.82426778,"820",NA,NA,NA,NA,NA,"ok",NA
"450->200",1968,"200","United Kingdom","GPH","450","Liberia","GPH",5564853.55648535,"450",NA,NA,NA,NA,NA,"ok",NA
"160->360",1968,"360","Romania","GPH","160","Argentina (La Plata)","GPH",1631799.16317992,"160",NA,NA,NA,NA,NA,"ok",NA
"160->710",1968,"710","People's Republic of China (China)","GPH","160","Argentina (La Plata)","GPH",292887.029288703,"160",NA,NA,NA,NA,NA,"ok",NA
"160->630",1968,"630","Iran (Persia)","GPH","160","Argentina (La Plata)","GPH",1631799.16317992,"160",NA,NA,NA,NA,NA,"ok",NA
"452->385",1968,"385","Norway","GPH","452","Ghana (Gold Coast)","GPH",2594142.25941423,"452",NA,NA,NA,NA,NA,"ok",NA
"660->200",1968,"200","United Kingdom","GPH","660","Lebanon","GPH",2439330.54393305,"660",NA,NA,NA,NA,NA,"ok",NA
"660->390",1968,"390","Denmark","GPH","660","Lebanon","GPH",648535.564853556,"660",NA,NA,NA,NA,NA,"ok",NA
"850->830",1968,"830","Singapore","GPH","850","Indonesia (Dutch East Indies)","GPH",48410041.8410042,"850",NA,NA,NA,NA,NA,"ok",NA
"651->900",1968,"900","Australia","GPH","651","Egypt Arab Republic (Egypt)","GPH",251046.025104603,"651",NA,NA,NA,NA,NA,"ok",NA
"660->820",1968,"820","Malaysia (British Malaya)","GPH","660","Lebanon","GPH",16736.4016736402,"660",NA,NA,NA,NA,NA,"ok",NA
"660->436",1968,"436","Niger","GPH","660","Lebanon","GPH",54393.3054393305,"660",NA,NA,NA,NA,NA,"ok",NA
"160->732",1968,"732","South Korea (Republic of South Korea)","GPH","160","Argentina (La Plata)","GPH",418410.041841004,"160",NA,NA,NA,NA,NA,"ok",NA
"660->20",1968,"20","Canada (Province of Canada)","GPH","660","Lebanon","GPH",75313.8075313807,"660",NA,NA,NA,NA,NA,"ok",NA
"651->625",1968,"625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH","651","Egypt Arab Republic (Egypt)","GPH",4979079.49790795,"651",NA,NA,NA,NA,NA,"ok",NA
"660->360",1968,"360","Romania","GPH","660","Lebanon","GPH",92050.2092050209,"660",NA,NA,NA,NA,NA,"ok",NA
"432->439",1968,"439","Burkina Faso (Upper Volta)","GPH","432","Mali (French Sudan) (Upper Senegal and Niger)","GPH",83682.0083682008,"432",NA,NA,NA,NA,NA,"ok",NA
"660->710",1968,"710","People's Republic of China (China)","GPH","660","Lebanon","GPH",4184.10041841004,"660",NA,NA,NA,NA,NA,"ok",NA
"51->91",1968,"91","Honduras","GPH","51","Jamaica","GPH",334728.033472803,"51",NA,NA,NA,NA,NA,"ok",NA
"51->255",1968,"255","Germany (Zollverein)","GPH","51","Jamaica","GPH",585774.058577406,"51",NA,NA,NA,NA,NA,"ok",NA
"92->20",1968,"20","Canada (Province of Canada)","GPH","92","El Salvador","GPH",460251.046025105,"92",NA,NA,NA,NA,NA,"ok",NA
"540->625",1968,"625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH","540","Angola","GPH",585774.058577406,"540",NA,NA,NA,NA,NA,"ok",NA
"540->900",1968,"900","Australia","GPH","540","Angola","GPH",41841.0041841004,"540",NA,NA,NA,NA,NA,"ok",NA
"42->200",1968,"200","United Kingdom","GPH","42","Dominican Republic (Santo Domingo)","GPH",489539.748953975,"42",NA,NA,NA,NA,NA,"ok",NA
"512->800",1968,"800","Thailand (Siam)","GPH","512","Tanzania (Tanganyika)","GPH",1213389.12133891,"512",NA,NA,NA,NA,NA,"ok",NA
"651->780",1968,"780","Sri Lanka (Ceylon)","GPH","651","Egypt Arab Republic (Egypt)","GPH",1715481.17154812,"651",NA,NA,NA,NA,NA,"ok",NA
"553->255",1968,"255","Germany (Zollverein)","GPH","553","Malawi (Nyasaland) (British Central Africa Protectorate)","GPH",543933.054393305,"553",NA,NA,NA,NA,NA,"ok",NA
"820->750",1968,"750","India","GPH","820","Malaysia (British Malaya)","GPH",3376569.0376569,"820",NA,NA,NA,NA,NA,"ok",NA
"812->255",1968,"255","Germany (Zollverein)","GPH","812","Laos","GPH",418.410041841004,"812",NA,NA,NA,NA,NA,"ok",NA
"451->2",1968,"2","United States of America","GPH","451","Sierra Leone","GPH",1171548.11715481,"451",NA,NA,NA,NA,NA,"ok",NA
