id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
200<-Russia (North Ports),1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Russia (North Ports),Russia (North Ports),RIC,13211128,200,,,,,,ignore_resolved,
200<-Russia (South Ports),1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Russia (South Ports),Russia (South Ports),RIC,11525791,200,,,,,,ignore_resolved,
200<-380,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,380,Sweden,GPH-AUTONOMOUS-CITED,8784256,200,,,,,,ok,
200<-385,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,3831727,200,,,,,,ok,
200<-Denmark & Greenland & Iceland,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Denmark & Greenland & Iceland,Denmark & Greenland & Iceland,RIC,9799328,200,,9799328,,10|390|395,,split_failed_no_ratio,
200<-5,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,5,Virgin Islands (Danish West Indies),GPH-AUTONOMOUS-CITED,23637,200,,,,,,ok,
200<-255,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,26992559,200,,,,,,ok,
200<-German Western Africa,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,German Western Africa,German Western Africa,RIC,48431,200,,,,,,split_failed_error,
200<-510,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,510,German East Africa,GPH-AUTONOMOUS-CITED,807,200,,,,,,ok,
200<-210,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,28419477,200,,,,,,ok,
200<-Java,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Java,Java,RIC,870419,200,,,,,,ignore_resolved,
200<-Dutch Oceania (other),1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Dutch Oceania (other),Dutch Oceania (other),RIC,3894,200,,,,,,ignore_resolved,
200<-68,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,68,Netherlands Antilles,GPH-AUTONOMOUS-CITED,9835,200,,,,,,ok,
200<-115,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,115,Surinam (Dutch Guiana),GPH-AUTONOMOUS-CITED,23241,200,,,,,,ok,
200<-211,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,17545636,200,,,,,,ok,
200<-220,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,47470583,200,,,,,,ok,
200<-615,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,549362,200,,,,,,ok,
200<-430,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,430,French West Africa,GPH-AUTONOMOUS-CITED,221704,200,,,,,,ok,
200<-585,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,585,Reunion (Bourbon I.),GPH-AUTONOMOUS-CITED,7,200,,,,,,ok,
200<-751,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,751,French India,GPH-AUTONOMOUS-CITED,2222,200,,,,,,ok,
200<-Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,Annam & Cambodia (Kampuchea) & Cochin China & Tonkin,RIC,11044,200,,11044,,811|8151|8152|8153,,split_failed_no_ratio,
200<-French West Indies,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,French West Indies,French West Indies,RIC,50,200,,50,,65|66,,split_failed_no_ratio,
200<-120,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,120,French Guiana,GPH-AUTONOMOUS-CITED,4350,200,,,,,,ok,
200<-235,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,235,Portugal,GPH-AUTONOMOUS-CITED,2491926,200,,,,,,ok,
200<-400,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,400,Azores (Western Isles),GPH,70266,200,,,,,,ignore_resolved,
200<-401,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,401,Madeira Isles,GPH,56986,200,,,,,,ignore_resolved,
200<-Portuguese Western Africa,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Portuguese Western Africa,Portuguese Western Africa,RIC,88875,200,,88875,,402|404,,split_failed_no_ratio,
200<-541,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,541,Mozambique (Portuguese East Africa),GPH-AUTONOMOUS-CITED,44045,200,,,,,,ok,
200<-721,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,721,Macao,GPH-AUTONOMOUS-CITED,18662,200,,,,,,ok,
200<-230,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,11314518,200,,,,,,ok,
200<-410,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,410,Canary Is.,GPH,410103,200,,,,,,ignore_resolved,
200<-Spanish Western Africa,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Spanish Western Africa,Spanish Western Africa,RIC,1020,200,,,,,,split_failed_error,
200<-Mariana Is. & Philippines,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Mariana Is. & Philippines,Mariana Is. & Philippines,RIC,1606271,200,,1606271,,840|9820,,split_failed_no_ratio,
200<-Spanish West Indies,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,Spanish West Indies,Spanish West Indies,RIC,131567,200,,,,,,ignore_resolved,
200<-325,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,3132720,200,,,,,,ok,
200<-300,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,1221783,200,,,,,,ok,
200<-350,1895,200,United Kingdom,GPH-AUTONOMOUS-CITED,350,Greece,GPH-AUTONOMOUS-CITED,1241406,200,,,,,,ok,
