id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,valueGeneratedBy,notes
2<-365,1833,2,United States of America,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,579316.3250381328,2,,,,,,ok,,
2<-239,1833,2,United States of America,GPH-AUTONOMOUS-CITED,239,Prussia,GPH-AUTONOMOUS-CITED,26028.54217597526,2,,,,,,ok,,
2<-Norway & Sweden,1833,2,United States of America,GPH-AUTONOMOUS-CITED,Norway & Sweden,Norway & Sweden,RIC,244195.86702605573,2,,244195.86702605573,,380|385,,ignore_resolved,,
2<-Swedish West Indies,1833,2,United States of America,GPH-AUTONOMOUS-CITED,Swedish West Indies,Swedish West Indies,RIC,6728.515012850248,2,,,,,,ignore_resolved,,
2<-390,1833,2,United States of America,GPH-AUTONOMOUS-CITED,390,Denmark,GPH-AUTONOMOUS-CITED,5886.458137445413,2,,,,,,ok,,
2<-5,1833,2,United States of America,GPH-AUTONOMOUS-CITED,5,Virgin Islands (Danish West Indies),GPH-AUTONOMOUS-CITED,237928.08040285006,2,,,,,,ok,,
2<-210,1833,2,United States of America,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,243811.1953864477,2,,,,,,ok,,
2<-850,1833,2,United States of America,GPH-AUTONOMOUS-CITED,850,Indonesia (Dutch East Indies),GPH-AUTONOMOUS-CITED,156770.9312772937,2,,,,,,ok,,
2<-68,1833,2,United States of America,GPH-AUTONOMOUS-CITED,68,Netherlands Antilles,GPH-AUTONOMOUS-CITED,79581.89682191437,2,,,,,,ok,,
2<-115,1833,2,United States of America,GPH-AUTONOMOUS-CITED,115,Surinam (Dutch Guiana),GPH,10306.525418416599,2,,,,,,ignore_resolved,,
2<-211,1833,2,United States of America,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,29174.867840949457,2,,,,,,ok,,
2<-200,1833,2,United States of America,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,7661738.648947951,2,,,,,,ok,,
2<-Scotland,1833,2,United States of America,GPH-AUTONOMOUS-CITED,Scotland,Scotland,RIC,214218.64226164357,2,,,,,,ignore_resolved,,
2<-205,1833,2,United States of America,GPH-AUTONOMOUS-CITED,205,Ireland,GPH,31818.466746066573,2,,,,,,ignore_resolved,,
2<-231,1833,2,United States of America,GPH-AUTONOMOUS-CITED,231,Gibraltar,GPH-AUTONOMOUS-CITED,38134.52015294929,2,,,,,,ok,,
2<-338,1833,2,United States of America,GPH-AUTONOMOUS-CITED,338,Malta,GPH-AUTONOMOUS-CITED,6492.613719467603,2,,,,,,ok,,
2<-British East Indies,1833,2,United States of America,GPH-AUTONOMOUS-CITED,British East Indies,British East Indies,RIC,382803.4434484632,2,,382803.4434484632,,750|780|7501,,split_failed_no_ratio,,
2<-British West Indies,1833,2,United States of America,GPH-AUTONOMOUS-CITED,British West Indies,British West Indies,RIC,283800.121189327,2,,283800.121189327,,30|31|51|53|54|55|56|57|58|59|1048|1049|1055|1061|1062|1063|1075|1076,,split_failed_no_ratio,,
2<-110,1833,2,United States of America,GPH-AUTONOMOUS-CITED,110,Guyana (British Guiana),GPH-AUTONOMOUS-CITED,1556.238116132807,2,,,,,,ok,,
2<-British America,1833,2,United States of America,GPH-AUTONOMOUS-CITED,British America,British America,RIC,374724.29428111744,2,,374724.29428111744,,21|1022|1023|1024|1025|1026,,split_failed_no_ratio,,
2<-561,1833,2,United States of America,GPH-AUTONOMOUS-CITED,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,2862.575482145469,2,,,,,,ok,,
2<-590,1833,2,United States of America,GPH-AUTONOMOUS-CITED,590,Mauritius,GPH-AUTONOMOUS-CITED,4517.645583902714,2,,,,,,ok,,
2<-Germany (Zollverein) (other) & Hanse Towns,1833,2,United States of America,GPH-AUTONOMOUS-CITED,Germany (Zollverein) (other) & Hanse Towns,Germany (Zollverein) (other) & Hanse Towns,RIC,465476.9217910947,2,,465476.9217910947,,241|242|243|245|246|248|258|259|261|262|264|266|267|268|269|270|271|272|273|275|276|277,,split_failed_no_ratio,,
2<-France (Atlantic Coast),1833,2,United States of America,GPH-AUTONOMOUS-CITED,France (Atlantic Coast),France (Atlantic Coast),RIC,2580836.624250402,2,,,,,,ignore_resolved,,
2<-France (Mediterranean Coast),1833,2,United States of America,GPH-AUTONOMOUS-CITED,France (Mediterranean Coast),France (Mediterranean Coast),RIC,225673.7499738816,2,,,,,,ignore_resolved,,
2<-French East Indies,1833,2,United States of America,GPH-AUTONOMOUS-CITED,French East Indies,French East Indies,RIC,4177.479679893019,2,,,,,,ignore_resolved,,
2<-French West Indies,1833,2,United States of America,GPH-AUTONOMOUS-CITED,French West Indies,French West Indies,RIC,106822.54121481853,2,,106822.54121481853,,65|66,,ignore_resolved,,
