id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
58<-200,1849,58,Antigua and Barbuda (Antigua),GPH,200,United Kingdom,GPH-AUTONOMOUS-CITED,69801,58,,,,,,ignore_resolved,
58<-British West Indies,1849,58,Antigua and Barbuda (Antigua),GPH,British West Indies,British West Indies,RIC,24864,58,,24864,,30|31|51|54|1032|1048|1055|1063,,split_failed_no_ratio,
58<-British Northern America,1849,58,Antigua and Barbuda (Antigua),GPH,British Northern America,British Northern America,RIC,11336,58,,11336,,20|21|1022|1023|1024|1028,,split_failed_no_ratio,
58<-2,1849,58,Antigua and Barbuda (Antigua),GPH,2,United States of America,GPH-AUTONOMOUS-CITED,40406,58,,,,,,ignore_resolved,
58->200,1849,200,United Kingdom,GPH-AUTONOMOUS-CITED,58,Antigua and Barbuda (Antigua),GPH,189605,58,,,,,,ignore_resolved,
1061<-200,1849,1061,British Virgin Is.,GPH,200,United Kingdom,GPH-AUTONOMOUS-CITED,132,1061,,,,,,ignore_resolved,
1061<-British West Indies,1849,1061,British Virgin Is.,GPH,British West Indies,British West Indies,RIC,1961,1061,,1961,,30|31|51|54|1032|1048|1055|1063,,split_failed_no_ratio,
1061<-2,1849,1061,British Virgin Is.,GPH,2,United States of America,GPH-AUTONOMOUS-CITED,152,1061,,,,,,ignore_resolved,
1061->British West Indies,1849,British West Indies,British West Indies,RIC,1061,British Virgin Is.,GPH,4071,1061,,4071,,30|31|51|54|1032|1048|1055|1063,,split_failed_no_ratio,
1061->British Northern America,1849,British Northern America,British Northern America,RIC,1061,British Virgin Is.,GPH,74,1061,,74,,20|21|1022|1023|1024|1028,,split_failed_no_ratio,
20<-200,1849,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,1669002,20,,,,,,ok,
20<-British Northern America,1849,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,British Northern America,British Northern America,RIC,48913,20,,48913,,21|1022|1023|1024|1028,,split_failed_no_ratio,
20<-British West Indies,1849,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,British West Indies,British West Indies,RIC,3,20,,3,,30|31|51|54|1032|1048|1055|1063,,split_failed_no_ratio,
20<-2,1849,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,1242855,20,,,,,,ok,
115->210,1849,210,Netherlands,GPH-AUTONOMOUS-CITED,115,Surinam (Dutch Guiana),GPH-AUTONOMOUS-CITED,186407.48440748441,115,,,,,,ok,
115->2,1849,2,United States of America,GPH-AUTONOMOUS-CITED,115,Surinam (Dutch Guiana),GPH-AUTONOMOUS-CITED,22248.316008316007,115,,,,,,ok,
115->European America,1849,European America,European America,RIC,115,Surinam (Dutch Guiana),GPH-AUTONOMOUS-CITED,14622.619542619543,115,,,,,,split_failed_error,
115<-210,1849,115,Surinam (Dutch Guiana),GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,89282.16216216216,115,,,,,,ok,
115<-2,1849,115,Surinam (Dutch Guiana),GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,48876.92307692308,115,,,,,,ok,
115<-European America,1849,115,Surinam (Dutch Guiana),GPH-AUTONOMOUS-CITED,European America,European America,RIC,19651.64241164241,115,,,,,,split_failed_error,
30<-200,1849,30,Bermuda,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,51268,30,,,,,,ok,
30<-British West Indies,1849,30,Bermuda,GPH-AUTONOMOUS-CITED,British West Indies,British West Indies,RIC,4289,30,,4289,,31|51|54|1032|1048|1055|1063,,split_failed_no_ratio,
30<-British Northern America,1849,30,Bermuda,GPH-AUTONOMOUS-CITED,British Northern America,British Northern America,RIC,8085,30,,8085,,20|21|1022|1023|1024|1028,,split_failed_no_ratio,
30<-2,1849,30,Bermuda,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,61207,30,,,,,,ok,
30->200,1849,200,United Kingdom,GPH-AUTONOMOUS-CITED,30,Bermuda,GPH-AUTONOMOUS-CITED,3078,30,,,,,,ok,
30->British West Indies,1849,British West Indies,British West Indies,RIC,30,Bermuda,GPH-AUTONOMOUS-CITED,5286,30,,5286,,31|51|54|1032|1048|1055|1063,,split_failed_no_ratio,
30->British Northern America,1849,British Northern America,British Northern America,RIC,30,Bermuda,GPH-AUTONOMOUS-CITED,1628,30,,1628,,20|21|1022|1023|1024|1028,,split_failed_no_ratio,
