id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
310<-305,1936,310,Hungary,GPH-AUTONOMOUS-CITED,305,Austria,GPH-AUTONOMOUS-CITED,4294289.888536816,310,,,,,,ok,
310<-315,1936,310,Hungary,GPH-AUTONOMOUS-CITED,315,Czechoslovakia,GPH-AUTONOMOUS-CITED,1306042.7451434536,310,,,,,,ok,
310<-360,1936,310,Hungary,GPH-AUTONOMOUS-CITED,360,Romania,GPH-AUTONOMOUS-CITED,3469579.91905472,310,,,,,,ok,
310<-345,1936,310,Hungary,GPH-AUTONOMOUS-CITED,345,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",GPH-AUTONOMOUS-CITED,1124868.5903927323,310,,,,,,ok,
310<-Hanse Towns,1936,310,Hungary,GPH-AUTONOMOUS-CITED,Hanse Towns,Hanse Towns,RIC,1304.2642030483878,310,,,,,,ignore_resolved,
310<-255,1936,310,Hungary,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,6720102.736733813,310,,,,,,ok,
310<-225,1936,310,Hungary,GPH-AUTONOMOUS-CITED,225,Switzerland,GPH-AUTONOMOUS-CITED,605712.1528429717,310,,,,,,ok,
310<-326,1936,310,Hungary,GPH-AUTONOMOUS-CITED,326,Trieste,GPH,1185.6947300439888,310,,,,,,ignore_resolved,
310<-325,1936,310,Hungary,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,1924797.5400169094,310,,,,,,ok,
310<-220,1936,310,Hungary,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,270219.82897702506,310,,,,,,ok,
310<-230,1936,310,Hungary,GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,46894.22657323976,310,,,,,,ok,
310<-235,1936,310,Hungary,GPH-AUTONOMOUS-CITED,235,Portugal,GPH-AUTONOMOUS-CITED,8418.43258331232,310,,,,,,ok,
310<-211,1936,310,Hungary,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,167657.23482822,310,,,,,,ok,
310<-210,1936,310,Hungary,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,7269612.9593727,310,,,,,,ok,
310<-200,1936,310,Hungary,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,1317425.414551876,310,,,,,,ok,
310<-205,1936,310,Hungary,GPH-AUTONOMOUS-CITED,205,Ireland,GPH-AUTONOMOUS-CITED,118.56947300439889,310,,,,,,ok,
310<-390,1936,310,Hungary,GPH-AUTONOMOUS-CITED,390,Denmark,GPH-AUTONOMOUS-CITED,71497.39222165252,310,,,,,,ok,
