id,year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,newReporter,newPartners,originalReportedTradeFlowId,status,notes
420<-200,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,75445,420,,,,,,ok,
420<-451,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,451,Sierra Leone,GPH-AUTONOMOUS-CITED,1,,,22621,420,,,,,,ok,
420<-452,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,452,Ghana (Gold Coast),GPH-AUTONOMOUS-CITED,1,,,2,420,,,,,,ok,
420<-4781,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,4781,Lagos,GPH-AUTONOMOUS-CITED,1,,,11,420,,,,,,ok,
420<-220,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,13076,420,,,,,,ok,
420<-255,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,1,,,4304,420,,,,,,ok,
420<-2,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,2025,420,,,,,,ok,
420<-401,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,401,Madeira Isles,GPH,,,,13,420,,,,,,ignore_resolved,
420<-Tenerife,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,Tenerife,Tenerife,RIC,,,,19,420,,,,,,ignore_resolved,
420<-Gran Canaria,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,Gran Canaria,Gran Canaria,RIC,,,,55,420,,,,,,ignore_resolved,
420<-402,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,402,Cape Verde,GPH-AUTONOMOUS-CITED,,,,522,420,,,,,,ok,
420<-4338,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,4338,Goree,GPH,,,,15663,420,,,,,,ignore_resolved,
420<-Windward Coast of Africa,1890,420,Gambia,GPH-AUTONOMOUS-CITED,1,,,Windward Coast of Africa,Windward Coast of Africa,RIC,,,,9605,420,,9605,420,437|460|4341|4344|4345|4347|4521|4782|4783,,split_failed_no_ratio,
