id,year,nbGPHAutonomousCited,nbReportingFT,nbReportingBilateral,nbReportingByAggregation,nbReportingBySplit,worldBilateral,worldFT,inFTNotInBilateral,inBilateralNotInFT,reportedNetworkDensity,generatedNetworkDensity,discarded_flows,discarded_value,failed_flows,failed_value,generated_by_aggregation_flows,generated_by_aggregation_value,generated_by_gravity_flows,generated_by_gravity_value,generated_by_years_ratio_flows,generated_by_years_ratio_value,good_as_reported_flows,good_as_reported_value
,1861,141,125,52,6,0,1039418938.3141878,1446829901.1078181,"Afghanistan|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Costa Rica|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|German Oceania|German Togoland|Germany (Zollverein)|Grenada|Guinea-Bissau (Portuguese Guinea)|Honduras|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nicaragua|Nigeria|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Trinidad|Dominica|Buenos Aires|Prussia|Cape Colony (Cape of Good Hope)|Papal States|Hamburg|Hanover|Bremen|Oldenburg|Luxemburg|Mecklenburg Schwerin|Nova Scotia|Victoria|Myanmar (Burma)|Greenland|Gibraltar|Aden|Maldive Islands|New South Wales|St. Helena|Malta|Senegal|Tetuan|Hong Kong|South Australia|Clipperton I.|Tasmania|Ascension I.|Western Australia|Queensland|Natal|New Brunswick|Prince Edward Is.|Vancouver|Lübeck|Macao|Heligoland|Channel Is.|British Kaffraria|Rupert's Land|Labuan I.|Khiva|Bokhara|Bavaria|Frankfurt|Saxony|Schleswig|Holstein|Nossi Be|St. Marie de Madagascar|Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah)|Faeroe Is.|Saxe Lauenburg|Mariana Is.|British Columbia|Windward Is.|Captaincy-general of north Africa|Vietnam|Equatorial Guinea (Spanish Guinea)|Kokand,0.011667765326301911,0.03366810138689622,680,246409751.72094244,163,49523946.17013757,208,78587296.1013926,296,32671495,60,84991319.86531536,955,843168827.3474802
,1862,141,125,58,10,0,1061229193.8230346,1492933846.1899915,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Costa Rica|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|German Oceania|German Togoland|Germany (Zollverein)|Grenada|Guinea-Bissau (Portuguese Guinea)|Honduras|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nicaragua|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Prussia|Cape Colony (Cape of Good Hope)|Bremen|Gibraltar|Hamburg|Malta|Tetuan|Trinidad|Luxemburg|Mecklenburg Schwerin|Dominica|Victoria|New South Wales|Hong Kong|Aden|Maldive Islands|St. Helena|South Australia|Oman (Sultanate of Muscat and Oman)|Anjouan|Clipperton I.|Ascension I.|Nova Scotia|Senegal|Samoa|Greenland|Oldenburg|Labuan I.|Western Australia|Tasmania|Queensland|Natal|New Brunswick|Prince Edward Is.|Vancouver|Hanover|Lübeck|Cochin China|Dutch Posts (Gold Coast)|Macao|Heligoland|Channel Is.|British Kaffraria|Rupert's Land|Khiva|Bokhara|Sikkim|Bavaria|Frankfurt|Saxony|Myanmar (Burma)|Schleswig|Nossi Be|St. Marie de Madagascar|Holstein|Faeroe Is.|Saxe Lauenburg|Mariana Is.|British Columbia|Captaincy-general of north Africa|Windward Is.|Equatorial Guinea (Spanish Guinea)|Kokand,0.011721956799677007,0.0373788647900323,813,311314996.49506086,177,41225216.34478894,242,93446476.74187657,296,37901237,70,107528118.62942411,961,822353361.4517338
,1863,142,124,57,9,0,1190601361.894752,1645295076.2522926,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Costa Rica|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|German Oceania|German Togoland|Germany (Zollverein)|Grenada|Guinea-Bissau (Portuguese Guinea)|Honduras|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nicaragua|Nigeria|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Myanmar (Burma)|Cochin China|Ionian Is.|Prussia|Cape Colony (Cape of Good Hope)|Bremen|Gibraltar|Hamburg|Lübeck|Malta|Luxemburg|Mecklenburg Schwerin|Dominica|Trinidad|Victoria|New South Wales|Queensland|South Australia|Tasmania|Hong Kong|Aden|Maldive Islands|St. Helena|Nova Scotia|Senegal|Lagos|Porto Novo|Labuan I.|Western Australia|New Brunswick|Prince Edward Is.|Vancouver|Samoa|Greenland|Oldenburg|Natal|British Kaffraria|Hanover|Macao|Channel Is.|Ascension I.|Rupert's Land|Oman (Sultanate of Muscat and Oman)|Anjouan|Shangai|Khiva|Bokhara|Sikkim|Bavaria|Frankfurt|Saxony|Nossi Be|St. Marie de Madagascar|Holstein|Schleswig|Heligoland|Faeroe Is.|Saxe Lauenburg|Mariana Is.|British Columbia|Captaincy-general of north Africa|Windward Is.|Equatorial Guinea (Spanish Guinea)|Kokand,0.012941176470588235,0.03537313432835821,875,417650230.8075968,178,48538829.0653258,239,101327873.78848495,243,40920768,80,139226926.0479175,963,909125794.05835
,1864,140,124,51,6,0,1297378442.7848177,1730550553.2462118,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Costa Rica|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|German Oceania|German Togoland|Germany (Zollverein)|Grenada|Guinea-Bissau (Portuguese Guinea)|Honduras|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nicaragua|Nigeria|Paraguay|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Luxemburg|Mecklenburg Schwerin|Prussia|Hamburg|Bremen|Gibraltar|Malta|Ionian Is.|New South Wales|Victoria|Queensland|South Australia|Tasmania|Hong Kong|Cape Colony (Cape of Good Hope)|St. Helena|Aden|Maldive Islands|Cochin China|Myanmar (Burma)|Dominica|Nova Scotia|Trinidad|Senegal|Western Australia|New Brunswick|Prince Edward Is.|Vancouver|Macao|Shangai|Ascension I.|Hanover|Dutch Posts (Gold Coast)|Heligoland|Channel Is.|British Kaffraria|Natal|Rupert's Land|Oman (Sultanate of Muscat and Oman)|Khiva|Bokhara|Clipperton I.|Greenland|Lübeck|Oldenburg|Samoa|Schleswig|Holstein|Bavaria|Frankfurt|Saxony|British Columbia|Bali|Nossi Be|St. Marie de Madagascar|Faeroe Is.|Saxe Lauenburg|Mariana Is.|Cambodia (Kampuchea)|Windward Is.|Equatorial Guinea (Spanish Guinea)|Kokand|Captaincy-general of north Africa|Vietnam,0.012656558998022413,0.03527363184079602,745,364816957.07849616,176,57292573.830267444,219,104970459.85038164,258,44450604,72,147150947.74142516,1008,1000806431.1930106
,1865,141,124,61,7,0,1347118332.8736382,1797203061.816806,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Costa Rica|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|German Oceania|German Togoland|Germany (Zollverein)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nicaragua|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Prussia|Cape Colony (Cape of Good Hope)|Hong Kong|St. Helena|Hamburg|Oman (Sultanate of Muscat and Oman)|Crozet Is.|Shangai|New South Wales|South Australia|Ascension I.|Malta|Samoa|Trinidad|Schleswig|Holstein|Mecklenburg Schwerin|Oldenburg|Dominica|Gibraltar|Bremen|Aden|Maldive Islands|Myanmar (Burma)|Cochin China|Lagos|Porto Novo|Senegal|Luxemburg|Mosquito Coast|Lübeck|Western Australia|Tasmania|Queensland|New Brunswick|Nova Scotia|Prince Edward Is.|Vancouver|British Columbia|Victoria|Macao|Hanover|Dutch Posts (Gold Coast)|Channel Is.|British Kaffraria|Natal|Rupert's Land|Heligoland|Greenland|Khiva|Bokhara|Torres Strait Is.|Bali|Nossi Be|St. Marie de Madagascar|Bavaria|Saxony|Faeroe Is.|Saxe Lauenburg|Mariana Is.|Windward Is.|Equatorial Guinea (Spanish Guinea)|Captaincy-general of north Africa|Kokand,0.013327804762468903,0.03637015781922525,708,413782760.6577848,205,77670537.84102988,208,99033646.13467848,272,46564209,77,150338557.53744316,1125,1051181920.2015158
,1866,137,124,63,10,0,1472776522.7080474,1972574073.6850877,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Costa Rica|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|German Oceania|German Togoland|Germany (Zollverein)|Grenada|Guinea-Bissau (Portuguese Guinea)|Honduras|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nicaragua|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Mecklenburg Schwerin|Hamburg|Samoa|Schleswig|Holstein|Prussia|Oldenburg|Gibraltar|Natal|Hong Kong|Cape Colony (Cape of Good Hope)|British Kaffraria|Dominica|Trinidad|Senegal|Aden|Hyderabad|Luxemburg|Malta|Lagos|Porto Novo|Hanover|Macao|Channel Is.|Ascension I.|St. Helena|Western Australia|South Australia|Victoria|New South Wales|Queensland|Tasmania|Rupert's Land|New Brunswick|Prince Edward Is.|Oman (Sultanate of Muscat and Oman)|Cochin China|Heligoland|Crozet Is.|Bremen|Lübeck|Greenland|Maldive Islands|Labuan I.|Nova Scotia|British Columbia|Vancouver|Khiva|Bokhara|Nossi Be|St. Marie de Madagascar|Bavaria|Saxony|Faeroe Is.|Mariana Is.|Myanmar (Burma)|Windward Is.|Equatorial Guinea (Spanish Guinea)|Captaincy-general of north Africa|Kokand,0.01251336898395722,0.0363012076722709,665,382447422.7582855,223,82176082.92344326,244,104591649.17082839,285,38801105.97760838,71,151873908.91648987,1086,1177509858.6431198
,1867,148,124,54,8,1,1470099833.4627135,1956558090.6543045,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|Gambia|German Oceania|German Togoland|Ghana (Gold Coast)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Hong Kong|Maldive Islands|Aden|Gibraltar|Cape Colony (Cape of Good Hope)|Cochin China|New South Wales|South Australia|Victoria|St. Helena|Ascension I.|Natal|Prussia|Hamburg|Crozet Is.|Dominica|Trinidad|Bremen|Greenland|Mecklenburg Schwerin|Oldenburg|Lübeck|Malta|Mosquito Coast|Hyderabad|Porto Novo|Luxemburg|Macao|Channel Is.|Straits Settlements|Western Australia|Queensland|Tasmania|Rupert's Land|New Brunswick|Prince Edward Is.|Senegal|Oman (Sultanate of Muscat and Oman)|Heligoland|Schleswig|Samoa|Navassa I.|Holstein|Labuan I.|Nova Scotia|Khiva|Bokhara|Brunswick|Saxony|Bavaria|Myanmar (Burma)|New Caledonia|Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah)|Torres Strait Is.|Faeroe Is.|Mariana Is.|Cambodia (Kampuchea)|British Columbia|Nossi Be|St. Marie de Madagascar|Saxe Altenburg|Saxe Coburg and Gotha|Saxe Meiningen|Saxe Weimar Eisenach|Windward Is.|Equatorial Guinea (Spanish Guinea)|Kokand|Captaincy-general of north Africa|Vietnam,0.012980248917748918,0.04487148222211384,748,261965336.30799407,205,40725675.56145515,275,114410551.49323809,504,42916605,57,68018292.68106924,1226,1244754384.2884057
,1868,131,124,52,8,1,1508083045.897995,2000344511.5999293,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|Eritrea|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|Gambia|German Oceania|German Togoland|Ghana (Gold Coast)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Cape Colony (Cape of Good Hope)|Natal|St. Helena|Aden|Hong Kong|Maldive Islands|Prussia|Malta|Straits Settlements|Greenland|Gibraltar|Trinidad|Hyderabad|Luxemburg|Macao|Heligoland|Channel Is.|Ascension I.|Western Australia|South Australia|Victoria|New South Wales|Queensland|Tasmania|Rupert's Land|Prince Edward Is.|Dominica|Senegal|Oman (Sultanate of Muscat and Oman)|Cochin China|Porto Novo|Labuan I.|Samoa|Shangai|Crozet Is.|Tristan da Cunha|Myanmar (Burma)|Bavaria|Faeroe Is.|Mariana Is.|Cambodia (Kampuchea)|British Columbia|Nossi Be|St. Marie de Madagascar|Torres Strait Is.|Gabon|Captaincy-general of north Africa|Windward Is.|Equatorial Guinea (Spanish Guinea)|Vietnam,0.012765316874905916,0.042706105963411733,809,299345206.8072232,151,25451874.390022263,246,139063808.5015503,321,17152181,53,92770068.68466416,974,1259096987.7117789
,1869,131,124,54,6,1,1546964120.760978,2070893633.1259062,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|Gambia|German Oceania|German Togoland|Ghana (Gold Coast)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Sarawak|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Malta|Prince Edward Is.|Gibraltar|Labrador|Dominica|Trinidad|Aden|Maldive Islands|Straits Settlements|Prussia|Greenland|Cape Colony (Cape of Good Hope)|Hyderabad|Luxemburg|Macao|Channel Is.|Ascension I.|St. Helena|Natal|Hong Kong|Western Australia|South Australia|Victoria|New South Wales|Queensland|Tasmania|Rupert's Land|Dutch Posts (Gold Coast)|Senegal|Oman (Sultanate of Muscat and Oman)|Heligoland|Porto Novo|Khiva|Shangai|Crozet Is.|Clipperton I.|Samoa|Cochin China|Bavaria|Faeroe Is.|Mariana Is.|Cambodia (Kampuchea)|Myanmar (Burma)|British Columbia|Nossi Be|St. Marie de Madagascar|Tristan da Cunha|Windward Is.|Captaincy-general of north Africa|Equatorial Guinea (Spanish Guinea)|Vietnam,0.013000474758664346,0.04115082824760244,751,267796399.22533447,169,49672528.237684645,199,85537047.37733497,323,18070840,64,108520272.72885996,974,1334835960.6547828
,1870,129,124,52,6,1,1659222958.7372248,2106017477.8394723,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|Gambia|German Oceania|German Togoland|Ghana (Gold Coast)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Cape Colony (Cape of Good Hope)|Gibraltar|Hong Kong|South Australia|Ascension I.|Natal|St. Helena|Crozet Is.|Victoria|Malta|Prussia|Aden|Maldive Islands|Straits Settlements|Greenland|Labuan I.|Cochin China|New South Wales|Western Australia|Tasmania|Queensland|New Caledonia|Prince Edward Is.|Trinidad|Dominica|Samoa|Porto Novo|Luxemburg|Dutch Posts (Gold Coast)|Macao|Channel Is.|Senegal|Oman (Sultanate of Muscat and Oman)|Heligoland|Khiva|Myanmar (Burma)|Tristan da Cunha|Faeroe Is.|Bavaria|Mariana Is.|Cambodia (Kampuchea)|British Columbia|Nossi Be|St. Marie de Madagascar|Captaincy-general of north Africa|Windward Is.|Equatorial Guinea (Spanish Guinea)|Vietnam,0.013934589308397484,0.04607329842931937,776,244885066.94672117,197,37511461.741596445,235,88283824.06768551,420,32037525.460580826,71,96448886.17470187,1142,1442452723.0342567
,1871,129,123,52,5,0,1889745893.4687939,2325109765.5688267,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|Gambia|German Oceania|German Togoland|Ghana (Gold Coast)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Cochin China|Gibraltar|Porto Novo|Samoa|Cape Colony (Cape of Good Hope)|Trinidad|Faeroe Is.|Heligoland|Hong Kong|South Australia|Ascension I.|Natal|St. Helena|Clipperton I.|Anjouan|Victoria|Aden|Maldive Islands|Straits Settlements|Greenland|Malta|Prussia|Labuan I.|New South Wales|Tasmania|Queensland|New Caledonia|Western Australia|Fiji|Prince Edward Is.|Dominica|Senegal|Dutch Posts (Gold Coast)|Macao|Channel Is.|Oman (Sultanate of Muscat and Oman)|Bavaria|Khiva|Luxemburg|Myanmar (Burma)|Tristan da Cunha|Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah)|Nossi Be|St. Marie de Madagascar|Mariana Is.|Cambodia (Kampuchea)|Windward Is.|Equatorial Guinea (Spanish Guinea)|Captaincy-general of north Africa|Vietnam,0.015503455262491406,0.04791929382093316,624,402165577.18293995,185,54741161.80670238,198,256775040.10203558,342,25740287,69,93951590.55272168,1164,1513278975.814037
,1872,126,123,51,5,0,1983070796.455143,2617485978.8504114,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|Gambia|German Oceania|German Togoland|Ghana (Gold Coast)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nigeria|Sabah (North Borneo)|Sao Tome-Principe|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Myanmar (Burma)|Hong Kong|Labuan I.|Cochin China|Cape Colony (Cape of Good Hope)|South Australia|Western Australia|Ascension I.|Natal|St. Helena|Gibraltar|Victoria|Trinidad|Anjouan|Porto Novo|Greenland|Malta|Straits Settlements|Maldive Islands|New South Wales|Tasmania|Queensland|New Caledonia|Fiji|Prince Edward Is.|Senegal|Macao|Channel Is.|Aden|Oman (Sultanate of Muscat and Oman)|Heligoland|Society Is.|Khiva|Luxemburg|Clipperton I.|Faeroe Is.|Tristan da Cunha|Nossi Be|St. Marie de Madagascar|Mariana Is.|Cambodia (Kampuchea)|Samoa|Windward Is.|Equatorial Guinea (Spanish Guinea)|Captaincy-general of north Africa|Vietnam,0.016109575270168385,0.050876623376623374,828,560286764.7744863,180,45369978.11818218,170,279203899.2028927,356,32691504,55,144916395.83717626,1176,1526258997.4150736
,1873,127,123,53,6,0,2118832687.4379413,2745728884.3100834,"Afghanistan|Angola|Australia|Barbados|British Oceania|Brunei|Canary Is.|Ceuta & Melilla|Cyrenaica|Djibouti (Afar and Issas) (French Somaliland)|El Salvador|Eritrea|Ethiopia (Abyssinia)|Finland|French Equatorial Africa|French Indochina|French Polynesia|French West Africa & Togo (French Togoland)|Gambia|German Oceania|German Togoland|Ghana (Gold Coast)|Grenada|Guinea-Bissau (Portuguese Guinea)|Italian Somaliland|Kamerun|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Malaysia (British Malaya)|Namibia (South West Africa) (German South West Africa)|Nepal|Nigeria|Portuguese India|Sabah (North Borneo)|Sao Tome-Principe|Seychelles|Somaliland Republic (British Somaliland)|South Africa|St. Lucia|St. Vincent and the Grenadines|Sudan (Anglo-Egyptian Sudan) (Mahdist State)|Tanzania (Tanganyika)|Trinidad and Tobago|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Myanmar (Burma)|Hong Kong|Labuan I.|Cochin China|Gibraltar|Heligoland|Greenland|Society Is.|Malta|Cape Colony (Cape of Good Hope)|Straits Settlements|Maldive Islands|New South Wales|Victoria|South Australia|Western Australia|Tasmania|Queensland|New Caledonia|Fiji|Natal|Prince Edward Is.|Porto Novo|St. Helena|Shangai|Ascension I.|Trinidad|Macao|Crozet Is.|Clipperton I.|Anjouan|Tristan da Cunha|St. Barthelemy|Senegal|Channel Is.|Aden|Oman (Sultanate of Muscat and Oman)|Khiva|Luxemburg|Faeroe Is.|Nossi Be|St. Marie de Madagascar|Mariana Is.|Cambodia (Kampuchea)|Windward Is.|Equatorial Guinea (Spanish Guinea)|Captaincy-general of north Africa|Vietnam,0.013585968738640495,0.05408225905463475,986,617920522.677287,179,39549287.12543413,221,308100396.8543866,502,50836981.925093636,67,139039460.997775,1212,1620855847.660686
