id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
4781<-200,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,486895,4781,,,,,,ok,
4781<-420,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,420,Gambia,GPH-AUTONOMOUS-CITED,1,4781,,,,,,ok,
4781<-451,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,451,Sierra Leone,GPH-AUTONOMOUS-CITED,1716,4781,,,,,,ok,
4781<-Accra,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Accra,Accra,RIC,18518,4781,,,,,,ignore_resolved,
4781<-Cape Coast Castle,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Cape Coast Castle,Cape Coast Castle,RIC,4130,4781,,,,,,ignore_resolved,
4781<-Keta,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Keta,Keta,RIC,232,4781,,,,,,ignore_resolved,
4781<-Elmina,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Elmina,Elmina,RIC,5,4781,,,,,,ignore_resolved,
4781<-Saltpond,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Saltpond,Saltpond,RIC,3460,4781,,,,,,ignore_resolved,
4781<-Winneba,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Winneba,Winneba,RIC,94,4781,,,,,,ignore_resolved,
4781<-Axim,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Axim,Axim,RIC,0.5,4781,,,,,,ignore_resolved,
4781<-Niger River,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Niger River,Niger River,RIC,510,4781,,510,,432|4361|4783|4784,,split_failed_no_ratio,
4781<-4792,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,4792,Old Calabar (Efik),GPH,265,4781,,,,,,ignore_resolved,
4781<-Forçados River,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Forçados River,Forçados River,RIC,87,4781,,,,,,ignore_resolved,
4781<-Brass (Nigeria),1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Brass (Nigeria),Brass (Nigeria),RIC,189,4781,,,,,,ignore_resolved,
4781<-434,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,434,Benin (Dahomey),GPH-AUTONOMOUS-CITED,2,4781,,,,,,ok,
4781<-Bonny River,1894,4781,Lagos,GPH-AUTONOMOUS-CITED,Bonny River,Bonny River,RIC,1123,4781,,,,,,ignore_resolved,
