id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
1075<-58,1880,1075,St. Kitts,GPH,58,Antigua and Barbuda (Antigua),GPH,1818,1075,,,,,,ignore_resolved,
1075<-1062,1880,1075,St. Kitts,GPH,1062,Anguilla,GPH,798,1075,,,,,,ignore_resolved,
1075<-53,1880,1075,St. Kitts,GPH,53,Barbados,GPH,6341,1075,,,,,,ignore_resolved,
1075<-Demerara,1880,1075,St. Kitts,GPH,Demerara,Demerara,RIC,3334,1075,,,,,,ignore_resolved,
1075<-54,1880,1075,St. Kitts,GPH,54,Dominica,GPH,256,1075,,,,,,ignore_resolved,
1075<-51,1880,1075,St. Kitts,GPH,51,Jamaica,GPH-AUTONOMOUS-CITED,233,1075,,,,,,ignore_resolved,
1075<-59,1880,1075,St. Kitts,GPH,59,Montserrat,GPH,164,1075,,,,,,ignore_resolved,
1075<-1076,1880,1075,St. Kitts,GPH,1076,Nevis,GPH,1351,1075,,,,,,ignore_resolved,
1075<-Redonda,1880,1075,St. Kitts,GPH,Redonda,Redonda,RIC,358,1075,,,,,,ignore_resolved,
1075<-57,1880,1075,St. Kitts,GPH,57,St. Vincent and the Grenadines,GPH,77,1075,,,,,,ignore_resolved,
1075<-Tortola,1880,1075,St. Kitts,GPH,Tortola,Tortola,RIC,10,1075,,,,,,ignore_resolved,
1075<-1048,1880,1075,St. Kitts,GPH,1048,Trinidad,GPH-AUTONOMOUS-CITED,458,1075,,,,,,ignore_resolved,
1075<-2,1880,1075,St. Kitts,GPH,2,United States of America,GPH-AUTONOMOUS-CITED,62505,1075,,,,,,ignore_resolved,
1075<-1065,1880,1075,St. Kitts,GPH,1065,Curacao,GPH,50,1075,,,,,,ignore_resolved,
1075<-65,1880,1075,St. Kitts,GPH,65,Guadeloupe,GPH-AUTONOMOUS-CITED,602,1075,,,,,,ignore_resolved,
1075<-66,1880,1075,St. Kitts,GPH,66,Martinique,GPH-AUTONOMOUS-CITED,458,1075,,,,,,ignore_resolved,
1075<-1064,1880,1075,St. Kitts,GPH,1064,St. Barthelemy,GPH,474,1075,,,,,,split_failed_error,
1075<-1077,1880,1075,St. Kitts,GPH,1077,St. Martin,GPH,1318,1075,,,,,,split_failed_error,
1075<-210,1880,1075,St. Kitts,GPH,210,Netherlands,GPH-AUTONOMOUS-CITED,56,1075,,,,,,ignore_resolved,
1075<-1068,1880,1075,St. Kitts,GPH,1068,Sint Eustatius,GPH,706,1075,,,,,,ignore_resolved,
1075<-1067,1880,1075,St. Kitts,GPH,1067,Saba,GPH,9,1075,,,,,,ignore_resolved,
1075<-***NA,1880,1075,St. Kitts,GPH,***NA,***NA,RIC,6,1075,,,,,,split_failed_error,
1075<-St. Thomas,1880,1075,St. Kitts,GPH,St. Thomas,St. Thomas,RIC,405,1075,,,,,,ignore_resolved,
1075->200,1880,200,United Kingdom,GPH-AUTONOMOUS-CITED,1075,St. Kitts,GPH,128165,1075,,,,,,ignore_resolved,
1075->British Northern America,1880,British Northern America,British Northern America,RIC,1075,St. Kitts,GPH,3215,1075,,3215,,20|21,,ignore_resolved,flow part-of reporter with an area which has been aggregated at the aggregated reporter level
1075->58,1880,58,Antigua and Barbuda (Antigua),GPH,1075,St. Kitts,GPH,425,1075,,,,,,ignore_resolved,
1075->1062,1880,1062,Anguilla,GPH,1075,St. Kitts,GPH,157,1075,,,,,,ignore_resolved,
1075->1076,1880,1076,Nevis,GPH,1075,St. Kitts,GPH,102,1075,,,,,,ignore_resolved,
1075->Sombrero,1880,Sombrero,Sombrero,RIC,1075,St. Kitts,GPH,20,1075,,,,,,ignore_resolved,
1075->1032,1880,1032,Turks and Caicos Is.,GPH-AUTONOMOUS-CITED,1075,St. Kitts,GPH,125,1075,,,,,,ignore_resolved,
1075->1048,1880,1048,Trinidad,GPH-AUTONOMOUS-CITED,1075,St. Kitts,GPH,24,1075,,,,,,ignore_resolved,
1075->2,1880,2,United States of America,GPH-AUTONOMOUS-CITED,1075,St. Kitts,GPH,37563,1075,,,,,,ignore_resolved,
1075->1064,1880,1064,St. Barthelemy,GPH,1075,St. Kitts,GPH,226,1075,,,,,,split_failed_error,
1075->1077,1880,1077,St. Martin,GPH,1075,St. Kitts,GPH,344,1075,,,,,,split_failed_error,
1075->1068,1880,1068,Sint Eustatius,GPH,1075,St. Kitts,GPH,177,1075,,,,,,ignore_resolved,
1075->1067,1880,1067,Saba,GPH,1075,St. Kitts,GPH,192,1075,,,,,,ignore_resolved,
1075->St. Thomas,1880,St. Thomas,St. Thomas,RIC,1075,St. Kitts,GPH,323,1075,,,,,,ignore_resolved,
325<-300,1880,325,Italy,GPH-AUTONOMOUS-CITED,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,6556633.7205107855,325,,,,,,ok,
325->300,1880,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,5999350.696197965,325,,,,,,ok,
325<-211,1880,325,Italy,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,446540.65363249404,325,,,,,,ok,
325->211,1880,211,Belgium,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,145011.18245436836,325,,,,,,ok,
325<-220,1880,325,Italy,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,12184041.55544333,325,,,,,,ok,
325->220,1880,220,France,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,18161243.77750523,325,,,,,,ok,
325<-255,1880,325,Italy,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,1982035.9281437125,325,,,,,,ok,
325->255,1880,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,2827357.3335257196,325,,,,,,ok,
325<-200,1880,325,Italy,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,9352066.950436477,325,,,,,,ok,
325->200,1880,200,United Kingdom,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,3020272.7075968543,325,,,,,,ok,
325<-Greece & Malta,1880,325,Italy,GPH-AUTONOMOUS-CITED,Greece & Malta,Greece & Malta,RIC,247492.96587547794,325,,,,,,ignore_resolved,
325->Greece & Malta,1880,Greece & Malta,Greece & Malta,RIC,325,Italy,GPH-AUTONOMOUS-CITED,607531.9241036,325,,,,,,ignore_resolved,
325<-210,1880,325,Italy,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,328872.37573046674,325,,,,,,ok,
325->210,1880,210,Netherlands,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,250919.84705288216,325,,,,,,ok,
325<-365,1880,325,Italy,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,3057824.1108145155,325,,,,,,ok,
325->365,1880,365,Russia (USSR),GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,681588.6299689776,325,,,,,,ok,
325<-Gibraltar & Portugal & Spain,1880,325,Italy,GPH-AUTONOMOUS-CITED,Gibraltar & Portugal & Spain,Gibraltar & Portugal & Spain,RIC,210266.21455883412,325,,,,,,ignore_resolved,
325->Gibraltar & Portugal & Spain,1880,Gibraltar & Portugal & Spain,Gibraltar & Portugal & Spain,RIC,325,Italy,GPH-AUTONOMOUS-CITED,377281.5814154823,325,,,,,,ignore_resolved,
325<-Denmark & Norway & Sweden,1880,325,Italy,GPH-AUTONOMOUS-CITED,Denmark & Norway & Sweden,Denmark & Norway & Sweden,RIC,206009.6674121636,325,,136115.8309074114,,380|385,,split_only_partial,
325->Denmark & Norway & Sweden,1880,Denmark & Norway & Sweden,Denmark & Norway & Sweden,RIC,325,Italy,GPH-AUTONOMOUS-CITED,30697.640862852608,325,,28075.47066399192,,380|385,,split_only_partial,
325<-225,1880,325,Italy,GPH-AUTONOMOUS-CITED,225,Switzerland,GPH-AUTONOMOUS-CITED,1240927.7829882402,325,,,,,,ok,
325->225,1880,225,Switzerland,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,3688081.6679893225,325,,,,,,ok,
325<-European Turkey,1880,325,Italy,GPH-AUTONOMOUS-CITED,European Turkey,European Turkey,RIC,1156987.2303585599,325,,,,,,ignore_resolved,
325->European Turkey,1880,European Turkey,European Turkey,RIC,325,Italy,GPH-AUTONOMOUS-CITED,511615.323569728,325,,,,,,ignore_resolved,
325<-Asian Turkey,1880,325,Italy,GPH-AUTONOMOUS-CITED,Asian Turkey,Asian Turkey,RIC,106594.04083399466,325,,,,,,ignore_resolved,
325->Asian Turkey,1880,Asian Turkey,Asian Turkey,RIC,325,Italy,GPH-AUTONOMOUS-CITED,10172.426231873602,325,,,,,,ignore_resolved,
325<-British Asia,1880,325,Italy,GPH-AUTONOMOUS-CITED,British Asia,British Asia,RIC,1697965.5147536253,325,,1697965.5147536253,,720|750|780|827|8201|8202|8210|8218|8231,,split_failed_no_ratio,
325->British Asia,1880,British Asia,British Asia,RIC,325,Italy,GPH-AUTONOMOUS-CITED,982793.4492460861,325,,982793.4492460861,,720|750|780|827|8201|8202|8210|8218|8231,,split_failed_no_ratio,
325<-Japan & People's Republic of China (China),1880,325,Italy,GPH-AUTONOMOUS-CITED,Japan & People's Republic of China (China),Japan & People's Republic of China (China),RIC,22400.98117018974,325,,,,,,ignore_resolved,
325->Japan & People's Republic of China (China),1880,Japan & People's Republic of China (China),Japan & People's Republic of China (China),RIC,325,Italy,GPH-AUTONOMOUS-CITED,432.86920135632346,325,,,,,,ignore_resolved,
325<-651,1880,325,Italy,GPH-AUTONOMOUS-CITED,651,Egypt Arab Republic (Egypt),GPH-AUTONOMOUS-CITED,972188.1538128562,325,,,,,,ok,
325->651,1880,651,Egypt Arab Republic (Egypt),GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,432941.3462232162,325,,,,,,ok,
325<-Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),1880,325,Italy,GPH-AUTONOMOUS-CITED,Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),RIC,145660.48625640286,325,,145660.48625640286,,616|640,,split_failed_no_ratio,gravity results to be aggregated for partners: 640
325->Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),1880,Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),Tripolitania (Regency of Tripoli) & Tunisia (Regency of Tunis),RIC,325,Italy,GPH-AUTONOMOUS-CITED,130365.77447514609,325,,130365.77447514609,,616|640,,split_failed_no_ratio,gravity results to be aggregated for partners: 640
325<-615,1880,325,Italy,GPH-AUTONOMOUS-CITED,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,39751.82165788904,325,,,,,,ok,
325->615,1880,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,75499.60320323208,325,,,,,,ok,
325<-Canada (Province of Canada) & United States of America,1880,325,Italy,GPH-AUTONOMOUS-CITED,Canada (Province of Canada) & United States of America,Canada (Province of Canada) & United States of America,RIC,2732017.8919269894,325,,2732017.8919269894,,2|20,,split_failed_no_ratio,
325->Canada (Province of Canada) & United States of America,1880,Canada (Province of Canada) & United States of America,Canada (Province of Canada) & United States of America,RIC,325,Italy,GPH-AUTONOMOUS-CITED,1974677.151720655,325,,1974677.151720655,,2|20,,split_failed_no_ratio,
325<-160,1880,325,Italy,GPH-AUTONOMOUS-CITED,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,609443.7630762571,325,,,,,,ok,
325->160,1880,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,746086.1409710699,325,,,,,,ok,
325->Chile & Peru,1880,Chile & Peru,Chile & Peru,RIC,325,Italy,GPH-AUTONOMOUS-CITED,26910.035350984777,325,,26910.035350984777,,135|155,,split_failed_no_ratio,
325<-America (other),1880,325,Italy,GPH-AUTONOMOUS-CITED,America (other),America (other),RIC,916167.6646706586,325,,916167.6646706586,,3|5|6|10|21|30|31|40|41|42|51|65|66|68|70|80|90|91|92|93|94|100|101|110|115|120|130|140|145|150|165|1029|1032|1033|1044|1048|1053|1054|1055|1063|1072|1081|1087|1094|1101|1102|1103|1104|1105|1106|1111|1151|1163|10210|restOfTheWorld,,split_failed_no_ratio,
325->America (other),1880,America (other),America (other),RIC,325,Italy,GPH-AUTONOMOUS-CITED,163624.55811269028,325,,163624.55811269028,,3|5|6|10|21|30|31|40|41|42|51|65|66|68|70|80|90|91|92|93|94|100|101|110|115|120|130|140|145|150|165|1029|1032|1033|1044|1048|1053|1054|1055|1063|1072|1081|1087|1094|1101|1102|1103|1104|1105|1106|1111|1151|1163|10210|restOfTheWorld,,split_failed_no_ratio,
20<-200,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,7125976.8403639365,20,,,,,,ok,
20<-2,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,6068434.243176178,20,,,,,,ok,
20<-220,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,230736.35235732008,20,,,,,,ok,
20<-255,1880,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,93008.89164598842,20,,,,,,ok,
