id,year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,newReporter,newPartners,originalReportedTradeFlowId,status,notes
501<-200,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,329769,501,,,,,,ok,
501<-India & Myanmar (Burma),1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,India & Myanmar (Burma),India & Myanmar (Burma),RIC,,,,183436,501,,,,,,ignore_resolved,
501<-780,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,780,Sri Lanka (Ceylon),GPH-AUTONOMOUS-CITED,1,,,3938,501,,,,,,ok,
501<-511,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,511,Zanzibar,GPH-AUTONOMOUS-CITED,1,,,1474,501,,,,,,ok,
501<-590,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,590,Mauritius,GPH-AUTONOMOUS-CITED,1,,,3040,501,,,,,,ok,
501<-500,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,500,Uganda,GPH-AUTONOMOUS-CITED,1,,,5946,501,,,,,,ok,
501<-560,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,560,South Africa,GPH,1,,,5824,501,,,,,,split_failed_error,
501<-900,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,900,Australia,GPH-AUTONOMOUS-CITED,1,,,2139,501,,,,,,ok,
501<-British Colonies (other),1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,British Colonies (other),British Colonies (other),RIC,,,,769,501,,769,501,20|21|30|31|51|52|53|80|110|231|338|420|452|561|562|563|564|570|591|720|821|827|920|935|950|1055|1063|1163|4050|5522|5523|8218|9004|9620|9740,,split_failed_no_ratio,
501<-300,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,1,,,22254,501,,,,,,ok,
501<-211,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,3318,501,,,,,,ok,
501<-220,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,18777,501,,,,,,ok,
501<-255,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,1,,,63709,501,,,,,,ok,
501<-210,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,49143,501,,,,,,ok,
501<-325,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,325,Italy,GPH-AUTONOMOUS-CITED,1,,,9439,501,,,,,,ok,
501<-380,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,5379,501,,,,,,ok,
501<-235,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,235,Portugal,GPH-AUTONOMOUS-CITED,1,,,548,501,,,,,,ok,
501<-365,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,4523,501,,,,,,ok,
501<-225,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,225,Switzerland,GPH-AUTONOMOUS-CITED,1,,,11644,501,,,,,,ok,
501<-Europe (other),1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,Europe (other),Europe (other),RIC,,,,13015,501,,13015,501,11|212|221|223|230|232|331|341|342|346|350|351|352|355|360|385|390|395|640|2003|2004|2111|2333|3327|3471|3504|3654|3762|3805,,split_failed_no_ratio,
501<-Asia (other),1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,Asia (other),Asia (other),RIC,,,,20053,501,,20053,501,630|651|670|672|673|674|681|682|690|692|694|696|698|700|710|713|721|730|740|751|752|760|761|781|790|800|810|811|812|823|824|835|840|850|860|6800|6802|6837|6964|6968|6982|7020|7021|7030|7104|7105|7106|7110|7111|7120|7121|7122|7123|7124|7125|7126|7127|7128|7129|7130|7131|7133|7136|7137|7220|7351|7505|7507|7511|7512|7513|7514|7515|7516|7517|7519|7521|7522|7523|7526|7527|7528|7529|7531|7532|7533|7534|7535|7537|7538|7539|7541|7542|7543|7544|7545|7546|7548|7549|7552|7553|7570|7573|7574|7577|7579|7582|7587|7588|7694|7701|7702|7703|7704|7705|7706|7707|7751|7752|7753|7754|7756|7757|7758|7760|7761|7762|7763|7764|7766|7767|7768|7769|7770|7771|7772|7773|7774|7775|7776|7777|7778|7779|7780|7781|7782|7783|7784|7785|7786|7787|7789|7790|7791|7792|7793|7794|7795|7796|7797|7798|7799|8151|8152|8153|8171|8221|8223|8224|8401|8501|8533|8550|8551|8560|8572,,split_failed_no_ratio,
501<-2,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,31510,501,,,,,,ok,
501<-510,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,510,German East Africa,GPH-AUTONOMOUS-CITED,1,,,8070,501,,,,,,ok,
501<-Italian Eastern Africa,1907,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,Italian Eastern Africa,Italian Eastern Africa,RIC,,,,2000,501,,,,,,split_failed_error,
501->200,1907,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,22581,501,,,,,,ok,
501->India & Myanmar (Burma),1907,India & Myanmar (Burma),India & Myanmar (Burma),RIC,,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,4913,501,,,,,,ignore_resolved,
501->511,1907,511,Zanzibar,GPH-AUTONOMOUS-CITED,1,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,29071,501,,,,,,ok,
501->560,1907,560,South Africa,GPH,1,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,125,501,,,,,,split_failed_error,
501->300,1907,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,1,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,2388,501,,,,,,ok,
501->211,1907,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,257,501,,,,,,ok,
501->220,1907,220,France,GPH-AUTONOMOUS-CITED,1,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,24493,501,,,,,,ok,
501->255,1907,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,1,,,501,Kenya (British East Africa Protectorate),GPH-AUTONOMOUS-CITED,1,,,15674,501,,,,,,ok,
