id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
40<-94,1917,40,Cuba,GPH-AUTONOMOUS-CITED,94,Costa Rica,GPH-AUTONOMOUS-CITED,340.69449895510763,40,,,,,,ok,
40<-155,1917,40,Cuba,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,155986.50373058423,40,,,,,,ok,
40<-130,1917,40,Cuba,GPH-AUTONOMOUS-CITED,130,Ecuador,GPH-AUTONOMOUS-CITED,50914.30649764822,40,,,,,,ok,
40<-90,1917,40,Cuba,GPH-AUTONOMOUS-CITED,90,Guatemala,GPH-AUTONOMOUS-CITED,472.20504137444954,40,,,,,,ok,
40<-41,1917,40,Cuba,GPH-AUTONOMOUS-CITED,41,Haiti,GPH-AUTONOMOUS-CITED,28336.82315736264,40,,,,,,ok,
40<-91,1917,40,Cuba,GPH-AUTONOMOUS-CITED,91,Honduras,GPH-AUTONOMOUS-CITED,7944.058703018372,40,,,,,,ok,
40<-70,1917,40,Cuba,GPH-AUTONOMOUS-CITED,70,Mexico,GPH-AUTONOMOUS-CITED,653882.3350518747,40,,,,,,ok,
40<-95,1917,40,Cuba,GPH-AUTONOMOUS-CITED,95,Panama,GPH-AUTONOMOUS-CITED,3185.0209492184367,40,,,,,,ok,
40<-150,1917,40,Cuba,GPH-AUTONOMOUS-CITED,150,Paraguay,GPH-AUTONOMOUS-CITED,57.94683275352253,40,,,,,,ok,
40<-135,1917,40,Cuba,GPH-AUTONOMOUS-CITED,135,Peru,GPH-AUTONOMOUS-CITED,1426.6839000273296,40,,,,,,ok,
40<-6,1917,40,Cuba,GPH-AUTONOMOUS-CITED,6,Puerto Rico,GPH-AUTONOMOUS-CITED,732375.4297209716,40,,,,,,ok,
40<-42,1917,40,Cuba,GPH-AUTONOMOUS-CITED,42,Dominican Republic (Santo Domingo),GPH-AUTONOMOUS-CITED,10464.745927796603,40,,,,,,ok,
40<-165,1917,40,Cuba,GPH-AUTONOMOUS-CITED,165,Uruguay,GPH-AUTONOMOUS-CITED,819683.6349513924,40,,,,,,ok,
40<-101,1917,40,Cuba,GPH-AUTONOMOUS-CITED,101,Venezuela,GPH-AUTONOMOUS-CITED,1563.7425434549875,40,,,,,,ok,
40<-255,1917,40,Cuba,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,150.00421244706186,40,,,,,,ok,
40<-211,1917,40,Cuba,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,189.046404727804,40,,,,,,ok,
40<-390,1917,40,Cuba,GPH-AUTONOMOUS-CITED,390,Denmark,GPH-AUTONOMOUS-CITED,102798.09227519402,40,,,,,,ok,
40<-230,1917,40,Cuba,GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,3216254.292072586,40,,,,,,ok,
40<-220,1917,40,Cuba,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,1292382.457315582,40,,,,,,ok,
40<-210,1917,40,Cuba,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,62783.95489188395,40,,,,,,ok,
40<-205,1917,40,Cuba,GPH-AUTONOMOUS-CITED,205,Ireland,GPH,260412.65542388518,40,,,,,,ignore_resolved,
40<-325,1917,40,Cuba,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,112310.00322611799,40,,,,,,ok,
40<-385,1917,40,Cuba,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,57592.165259435365,40,,,,,,ok,
40<-235,1917,40,Cuba,GPH-AUTONOMOUS-CITED,235,Portugal,GPH-AUTONOMOUS-CITED,554.3991303865382,40,,,,,,ok,
