id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
248<-Prussia (Baltic Ports),1886,248,Hamburg,GPH,Prussia (Baltic Ports),Prussia (Baltic Ports),RIC,114327.67752059632,248,,,,,,ignore_duplicate,
248<-2555,1886,248,Hamburg,GPH,2555,Schleswig-Holstein,GPH,17820.71400549235,248,,,,,,ignore_duplicate,
248<-280,1886,248,Hamburg,GPH,280,Mecklenburg Schwerin,GPH,1138.6818360141233,248,,,,,,ignore_duplicate,
248<-Bremen (Weser),1886,248,Hamburg,GPH,Bremen (Weser),Bremen (Weser),RIC,1201736.465280502,248,,,,,,ignore_duplicate,
248<-Oldenburg & Wilhelmshaven,1886,248,Hamburg,GPH,Oldenburg & Wilhelmshaven,Oldenburg & Wilhelmshaven,RIC,13817.18320910161,248,,,,,,ignore_duplicate,
248<-East Frisia,1886,248,Hamburg,GPH,East Frisia,East Frisia,RIC,20872.400941545704,248,,,,,,ignore_duplicate,
248<-Russia (White Sea),1886,248,Hamburg,GPH,Russia (White Sea),Russia (White Sea),RIC,4361.023930953315,248,,,,,,ignore_duplicate,
248<-Russia (Baltic Sea),1886,248,Hamburg,GPH,Russia (Baltic Sea),Russia (Baltic Sea),RIC,324888.1914476265,248,,,,,,ignore_duplicate,
248<-Russia (Black Sea),1886,248,Hamburg,GPH,Russia (Black Sea),Russia (Black Sea),RIC,802957.5323656336,248,,,,,,ignore_duplicate,
248<-380,1886,248,Hamburg,GPH,380,Sweden,GPH-AUTONOMOUS-CITED,299106.02196939976,248,,,,,,ignore_duplicate,
248<-385,1886,248,Hamburg,GPH,385,Norway,GPH-AUTONOMOUS-CITED,508063.94664574345,248,,,,,,ignore_duplicate,
248<-Denmark & Faeroe Is. & Iceland,1886,248,Hamburg,GPH,Denmark & Faeroe Is. & Iceland,Denmark & Faeroe Is. & Iceland,RIC,54092.781482934486,248,,,,,,ignore_duplicate,
248<-2249,1886,248,Hamburg,GPH,2249,Heligoland,GPH-AUTONOMOUS-CITED,200.0784621420165,248,,,,,,ignore_duplicate,
248<-United Kingdom (other),1886,248,Hamburg,GPH,United Kingdom (other),United Kingdom (other),RIC,19350442.33032562,248,,,,,,ignore_duplicate,
248<-210,1886,248,Hamburg,GPH,210,Netherlands,GPH-AUTONOMOUS-CITED,1487498.5288348373,248,,,,,,ignore_duplicate,
248<-211,1886,248,Hamburg,GPH,211,Belgium,GPH-AUTONOMOUS-CITED,512223.91133777954,248,,,,,,ignore_duplicate,
248<-220,1886,248,Hamburg,GPH,220,France,GPH-AUTONOMOUS-CITED,2550149.0780698312,248,,,,,,ignore_duplicate,
248<-Gibraltar & Spain,1886,248,Hamburg,GPH,Gibraltar & Spain,Gibraltar & Spain,RIC,601220.5766967438,248,,,,,,ignore_duplicate,
248<-235,1886,248,Hamburg,GPH,235,Portugal,GPH-AUTONOMOUS-CITED,493081.60062769713,248,,,,,,ignore_duplicate,
248<-Italy & Malta,1886,248,Hamburg,GPH,Italy & Malta,Italy & Malta,RIC,428059.53315025504,248,,,,,,ignore_duplicate,
248<-300,1886,248,Hamburg,GPH,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,71540.80031384857,248,,,,,,ignore_duplicate,
