id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
Bahia->200,1873,200,United Kingdom,GPH-AUTONOMOUS-CITED,Bahia,Bahia,RIC,575774.6979426559,Bahia,,,,,,ignore_resolved,
Bahia->255,1873,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,Bahia,Bahia,RIC,454003.88396219816,Bahia,,,,,,ignore_resolved,
Bahia->220,1873,220,France,GPH-AUTONOMOUS-CITED,Bahia,Bahia,RIC,137574.2185963416,Bahia,,,,,,ignore_resolved,
Bahia->235,1873,235,Portugal,GPH-AUTONOMOUS-CITED,Bahia,Bahia,RIC,78222.94993033141,Bahia,,,,,,ignore_resolved,
Bahia->325,1873,325,Italy,GPH-AUTONOMOUS-CITED,Bahia,Bahia,RIC,56292.12798306778,Bahia,,,,,,ignore_resolved,
Bahia->2,1873,2,United States of America,GPH-AUTONOMOUS-CITED,Bahia,Bahia,RIC,15317.10713932152,Bahia,,,,,,ignore_resolved,
Bahia->Africa Coast,1873,Africa Coast,Africa Coast,RIC,Bahia,Bahia,RIC,30262.7041868462,Bahia,,30262.7041868462,,402|411|433|437|450|451|481|511|520|530|540|541|561|562|600|615|616|640|651|4042|4341|4344|4345|4347|4348|4521|4792|4793|4794|4842|5221|5222|5331|5403|5621|6067|restOfTheWorld,,ignore_resolved,flow part-of reporter with an area which has been aggregated at the aggregated reporter level
Bahia->211,1873,211,Belgium,GPH-AUTONOMOUS-CITED,Bahia,Bahia,RIC,14107.395235675796,Bahia,,,,,,ignore_resolved,
380<-385,1873,380,Sweden,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,751957.7318614963,380,,,,,,ok,
380<-375,1873,380,Sweden,GPH-AUTONOMOUS-CITED,375,Finland,GPH,308242.17600994546,380,,,,,,ignore_resolved,
380<-365,1873,380,Sweden,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,745686.3300089354,380,,,,,,ok,
380<-390,1873,380,Sweden,GPH-AUTONOMOUS-CITED,390,Denmark,GPH-AUTONOMOUS-CITED,2066787.6547732027,380,,,,,,ok,
380<-2555,1873,380,Sweden,GPH-AUTONOMOUS-CITED,2555,Schleswig-Holstein,GPH,336380.2356493121,380,,,,,,ignore_resolved,
380<-Hanse Towns & Mecklenburg Schwerin & Oldenburg,1873,380,Sweden,GPH-AUTONOMOUS-CITED,Hanse Towns & Mecklenburg Schwerin & Oldenburg,Hanse Towns & Mecklenburg Schwerin & Oldenburg,RIC,3107729.3640354527,380,,,,,,ignore_resolved,
380<-210,1873,380,Sweden,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,551050.8760537897,380,,,,,,ok,
