id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
385<-640,1890,385,Norway,GPH-AUTONOMOUS-CITED,640,Turkey (Ottoman Empire),GPH-AUTONOMOUS-CITED,5.501054368764098,385,,,,,,ok,
385<-Africa,1890,385,Norway,GPH-AUTONOMOUS-CITED,Africa,Africa,RIC,4120.28972220431,385,,4120.28972220431,,402|403|404|411|420|432|433|437|450|451|452|460|470|482|483|484|490|500|501|510|511|512|516|521|522|530|531|540|541|552|561|562|563|564|565|570|571|572|580|581|585|590|609|698|4050|4051|4060|4070|4114|4321|4325|4327|4328|4331|4332|4333|4334|4335|4336|4337|4341|4342|4344|4345|4347|4349|4352|4354|4361|4362|4381|4382|4383|4391|4392|4393|4394|4395|4396|4397|4515|4521|4526|4531|4559|4737|4741|4742|4744|4746|4751|4763|4769|4773|4776|4781|4782|4783|4784|4821|4822|4823|4831|4832|4905|4908|4910|5001|5002|5003|5102|5104|5200|5202|5204|5205|5206|5212|5309|5321|5322|5332|5403|5411|5511|5512|5513|5516|5517|5522|5523|5606|5612|5621|5796|5801|5802|5803|5813|5814|5901|5902|5903|6066,,split_failed_no_ratio,
385<-2,1890,385,Norway,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,506251.03144862247,385,,,,,,ok,
385<-Northern America (other),1890,385,Norway,GPH-AUTONOMOUS-CITED,Northern America (other),Northern America (other),RIC,11827.266892842812,385,,11827.266892842812,,3|10|20|21|1029|10210,,split_failed_no_ratio,
385<-West Indies,1890,385,Norway,GPH-AUTONOMOUS-CITED,West Indies,West Indies,RIC,1655.8173649979938,385,,1655.8173649979938,,5|6|30|31|40|41|42|51|52|53|65|66|68|1032|1033|1044|1055|1063|1081|1087,,split_failed_no_ratio,
385<-Southern America,1890,385,Norway,GPH-AUTONOMOUS-CITED,Southern America,Southern America,RIC,4851.929953249935,385,,4851.929953249935,,100|101|110|115|120|130|135|145|150|155|165|1163,,ignore_resolved,
385->380,1890,380,Sweden,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,1064569.5424975972,385,,,,,,ok,
385->Sweden (other),1890,Sweden (other),Sweden (other),RIC,385,Norway,GPH-AUTONOMOUS-CITED,15358.943797589363,385,,,,,,ignore_resolved,
385->390,1890,390,Denmark,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,291874.94269788556,385,,,,,,ok,
385->11,1890,11,Faeroe Is.,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,269.55166406944085,385,,,,,,ok,
385->395,1890,395,Iceland,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,15144.402677207563,385,,,,,,ok,
385->375,1890,375,Finland,GPH,385,Norway,GPH-AUTONOMOUS-CITED,6733.290547367256,385,,,,,,ignore_resolved,
385->Russia (North Sea),1890,Russia (North Sea),Russia (North Sea),RIC,385,Norway,GPH-AUTONOMOUS-CITED,96191.43669220903,385,,,,,,ignore_resolved,
