intra_Louvain_share,intra_IntraMax_share,intra_An_share,CafFob,year
.4358978,.23159198,.35709175,fob,1865
.1257481,.074168801,.38557312,fob,1864
.17107117,.3859728,.36614451,fob,1863
.26779157,.36127755,.35999039,fob,1862
.25477728,.3871623,.21403901,fob,1861
.22212479,.24641728,.31926873,fob,1860
.11796769,.2133044,.1672994,fob,1859
.19397382,.23458822,.18276317,fob,1858
.20966612,.36268151,.18676463,fob,1857
.19439794,.18020585,.15526588,fob,1856
.40421557,.11394244,.18267511,fob,1855
.47321036,.23722455,.44960007,fob,1854
.16010992,.28369656,.41717294,fob,1853
.17526044,.19683406,.30771989,fob,1852
.38618669,.21361269,.37066185,fob,1851
.13735712,.2242773,.18768005,fob,1850
.089265898,.18080993,.40772852,fob,1849
.33721414,.32725337,.41145191,fob,1848
.37447274,.09945561,.33402705,fob,1847
.40114945,.32468602,.1605754,fob,1846
.2007325,.14187418,.44028947,fob,1845
.39510301,.16835976,.14166649,fob,1844
.42108628,.30726486,.28731322,fob,1843
.43917683,.13851607,.17529768,fob,1842
.18918568,.1422479,.22754213,fob,1841
.3219184,.31451365,.18656944,fob,1840
.14418066,.3409999,.45107272,fob,1839
.30895257,.31868801,.4596011,fob,1838
.25787324,.37870035,.34323493,fob,1837
.16583352,.39825612,.2705352,fob,1836
.1498815,.29413581,.16796482,fob,1835
.27181125,.38469529,.18855792,fob,1834
.13676682,.34633884,.25857592,fob,1833
