GPH_code,GPH_name,continent,RICname,RicnamePeriod (begin/end year,partially_included,nb flows (partner)
590,Mauritius,Africa,Southern Africa,1841-1938,,6
591,Seychelles,Africa,Southern Africa,1841-1938,,6
5519,Barotseland_North_Western Rhodesia (Northwestern Rhodesia),Africa,Southern Africa,1841-1938,,6
100,Colombia (New Granada) (Gran Colombia),America,Southern America,1821-1938,,1176
101,Venezuela,America,Southern America,1821-1938,,1176
110,Guyana (British Guiana),America,Southern America,1821-1938,,1176
115,Surinam (Dutch Guiana),America,Southern America,1821-1938,,1176
120,French Guiana,America,Southern America,1821-1938,,1176
130,Ecuador,America,Southern America,1821-1938,,1176
135,Peru,America,Southern America,1821-1938,,1176
140,Brazil,America,Southern America,1821-1938,,1176
145,Bolivia,America,Southern America,1821-1938,,1176
150,Paraguay,America,Southern America,1821-1938,,1176
155,Chile,America,Southern America,1821-1938,,1176
160,Argentina (La Plata),America,Southern America,1821-1938,,1176
165,Uruguay,America,Southern America,1821-1938,,1176
810,French Indochina,Asia,Southern Asia,1911-1912,,3
850,Indonesia (Dutch East Indies),Asia,Southern Asia,1911-1912,,3
823,Sabah (North Borneo),Asia,Sunda Islands,1856-1923,,24
824,Sarawak,Asia,Sunda Islands,1856-1923,,24
835,Brunei,Asia,Sunda Islands,1856-1923,,24
850,Indonesia (Dutch East Indies),Asia,Sunda Islands,1856-1923,,24
860,East Timor (Portuguese Timor),Asia,Sunda Islands,1856-1923,,24
8501,Bali,Asia,Sunda Islands,1856-1923,,24
8510,Lombok,Asia,Sunda Islands,1856-1923,,24
8524,Pontianak,Asia,Sunda Islands,1856-1923,,24
8525,Sambas,Asia,Sunda Islands,1856-1923,,24
350,Greece,Europe,Thrace,1919-1922,,5
355,Bulgaria,Europe,Thrace,1919-1922,,5
640,Turkey (Ottoman Empire),Asia,Thrace,1919-1922,,5
5,Virgin Islands (Danish West Indies),America,West Indies,1821-1938,,6239
6,Puerto Rico,America,West Indies,1821-1938,,6239
30,Bermuda,America,West Indies,1821-1938,,6239
31,Bahamas,America,West Indies,1821-1938,,6239
40,Cuba,America,West Indies,1821-1938,,6239
41,Haiti,America,West Indies,1821-1938,,6239
42,Dominican Republic (Santo Domingo),America,West Indies,1821-1938,,6239
50,West Indies Federation,America,West Indies,1821-1938,,6239
51,Jamaica,America,West Indies,1821-1938,,6239
52,Trinidad and Tobago,America,West Indies,1821-1938,,6239
53,Barbados,America,West Indies,1821-1938,,6239
54,Dominica,America,West Indies,1821-1938,,6239
55,Grenada,America,West Indies,1821-1938,,6239
56,St. Lucia,America,West Indies,1821-1938,,6239
57,St. Vincent and the Grenadines,America,West Indies,1821-1938,,6239
58,Antigua and Barbuda (Antigua),America,West Indies,1821-1938,,6239
59,Montserrat,America,West Indies,1821-1938,,6239
60,St. Kitts-Nevis,America,West Indies,1821-1938,,6239
65,Guadeloupe,America,West Indies,1821-1938,,6239
66,Martinique,America,West Indies,1821-1938,,6239
68,Netherlands Antilles,America,West Indies,1821-1938,,6239
1032,Turks and Caicos Is.,America,West Indies,1821-1938,,6239
1033,Cayman Is.,America,West Indies,1821-1938,,6239
1044,Navassa I.,America,West Indies,1821-1938,,6239
1049,Tobago,America,West Indies,1821-1938,,6239
1055,Windward Is.,America,West Indies,1821-1938,,6239
1058,Barbuda,America,West Indies,1821-1938,,6239
1061,British Virgin Is.,America,West Indies,1821-1938,,6239
1062,Anguilla,America,West Indies,1821-1938,,6239
1063,Leeward Is.,America,West Indies,1821-1938,,6239
1064,St. Barthelemy,America,West Indies,1821-1938,,6239
1065,Curacao,America,West Indies,1821-1938,,6239
1066,Bonaire,America,West Indies,1821-1938,,6239
1067,Saba,America,West Indies,1821-1938,,6239
1068,Sint Eustatius,America,West Indies,1821-1938,,6239
1069,Aruba,America,West Indies,1821-1938,,6239
1073,Sint Maarten,America,West Indies,1821-1938,,6239
1074,Dutch Windward Is.,America,West Indies,1821-1938,,6239
1075,St. Kitts,America,West Indies,1821-1938,,6239
1076,Nevis,America,West Indies,1821-1938,,6239
1077,St. Martin,America,West Indies,1821-1938,,6239
91,Honduras,America,West Indies (continental),1821-1938,,14
402,Cape Verde,Africa,Western Africa,1831-1938,,2604
404,Guinea-Bissau (Portuguese Guinea),Africa,Western Africa,1831-1938,,2604
411,Equatorial Guinea (Spanish Guinea),Africa,Western Africa,1831-1938,,2604
412,Rio Muni,Africa,Western Africa,1831-1938,,2604
413,Fernando Po (Bioko),Africa,Western Africa,1831-1938,,2604
420,Gambia,Africa,Western Africa,1831-1938,,2604
430,French West Africa,Africa,Western Africa,1831-1938,,2604
432,Mali (French Sudan) (Upper Senegal and Niger),Africa,Western Africa,1831-1938,,2604
433,Senegal,Africa,Western Africa,1831-1938,,2604
434,Benin (Dahomey),Africa,Western Africa,1831-1938,,2604
435,Mauritania,Africa,Western Africa,1831-1938,,2604
437,Ivory Coast,Africa,Western Africa,1831-1938,,2604
438,Guinea (French Guinea) (Rivieres du Sud),Africa,Western Africa,1831-1938,,2604
439,Burkina Faso (Upper Volta),Africa,Western Africa,1831-1938,,2604
450,Liberia,Africa,Western Africa,1831-1938,,2604
451,Sierra Leone,Africa,Western Africa,1831-1938,,2604
452,Ghana (Gold Coast),Africa,Western Africa,1831-1938,,2604
460,German Togoland,Africa,Western Africa,1831-1938,,2604
461,Togo (French Togoland),Africa,Western Africa,1831-1938,,2604
462,British Togoland,Africa,Western Africa,1831-1938,,2604
470,Kamerun,Africa,Western Africa,1831-1938,,2604
471,Cameroun (French Cameroons),Africa,Western Africa,1831-1938,,2604
472,British Cameroons,Africa,Western Africa,1831-1938,,2604
475,Nigeria,Africa,Western Africa,1831-1938,,2604
481,Gabon,Africa,Western Africa,1831-1938,,2604
484,Congo (Brazzaville) (French Congo) (Middle Congo),Africa,Western Africa,1831-1938,,2604
490,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),Africa,Western Africa,1831-1938,,2604
3,Alaska,America,Western America,1821-1886,,73
100,Colombia (New Granada) (Gran Colombia),America,Western America,1821-1886,,73
130,Ecuador,America,Western America,1821-1886,,73
135,Peru,America,Western America,1821-1886,,73
155,Chile,America,Western America,1821-1886,,73
630,Iran (Persia),Asia,Western Asia,1910-1938,,62
640,Turkey (Ottoman Empire),Asia,Western Asia,1910-1938,,62
645,Iraq (Mesopotamia),Asia,Western Asia,1910-1938,,62
652,Syria,Asia,Western Asia,1910-1938,,62
660,Lebanon,Asia,Western Asia,1910-1938,,62
665,Palestine,Asia,Western Asia,1910-1938,,62
670,Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah),Asia,Western Asia,1910-1938,,62
678,Yemen Arab Republic (North Yemen) (Kingdom of Yemen),Asia,Western Asia,1910-1938,,62
690,Kuwait,Asia,Western Asia,1910-1938,,62
692,Bahrain,Asia,Western Asia,1910-1938,,62
694,Qatar,Asia,Western Asia,1910-1938,,62
696,United Arab Emirates (Trucial Oman),Asia,Western Asia,1910-1938,,62
698,Oman (Sultanate of Muscat and Oman),Asia,Western Asia,1910-1938,,62
402,Cape Verde,Africa,Windward Coast of Africa,1856-1908,,221
404,Guinea-Bissau (Portuguese Guinea),Africa,Windward Coast of Africa,1856-1908,,221
438,Guinea (French Guinea) (Rivieres du Sud),Africa,Windward Coast of Africa,1856-1908,,221
452,Ghana (Gold Coast),Africa,Windward Coast of Africa,1856-1908,,221
4781,Lagos,Africa,Windward Coast of Africa,1856-1908,,221
