"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","210","10-210",3.04764118610243,"3.0577649737045052e-9",1,0,0,"9",3.0577649737045e-09,1,1,"Netherlands","Sovereign",9,0,1,NA,"Greenland","Colony of",9,0,2.08472314876584,NA
"100","140","100-140",2.77753445547021,"0.0010178126855061927",1,0,0,"3",0.00101781268550619,1,1,"Brazil","Sovereign",3,0,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0,693924.380987216,NA
"100","2","100-2",0.610689088148117,"0.0014826567609751257",0,1,0,"bridge",0.00148265676097513,1,1,"United States of America","Sovereign",5,0,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0,1010845.79680248,NA
"100","200","100-200",0.513077261005845,"0.003094484809271652",0,1,0,"bridge",0.00309448480927165,1,1,"United Kingdom","Sovereign",4,0,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0,2109758,NA
"101","2","101-2",0.821730695940142,"0.0003606395415427561",1,0,0,"5",0.000360639541542756,1,1,"United States of America","Sovereign",5,0,1,NA,"Venezuela","Sovereign",5,0,245876.843733883,NA
"101","200","101-200",0.557021323338809,"0.0006368710871553074",0,1,0,"bridge",0.000636871087155307,1,1,"United Kingdom","Sovereign",4,0,1,NA,"Venezuela","Sovereign",5,0,434206,NA
"101","220","101-220",0.171401486728314,"0.0002855410664550746",0,1,0,"bridge",0.000285541066455075,1,1,"France","Sovereign",1,0,1,NA,"Venezuela","Sovereign",5,0,194676.201827572,NA
"101","230","101-230",0.587063581993431,"0.000038673394399462444",0,1,0,"bridge",3.86733943994625e-05,1,1,"Spain","Sovereign",7,0,1,NA,"Venezuela","Sovereign",5,0,26366.7486674867,NA
"1019","200","1019-200",1.30998393464452,"0.00007292527874390204",1,0,0,"4",7.2925278743902e-05,1,1,"United Kingdom","Sovereign",4,0,1,NA,"Rupert's Land","Possession of",4,0,49719,NA
"1024","2","1024-2",1.20603587451521,"0.00029355801883308274",1,0,0,"5",0.000293558018833083,1,1,"United States of America","Sovereign",5,0,1,1,"Prince Edward Is.","Colony of",5,0,200142,NA
"1024","20","1024-20",3.15770767829316,"0.00026531234722195434",1,0,0,"5",0.000265312347221954,1,1,"Canada (Province of Canada)","Colony of",5,0,1,1,"Prince Edward Is.","Colony of",5,0,180884.664669607,NA
"1024","200","1024-200",1.23274484232652,"0.00019033411213984977|0.0001596717305122774",0,1,0,"bridge",0.00019033411213985,1,1,"United Kingdom","Sovereign",4,0,1,1,"Prince Edward Is.","Colony of",5,0,129766,108861
"1027","2","1027-2",1.2585795812947,"0.00010648302231038034",1,0,0,"5",0.00010648302231038,1,1,"United States of America","Sovereign",5,0,1,NA,"British Columbia","Colony of",5,0,72598,NA
"1029","2","1029-2",0.0904831873232996,"0.00005149028474934899",0,1,0,"bridge",5.1490284749349e-05,1,1,"United States of America","Sovereign",5,0,1,1,"St. Pierre and Miquelon","Colony of",1,0,35105.0487779857,NA
"1032","1063","1032-1063",6.17969113571777,"3.4908619121560537e-7",1,0,0,"0",3.49086191215605e-07,NA,NA,"Leeward Is.","Colony of",0,0,1,1,"Turks and Caicos Is.","Colony of",0,0,238,NA
"1032","30","1032-30",9.52528917409823,"7.275073564829423e-7",1,0,0,"0",7.27507356482942e-07,1,1,"Bermuda","Colony of",0,0,1,1,"Turks and Caicos Is.","Colony of",0,0,496,NA
"1048","200","1048-200",1.30919563359322,"0.0005840123974114922|0.001716370264033679",0,1,0,"bridge",0.00171637026403368,1,1,"United Kingdom","Sovereign",4,0,1,1,"Trinidad","Colony of",0,0,398168,1170187
"1048","30","1048-30",2.53925756564548,"3.652204269440577e-7",1,0,0,"0",3.65220426944058e-07,1,1,"Bermuda","Colony of",0,0,1,1,"Trinidad","Colony of",0,0,249,NA
"1055","1063","1055-1063",0.102304933862685,"5.778989888191114e-7",1,0,0,"0",5.77898988819111e-07,NA,NA,"Leeward Is.","Colony of",0,0,NA,NA,"Windward Is.","Colony of",0,0,394,NA
"1055","30","1055-30",3.60209458786263,"0.000001405145257077941",1,0,0,"0",1.40514525707794e-06,1,1,"Bermuda","Colony of",0,0,NA,NA,"Windward Is.","Colony of",0,0,958,NA
"1064","1063","1063-1064",7.30592949066081,"0.000003424858220539658",1,0,0,"0",3.42485822053966e-06,NA,NA,"Leeward Is.","Colony of",0,0,1,NA,"St. Barthelemy","Colony of",0,0,2335,NA
"110","30","110-30",4.35557676007043,"0.0000037240749558673198",1,0,0,"0",3.72407495586732e-06,1,1,"Bermuda","Colony of",0,0,1,1,"Guyana (British Guiana)","Colony of",0,0,2539,NA
"115","200","115-200",0.0115202573006504,"0.000054224232785923175",0,1,0,"bridge",5.42242327859232e-05,1,1,"United Kingdom","Sovereign",4,0,1,NA,"Surinam (Dutch Guiana)","Colony of",9,0,36969,NA
"115","210","115-210",2.60476433427624,"0.0001275763148540973",1,0,0,"9",0.000127576314854097,1,1,"Netherlands","Sovereign",9,0,1,NA,"Surinam (Dutch Guiana)","Colony of",9,0,86978.9859906604,NA
"115","325","115-325",0.644123771968129,"0.000016002228345219557",0,1,0,"bridge",1.60022283452196e-05,1,1,"Italy","Sovereign",6,0,1,NA,"Surinam (Dutch Guiana)","Colony of",9,0,10910,NA
"1163","155","1163-155",0.000282577441796359,"1.4996682495274232e-7",0,1,0,"bridge",1.49966824952742e-07,1,1,"Chile","Sovereign",3,0,1,1,"Falkland Is.","Colony of",4,0,102.244389027431,NA
"1163","200","1163-200",1.27963509910127,"0.00001957522818472046|0.000027822756139364784",1,0,0,"4",2.78227561393648e-05,1,1,"United Kingdom","Sovereign",4,0,1,1,"Falkland Is.","Colony of",4,0,13346,18969
"1163","51","1163-51",0.639318427865847,"6.45369429138094e-8",0,1,0,"bridge",6.45369429138094e-08,1,1,"Jamaica","Colony of",5,0,1,1,"Falkland Is.","Colony of",4,0,44,NA
"130","155","130-155",2.76951654595183,"0.00003259344647157715",1,0,0,"3",3.25934464715771e-05,1,1,"Chile","Sovereign",3,0,1,NA,"Ecuador","Sovereign",3,0,22221.5614809131,NA
"130","200","130-200",0.0862929468912705,"0.0000808941244450549",0,1,0,"bridge",8.08941244450549e-05,1,1,"United Kingdom","Sovereign",4,0,1,NA,"Ecuador","Sovereign",3,0,55152,NA
"130","220","130-220",0.916801315984591,"0.00012237474276646055",0,1,0,"bridge",0.000122374742766461,1,1,"France","Sovereign",1,0,1,NA,"Ecuador","Sovereign",3,0,83432.6579261025,NA
"130","230","130-230",0.0587821774655407,"0.000004637487749076011",0,1,0,"bridge",4.63748774907601e-06,1,1,"Spain","Sovereign",7,0,1,NA,"Ecuador","Sovereign",3,0,3161.74661746617,NA
"130","325","130-325",1.03544787191478,"0.00003276276576967638",0,1,0,"bridge",3.27627657696764e-05,1,1,"Italy","Sovereign",6,0,1,NA,"Ecuador","Sovereign",3,0,22337,NA
"130","51","130-51",0.0480453153609802,"4.869605692587436e-7",0,1,0,"bridge",4.86960569258744e-07,1,1,"Jamaica","Colony of",5,0,1,NA,"Ecuador","Sovereign",3,0,332,NA
"135","155","135-155",3.78293021921461,"0.0019852903719075545",1,0,0,"3",0.00198529037190755,1,1,"Chile","Sovereign",3,0,1,NA,"Peru","Sovereign",3,0,1353531.36389795,NA
"135","200","135-200",0.211270669889757,"0.002026599348620361",0,1,0,"bridge",0.00202659934862036,1,1,"United Kingdom","Sovereign",4,0,1,NA,"Peru","Sovereign",3,0,1381695,NA
"135","220","135-220",0.187929377563677,"0.0013053305895089126",0,1,0,"bridge",0.00130533058950891,1,1,"France","Sovereign",1,0,1,NA,"Peru","Sovereign",3,0,889948.35121176,NA
"140","160","140-160",2.49605265544998,"0.00010359662985738234|0.0012477473640506687",1,0,0,"3",0.00124774736405067,1,1,"Argentina (La Plata)","Sovereign",3,0,1,1,"Brazil","Sovereign",3,0,70630.1152165276,850689.257028348
