"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"720","810","720-810",3.56431437939706,"0.000764494271579927|0.0056611741233362255",0.65,0.35,0.91,"3",0.00566117412333623,1,1,"French Indochina","Colony of",3,0.580666666666667,1,1,"Hong Kong","Colony of",3,0.176666666666667,3030516.55285482,22441347.8650509
"721","710","710-721",2.75250908205688,"0.00006300561953995877|0.00004908937163140393",1,0,0,"3",6.30056195399588e-05,1,1,"People's Republic of China (China)","Sovereign",3,0.4172,1,1,"Macao","Colony of",3,0,249759.324610918,194594.202767232
"721","720","720-721",2.31413782191603,"0.0052053042787069325",1,0,0,"3",0.00520530427870693,1,1,"Hong Kong","Colony of",3,0.176666666666667,1,1,"Macao","Colony of",3,0,20634243.2712632,NA
"730","385","385-730",2.49986922818428,"0.00003341355260127451",0.3,0.7,0.84,"bridge",3.34135526012745e-05,1,1,"Norway","Sovereign",3,0.3128125,1,NA,"Korea (Chosen)","Colony of",3,0.55,132454,NA
"730","710","710-730",4.16479240165726,"0.00021774154115073287",1,0,0,"3",0.000217741541150733,1,1,"People's Republic of China (China)","Sovereign",3,0.4172,1,NA,"Korea (Chosen)","Colony of",3,0.55,863144.917145957,NA
"730","840","730-840",2.67376304061404,"0.000021570293217078973",0.9,0.1,0.36,"3",2.1570293217079e-05,1,1,"Philippines","Colony of",3,0.299285714285714,1,NA,"Korea (Chosen)","Colony of",3,0.55,85506.3707792029,NA
"730","850","730-850",0.811479221177349,"0.000010404049585010935",0.5,0.5,1,"bridge",1.04040495850109e-05,1,1,"Indonesia (Dutch East Indies)","Colony of",3,0.497826086956522,1,NA,"Korea (Chosen)","Colony of",3,0.55,41242.4862503389,NA
"740","135","135-740",0.369158373313481,"0.00011097107618172421|0.00010287528743498833",0.1,0.9,0.36,"bridge",0.000110971076181724,1,1,"Peru","Sovereign",1,0.018,1,1,"Japan","Sovereign",1,0.411052631578948,439898.238297877,407805.882975586
"740","145","145-740",0.182145660096906,"2.2770117206260621e-7|0.000020310134337062013",0.1,0.9,0.36,"bridge",2.0310134337062e-05,1,1,"Bolivia","Sovereign",1,0.0327272727272727,1,1,"Japan","Sovereign",1,0.411052631578948,902.625692163905,80511
"740","150","150-740",0.0171259857716646,"5.5711819713703153e-8|0.000011071420995702173",0.1,0.9,0.36,"bridge",1.10714209957022e-05,1,1,"Paraguay","Sovereign",1,0.06,1,1,"Japan","Sovereign",1,0.411052631578948,220.846117634237,43888
"740","165","165-740",0.133132098842653,"0.00004784532847776186|0.00008390698103650779",0.1,0.9,0.36,"bridge",8.39069810365078e-05,1,1,"Uruguay","Sovereign",1,0.0944444444444444,1,1,"Japan","Sovereign",1,0.411052631578948,189662.716018761,332613.996447228
"740","352","352-740",0.349952546458025,"0.00000203552898319178|0.000011934674939466153",0,1,0,"bridge",1.19346749394662e-05,1,1,"Cyprus","Colony of",6,0.219285714285714,1,1,"Japan","Sovereign",1,0.411052631578948,8069,47310.007807184
"740","512","512-740",2.4762108052323,"0.0000033003873698225376|0.00018434087498271504",0.8,0.2,0.64,"2",0.000184340874982715,1,1,"Tanzania (Tanganyika)","Mandated to",2,0.2875,1,1,"Japan","Sovereign",1,0.411052631578948,13083,730742
"740","522","522-740",0.624152475183247,"0.000018461976278580556|0.0000098140822740386",0.6,0.4,0.96,"2",1.84619762785806e-05,1,1,"Djibouti (Afar and Issas) (French Somaliland)","Colony of",2,0.248,1,1,"Japan","Sovereign",1,0.411052631578948,73184.7533599236,38903.8085544943
"740","541","541-740",1.02796162218741,"2.7195045585054402e-8|0.00015889369850479308",0,1,0,"bridge",0.000158893698504793,1,1,"Mozambique (Portuguese East Africa)","Colony of",7,0.0840909090909091,1,1,"Japan","Sovereign",1,0.411052631578948,107.803339887462,629867.353313131
"740","600","600-740",0.924665066958937,"0.000010310745448399966|0.00027802926545800313",0,1,0,"bridge",0.000278029265458003,1,1,"Morocco","Protectorate of",6,0.494545454545455,1,1,"Japan","Sovereign",1,0.411052631578948,40872.6211761834,1102130.28726463
"740","681","681-740",2.26639908891815,"0.000011180576545388464|0.00019519579762859675",0.6,0.4,0.96,"2",0.000195195797628597,1,1,"Aden","Dependency of",2,0.311785714285714,1,1,"Japan","Sovereign",1,0.411052631578948,44320.7013457885,773771.783192906
"740","710","710-740",1.41850835467877,"0.0015446315167655048|0.0021988458858237555",0.35,0.65,0.91,"bridge",0.00219884588582376,1,1,"People's Republic of China (China)","Sovereign",3,0.4172,1,1,"Japan","Sovereign",1,0.411052631578948,6123043.10658228,8716401.28891265
"740","720","720-740",1.38440700906468,"0.004501334386634681|0.0007349547977622459",0.35,0.65,0.91,"bridge",0.00450133438663468,1,1,"Hong Kong","Colony of",3,0.176666666666667,1,1,"Japan","Sovereign",1,0.411052631578948,17843650.2087051,2913419.71158994
"740","750","740-750",1.55669451407348,"0.004161891200201043|0.004073462985050231",0.5,0.5,1,"bridge",0.00416189120020104,1,1,"India","Colony of",2,0.465609756097561,1,1,"Japan","Sovereign",1,0.411052631578948,16498070.2174842,16147533.6867132
"740","810","740-810",0.223556386141119,"0.00018373673963782336|0.0000594219803998128",0.15,0.85,0.51,"bridge",0.000183736739637823,1,1,"French Indochina","Colony of",3,0.580666666666667,1,1,"Japan","Sovereign",1,0.411052631578948,728347.159082389,235553.491895878
"740","850","740-850",1.90743121455486,"0.0008394492738564066|0.00211391380541347",0.8,0.2,0.64,"3",0.00211391380541347,1,1,"Indonesia (Dutch East Indies)","Colony of",3,0.497826086956522,1,1,"Japan","Sovereign",1,0.411052631578948,3327644.18815901,8379723.71640469
"740","93","740-93",0.419705333959011,"3.626937780616705e-7|0.000012825749571359814",0.1,0.9,0.36,"bridge",1.28257495713598e-05,1,1,"Nicaragua","Sovereign",1,0.0276923076923077,1,1,"Japan","Sovereign",1,0.411052631578948,1437.74719954645,50842.2990514362
"740","94","740-94",0.596024168854581,"9.736867097415791e-8|0.00001934932149333731",0.1,0.9,0.36,"bridge",1.93493214933373e-05,1,1,"Costa Rica","Sovereign",1,0.0392857142857143,1,1,"Japan","Sovereign",1,0.411052631578948,385.977214069694,76702.2608958002
"750","200","200-750",1.3410114219157,"0.009548013849732574|0.009598165578021147",0.05,0.95,0.19,"bridge",0.00959816557802115,1,1,"United Kingdom","Sovereign",0,0.0483783783783784,1,1,"India","Colony of",2,0.465609756097561,37849092,38047897.4696848
"750","352","352-750",0.558323482036781,"0.0000020325017991791016|0.000012271689615137325",0,1,0,"bridge",1.22716896151373e-05,1,1,"Cyprus","Colony of",6,0.219285714285714,1,1,"India","Colony of",2,0.465609756097561,8057,48645.9609871415
"750","40","40-750",0.114356560604096,"4.101964463318696e-8|0.00014843224122099946",0,1,0,"bridge",0.000148432241220999,1,1,"Cuba","Sovereign",1,0.305384615384615,1,1,"India","Colony of",2,0.465609756097561,162.605158304445,588397.298344635
"750","452","452-750",1.05455341996302,"2.5226533438985995e-10|0.000038580290930961654",0,1,0,"bridge",3.85802909309617e-05,1,1,"Ghana (Gold Coast)","Colony of",9,0.182727272727273,1,1,"India","Colony of",2,0.465609756097561,1,152935.364758989
"750","541","541-750",1.18419049758603,"0.000021558604094341074|0.00015507987151009957",0,1,0,"bridge",0.0001550798715101,1,1,"Mozambique (Portuguese East Africa)","Colony of",7,0.0840909090909091,1,1,"India","Colony of",2,0.465609756097561,85460.0341599993,614749.037497295
"750","752","750-752",3.66832467005077,"0.00003408113474324903",0,1,0,"bridge",3.4081134743249e-05,1,1,"Portuguese India","Colony of",7,0.075,1,1,"India","Colony of",2,0.465609756097561,135100.349105354,NA
