"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","20","10-20",24.8390624616674,"10.293996541217163",1,0,0,"2",10.2939965412172,1,1,"Canada (Province of Canada)","Colony of",2,0.590681818181818,1,NA,"Greenland","Colony of",2,0,10.2939965412172,NA
"100","155","100-155",20.4749032293347,"25582.000743770917",1,0,0,"2",25582.0007437709,1,1,"Chile","Sovereign",2,0.2085,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,25582.0007437709,NA
"100","2","100-2",21.2478067177056,"1054853.4195248487",0.05,0.95,0.19,"bridge",1054853.41952485,1,1,"United States of America","Sovereign",2,0.160958904109589,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,1054853.41952485,NA
"100","20","100-20",19.179088414435,"15602",0.65,0.35,0.91,"2",15602,1,1,"Canada (Province of Canada)","Colony of",2,0.590681818181818,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,15602,NA
"100","200","100-200",21.5141026939802,"2570952",0,1,0,"bridge",2570952,1,1,"United Kingdom","Sovereign",0,0.150340909090909,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,2570952,NA
"100","220","100-220",20.8421508786041,"809941.636558542",0.05,0.95,0.19,"bridge",809941.636558542,1,1,"France","Sovereign",1,0.073968253968254,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,809941.636558542,NA
"100","230","100-230",16.0108429012519,"815.7741142780665",0.1,0.9,0.36,"bridge",815.774114278066,1,1,"Spain","Sovereign",1,0.208684210526316,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,815.774114278066,NA
"100","51","100-51",19.1027404894153,"1381",1,0,0,"2",1381,1,1,"Jamaica","Colony of",2,0.264285714285714,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,1381,NA
"100","710","100-710",16.0484294717211,"849",0.05,0.95,0.19,"bridge",849,1,1,"People's Republic of China (China)","Sovereign",3,0.1365625,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.23,849,NA
"101","1048","101-1048",24.5624345135334,"111579",0.4,0.6,0.96,"bridge",111579,1,1,"Trinidad","Colony of",4,0.201538461538461,1,NA,"Venezuela","Sovereign",2,0.417,111579,NA
"101","2","101-2",21.5371251203861,"490826.16214435705",0.4,0.6,0.96,"bridge",490826.162144357,1,1,"United States of America","Sovereign",2,0.160958904109589,1,NA,"Venezuela","Sovereign",2,0.417,490826.162144357,NA
"101","20","101-20",20.0241271833694,"12655",1,0,0,"2",12655,1,1,"Canada (Province of Canada)","Colony of",2,0.590681818181818,1,NA,"Venezuela","Sovereign",2,0.417,12655,NA
"101","200","101-200",20.9438684200869,"506443",0.05,0.95,0.19,"bridge",506443,1,1,"United Kingdom","Sovereign",0,0.150340909090909,1,NA,"Venezuela","Sovereign",2,0.417,506443,NA
