"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","390","10-390",4.17531856431397,"0.000011321928284236023",1,0,0,"2",1.1321928284236e-05,1,1,"Denmark","Sovereign",2,0.133636363636364,1,NA,"Greenland","Colony of",2,0,29883.542078664,NA
"100","135","100-135",1.42565953748664,"0.00000943454495906146",1,0,0,"3",9.43454495906146e-06,1,1,"Peru","Sovereign",3,0.154166666666667,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,24901.9084204688,NA
"100","2","100-2",2.11855353628754,"0.0002651816164222034|0.0006709718865869398",0.8,0.2,0.64,"3",0.00067097188658694,1,1,"United States of America","Sovereign",3,0.368448275862069,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,699930.770969001,1770989.54374576
"100","200","100-200",0.869977292269066,"0.00035348758051304664|0.00019869982907510237",0,1,0,"bridge",0.000353487580513047,1,1,"United Kingdom","Sovereign",1,0.18,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,933009,524456.130980505
"100","220","100-220",0.946565898640673,"0.00020638977284073582|0.00004420740419688921",0,1,0,"bridge",0.000206389772840736,1,1,"France","Sovereign",4,0.15921568627451,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,544753.270507774,116682.758479016
"100","225","100-225",0.0534317691973957,"0.000017439524446783436",0,1,0,"bridge",1.74395244467834e-05,1,1,"Switzerland","Sovereign",0,0.448,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,46030.5656027664,NA
"100","230","100-230",0.619487986088253,"0.000025369764177260642|0.000004981115965846671",0.65,0.35,0.91,"3",2.53697641772606e-05,1,1,"Spain","Sovereign",3,0.386764705882353,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,66961.9517350713,13147.3530680581
"100","255","100-255",0.0557885098996017,"0.00013384289883427278|0.00011332038822301175",0.05,0.95,0.19,"bridge",0.000133842898834273,1,1,"Germany (Zollverein)","Sovereign",2,0.215,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,353270.202639713,299102.282298322
"100","40","100-40",0.358669062949084,"0.000011271020151719555",0.65,0.35,0.91,"3",1.12710201517196e-05,1,1,"Cuba","Occupied by",3,0.517,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,29749.1731547485,NA
"100","53","100-53",0.0429757572257168,"2.576304781077907e-7",0,1,0,"bridge",2.57630478107791e-07,1,1,"Barbados","Colony of",7,0.04,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",3,0.294444444444444,680,NA
"101","2","101-2",1.75498793985662,"0.00019476560359139012|0.0005326232299126189",0.8,0.2,0.64,"3",0.000532623229912619,1,1,"United States of America","Sovereign",3,0.368448275862069,1,1,"Venezuela","Sovereign",3,0.357142857142857,514071.981758048,1405826.66694057
"101","200","101-200",1.08568811497834,"0.00026527983009749117|0.00009578963777368181",0,1,0,"bridge",0.000265279830097491,1,1,"United Kingdom","Sovereign",1,0.18,1,1,"Venezuela","Sovereign",3,0.357142857142857,700190,252830.931202367
"101","220","101-220",1.53457356573461,"0.00002561040976855846|0.0003761135486434005",0,1,0,"bridge",0.0003761135486434,1,1,"France","Sovereign",4,0.15921568627451,1,1,"Venezuela","Sovereign",3,0.357142857142857,67597.1211578989,992728.868711354
"101","255","101-255",0.289229519143594,"0.00010224110327618059|0.00006179558224350916",0,1,0,"bridge",0.000102241103276181,1,1,"Germany (Zollverein)","Sovereign",2,0.215,1,1,"Venezuela","Sovereign",3,0.357142857142857,269859.182572003,163105.686230202
"101","40","101-40",0.52393993021985,"0.000002727083161364086|0.000011741844572403817",0.75,0.25,0.75,"3",1.17418445724038e-05,1,1,"Cuba","Occupied by",3,0.517,1,1,"Venezuela","Sovereign",3,0.357142857142857,7197.97037737012,30991.8856180283
"1029","20","1029-20",1.86112274214571,"0.000010008831716693057",1,0,0,"7",1.00088317166931e-05,1,1,"Canada (Province of Canada)","Colony of",7,0.0735,1,1,"St. Pierre and Miquelon","Colony of",7,0,26417.7034384251,NA
"1029","21","1029-21",2.04756218577928,"5.698179986384077e-7",1,0,0,"7",5.69817998638408e-07,1,1,"Newfoundland and Labrador (Newfoundland)","Colony of",7,0.0355555555555556,1,1,"St. Pierre and Miquelon","Colony of",7,0,1504,NA
"1029","220","1029-220",2.67676407749869,"0.00006477927176753022|0.0000771543724171669",0,1,0,"bridge",7.71543724171669e-05,1,1,"France","Sovereign",4,0.15921568627451,1,1,"St. Pierre and Miquelon","Colony of",7,0,170980.953517038,203644.28009066
"1055","1063","1055-1063",3.27026839512205,"1.2881523905389536e-7|8.827632558693417e-8",1,0,0,"7",1.28815239053895e-07,1,1,"Leeward Is.","Colony of",7,0.064,1,NA,"Windward Is.","Colony of",7,0.0581818181818182,340,233
"11","200","11-200",1.52850341775411,"0.00023490595446528295",0.15,0.85,0.51,"bridge",0.000234905954465283,1,1,"United Kingdom","Sovereign",1,0.18,1,NA,"Faeroe Is.","Colony of",2,0.1275,620020,NA
"11","380","11-380",3.40773549689359,"0.00010887918646855426",1,0,0,"2",0.000108879186468554,1,1,"Sweden","Sovereign",2,0.216363636363636,1,NA,"Faeroe Is.","Colony of",2,0.1275,287380,NA
"11","385","11-385",0.720957208265465,"0.0000037390652452748825",1,0,0,"2",3.73906524527488e-06,1,1,"Norway","Sovereign",2,0.198333333333333,1,NA,"Faeroe Is.","Colony of",2,0.1275,9869.03562599115,NA
"11","390","11-390",1.51306506104071,"0.000020999679483077477",1,0,0,"2",2.09996794830775e-05,1,1,"Denmark","Sovereign",2,0.133636363636364,1,NA,"Faeroe Is.","Colony of",2,0.1275,55427.3785981103,NA
"110","1055","1055-110",2.75179761228824,"1.3374052760595605e-7|4.163763168242088e-7",1,0,0,"7",4.16376316824209e-07,1,NA,"Windward Is.","Colony of",7,0.0581818181818182,1,1,"Guyana (British Guiana)","Colony of",7,0.0426666666666667,353,1099
"110","1063","1063-110",2.75529454080707,"2.045889090855985e-8|0.0000011036435040117563",1,0,0,"7",1.10364350401176e-06,1,1,"Leeward Is.","Colony of",7,0.064,1,1,"Guyana (British Guiana)","Colony of",7,0.0426666666666667,54,2913
"110","51","110-51",2.75522244268018,"3.049890218776052e-7|0.000004311521824803909",1,0,0,"7",4.31152182480391e-06,1,1,"Jamaica","Colony of",7,0.064,1,1,"Guyana (British Guiana)","Colony of",7,0.0426666666666667,805,11380
"110","52","110-52",2.7533186339361,"6.270271195123436e-7|0.000004004638461175511",1,0,0,"7",4.00463846117551e-06,1,1,"Trinidad and Tobago","Colony of",7,0.0533333333333333,1,1,"Guyana (British Guiana)","Colony of",7,0.0426666666666667,1655,10570
"110","53","110-53",3.39756440908712,"0.0000033836732352657044|0.000013930989235328625",1,0,0,"7",1.39309892353286e-05,1,1,"Barbados","Colony of",7,0.04,1,1,"Guyana (British Guiana)","Colony of",7,0.0426666666666667,8931,36770
"115","110","110-115",1.07011327628291,"0.0000031510480682683755",0,1,0,"bridge",3.15104806826838e-06,1,1,"Guyana (British Guiana)","Colony of",7,0.0426666666666667,1,NA,"Surinam (Dutch Guiana)","Colony of",6,0.2475,8317,NA
"115","210","115-210",0.420660571468223,"0.00015035766395999026",0.55,0.45,0.99,"0",0.00015035766395999,1,1,"Netherlands","Sovereign",0,0.294736842105263,1,NA,"Surinam (Dutch Guiana)","Colony of",6,0.2475,396859.922178988,NA
"115","810","115-810",3.02957482885735,"0.00009445150082616782",1,0,0,"6",9.44515008261678e-05,1,1,"French Indochina","Colony of",6,0.123333333333333,1,NA,"Surinam (Dutch Guiana)","Colony of",6,0.2475,249299,NA
"115","827","115-827",4.11417392986499,"0.0010591393543920363",1,0,0,"6",0.00105913935439204,1,1,"Straits Settlements","Colony of",6,0.0933333333333333,1,NA,"Surinam (Dutch Guiana)","Colony of",6,0.2475,2795534,NA
"1163","155","1163-155",1.86088798100945,"4.5930264345063984e-7|0.000002267527075698717",0,1,0,"bridge",2.26752707569872e-06,1,1,"Chile","Sovereign",3,0.150909090909091,1,1,"Falkland Is.","Colony of",2,0.17,1212.30143203694,5985
"1163","200","1163-200",1.89383297501339,"0.000017343456465206375|0.00005202658071211754",0.15,0.85,0.51,"bridge",5.20265807121175e-05,1,1,"United Kingdom","Sovereign",1,0.18,1,1,"Falkland Is.","Colony of",2,0.17,45777,137321
"120","1055","1055-120",0.374211077911532,"4.735854376981447e-8",0,1,0,"bridge",4.73585437698145e-08,1,NA,"Windward Is.","Colony of",7,0.0581818181818182,1,1,"French Guiana","Colony of",4,0.3475,125,NA
"120","110","110-120",2.34422781771985,"0.000001334753197608451",0,1,0,"bridge",1.33475319760845e-06,1,1,"Guyana (British Guiana)","Colony of",7,0.0426666666666667,1,1,"French Guiana","Colony of",4,0.3475,3523,NA
"120","2","120-2",0.0595184623899481,"0.000025884836096144025|0.0000022950241440951374",0,1,0,"bridge",2.5884836096144e-05,1,1,"United States of America","Sovereign",3,0.368448275862069,1,1,"French Guiana","Colony of",4,0.3475,68321.452782514,6057.57684202155
"120","220","120-220",2.61659295123052,"0.00013558452230413303|0.0001360582696900106",0.65,0.35,0.91,"4",0.000136058269690011,1,1,"France","Sovereign",4,0.15921568627451,1,1,"French Guiana","Colony of",4,0.3475,357867.112012406,359117.53946479
"120","53","120-53",2.35754491839283,"4.2016500032579397e-7",0,1,0,"bridge",4.20165000325794e-07,1,1,"Barbados","Colony of",7,0.04,1,1,"French Guiana","Colony of",4,0.3475,1109,NA
"120","615","120-615",1.43229665891566,"0.0000034649377922167332",0.65,0.35,0.91,"4",3.46493779221673e-06,1,1,"Algeria (Regency of Algiers)","Colony of",4,0.372727272727273,1,1,"French Guiana","Colony of",4,0.3475,9145.49286253927,NA
