key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
200-380,380,200,21.790546294184185,8509651|5431796.283551273,0,1,0,bridge,8509651,1,1,Sweden,Sovereign,1,0.08474999999999999,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-385,385,200,21.8306022480593,3363629|3472062.428269962,0,1,0,bridge,3472062.428269962,1,1,Norway,Sovereign (limited),1,0.08268292682926828,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-5,5,200,17.658390330576836,595,0,1,0,bridge,595,1,,Virgin Islands (Danish West Indies),Colony of,2,0.046363636363636364,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-255,255,200,20.82640910369037,27031743,0,1,0,bridge,27031743,1,1,Germany (Zollverein),Sovereign,3,0.1355056179775281,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-210,210,200,21.91774674752841,27301657|22402202.03861772,0,1,0,bridge,27301657,1,1,Netherlands,Sovereign,2,0.3136363636363635,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-68,68,200,20.34918633428109,30397,0.1,0.9,0.36000000000000004,bridge,30397,1,,Netherlands Antilles,Colony of,2,0.31090909090909086,1,1,United Kingdom,Sovereign,0,0.09096153846153851
115-200,115,200,19.325627556193314,30203,0.2,0.8,0.6400000000000001,bridge,30203,1,,Surinam (Dutch Guiana),Colony of,1,0.4853846153846154,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-211,211,200,21.13951024865862,17253265|7823527.160004929,0,1,0,bridge,17253265,1,1,Belgium,Sovereign,4,0.01542857142857143,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-220,220,200,21.48533020167515,44777460|23339410.27266963,0,1,0,bridge,44777460,1,1,France,Sovereign,3,0.07022727272727275,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-615,615,200,20.120234689035556,673970|375410.3915662651,0,1,0,bridge,673970,1,1,Algeria (Regency of Algiers),Colony of,4,0.03375,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-585,585,200,12.581201593877884,31,0.95,0.050000000000000044,0.19000000000000017,0,31,1,1,Reunion (Bourbon I.),Colony of,0,0.0316666666666667,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-751,751,200,16.490947291176514,1651,0,1,0,bridge,1651,1,1,French India,Colony of,3,0,1,1,United Kingdom,Sovereign,0,0.09096153846153851
120-200,120,200,19.194533765143426,1620,0,1,0,bridge,1620,1,1,French Guiana,Colony of,1,0.16461538461538466,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-235,235,200,22.043305665352975,2952965|2983704.479998902,0.05,0.95,0.19,bridge,2983704.479998902,1,1,Portugal,Sovereign,5,0.03146341463414634,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-541,541,200,21.818640406544887,18973,0.4,0.6,0.96,bridge,18973,1,,Mozambique (Portuguese East Africa),Colony of,5,0.7666666666666666,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-721,721,200,17.425124853073996,4860,0.95,0.050000000000000044,0.19000000000000017,0,4860,1,,Macao,Colony of,0,0.09500000000000008,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-230,230,200,21.644323665866953,10523875|8942153.075822603,0,1,0,bridge,10523875,1,1,Spain,Sovereign,2,0.02819672131147541,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-325,325,200,21.73165895053745,3419281|10226850.768390669,0,1,0,bridge,10226850.768390669,1,1,Italy,Sovereign,4,0.025116279069767444,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-300,300,200,20.902013435777217,1464106|5532106.164383561,0,1,0,bridge,5532106.164383561,1,1,Austria-Hungary (Austrian Empire),Sovereign,4,0.02076923076923077,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-350,350,200,21.851461144573552,2166486|1602135.5421686748,0,1,0,bridge,2166486,1,1,Greece,Sovereign,4,0.03130434782608696,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-355,355,200,21.464164121558788,126875|633910.4311984781,0,1,0,bridge,633910.4311984781,1,1,Bulgaria,Vassal of,4,0.045000000000000005,1,1,United Kingdom,Sovereign,0,0.09096153846153851
200-360,360,200,21.753361401075804,5038091|4588200,0,1,0,bridge,5038091,1,1,Romania,Sovereign,4,0.04235294117647059,1,1,United Kingdom,Sovereign,0,0.09096153846153851
