"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","2","10-2",18.9257244447671,"617.068936374565",0.15,0.85,0.51,"bridge",617.068936374565,1,1,"United States of America","Sovereign",1,0.139230769230769,1,NA,"Greenland","Colony of",0,0.497142857142857,617.068936374565,NA
"10","200","10-200",22.580933246324,"17373",0.05,0.95,0.19,"bridge",17373,1,1,"United Kingdom","Sovereign",3,0.237005988023952,1,NA,"Greenland","Colony of",0,0.497142857142857,17373,NA
"10","325","10-325",19.9841851432594,"291",0.45,0.55,0.99,"bridge",291,1,1,"Italy","Sovereign",0,0.364642857142857,1,NA,"Greenland","Colony of",0,0.497142857142857,291,NA
"10","385","10-385",23.5319070800488,"2863.517556552261",0.95,0.05,0.19,"0",2863.51755655226,1,1,"Norway","Sovereign",0,0.587875,1,NA,"Greenland","Colony of",0,0.497142857142857,2863.51755655226,NA
"10","390","10-390",26.2749316932992,"103916.5241980725",0.8,0.2,0.64,"0",103916.524198072,1,1,"Denmark","Sovereign",0,0.697684210526316,1,NA,"Greenland","Colony of",0,0.497142857142857,103916.524198072,NA
"10","395","10-395",23.7586554128408,"271.783295711061",1,0,0,"0",271.783295711061,1,1,"Iceland","Sovereign (unrecognized)",0,0.5575,1,NA,"Greenland","Colony of",0,0.497142857142857,271.783295711061,NA
"10","740","10-740",19.7990456296779,"276",0.4,0.6,0.96,"bridge",276,1,1,"Japan","Sovereign",3,0.619506172839506,1,NA,"Greenland","Colony of",0,0.497142857142857,276,NA
"100","101","100-101",22.0832903081714,"48875.96494549074|13770.92187672715",1,0,0,"1",48875.9649454907,1,1,"Venezuela","Sovereign",1,0.181276595744681,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,48875.9649454907,13770.9218767272
"100","130","100-130",26.3811120550677,"402139.71204239485|10736.382512315564",1,0,0,"1",402139.712042395,1,1,"Ecuador","Sovereign",1,0.1888,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,402139.712042395,10736.3825123156
"100","135","100-135",22.3282590125177,"38120.752920144754|1565.2982148154385",1,0,0,"1",38120.7529201448,1,1,"Peru","Sovereign",1,0.177884615384615,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,38120.7529201448,1565.29821481544
"100","140","100-140",21.3471404739426,"51866|7289.435405367191",0.05,0.95,0.19,"bridge",51866,1,1,"Brazil","Sovereign",0,0.250416666666667,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,51866,7289.43540536719
"100","155","100-155",21.3133765938531,"17846.729018705613|269.453437767178",1,0,0,"1",17846.7290187056,1,1,"Chile","Sovereign",1,0.175151515151515,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,17846.7290187056,269.453437767178
"100","160","100-160",19.3791771755103,"3465.929798871783|26967.558258610054",0.35,0.65,0.91,"bridge",26967.5582586101,1,1,"Argentina (La Plata)","Sovereign",0,0.714827586206896,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,3465.92979887178,26967.5582586101
"100","2","100-2",24.4066697005216,"5076009.070617172|18856921.335269723",0.95,0.05,0.19,"1",18856921.3352697,1,1,"United States of America","Sovereign",1,0.139230769230769,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,5076009.07061717,18856921.3352697
"100","20","100-20",22.4119920573707,"337395.375580106|879790.9798260828",0.95,0.05,0.19,"1",879790.979826083,1,1,"Canada (Province of Canada)","Sovereign",1,0.131846153846154,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,337395.375580106,879790.979826083
"100","200","100-200",22.5978172654492,"1552756|688506.8071137518",0,1,0,"bridge",1552756,1,1,"United Kingdom","Sovereign",3,0.237005988023952,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,1552756,688506.807113752
"100","210","100-210",22.5228637725311,"300951.4462522742|1052956.7742795134",0,1,0,"bridge",1052956.77427951,1,1,"Netherlands","Sovereign",2,0.142314049586777,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,300951.446252274,1052956.77427951
"100","220","100-220",22.1016637419474,"578172.7315141648|139452.02714757784",0.55,0.45,0.99,"1",578172.731514165,1,1,"France","Sovereign",1,0.558790322580644,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,578172.731514165,139452.027147578
"100","225","100-225",21.9408037711544,"99861.16997932788",0,1,0,"bridge",99861.1699793279,1,1,"Switzerland","Sovereign",0,0.176567164179104,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,99861.1699793279,NA
"100","230","100-230",23.2302338276073,"480346.6266899855|116504.67304252465",1,0,0,"1",480346.626689986,1,1,"Spain","Sovereign",1,0.158761061946903,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,480346.626689986,116504.673042525
"100","255","100-255",22.3980126184959,"1325862.7633240183|772046.6288556987",0,1,0,"bridge",1325862.76332402,1,1,"Germany (Zollverein)","Sovereign",2,0.225669291338583,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,1325862.76332402,772046.628855699
"100","305","100-305",21.0374136349549,"31028.51141717454|273.7729203573389",0.2,0.8,0.64,"bridge",31028.5114171745,1,1,"Austria","Sovereign",0,0.619509803921568,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,31028.5114171745,273.772920357339
"100","310","100-310",18.1855707165936,"1056.5892447531742",0,1,0,"bridge",1056.58924475317,1,1,"Hungary","Sovereign",0,0.182142857142857,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.173617021276596,1056.58924475317,NA
