key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntramax,sourceBlockAN,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntramax,targetBlockAN,targetMeanAmbiguityScore
235-439,439,235,0.01045413454302507,1.1530838739129548e-7|5.883909270754234e-7,1,0,0,5.883909270754234e-7,,,Burkina Faso (Upper Volta),,3,,,0.03441860465116279,,,Portugal,,3,,,0.043606557377049174
349-620,620,349,0.8051217289524917,2.763582028137539e-7|0.000006258203270290815,0.85,0.15000000000000002,0.51,0.000006258203270290815,,,Libya,,2,,,0.32486486486486477,,,Slovenia,,2,,,0.06326530612244899
439-771,439,771,0.4823247787245507,4.416432867341903e-7,0.05,0.95,0.19,4.416432867341903e-7,,,Burkina Faso (Upper Volta),,3,,,0.03441860465116279,,,Bangladesh,,0,,,0.11299999999999999
411-439,439,411,2.7517906832587316,3.176121215352425e-10|0.000002064506138077553,1,0,0,0.000002064506138077553,,,Burkina Faso (Upper Volta),,3,,,0.03441860465116279,,,Equatorial Guinea (Spanish Guinea),,3,,,0.054
348-620,620,348,0.3497670676670479,3.321390792769792e-10|0.0000017188660124229883,0.85,0.15000000000000002,0.51,0.0000017188660124229883,,,Libya,,2,,,0.32486486486486477,,,Serbia (Serbia and Montenegro) (Federal Republic of Yugoslavia),,2,,,0.04914285714285715
439-512,439,512,2.253291184923844,6.5424135138694004e-9|3.999951592048917e-7,0,1,0,3.999951592048917e-7,,,Burkina Faso (Upper Volta),,3,,,0.03441860465116279,,,Tanzania (Tanganyika),,0,,,0.057647058823529454
625-679,679,625,2.2831906473225163,9.508884316358133e-8|0.000001649800178078596,1,0,0,0.000001649800178078596,,,Yemen,,0,,,0.052682926829268305,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.10416666666666669
625-900,625,900,0.8142428546524476,2.7513177541167875e-10|0.000015543678549039565,0,1,0,0.000015543678549039565,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.10416666666666669,,,Australia,,4,,,0.0041304347826087
501-625,625,501,3.273081421257551,0.0000011216021956432478|0.000004047441262407404,0.95,0.050000000000000044,0.19000000000000017,0.000004047441262407404,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.10416666666666669,,,Kenya (British East Africa Protectorate),,0,,,0.07340000000000005
344-57,57,344,0.24702638485238204,1.9339562757237775e-9|2.96093515116744e-8,0,1,0,2.96093515116744e-8,,,St. Vincent and the Grenadines,,1,,,0.005135135135135136,,,Croatia,,2,,,0.05395833333333335
500-625,625,500,5.436159488995396,7.180939338244831e-8|0.000013172325315376878,0.95,0.050000000000000044,0.19000000000000017,0.000013172325315376878,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.10416666666666669,,,Uganda,,0,,,0.06918918918918923
522-625,625,522,0.9468024468519203,2.3551279975239712e-8|3.1285652382360666e-7,1,0,0,3.1285652382360666e-7,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.10416666666666669,,,Djibouti (Afar and Issas) (French Somaliland),,0,,,0.06343750000000004
451-59,451,59,2.7597086562239395,5.369471728934327e-10,0,1,0,5.369471728934327e-10,,,Sierra Leone,,3,,,0.028749999999999998,,,Montserrat,,1,,,0.03409090909090909
1163-365,365,1163,0.6984029404766778,4.217370075459591e-7|1.7828539046676837e-11,1,0,0,4.217370075459591e-7,,,Russia (USSR),,2,,,0.05105263157894736,,,Falkland Is.,,2,,,0.03923076923076923
439-780,780,439,0.012156860367411012,9.549389216334243e-8,0,1,0,9.549389216334243e-8,,,Sri Lanka (Ceylon),,0,,,0.0753703703703704,,,Burkina Faso (Upper Volta),,3,,,0.03441860465116279
572-692,692,572,1.3754591760369095,2.120909417643112e-7|4.846721355652144e-10,0.95,0.050000000000000044,0.19000000000000017,2.120909417643112e-7,,,Bahrain,,0,,,0.07184210526315793,,,Eswatini (Swaziland),,0,,,0.06095238095238099
520-780,780,520,2.357064568046233,4.7670118284705256e-7|1.5957642973877401e-12,1,0,0,4.7670118284705256e-7,,,Sri Lanka (Ceylon),,0,,,0.0753703703703704,,,Somalia,,0,,,0.09400000000000006
946-990,946,990,3.6537774506877985,2.654471369171879e-10,1,0,0,2.654471369171879e-10,,,Kiribati,,4,,,0,,,Samoa (Western Samoa) (German Samoa),,4,,,0.010555555555555565
815-946,946,815,1.958318436025336,2.024859814319791e-8,1,0,0,2.024859814319791e-8,,,Kiribati,,4,,,0,,,Vietnam,,4,,,0.016279069767441864
395-54,395,54,1.5306885450345369,2.8524506921226188e-8|1.432886286344026e-10,0,1,0,2.8524506921226188e-8,,,Iceland,,2,,,0.04611111111111112,,,Dominica,,1,,,0.017857142857142856
811-830,811,830,2.6412529852784945,0.00004364266628122954|0.00036233442542801797,1,0,0,0.00036233442542801797,,,Cambodia (Kampuchea),,4,,,0.009047619047619056,,,Singapore,,4,,,0.0030158730158730187
516-731,731,516,0.2800688460789433,6.656648227020327e-9|1.4243021749511815e-9,0,1,0,6.656648227020327e-9,,,North Korea (Democratic People's Republic of Korea),,1,,,0.10291666666666677,,,Burundi,,0,,,0.06740740740740744
55-572,55,572,4.059616733206637,1.2060016190685409e-8,0,1,0,1.2060016190685409e-8,,,Grenada,,1,,,0.00513513513513514,,,Eswatini (Swaziland),,0,,,0.06095238095238099
338-41,41,338,0.25424265297297816,9.794691204655771e-12|5.333534016430057e-8,0,1,0,5.333534016430057e-8,,,Haiti,,1,,,0.022926829268292686,,,Malta,,2,,,0.2697058823529412
571-590,571,590,1.2795671950748975,1.302143666668398e-9|1.943211708648625e-7,1,0,0,1.943211708648625e-7,,,Botswana (Bechuanaland),,0,,,0.08611111111111111,,,Mauritius,,0,,,0.050196078431372575
352-483,352,483,0.20374765380484466,7.3454131135859295e-9|3.13650223969314e-11,0,1,0,7.3454131135859295e-9,,,Cyprus,,2,,,0.38641975308642007,,,Chad,,3,,,0.027352941176470587
483-663,663,483,1.2411040392346135,8.04547491084993e-8,0,1,0,8.04547491084993e-8,,,Jordan (Transjordan),,0,,,0.08934782608695654,,,Chad,,3,,,0.027352941176470587
1163-565,565,1163,5.179942174574945,6.903672540255957e-8|7.046056535612805e-7,0,1,0,7.046056535612805e-7,,,Namibia (South West Africa) (German South West Africa),,0,,,0.04619047619047619,,,Falkland Is.,,2,,,0.03923076923076923
1069-53,1069,53,2.726435128632744,8.253953262350371e-13|5.710805712145568e-8,1,0,0,5.710805712145568e-8,,,Aruba,,1,,,0,,,Barbados,,1,,,0.02027027027027027
1062-565,565,1062,0.011369394769821963,2.046320092801902e-9,0,1,0,2.046320092801902e-9,,,Namibia (South West Africa) (German South West Africa),,0,,,0.04619047619047619,,,Anguilla,,1,,,0.022727272727272728
328-338,338,328,1.3258476683529572,2.3332825345562907e-9,0,1,0,2.3332825345562907e-9,,,Malta,,2,,,0.2697058823529412,,,Vatican City,,1,,,0
160-620,620,160,0.16970620548777693,1.9233493955181062e-7|0.000007078125345091238,0,1,0,0.000007078125345091238,,,Libya,,2,,,0.32486486486486477,,,Argentina (La Plata),,1,,,0.003653846153846154
339-433,339,433,1.9999053204170172,5.271965027728431e-9|2.1888796222314653e-7,0,1,0,2.1888796222314653e-7,,,Albania,,2,,,0.08093750000000002,,,Senegal,,3,,,0.04916666666666666
231-344,231,344,1.1222460325332786,1.1461989763650553e-10|0.0000020644819264813123,0.15,0.85,0.51,0.0000020644819264813123,,,Gibraltar,,3,,,0.30916666666666653,,,Croatia,,2,,,0.05395833333333335
404-660,404,660,1.1566652857860449,5.206593717890621e-10|1.4243957197548178e-8,0.95,0.050000000000000044,0.19000000000000017,1.4243957197548178e-8,,,Guinea-Bissau (Portuguese Guinea),,3,,,0.03272727272727273,,,Lebanon,,3,,,0.14310810810810815
434-970,970,434,0.38187848012062786,1.1142836904172981e-10|4.0466381527549743e-10,0,1,0,4.0466381527549743e-10,,,Nauru,,4,,,0,,,Benin (Dahomey),,3,,,0.01978723404255319
679-900,679,900,0.4765362694523321,3.4976952344535914e-9|0.000016791331872350448,0,1,0,0.000016791331872350448,,,Yemen,,0,,,0.052682926829268305,,,Australia,,4,,,0.0041304347826087
155-679,679,155,1.2539958331452887,0.000005259843492072762|7.1348272526858325e-9,0,1,0,0.000005259843492072762,,,Yemen,,0,,,0.052682926829268305,,,Chile,,1,,,0.004523809523809528
433-54,433,54,1.9800078112230657,2.9472115782099046e-10|1.1559496464856415e-8,0,1,0,1.1559496464856415e-8,,,Senegal,,3,,,0.04916666666666666,,,Dominica,,1,,,0.017857142857142856
434-985,985,434,1.3581156175015165,1.100527101646715e-12|6.414807396433469e-9,0,1,0,6.414807396433469e-9,,,Guam,,4,,,0.031875,,,Benin (Dahomey),,3,,,0.01978723404255319
1065-692,1065,692,1.6015884789083614,6.247912461468743e-9,0,1,0,6.247912461468743e-9,,,Curacao,,1,,,0,,,Bahrain,,0,,,0.07184210526315793
42-731,42,731,1.3595673492930231,2.9233257379957654e-7|5.961024855557274e-7,0.95,0.050000000000000044,0.19000000000000017,5.961024855557274e-7,,,Dominican Republic (Santo Domingo),,1,,,0.0050000000000000044,,,North Korea (Democratic People's Republic of Korea),,1,,,0.10291666666666677
679-920,679,920,0.49830311098045527,8.546143207837579e-10|0.0000026861738682045367,0,1,0,0.0000026861738682045367,,,Yemen,,0,,,0.052682926829268305,,,New Zealand,,4,,,0.0029687500000000026
531-820,531,820,0.2927032896944903,1.8598908017829545e-10|4.838223635636778e-7,0,1,0,4.838223635636778e-7,,,Eritrea,,0,,,0.09320000000000003,,,Malaysia (British Malaya),,4,,,0.0029687500000000026
531-580,531,580,2.82372220445607,4.1447391385957705e-8|4.1729346429399555e-8,0.95,0.050000000000000044,0.19000000000000017,4.1729346429399555e-8,,,Eritrea,,0,,,0.09320000000000003,,,Madagascar (Malagasy Republic),,0,,,0.03352941176470591
349-51,51,349,3.1773885428836617,0.0000034873821949840624|2.734886884489207e-8,0,1,0,0.0000034873821949840624,,,Jamaica,,1,,,0.020888888888888894,,,Slovenia,,2,,,0.06326530612244899
