key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
220-276,276,220,16.952090546032853,10,0,1,0,bridge,10,1,Lübeck,Sovereign (limited),2,0.27666666666666667,1,1,France,Sovereign,0,0.15072727272727274
220-246,246,220,17.576786619747583,112481,0,1,0,bridge,112481,1,Bremen,Sovereign (unrecognized),4,0.5437500000000001,1,1,France,Sovereign,0,0.15072727272727274
220-6,6,220,17.51767670898111,52435,0,1,0,bridge,52435,1,Puerto Rico,Colony of,3,0.22749999999999998,1,1,France,Sovereign,0,0.15072727272727274
220-40,40,220,17.938821374176833,271631,0.6,0.4,0.96,0,271631,1,Cuba,Colony of,0,0.5275000000000001,1,1,France,Sovereign,0,0.15072727272727274
248-350,350,248,17.75507395947463,19984,0,1,0,bridge,19984,1,Greece,Sovereign,2,0.013571428571428571,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-640,640,248,16.911010602933626,47978,0,1,0,bridge,47978,1,Turkey (Ottoman Empire),Sovereign,2,0.030555555555555558,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-7,7,248,15.750224127743286,897,0,1,0,bridge,897,1,Texas,Sovereign (limited),1,0,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
100-248,100,248,16.425778997005665,959,0,1,0,bridge,959,1,Colombia (New Granada) (Gran Colombia),Sovereign,0,0.09500000000000004,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-70,70,248,16.359735014510118,6513,0,1,0,bridge,6513,1,Mexico,Sovereign,0,0.268,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-6,6,248,19.439282727951404,147464,1,0,0,3,147464,1,Puerto Rico,Colony of,3,0.22749999999999998,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
2-66,66,2,17.379026706712356,38822,0,1,0,bridge,38822,1,Martinique,Colony of,0,0,1,1,United States of America,Sovereign,1,0.04596491228070175
2-65,65,2,17.36931876085422,46494,0,1,0,bridge,46494,1,Guadeloupe,Colony of,0,0,1,1,United States of America,Sovereign,1,0.04596491228070175
2-276,276,2,18.293584062174677,28,0,1,0,bridge,28,1,Lübeck,Sovereign (limited),2,0.27666666666666667,1,1,United States of America,Sovereign,1,0.04596491228070175
2-246,246,2,18.895992401785364,308005,0,1,0,bridge,308005,1,Bremen,Sovereign (unrecognized),4,0.5437500000000001,1,1,United States of America,Sovereign,1,0.04596491228070175
