key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
380-385,385,380,2.6355683555776244,0.0019100243294362333,1,0,0,1,0.0019100243294362333,1,,Norway,Sovereign (limited),1,0,1,1,Sweden,Sovereign,1,0
365-380,365,380,0.5218331293262422,0.0009062870542733147|0.0002277958822250684,0,1,0,bridge,0.0009062870542733147,1,1,Russia (USSR),Sovereign,2,0,1,1,Sweden,Sovereign,1,0
239-380,239,380,2.090986756711375,0.00005976946881229029|0.00021014873481427576,1,0,0,1,0.00021014873481427576,1,,Prussia,Sovereign,1,0,1,1,Sweden,Sovereign,1,0
380-390,390,380,3.1326926332090075,0.001042067695379496,1,0,0,1,0.001042067695379496,1,,Denmark,Sovereign,1,0,1,1,Sweden,Sovereign,1,0
211-380,211,380,0.10899905509761006,0.0001071952429785641|0.0001680317068633887,0,1,0,bridge,0.0001680317068633887,1,1,Belgium,Sovereign,3,0,1,1,Sweden,Sovereign,1,0
220-380,220,380,0.9922488706035795,0.0002709116140730984|0.0009166669547712667,0,1,0,bridge,0.0009166669547712667,1,1,France,Sovereign,4,0,1,1,Sweden,Sovereign,1,0
235-380,235,380,1.4354670328992412,0.00013383163668838913|0.00020783229078059215,0,1,0,bridge,0.00020783229078059215,1,1,Portugal,Sovereign,5,0,1,1,Sweden,Sovereign,1,0
2-380,2,380,0.423449302590979,0.0012343694646016472|0.0004060142478672052,0,1,0,bridge,0.0012343694646016472,1,1,United States of America,Sovereign,0,0,1,1,Sweden,Sovereign,1,0
140-380,140,380,1.4446750936268227,0.002223814040700757,0,1,0,bridge,0.002223814040700757,1,,Brazil,Sovereign,5,0,1,1,Sweden,Sovereign,1,0
115-210,210,115,2.7427984108724734,0.0006093138085079881|0.0032338035563963703,1,0,0,1,0.0032338035563963703,1,1,Netherlands,Sovereign,1,0,1,1,Surinam (Dutch Guiana),Colony of,1,0
115-2,2,115,1.974000431579358,0.0004330548513598507|0.00008477858302521938,0,1,0,bridge,0.0004330548513598507,1,1,United States of America,Sovereign,0,0,1,1,Surinam (Dutch Guiana),Colony of,1,0
200-452,200,452,0.9604695597656441,0.0005070650731615407,1,0,0,0,0.0005070650731615407,1,1,United Kingdom,Sovereign,0,0,1,1,Ghana (Gold Coast),Colony of,0,0
2-452,2,452,0.9384369553731018,0.0000877303063089015,1,0,0,0,0.0000877303063089015,1,1,United States of America,Sovereign,0,0,1,1,Ghana (Gold Coast),Colony of,0,0
