key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntramax,sourceBlockAN,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntramax,targetBlockAN,targetMeanAmbiguityScore
404-439,439,404,0.662078496749999,9.163301124854598e-10|4.558805767379185e-9,1,0,0,4.558805767379185e-9,,,Burkina Faso (Upper Volta),,3,,,0.05414634146341463,,,Guinea-Bissau (Portuguese Guinea),,3,,,0.07666666666666666
1069-439,439,1069,0.8365501180612563,3.960418412642448e-8,0,1,0,3.960418412642448e-8,,,Burkina Faso (Upper Volta),,3,,,0.05414634146341463,,,Aruba,,1,,,0
31-439,439,31,2.796302936780656,5.766267194536184e-10|1.7414669007381772e-7,0,1,0,1.7414669007381772e-7,,,Burkina Faso (Upper Volta),,3,,,0.05414634146341463,,,Bahamas,,1,,,0.006129032258064516
411-439,439,411,1.9994298751772976,8.310407265285228e-8|1.309811271638097e-9,1,0,0,8.310407265285228e-8,,,Burkina Faso (Upper Volta),,3,,,0.05414634146341463,,,Equatorial Guinea (Spanish Guinea),,3,,,0.04377777777777778
348-620,620,348,0.21108400571145944,0.000002599014903298705|7.429118745204079e-7,0.7,0.30000000000000004,0.8400000000000001,0.000002599014903298705,,,Libya,,2,,,0.4817948717948717,,,Serbia (Serbia and Montenegro) (Federal Republic of Yugoslavia),,2,,,0.09952380952380956
155-439,439,155,1.2651652287753272,4.151643544525418e-11|0.0000016582284266922358,0,1,0,0.0000016582284266922358,,,Burkina Faso (Upper Volta),,3,,,0.05414634146341463,,,Chile,,1,,,0
780-955,780,955,1.0374252654370495,1.914557309440957e-8,0,1,0,1.914557309440957e-8,,,Sri Lanka (Ceylon),,0,,,0.11584615384615386,,,Tonga (Haʻapai),,4,,,0
625-679,679,625,0.31878132354638794,1.4335001337159267e-10|8.445260391609735e-8,1,0,0,8.445260391609735e-8,,,Yemen,,0,,,0.056388888888888884,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.12655172413793103
500-625,625,500,3.611289945161793,1.4111285830096756e-8|0.0000028682492883166683,1,0,0,0.0000028682492883166683,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.12655172413793103,,,Uganda,,0,,,0.08130434782608695
517-625,625,517,2.65743208169421,1.0325331095192748e-9|2.834337803400727e-7,1,0,0,2.834337803400727e-7,,,Sudan (Anglo-Egyptian Sudan) (Mahdist State),,0,,,0.12655172413793103,,,Rwanda,,0,,,0.08521739130434781
371-815,815,371,0.23178030620372575,0.000014150447315652475|2.7232768212523177e-7,0,1,0,0.000014150447315652475,,,Vietnam,,4,,,0,,,Armenia,,2,,,0.09148148148148152
57-95,95,57,3.550322286351488,3.033784480168244e-8|2.0650662190385498e-12,1,0,0,3.033784480168244e-8,,,Panama,,1,,,0,,,St. Vincent and the Grenadines,,1,,,0
355-52,52,355,0.9597596758614613,0.00000206433385190841|1.7913244828198314e-8,0,1,0,0.00000206433385190841,,,Trinidad and Tobago,,1,,,0.003958333333333334,,,Bulgaria,,2,,,0.07728813559322038
522-694,522,694,0.2368807401837216,2.578032970069015e-7|1.5745484586975494e-8,1,0,0,2.578032970069015e-7,,,Djibouti (Afar and Issas) (French Somaliland),,0,,,0.08567567567567566,,,Qatar,,0,,,0.09421052631578948
482-780,780,482,4.80543280785673,4.362452387718936e-11|6.547358271447454e-7,0.05,0.95,0.19,6.547358271447454e-7,,,Sri Lanka (Ceylon),,0,,,0.11584615384615386,,,Central African Republic (Ubangi Shari),,3,,,0.08565217391304347
780-991,780,991,2.6047692772923785,7.999907350367624e-8|1.5526716634396096e-10,0,1,0,7.999907350367624e-8,,,Sri Lanka (Ceylon),,0,,,0.11584615384615386,,,American Samoa,,4,,,0
6631-694,694,6631,0.6555282409765132,1.0520406715129967e-7|1.9140358802206494e-7,1,0,0,1.9140358802206494e-7,,,Qatar,,0,,,0.09421052631578948,,,West Bank,,0,,,0.10999999999999999
347-780,347,780,0.5136051255813452,2.1511106448318227e-13|1.6206846193636443e-7,0,1,0,1.6206846193636443e-7,,,Kosovo,,2,,,0.06270270270270271,,,Sri Lanka (Ceylon),,0,,,0.11584615384615386
531-90,531,90,0.3166461083606576,1.1508441949850252e-10|1.5044179494547422e-8,0,1,0,1.5044179494547422e-8,,,Eritrea,,0,,,0.07999999999999999,,,Guatemala,,1,,,0
483-663,483,663,0.5458794005622235,1.785826244011641e-8|6.273374320170127e-8,0.05,0.95,0.19,6.273374320170127e-8,,,Chad,,3,,,0.09911764705882352,,,Jordan (Transjordan),,0,,,0.13304347826086957
581-615,615,581,0.6220591035358253,2.250922178752019e-10|2.601467169433813e-9,0.2,0.8,0.6400000000000001,2.601467169433813e-9,,,Algeria (Regency of Algiers),,3,,,0.3017307692307693,,,Comoros,,0,,,0.08243243243243242
1073-94,1073,94,0.3626470626370851,5.435426377361049e-10|5.492237209491058e-8,1,0,0,5.492237209491058e-8,,,Sint Maarten,,1,,,0,,,Costa Rica,,1,,,0
1062-1069,1062,1069,4.309598266709638,1.1101752971338347e-8,1,0,0,1.1101752971338347e-8,,,Anguilla,,1,,,0,,,Aruba,,1,,,0
150-983,983,150,2.2730665651592097,2.3435158760145471e-7,0,1,0,2.3435158760145471e-7,,,Marshall Is.,,0,,,0.07606060606060605,,,Paraguay,,1,,,0
411-698,411,698,0.4972149864873538,6.295870635293778e-9|7.108401054723523e-8,0.05,0.95,0.19,7.108401054723523e-8,,,Equatorial Guinea (Spanish Guinea),,3,,,0.04377777777777778,,,Oman (Sultanate of Muscat and Oman),,0,,,0.12411764705882357
395-54,395,54,5.811277643744716,1.1615997482091841e-12|2.0311759010513535e-7,0,1,0,2.0311759010513535e-7,,,Iceland,,2,,,0.030322580645161294,,,Dominica,,1,,,0.0038775510204081634
55-59,55,59,4.9015955070355215,1.2988406073494546e-10|4.6463989928367366e-12,1,0,0,1.2988406073494546e-10,,,Grenada,,1,,,0.005757575757575757,,,Montserrat,,1,,,0
10-339,10,339,0.990262086465038,4.16964834062266e-8,1,0,0,4.16964834062266e-8,,,Greenland,,2,,,0.012666666666666678,,,Albania,,2,,,0.06128205128205128
