key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
300-355,355,300,21.69683221567681,99040.1651055723,1,0,0,0,99040.1651055723,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Austria-Hungary (Austrian Empire),Sovereign,0,0.014615384615384622
200-355,355,200,20.92729802301067,158110.13652960787|79143,0,1,0,bridge,158110.13652960787,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,United Kingdom,Sovereign,1,0.30093750000000014
255-355,355,255,20.285556173257945,1642.879822193999|17537.860283341477,1,0,0,0,17537.860283341477,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Germany (Zollverein),Sovereign,0,0.014509803921568629
350-355,355,350,21.04916416941815,4596.840768375932,1,0,0,0,4596.840768375932,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Greece,Sovereign,0,0.020000000000000007
355-3551,355,3551,27.624240329354702,209487.2201936815,1,0,0,0,209487.2201936815,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Eastern Rumelia,Vassal of,0,0
325-355,355,325,19.62055156273637,9674.392760755674,1,0,0,0,9674.392760755674,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Italy,Sovereign,0,0.021764705882352943
355-360,355,360,25.03367895003404,332891.9669788855|183353.94507064612,1,0,0,0,332891.9669788855,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Romania,Sovereign,0,0.021111111111111122
355-365,355,365,17.025668297986922,633.0369899984124,1,0,0,0,633.0369899984124,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Russia (USSR),Sovereign,0,0.02740740740740741
2-355,355,2,19.245777829538667,19842.673440228606,0,1,0,bridge,19842.673440228606,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,United States of America,Sovereign,2,0.0606493506493507
355-640,355,640,23.9806366215241,344101.4446737577|27899.999999999996,1,0,0,0,344101.4446737577,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,Turkey (Ottoman Empire),Sovereign,0,0.01583333333333334
220-355,355,220,21.06663570719539,179418.08223527542,0.05,0.95,0.19,bridge,179418.08223527542,1,1,Bulgaria,Vassal of,0,0.015833333333333335,1,France,Sovereign,3,0.4880303030303035
380-385,385,380,23.668298131120583,816000.0000014959|582964.8081291356,1,0,0,0,816000.0000014959,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Sweden,Sovereign,0,0.03523809523809524
385-390,385,390,23.69455015610438,392969.7525213437|669190.0917229636,0.9,0.09999999999999998,0.35999999999999993,0,669190.0917229636,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Denmark,Sovereign,0,0.19799999999999998
200-385,385,200,21.2489840712105,2116355.6370341275|1395708,0,1,0,bridge,2116355.6370341275,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,United Kingdom,Sovereign,1,0.30093750000000014
210-385,385,210,21.372882629350027,361006.4161326508|257153.1278406743,1,0,0,0,361006.4161326508,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Netherlands,Sovereign,0,0.01947368421052632
211-385,385,211,20.441751973839885,194749.770852786|134227,0.95,0.050000000000000044,0.19000000000000017,0,194749.770852786,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Belgium,Sovereign,0,0.1532000000000001
220-385,385,220,20.6270908143402,560051.3290569388|254008.57278933164,0.05,0.95,0.19,bridge,560051.3290569388,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,France,Sovereign,3,0.4880303030303035
235-385,385,235,20.995003149059357,34773.60219988043|19110,0,1,0,bridge,34773.60219988043,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Portugal,Sovereign,4,0.11266666666666666
230-385,385,230,22.67566747904833,716705.774520104|19062.064227592342,0,1,0,bridge,716705.774520104,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Spain,Sovereign,2,0.08947368421052637
2-385,385,2,19.566901861013083,8584.784601298965|141449,0,1,0,bridge,141449,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,United States of America,Sovereign,2,0.0606493506493507
140-385,385,140,16.06064809724456,692.9422548133693,0,1,0,bridge,692.9422548133693,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Brazil,Sovereign,2,0.08857142857142859
160-385,385,160,16.57013256534201,896.4252978934858,0,1,0,bridge,896.4252978934858,1,1,Norway,Sovereign (limited),0,0.06636363636363635,1,Argentina (La Plata),Sovereign,2,0.08350000000000002
