key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntramax,sourceBlockAN,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntramax,targetBlockAN,targetMeanAmbiguityScore
380-385,385,380,2.2616198175779476,0.0006103665471284194|0.00044262880932115033,1,0,0,0.0006103665471284194,,,Norway,,4,,,0,,,Sweden,,4,,,0
365-380,365,380,0.08448386855828448,0.00048087305506211046|0.00016690772573041082,0,1,0,0.00048087305506211046,,,Russia (USSR),,3,,,0,,,Sweden,,4,,,0
380-390,390,380,3.1109068843020338,0.0015980113556659022,1,0,0,0.0015980113556659022,,,Denmark,,4,,,0,,,Sweden,,4,,,0
210-380,210,380,0.2747083872337814,0.0003515851082213037|0.0002760462994482881,0,1,0,0.0003515851082213037,,,Netherlands,,1,,,0,,,Sweden,,4,,,0
200-380,200,380,0.7612113452083377,0.0039617814489397935|0.006175614448356671,0,1,0,0.006175614448356671,,,United Kingdom,,0,,,0,,,Sweden,,4,,,0
230-380,230,380,0.5204866400404496,0.00006572308585428932|0.00030036388234880437,0,1,0,0.00030036388234880437,,,Spain,,5,,,0.033684210526315796,,,Sweden,,4,,,0
385-390,390,385,3.2195267483325734,0.0011586339911888966,1,0,0,0.0011586339911888966,,,Denmark,,4,,,0,,,Norway,,4,,,0
200-385,200,385,0.2043153679096852,0.0021201674968987167|0.00217423164242496,0,1,0,0.00217423164242496,,,United Kingdom,,0,,,0,,,Norway,,4,,,0
210-385,210,385,0.39465637351453087,0.0002248668683516213|0.0003972807582541755,0,1,0,0.0003972807582541755,,,Netherlands,,1,,,0,,,Norway,,4,,,0
211-385,211,385,0.4694966607462749,0.0001281132739156005|0.000427258704560909,0,1,0,0.000427258704560909,,,Belgium,,5,,,0,,,Norway,,4,,,0
220-385,220,385,0.11703632309332566,0.00030808435113727667|0.0008394021677641249,0,1,0,0.0008394021677641249,,,France,,3,,,0.02515151515151516,,,Norway,,4,,,0
235-385,235,385,0.4479103536734903,0.00007811336828702588|0.000052745255566388667,0,1,0,0.00007811336828702588,,,Portugal,,5,,,0,,,Norway,,4,,,0
230-385,230,385,0.9980748988079893,0.00003591254961235717|0.00031264162663150965,0,1,0,0.00031264162663150965,,,Spain,,5,,,0.033684210526315796,,,Norway,,4,,,0
140-385,140,385,0.49600163619190984,0.00024375209199655048,0,1,0,0.00024375209199655048,,,Brazil,,5,,,0,,,Norway,,4,,,0
200-561,200,561,1.2229329581883754,0.003345927785954811|0.0029300678758502645,0,1,0,0.003345927785954811,,,United Kingdom,,0,,,0,,,Cape Colony (Cape of Good Hope),,6,,,0
561-8151,8151,561,0.8476978789797234,0.0000025881720069317463,0,1,0,0.0000025881720069317463,,,Cochin China,,1,,,0,,,Cape Colony (Cape of Good Hope),,6,,,0
561-720,720,561,0.26383833933127177,0.00004985583429818169,0,1,0,0.00004985583429818169,,,Hong Kong,,1,,,0.24,,,Cape Colony (Cape of Good Hope),,6,,,0
561-902,902,561,0.6348684308958912,0.0000012169368024075813,0,1,0,0.0000012169368024075813,,,Western Australia,,2,,,0.768,,,Cape Colony (Cape of Good Hope),,6,,,0
4070-561,4070,561,5.248390145713139,4.9595914966044824e-8,1,0,0,4.9595914966044824e-8,,,Ascension I.,,6,,,0,,,Cape Colony (Cape of Good Hope),,6,,,0
561-590,590,561,1.7029069621483488,0.00004351582316835562|0.000038377135312151534,0,1,0,0.00004351582316835562,,,Mauritius,,2,,,0.09411764705882353,,,Cape Colony (Cape of Good Hope),,6,,,0
561-562,562,561,3.911686841335244,0.00012090749314425934|0.00004425241434988837,1,0,0,0.00012090749314425934,,,Natal,,6,,,0,,,Cape Colony (Cape of Good Hope),,6,,,0
4050-561,4050,561,2.7031324544205004,0.0000011599933444836038,1,0,0,0.0000011599933444836038,,,St. Helena,,6,,,0,,,Cape Colony (Cape of Good Hope),,6,,,0
541-561,541,561,5.505594710792101,0.000004750186522303404,1,0,0,0.000004750186522303404,,,Mozambique (Portuguese East Africa),,6,,,0,,,Cape Colony (Cape of Good Hope),,6,,,0
561-585,585,561,0.5964840878094226,0.000005662200291956784,0,1,0,0.000005662200291956784,,,Reunion (Bourbon I.),,2,,,0.4266666666666667,,,Cape Colony (Cape of Good Hope),,6,,,0
140-561,140,561,0.7578003739401975,0.00018047310546134891,0,1,0,0.00018047310546134891,,,Brazil,,5,,,0,,,Cape Colony (Cape of Good Hope),,6,,,0
