"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","390","10-390",4.17508632586171,"0.000023296706245446123",1,0,0,"7",2.32967062454461e-05,1,1,"Denmark","Sovereign",7,0.116666666666667,1,NA,"Greenland","Colony of",7,0,107338.832107248,NA
"100","130","100-130",1.30794935687464,"0.000006679938030207081|2.5399583801805463e-7",1,0,0,"6",6.67993803020708e-06,1,1,"Ecuador","Sovereign",6,0,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,30777.6017415068,1170.27773478875
"100","2","100-2",1.66452275729808,"0.0018007058159536622|0.001692754273512117",1,0,0,"6",0.00180070581595366,1,1,"United States of America","Sovereign",6,0.01421875,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,8296694.70082177,7799311.40690156
"100","20","100-20",1.1751493707281,"0.00006315774853019478|0.0003150474235033278",0,1,0,"bridge",0.000315047423503328,1,1,"Canada (Province of Canada)","Sovereign",0,0,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,290997.31499939,1451570.97063259
"100","200","100-200",0.105431970319322,"0.0003823592353347512|0.00001606452003701346",0,1,0,"bridge",0.000382359235334751,1,1,"United Kingdom","Sovereign",1,0.174954128440367,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,1761708,74016.7644717401
"100","220","100-220",0.00139839912459612,"0.00010537613253028591|0.00014921360975512742",0,1,0,"bridge",0.000149213609755127,1,1,"France","Sovereign",8,0.0174509803921569,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,485517.17477188,687496.95501495
"100","255","100-255",0.843303621654586,"0.0007362278682550022|0.0004683655028823837",0,1,0,"bridge",0.000736227868255002,1,1,"Germany (Zollverein)","Sovereign",4,0.0923437500000001,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,3392146.45670127,2157979.13872678
"100","52","100-52",0.0177193462499893,"0.000004680716020497198|0.000001208308138335955",0,1,0,"bridge",4.6807160204972e-06,1,1,"Trinidad and Tobago","Colony of",0,0.00730769230769232,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,21566.25,5567.24126699312
"100","94","100-94",1.15632628301157,"0.00000489279234369657|0.0000015092850946994616",1,0,0,"6",4.89279234369657e-06,1,1,"Costa Rica","Sovereign",6,0,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",6,0,22543.3849052517,6953.98300837417
"101","2","101-2",1.45544526220638,"0.0023143423377901227|0.0016363046784084896",1,0,0,"6",0.00231434233779012,1,1,"United States of America","Sovereign",6,0.01421875,1,1,"Venezuela","Sovereign",6,0,10663258.6176558,7539221.69518385
"101","255","101-255",0.610442785352546,"0.0006831635068524919|0.0003950240119257388",0,1,0,"bridge",0.000683163506852492,1,1,"Germany (Zollverein)","Sovereign",4,0.0923437500000001,1,1,"Venezuela","Sovereign",6,0,3147654.1014536,1820060.55481412
"101","52","101-52",1.01890498179616,"0.0000023423023174114245|0.00005390410411573481",0,1,0,"bridge",5.39041041157348e-05,1,1,"Trinidad and Tobago","Colony of",0,0.00730769230769232,1,1,"Venezuela","Sovereign",6,0,10792.0833333333,248361.443055988
"1029","20","1029-20",3.20879565494501,"0.00001313495713755907|0.0000015346038718002804",1,0,0,"0",1.31349571375591e-05,1,1,"Canada (Province of Canada)","Sovereign",0,0,1,1,"St. Pierre and Miquelon","Colony of",0,0,60518.8967088402,7070.63846755166
"1029","53","1029-53",1.60102027151947,"3.277287980502298e-8",1,0,0,"0",3.2772879805023e-08,1,1,"Barbados","Colony of",0,0,1,1,"St. Pierre and Miquelon","Colony of",0,0,151,NA
"1032","31","1032-31",6.69620653662428,"8.681557564244498e-9",1,0,0,"0",8.6815575642445e-09,1,1,"Bahamas","Colony of",0,0,1,1,"Turks and Caicos Is.","Dependency of",0,0,40,NA
"1032","51","1032-51",6.81810305192292,"3.24256175024532e-7",1,0,0,"0",3.24256175024532e-07,1,1,"Jamaica","Colony of",0,0,1,1,"Turks and Caicos Is.","Dependency of",0,0,1494,NA
"1033","140","1033-140",1.79742985652791,"7.168230849353596e-8",0,1,0,"bridge",7.1682308493536e-08,1,1,"Brazil","Sovereign",6,0,1,1,"Cayman Is.","Dependency of",0,0,330.273953553052,NA
"1033","40","1033-40",4.21309392622411,"2.6432637139034254e-7",1,0,0,"0",2.64326371390343e-07,1,1,"Cuba","Sovereign",0,0,1,1,"Cayman Is.","Dependency of",0,0,1217.8753383102,NA
"1033","51","1033-51",6.05980116061663,"2.819335818988401e-7",1,0,0,"0",2.8193358189884e-07,1,1,"Jamaica","Colony of",0,0,1,1,"Cayman Is.","Dependency of",0,0,1299,NA
"1055","200","1055-200",1.2201111464649,"0.0000521501162884167|0.00005360492829724497",0,1,0,"bridge",5.3604928297245e-05,1,1,"United Kingdom","Sovereign",1,0.174954128440367,1,NA,"Windward Is.","Colony of",0,0,240280,246983
"1055","53","1055-53",4.2737418927989,"0.0000011381521966724537|0.000003805994836164788",1,0,0,"0",3.80599483616479e-06,1,1,"Barbados","Colony of",0,0,1,NA,"Windward Is.","Colony of",0,0,5244,17536
"1055","720","1055-720",0.502150583511563,"0.00002771261693976397",0,1,0,"bridge",2.7712616939764e-05,1,1,"Hong Kong","Colony of",5,0.018,1,NA,"Windward Is.","Colony of",0,0,127685,NA
"1055","775","1055-775",0.570719626337561,"0.0000018305064124209526",0,1,0,"bridge",1.83050641242095e-06,1,1,"Myanmar (Burma)","Colony of",3,0.096,1,NA,"Windward Is.","Colony of",0,0,8434,NA
"1063","1055","1055-1063",1.83957647680837,"7.965329065194327e-8",1,0,0,"0",7.96532906519433e-08,1,NA,"Windward Is.","Colony of",0,0,1,1,"Leeward Is.","Colony of",0,0,367,NA
"1063","110","1063-110",2.3990541016969,"5.777576559004713e-7",1,0,0,"0",5.77757655900471e-07,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,1,1,"Leeward Is.","Colony of",0,0,2662,NA
"1063","20","1063-20",0.475159002601854,"0.0000073289708957352056",1,0,0,"0",7.32897089573521e-06,1,1,"Canada (Province of Canada)","Sovereign",0,0,1,1,"Leeward Is.","Colony of",0,0,33768,NA
"1063","200","1063-200",1.75879636011449,"0.000056445968010143986|0.000055898595805718366",0,1,0,"bridge",5.6445968010144e-05,1,1,"United Kingdom","Sovereign",1,0.174954128440367,1,1,"Leeward Is.","Colony of",0,0,260073,257551
"1063","30","1063-30",0.468812040199975,"1.3022336346366747e-9",1,0,0,"0",1.30223363463667e-09,1,1,"Bermuda","Colony of",0,0,1,1,"Leeward Is.","Colony of",0,0,6,NA
"1063","41","1063-41",3.42946153771147,"9.182608480094843e-7",1,0,0,"0",9.18260848009484e-07,1,1,"Haiti","Sovereign",0,0,1,1,"Leeward Is.","Colony of",0,0,4230.85761380605,NA
"1063","52","1063-52",3.2705693886777,"0.0000034207507192514383",1,0,0,"0",3.42075071925144e-06,1,1,"Trinidad and Tobago","Colony of",0,0.00730769230769232,1,1,"Leeward Is.","Colony of",0,0,15761,NA
"1063","53","1063-53",3.80861721116341,"0.0000011494382215059715",1,0,0,"0",1.14943822150597e-06,1,1,"Barbados","Colony of",0,0,1,1,"Leeward Is.","Colony of",0,0,5296,NA
"1063","720","1063-720",0.00176674253550377,"0.000010611901888654263",0,1,0,"bridge",1.06119018886543e-05,1,1,"Hong Kong","Colony of",5,0.018,1,1,"Leeward Is.","Colony of",0,0,48894,NA
"1063","775","1063-775",0.0701487255828865,"7.008187343736372e-7",0,1,0,"bridge",7.00818734373637e-07,1,1,"Myanmar (Burma)","Colony of",3,0.096,1,1,"Leeward Is.","Colony of",0,0,3229,NA
"11","200","11-200",0.653407086680468,"0.000013042955045581828",0,1,0,"bridge",1.30429550455818e-05,1,1,"United Kingdom","Sovereign",1,0.174954128440367,1,NA,"Faeroe Is.","Colony of",7,0,60095,NA
"11","380","11-380",0.673381041993107,"0.0000027117008306348957",1,0,0,"7",2.7117008306349e-06,1,1,"Sweden","Sovereign",7,0.0934375,1,NA,"Faeroe Is.","Colony of",7,0,12494.0752189593,NA
"11","385","11-385",2.3480274125341,"0.000006029785561207917",1,0,0,"7",6.02978556120792e-06,1,1,"Norway","Sovereign",7,0.15078947368421,1,NA,"Faeroe Is.","Colony of",7,0,27782.0449456763,NA
"11","390","11-390",3.82105030627942,"0.000045410641720212085",1,0,0,"7",4.54106417202121e-05,1,1,"Denmark","Sovereign",7,0.116666666666667,1,NA,"Faeroe Is.","Colony of",7,0,209228.0855557,NA
"11","395","11-395",0.950042970872617,"9.996529375894173e-8",1,0,0,"7",9.99652937589417e-08,1,1,"Iceland","Sovereign (unrecognized)",7,0.122857142857143,1,NA,"Faeroe Is.","Colony of",7,0,460.58690744921,NA
"110","1055","1055-110",2.8996218400473,"1.1459655984802738e-7|0.0000015090717436048",1,0,0,"0",1.5090717436048e-06,1,NA,"Windward Is.","Colony of",0,0,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,528,6953
"110","20","110-20",2.93576884164323,"0.00006471523535593917|0.00031043608492761337",1,0,0,"0",0.000310436084927613,1,1,"Canada (Province of Canada)","Sovereign",0,0,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,298173.385948497,1430324.375
"110","200","110-200",1.71223247136705,"0.00022042279320571586|0.00015512912432344165",0,1,0,"bridge",0.000220422793205716,1,1,"United Kingdom","Sovereign",1,0.174954128440367,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,1015591,714752.5
"110","51","110-51",2.19010415159019,"1.569191529737193e-7|0.000005176595736619888",1,0,0,"0",5.17659573661989e-06,1,1,"Jamaica","Colony of",0,0,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,723,23851
"110","52","110-52",3.34692599887221,"0.00001510527713154637|0.00001853990025632234",1,0,0,"0",1.85399002563223e-05,1,1,"Trinidad and Tobago","Colony of",0,0.00730769230769232,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,69597.0833333333,85422
"110","53","110-53",3.06272883068793,"9.63435850692033e-7|0.000004699978226342866",1,0,0,"0",4.69997822634287e-06,1,1,"Barbados","Colony of",0,0,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,4439,21655
"110","750","110-750",0.0167302508248966,"0.00001054404000664456",0,1,0,"bridge",1.05440400066446e-05,1,1,"India","Colony of",3,0.131904761904762,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,48581.328539804,NA
"115","110","110-115",2.2408305419036,"6.29774654972903e-7",1,0,0,"0",6.29774654972903e-07,1,1,"Guyana (British Guiana)","Colony of",0,0.0126666666666667,1,1,"Surinam (Dutch Guiana)","Colony of",0,0,2901.66666666667,NA
"115","160","115-160",0.311824487713263,"0.000003401556705689778",0,1,0,"bridge",3.40155670568978e-06,1,1,"Argentina (La Plata)","Sovereign",6,0,1,1,"Surinam (Dutch Guiana)","Colony of",0,0,15672.5641937769,NA
"115","2","115-2",0.709818943490122,"0.000033824627303352926",0,1,0,"bridge",3.38246273033529e-05,1,1,"United States of America","Sovereign",6,0.01421875,1,1,"Surinam (Dutch Guiana)","Colony of",0,0,155845.893104074,NA
