key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
230-615,615,230,0.6109201133456648,0.0002453822367265645|0.00035734000294877007,1,0,0,0,0.00035734000294877007,1,1,Algeria (Regency of Algiers),Colony of,0,0,1,1,Spain,Sovereign,0,0
329-615,615,329,0.2730162715846013,0.00010393460626259819|0.000018292461313646093,0,1,0,bridge,0.00010393460626259819,1,1,Algeria (Regency of Algiers),Colony of,0,0,1,,Two Sicilies,Sovereign,4,0
200-380,200,380,0.6053795764517788,0.0012081255664382088|0.005164694338702007,0,1,0,bridge,0.005164694338702007,1,1,United Kingdom,Sovereign,2,0,1,1,Sweden,Sovereign,1,0
200-385,200,385,0.3357910677699523,0.0010884576555536616|0.0022516368694220626,0,1,0,bridge,0.0022516368694220626,1,1,United Kingdom,Sovereign,2,0,1,1,Norway,Sovereign (limited),1,0
200-280,200,280,0.8196344126920225,0.00013485584549338556,0,1,0,bridge,0.00013485584549338556,1,1,United Kingdom,Sovereign,2,0,1,,Mecklenburg Schwerin,Sovereign,6,0
200-240,200,240,1.0947623021829136,0.002434751879390817,0,1,0,bridge,0.002434751879390817,1,1,United Kingdom,Sovereign,2,0,1,,Hanover,Sovereign,6,0
200-210,200,210,0.16800668533211066,0.013442194847021397|0.011930226584083384,0,1,0,bridge,0.013442194847021397,1,1,United Kingdom,Sovereign,2,0,1,1,Netherlands,Sovereign,6,0
200-220,200,220,0.03395692399989198,0.011538961325309235|0.05087143336103484,0,1,0,bridge,0.05087143336103484,1,1,United Kingdom,Sovereign,2,0,1,1,France,Sovereign,0,0
200-235,200,235,0.8826969479095896,0.003717144225800801|0.0006778613890386119,0,1,0,bridge,0.003717144225800801,1,1,United Kingdom,Sovereign,2,0,1,,Portugal,Sovereign,1,0
200-402,200,402,0.937829827631762,0.00003540773813063543,0,1,0,bridge,0.00003540773813063543,1,1,United Kingdom,Sovereign,2,0,1,,Cape Verde,Colony of,7,0
200-840,200,840,1.112367073967277,0.001482159081052274|0.0011578622840802359,0,1,0,bridge,0.001482159081052274,1,1,United Kingdom,Sovereign,2,0,1,1,Philippines,Colony of,8,0
200-329,200,329,0.20226646421241204,0.0029046765563913632|0.002746153021399067,0,1,0,bridge,0.0029046765563913632,1,1,United Kingdom,Sovereign,2,0,1,,Two Sicilies,Sovereign,4,0
200-300,200,300,0.1405010840042382,0.0021843652909002533,0,1,0,bridge,0.0021843652909002533,1,1,United Kingdom,Sovereign,2,0,1,,Austria-Hungary (Austrian Empire),Sovereign,3,0
200-350,200,350,0.642036959278389,0.0007551100793365164,0,1,0,bridge,0.0007551100793365164,1,1,United Kingdom,Sovereign,2,0,1,,Greece,Sovereign,4,0
