key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
21-235,235,21,90.05366573588833,0.0000019876544203637573,1,0,0,3,0.0000019876544203637573,1,,Portugal,Sovereign,3,0,1,Newfoundland and Labrador (Newfoundland),Colony of,3,0
235-385,235,385,2.9770452923513715,0.00021149219540803895,1,0,0,3,0.00021149219540803895,1,,Portugal,Sovereign,3,0,1,Norway,Sovereign (limited),3,0
231-235,235,231,0.8777057504319332,0.0001329571849213971,0,1,0,bridge,0.0001329571849213971,1,,Portugal,Sovereign,3,0,1,Gibraltar,Colony of,1,0
235-329,235,329,1.521390844834308,0.00019877495638348036,0,1,0,bridge,0.00019877495638348036,1,,Portugal,Sovereign,3,0,1,Two Sicilies,Sovereign,0,0
230-6,230,6,4.534846570707066,0.00018428976009383314,0,1,0,bridge,0.00018428976009383314,1,,Spain,Sovereign,1,0,1,Puerto Rico,Colony of,4,0
230-40,230,40,6.355220290759882,0.001678432470802957,0,1,0,bridge,0.001678432470802957,1,,Spain,Sovereign,1,0,1,Cuba,Colony of,4,0
230-68,230,68,3.9256539203408334,0.0002098767491602173,0,1,0,bridge,0.0002098767491602173,1,,Spain,Sovereign,1,0,1,Netherlands Antilles,Colony of,4,0
230-231,230,231,0.8039042613770482,0.00021516331714913965,1,0,0,1,0.00021516331714913965,1,,Spain,Sovereign,1,0,1,Gibraltar,Colony of,1,0
1055-200,1055,200,3.459482064550339,0.003872129926209376,1,0,0,1,0.003872129926209376,,,Windward Is.,Colony of,1,0,1,United Kingdom,Sovereign,1,0
239-385,239,385,7.421273067229599,0.0004764524218071132,1,0,0,3,0.0004764524218071132,1,,Prussia,Sovereign,3,0,1,Norway,Sovereign (limited),3,0
