"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceBlockLouvain","sourceBlockIntraMax","sourceBlockAn","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetBlockLouvain","targetBlockIntraMax","targetBlockAn","targetMeanAmbiguityScore","export","import"
"100","2","100-2",0.925569202634417,"0.000808778968104286",0.25,0.75,0.75,0.000808778968104286,NA,NA,"United States of America",NA,3,6,"NAM",0.142173913043478,NA,NA,"Colombia (New Granada) (Gran Colombia)",NA,1,1,"AS",0.25,1008575.20383497,NA
"101","2","101-2",1.43224848525796,"0.0004942008709659547",1,0,0,0.000494200870965955,NA,NA,"United States of America",NA,3,6,"NAM",0.142173913043478,NA,NA,"Venezuela",NA,3,1,"AS",0,616285.491867087,NA
"10210","20","10210-20",4.36750359536524,"7.271543308278506e-8",1,0,0,7.27154330827851e-08,NA,NA,"Canada (Province of Canada)",NA,3,6,"LA",0.168,NA,NA,"Labrador",NA,3,6,"NAM",0,90.6786472394535,NA
"1029","2","1029-2",0.937704435147701,"0.00006109253730331851",1,0,0,6.10925373033185e-05,NA,NA,"United States of America",NA,3,6,"NAM",0.142173913043478,NA,NA,"St. Pierre and Miquelon",NA,3,2,"WE",0.318,76184.4962510755,NA
"1029","20","1029-20",2.43851845929056,"0.00003479648314063555",1,0,0,3.47964831406355e-05,NA,NA,"Canada (Province of Canada)",NA,3,6,"LA",0.168,NA,NA,"St. Pierre and Miquelon",NA,3,2,"WE",0.318,43392.4118459287,NA
"1029","21","1029-21",1.64676842893163,"0.0000012140803710560528",1,0,0,1.21408037105605e-06,NA,NA,"Newfoundland and Labrador (Newfoundland)",NA,3,6,"LA",0.07,NA,NA,"St. Pierre and Miquelon",NA,3,2,"WE",0.318,1514,NA
"1029","220","1029-220",2.36921359709256,"0.00012992690030582811|0.0003143959091595035",0.25,0.75,0.75,0.000314395909159504,NA,NA,"France",NA,1,8,"AF",0.280243902439024,NA,NA,"St. Pierre and Miquelon",NA,3,2,"WE",0.318,162023.315550286,392062.517289073
"1029","230","1029-230",0.405532766089496,"0.000008542667234385821",0.3,0.7,0.84,8.54266723438582e-06,NA,NA,"Spain",NA,4,2,"WE",0.518181818181818,NA,NA,"St. Pierre and Miquelon",NA,3,2,"WE",0.318,10653,NA
"1048","110","1048-110",0.70952117396629,"0.000002213250874580387",1,0,0,2.21325087458039e-06,NA,NA,"Guyana (British Guiana)",NA,3,1,"AS",0.145833333333333,NA,NA,"Trinidad",NA,3,6,"LA",0.1875,NA,2760
"1048","2","1048-2",1.61693801528036,"0.00047468297181317456",1,0,0,0.000474682971813175,NA,NA,"United States of America",NA,3,6,"NAM",0.142173913043478,NA,NA,"Trinidad",NA,3,6,"LA",0.1875,NA,591946
"1048","200","1048-200",0.508635793511586,"0.000554801049668003",0,1,0,0.000554801049668003,NA,NA,"United Kingdom",NA,0,8,"AF",0.334366197183099,NA,NA,"Trinidad",NA,3,6,"LA",0.1875,NA,691856
"1048","21","1048-21",1.19659816519663,"0.000003915689862527547",1,0,0,3.91568986252755e-06,NA,NA,"Newfoundland and Labrador (Newfoundland)",NA,3,6,"LA",0.07,NA,NA,"Trinidad",NA,3,6,"LA",0.1875,NA,4883
