key,source,target,TIBI,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvainTibi,sourceBlockLouvainProximity,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvainTibi,targetBlockLouvainProximity,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
338-6203,338,6203,0.9980848436676584,6.168213651588082,11874.632713026445,1,0,0,11874.632713026445,,,Malta,,5,6,1,WE,0,,,Tripolitania (Regency of Tripoli),,5,6,1,AF,0
338-640,338,640,0.7374464847817863,1.84386854231851,7952.987267384917,1,0,0,7952.987267384917,,,Malta,,5,6,1,WE,0,,,Turkey (Ottoman Empire),,5,6,1,AF,0
338-651,338,651,0.7390391335121796,1.8258154467826715,8951.764289939609,1,0,0,8951.764289939609,,,Malta,,5,6,1,WE,0,,,Egypt Arab Republic (Egypt),,5,6,4,NAM,0
350-616,350,616,0.8816382683673631,2.6475955492802763,22495.592556317337,1,0,0,22495.592556317337,,,Greece,,5,6,1,WE,0,,,Tunisia (Regency of Tunis),,5,6,1,AF,0
350-6203,350,6203,0.507156331724365,1.1123369699906684,180.2154750244858,1,0,0,180.2154750244858,,,Greece,,5,6,1,WE,0,,,Tripolitania (Regency of Tripoli),,5,6,1,AF,0
350-640,350,640,0.8837992148748358,2.467522317960782,20191.96865817826|15239.960822722822,1,0,0,20191.96865817826,,,Greece,,5,6,1,WE,0,,,Turkey (Ottoman Empire),,5,6,1,AF,0
365-380,365,380,0.536332312661469,1.109324486258965,76821.62693820875|28320,0,1,0,76821.62693820875,,,Russia (USSR),,0,0,3,EESU,0,,,Sweden,,2,2,3,EESU,0
365-385,365,385,0.2363344869450861,0.4747514843520184,110991,0,1,0,110991,,,Russia (USSR),,0,0,3,EESU,0,,,Norway,,2,2,3,EESU,0
365-390,365,390,-0.09800910807095976,-0.14687198513081476,50939.00282885432,0,1,0,50939.00282885432,,,Russia (USSR),,0,0,3,EESU,0,,,Denmark,,2,2,1,WE,0
365-40,40,365,-0.7969180053845311,-2.104452598373423,10316.258570029382,0,1,0,10316.258570029382,,,Cuba,,1,1,1,LA,0.12000000000000001,,,Russia (USSR),,0,0,3,EESU,0
365-630,365,630,0.989702707834917,2.732874452004917,327959.8214285714,1,0,0,327959.8214285714,,,Russia (USSR),,0,0,3,EESU,0,,,Iran (Persia),,0,0,1,WE,0
365-640,365,640,0.6812091006014555,1.40101789832004,22965.71988246817|624419.1566478077,0,1,0,624419.1566478077,,,Russia (USSR),,0,0,3,EESU,0,,,Turkey (Ottoman Empire),,5,6,1,AF,0
365-7010,365,7010,,2.811725785231912,42360.767326732675,1,0,0,42360.767326732675,,,Russia (USSR),,0,0,3,EESU,0,,,Kokand,,0,0,3,EESU,0
365-7020,365,7020,,2.811725785231912,78451.55586987271,1,0,0,78451.55586987271,,,Russia (USSR),,0,0,3,EESU,0,,,Bokhara,,0,0,3,EESU,0
365-7030,365,7030,,2.811725785231912,24047.11810466761,1,0,0,24047.11810466761,,,Russia (USSR),,0,0,3,EESU,0,,,Khiva,,0,0,3,EESU,0
365-710,365,710,0.33693558516790556,0.6530155535140896,332679.6322489392,0,1,0,332679.6322489392,,,Russia (USSR),,0,0,3,EESU,0,,,People's Republic of China (China),,6,5,1,WE,0
380-385,380,385,0.9147605565673363,2.814807906570614,127275.87653320991,1,0,0,127275.87653320991,,,Sweden,,2,2,3,EESU,0,,,Norway,,2,2,3,EESU,0
380-390,380,390,0.9077358068646926,2.7745652167632384,104471.83811617682,1,0,0,104471.83811617682,,,Sweden,,2,2,3,EESU,0,,,Denmark,,2,2,1,WE,0
380-40,40,380,-0.8531013833543704,-2.487696093945566,935.8863858961801,0,1,0,935.8863858961801,,,Cuba,,1,1,1,LA,0.12000000000000001,,,Sweden,,2,2,3,EESU,0
380-750,380,750,-0.24580766359227843,-0.4806524825158568,10494.856064181216,0,1,0,10494.856064181216,,,Sweden,,2,2,3,EESU,0,,,India,,6,5,2,WE,0
380-850,380,850,0.2126873621606362,0.4386131903690667,6085,0,1,0,6085,,,Sweden,,2,2,3,EESU,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
390-40,40,390,-0.5525071310919836,-1.199379731837098,6559.96082272282,0,1,0,6559.96082272282,,,Cuba,,1,1,1,LA,0.12000000000000001,,,Denmark,,2,2,1,WE,0
40-6,6,40,0.9383521023230039,2.875047638136467,268714.20176297746,1,0,0,268714.20176297746,,,Puerto Rico,,1,1,1,WE,0.21000000000000002,,,Cuba,,1,1,1,LA,0.12000000000000001
401-750,401,750,-0.179540143082044,-0.34654500039183733,1656,0,1,0,1656,,,Madeira Isles,,1,1,4,WE,0,,,India,,6,5,2,WE,0
401-850,401,850,0.5189738346605852,1.1451781587162306,1702,0,1,0,1702,,,Madeira Isles,,1,1,4,WE,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
402-901,402,901,0.5557775348344762,1.2361136608777228,200,0,1,0,200,,,Cape Verde,,1,1,4,AF,0,,,New South Wales,,4,5,2,AS,0
561-750,561,750,0.8209690288387544,2.0552798103389156,8147.131985522914,1,0,0,8147.131985522914,,,Cape Colony (Cape of Good Hope),,4,5,1,WE,0,,,India,,6,5,2,WE,0
561-850,561,850,0.8747533835778425,2.612217510749459,3288,0,1,0,3288,,,Cape Colony (Cape of Good Hope),,4,5,1,WE,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
561-901,561,901,0.984577720552073,4.214597964203919,14587,1,0,0,14587,,,Cape Colony (Cape of Good Hope),,4,5,1,WE,0,,,New South Wales,,4,5,2,AS,0
585-750,585,750,-0.598708480115667,-1.3464535592322693,5156.952096011888,0,1,0,5156.952096011888,,,Reunion (Bourbon I.),,3,6,1,WE,0,,,India,,6,5,2,WE,0
590-750,590,750,0.9307984846384181,2.685392883162455,36738.84780960396,1,0,0,36738.84780960396,,,Mauritius,,4,5,1,WE,0,,,India,,6,5,2,WE,0
590-850,590,850,-0.720694552921701,-1.7975247380739856,96,0,1,0,96,,,Mauritius,,4,5,1,WE,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
590-901,590,901,0.9823435621303387,4.125615134226058,32047,1,0,0,32047,,,Mauritius,,4,5,1,WE,0,,,New South Wales,,4,5,2,AS,0
616-6203,616,6203,,8.368511546345255,3232.125367286974,1,0,0,3232.125367286974,,,Tunisia (Regency of Tunis),,5,6,1,AF,0,,,Tripolitania (Regency of Tripoli),,5,6,1,AF,0
616-640,616,640,0.3008567221437455,0.5952290625477914,28959.843290891284,1,0,0,28959.843290891284,,,Tunisia (Regency of Tunis),,5,6,1,AF,0,,,Turkey (Ottoman Empire),,5,6,1,AF,0
6203-640,640,6203,0.8441457325942135,2.235539504693501,5554.2184133202745,1,0,0,5554.2184133202745,,,Turkey (Ottoman Empire),,5,6,1,AF,0,,,Tripolitania (Regency of Tripoli),,5,6,1,AF,0
6203-651,651,6203,0.5864853748110155,1.3215236135305863,732.615083251714,1,0,0,732.615083251714,,,Egypt Arab Republic (Egypt),,5,6,4,NAM,0,,,Tripolitania (Regency of Tripoli),,5,6,1,AF,0
6203-652,652,6203,-1,,0,1,0,0,0,,,Syria,,3,6,1,AF,0,,,Tripolitania (Regency of Tripoli),,5,6,1,AF,0
630-640,630,640,0.7457413868651769,1.8656655686069097,26906.953966699315,0,1,0,26906.953966699315,,,Iran (Persia),,0,0,1,WE,0,,,Turkey (Ottoman Empire),,5,6,1,AF,0
640-651,640,651,0.9316954725249019,2.7063326168625816,136365.28568221716|515529.87267384917,1,0,0,515529.87267384917,,,Turkey (Ottoman Empire),,5,6,1,AF,0,,,Egypt Arab Republic (Egypt),,5,6,4,NAM,0
640-652,640,652,0.989561156531296,4.086629047001857,308.56348526570787,1,0,0,308.56348526570787,,,Turkey (Ottoman Empire),,5,6,1,AF,0,,,Syria,,3,6,1,AF,0
710-750,710,750,0.7528465534418064,1.6702636500734214,511523.92638036807,1,0,0,511523.92638036807,,,People's Republic of China (China),,6,5,1,WE,0,,,India,,6,5,2,WE,0
710-901,710,901,0.3207932492205475,0.6335568212585706,37481,1,0,0,37481,,,People's Republic of China (China),,6,5,1,WE,0,,,New South Wales,,4,5,2,AS,0
740-850,740,850,,4.8630836671013755,42503,1,0,0,42503,,,Japan,,2,3,3,AS,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
750-7504,750,7504,,3.3987594821814224,43396.03586597451,1,0,0,43396.03586597451,,,India,,6,5,2,WE,0,,,Tranquebar,,6,5,2,AS,0
750-751,750,751,0.9826605796150832,3.1726563729284343,31955.26191599811,1,0,0,31955.26191599811,,,India,,6,5,2,WE,0,,,French India,,6,5,4,LA,0
750-752,750,752,,3.3987594821814224,32265.785747994338,1,0,0,32265.785747994338,,,India,,6,5,2,WE,0,,,Portuguese India,,6,5,2,AS,0
750-7693,750,7693,,3.3987594821814224,63993.39310995752,1,0,0,63993.39310995752,,,India,,6,5,2,WE,0,,,Sindh,,6,5,2,AS,0
750-775,750,775,,3.3987594821814224,108402.17083529966,1,0,0,108402.17083529966,,,India,,6,5,2,WE,0,,,Myanmar (Burma),,6,5,2,AS,0
750-780,750,780,,3.3987594821814224,75469.08919301558,1,0,0,75469.08919301558,,,India,,6,5,2,WE,0,,,Sri Lanka (Ceylon),,6,5,2,WE,0
750-781,750,781,,3.3987594821814224,17529.400660689003,1,0,0,17529.400660689003,,,India,,6,5,2,WE,0,,,Maldive Islands,,6,5,2,AS,0
750-840,750,840,0.68404612003166,1.538958264600119,22993.865030674846,0,1,0,22993.865030674846,,,India,,6,5,2,WE,0,,,Philippines,,1,1,2,AS,0.168
750-850,750,850,-0.5329437569493938,-1.1493402343791592,14904.483246814534,0,1,0,14904.483246814534,,,India,,6,5,2,WE,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
750-901,750,901,-0.5942927865101753,3.3987594821814224,3113.07220386975|1114,1,0,0,3113.07220386975,,,India,,6,5,2,WE,0,,,New South Wales,,4,5,2,AS,0
800-850,800,850,,4.8630836671013755,11214,1,0,0,11214,,,Thailand (Siam),,2,3,3,AS,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
815-850,815,850,0.9791618854378804,4.0150201098926885,746,1,0,0,746,,,Vietnam,,2,3,1,WE,0,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
840-850,840,850,0.055880210378524316,0.12424641232893188,1292,0,1,0,1292,,,Philippines,,1,1,2,AS,0.168,,,Indonesia (Dutch East Indies),,2,3,3,AS,0
840-901,840,901,0.3914857404613515,0.8165321957044555,2307,0,1,0,2307,,,Philippines,,1,1,2,AS,0.168,,,New South Wales,,4,5,2,AS,0
901-902,901,902,,4.975612876645693,1051,1,0,0,1051,,,New South Wales,,4,5,2,AS,0,,,Western Australia,,4,5,2,AS,0
