"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","230","10-230",1.29752717071437,"0.0000014638192618694937",1,0,0,"6",1.46381926186949e-06,1,1,"Spain","Sovereign",6,0,1,NA,"Greenland","Colony of",6,0,2041,NA
"10","390","10-390",4.6428829307956,"0.00001412279127692806",1,0,0,"6",1.41227912769281e-05,1,1,"Denmark","Sovereign",6,0,1,NA,"Greenland","Colony of",6,0,19691.3770347558,NA
"100","2","100-2",0.151960792370196,"0.00037160501118104085",0,1,0,"bridge",0.000371605011181041,1,1,"United States of America","Sovereign",3,0.00791666666666667,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",0,0,518128.055544144,NA
"100","200","100-200",0.439980022844798,"0.0008206611147070654",0,1,0,"bridge",0.000820661114707065,1,1,"United Kingdom","Sovereign",1,0.14972972972973,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",0,0,1144246,NA
"100","220","100-220",1.48015249415471,"0.0013249491004889051",1,0,0,"0",0.00132494910048891,1,1,"France","Sovereign",0,0.00441860465116279,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",0,0,1847373.63726462,NA
"100","230","100-230",0.166068887885015,"0.00008598071075229433",0,1,0,"bridge",8.59807107522943e-05,1,1,"Spain","Sovereign",6,0,1,NA,"Colombia (New Granada) (Gran Colombia)","Sovereign",0,0,119882.717229252,NA
"101","1055","101-1055",0.112889328784747,"7.265305792620269e-7",1,0,0,"3",7.26530579262027e-07,1,NA,"Windward Is.","Colony of",3,0,1,NA,"Venezuela","Sovereign",3,0,1013,NA
"101","2","101-2",1.06301399079273,"0.0005869834983110588",1,0,0,"3",0.000586983498311059,1,1,"United States of America","Sovereign",3,0.00791666666666667,1,NA,"Venezuela","Sovereign",3,0,818429.809785958,NA
"101","200","101-200",0.571560439004058,"0.0005945487330063935",0,1,0,"bridge",0.000594548733006394,1,1,"United Kingdom","Sovereign",1,0.14972972972973,1,NA,"Venezuela","Sovereign",3,0,828978,NA
"101","220","101-220",0.289664513521096,"0.00025589145717596875",0,1,0,"bridge",0.000255891457175969,1,1,"France","Sovereign",0,0.00441860465116279,1,NA,"Venezuela","Sovereign",3,0,356788.899900892,NA
