key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
2-365,365,2,18.222537135444906,580388.93762794,0,1,0,bridge,580388.93762794,1,1,Russia (USSR),Sovereign,2,0.4061538461538461,1,1,United States of America,Sovereign,1,0.3794117647058824
2-239,239,2,17.952746667422893,16982.286836278567|64990.74037590133,0,1,0,bridge,64990.74037590133,1,,Prussia,Sovereign,3,0.14357142857142854,1,1,United States of America,Sovereign,1,0.3794117647058824
2-390,390,2,15.597197770324826,10229.143167481305,0,1,0,bridge,10229.143167481305,1,,Denmark,Sovereign,3,0.25545454545454543,1,1,United States of America,Sovereign,1,0.3794117647058824
2-5,5,2,19.643215145316375,381286.084304633,0.6,0.4,0.96,3,381286.084304633,1,,Virgin Islands (Danish West Indies),Colony of,3,0.5875,1,1,United States of America,Sovereign,1,0.3794117647058824
2-210,210,2,19.243837058962384,381883.9035802315|966688.9948382521,0.35,0.65,0.9099999999999999,bridge,966688.9948382521,1,1,Netherlands,Sovereign,3,0.5194117647058824,1,1,United States of America,Sovereign,1,0.3794117647058824
2-850,850,2,17.70080118346453,308707.4403642896,0,1,0,bridge,308707.4403642896,1,,Indonesia (Dutch East Indies),Colony of,4,0,1,1,United States of America,Sovereign,1,0.3794117647058824
2-68,68,2,18.157773569344084,109016.58520282408,0.6,0.4,0.96,3,109016.58520282408,1,,Netherlands Antilles,Colony of,3,0.655,1,1,United States of America,Sovereign,1,0.3794117647058824
2-211,211,2,19.358848034194686,100265.07081087856|710784.0734465503,0,1,0,bridge,710784.0734465503,1,1,Belgium,Sovereign,3,0.19606060606060607,1,1,United States of America,Sovereign,1,0.3794117647058824
2-200,200,2,19.132369063702065,15825231.440865606,0.25,0.75,0.75,bridge,15825231.440865606,1,1,United Kingdom,Sovereign,0,0.5142424242424243,1,1,United States of America,Sovereign,1,0.3794117647058824
2-231,231,2,19.129527018612883,51380.28992772695,1,0,0,1,51380.28992772695,1,,Gibraltar,Colony of,1,0.0633333333333334,1,1,United States of America,Sovereign,1,0.3794117647058824
2-338,338,2,19.12678113060657,7183.43986297364|13184,0,1,0,bridge,13184,1,1,Malta,Colony of,0,0.10500000000000001,1,1,United States of America,Sovereign,1,0.3794117647058824
110-2,110,2,19.63609307296851,19221.08033588169,0.95,0.050000000000000044,0.19000000000000017,3,19221.08033588169,1,,Guyana (British Guiana),Colony of,3,0.5750000000000001,1,1,United States of America,Sovereign,1,0.3794117647058824
2-80,80,2,20.12023452020726,44991.435852446004|34225,0.75,0.25,0.75,1,44991.435852446004,1,1,Belize (British Honduras),Occupied by,1,0.875,1,1,United States of America,Sovereign,1,0.3794117647058824
2-561,561,2,20.021696511207722,6006.391778418349|49357,0,1,0,bridge,49357,1,,Cape Colony (Cape of Good Hope),Colony of,4,0,1,1,United States of America,Sovereign,1,0.3794117647058824
120-2,120,2,15.425970750267245,727.5347787943351,0.35,0.65,0.9099999999999999,bridge,727.5347787943351,1,,French Guiana,Colony of,1,0.45499999999999996,1,1,United States of America,Sovereign,1,0.3794117647058824
2-41,41,2,20.33432631365686,381839.62067092786|119677.686276055,0.25,0.75,0.75,bridge,381839.62067092786,1,1,Haiti,Sovereign (unrecognized),3,0.37375,1,1,United States of America,Sovereign,1,0.3794117647058824
2-840,840,2,18.97439165317923,167800.894013452|19996.84778754088,0,1,0,bridge,167800.894013452,1,1,Philippines,Colony of,4,0.019999999999999997,1,1,United States of America,Sovereign,1,0.3794117647058824
2-40,40,2,19.85126688404168,2660081.6727242344,1,0,0,1,2660081.6727242344,1,,Cuba,Colony of,1,0.40199999999999997,1,1,United States of America,Sovereign,1,0.3794117647058824
2-6,6,2,19.775804392667887,670310.1892467728,0.95,0.050000000000000044,0.19000000000000017,1,670310.1892467728,1,,Puerto Rico,Colony of,1,0.43600000000000005,1,1,United States of America,Sovereign,1,0.3794117647058824
2-235,235,2,17.685146939312208,57499.477795880855|40387.722132471725,0,1,0,bridge,57499.477795880855,1,,Portugal,Sovereign,3,0.14789473684210525,1,1,United States of America,Sovereign,1,0.3794117647058824
2-402,402,2,20.12023452020726,2885.282199105987,1,0,0,1,2885.282199105987,1,,Cape Verde,Colony of,1,0,1,1,United States of America,Sovereign,1,0.3794117647058824
2-640,640,2,19.45672755696941,203737.1015582571|161424.8000315221,0,1,0,bridge,203737.1015582571,1,,Turkey (Ottoman Empire),Sovereign,0,0.11736842105263158,1,1,United States of America,Sovereign,1,0.3794117647058824
2-350,350,2,15.856856126119707,6889.1256214229015,0,1,0,bridge,6889.1256214229015,1,,Greece,Sovereign,0,0.12923076923076923,1,1,United States of America,Sovereign,1,0.3794117647058824
2-600,600,2,20.12023452020726,8192.547102811548,0.05,0.95,0.19,bridge,8192.547102811548,1,1,Morocco,Sovereign (unrecognized),0,0.33749999999999997,1,1,United States of America,Sovereign,1,0.3794117647058824
2-70,70,2,19.989471092797995,1173041.5256715545,1,0,0,1,1173041.5256715545,1,,Mexico,Sovereign,1,0.43500000000000005,1,1,United States of America,Sovereign,1,0.3794117647058824
2-89,89,2,19.603763760838618,40795.421314283325,0.35,0.65,0.9099999999999999,bridge,40795.421314283325,1,,United States of Central America,Sovereign (unrecognized),1,0.45499999999999996,1,1,United States of America,Sovereign,1,0.3794117647058824
100-2,100,2,20.107441866096316,354399.0474996867,0.95,0.050000000000000044,0.19000000000000017,1,354399.0474996867,1,,Colombia (New Granada) (Gran Colombia),Sovereign,1,0.275,1,1,United States of America,Sovereign,1,0.3794117647058824
140-2,140,2,19.954984370166656,1506076.3671303838|611135.1905118405,0.4,0.6,0.96,bridge,1506076.3671303838,1,,Brazil,Sovereign,3,0.5885,1,1,United States of America,Sovereign,1,0.3794117647058824
160-2,160,2,19.129306961017694,220057.44245310608|43985.653048727145,0.85,0.15000000000000002,0.51,1,220057.44245310608,1,1,Argentina (La Plata),Sovereign,1,0.59,1,1,United States of America,Sovereign,1,0.3794117647058824
155-2,155,2,19.57526185884487,169506.83042987844,0.45,0.55,0.9900000000000001,bridge,169506.83042987844,1,,Chile,Sovereign,1,0.45,1,1,United States of America,Sovereign,1,0.3794117647058824
135-2,135,2,19.262951438192474,32550.236036261856,0.1,0.9,0.36000000000000004,bridge,32550.236036261856,1,,Peru,Sovereign (unrecognized),1,0.36,1,1,United States of America,Sovereign,1,0.3794117647058824
2-710,710,2,19.668720371331588,1530019.6348748798,0,1,0,bridge,1530019.6348748798,1,,People's Republic of China (China),Sovereign (unrecognized),4,0,1,1,United States of America,Sovereign,1,0.3794117647058824
380-385,385,380,21.462132772723724,152180.54737875523,1,0,0,3,152180.54737875523,1,,Norway,Sovereign (limited),3,0.20099999999999998,1,1,Sweden,Sovereign,3,0.21857142857142856
365-380,365,380,20.124998793194926,94306.94553950864|130352.59957253182,0.65,0.35,0.9099999999999999,2,130352.59957253182,1,1,Russia (USSR),Sovereign,2,0.4061538461538461,1,1,Sweden,Sovereign,3,0.21857142857142856
239-380,239,380,19.64732291739341,7051.727776585734|25526.125016417274,1,0,0,3,25526.125016417274,1,,Prussia,Sovereign,3,0.14357142857142854,1,1,Sweden,Sovereign,3,0.21857142857142856
380-390,390,380,21.257748245857826,91078.81904694298,1,0,0,3,91078.81904694298,1,,Denmark,Sovereign,3,0.25545454545454543,1,1,Sweden,Sovereign,3,0.21857142857142856
210-380,210,380,19.711511155476867,22663.03080112335|111322.60275833274,0.65,0.35,0.9099999999999999,3,111322.60275833274,1,1,Netherlands,Sovereign,3,0.5194117647058824,1,1,Sweden,Sovereign,3,0.21857142857142856
211-380,211,380,18.80649655326038,3557.7702740129353|29515,1,0,0,3,29515,1,1,Belgium,Sovereign,3,0.19606060606060607,1,1,Sweden,Sovereign,3,0.21857142857142856
200-380,200,380,17.86720814218371,138398.07173205746,0,1,0,bridge,138398.07173205746,1,1,United Kingdom,Sovereign,0,0.5142424242424243,1,1,Sweden,Sovereign,3,0.21857142857142856
220-380,220,380,17.16782890323585,25487.28742953524,0,1,0,bridge,25487.28742953524,1,1,France,Sovereign,1,0.16596153846153847,1,1,Sweden,Sovereign,3,0.21857142857142856
230-380,230,380,18.974023177149874,13071.538059922159|9547,0.05,0.95,0.19,bridge,13071.538059922159,1,,Spain,Sovereign,1,0.3503703703703704,1,1,Sweden,Sovereign,3,0.21857142857142856
235-380,235,380,20.444951446215782,16365.310066710823|46026.242168722165,1,0,0,3,46026.242168722165,1,,Portugal,Sovereign,3,0.14789473684210525,1,1,Sweden,Sovereign,3,0.21857142857142856
